ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
44144231,Photo,"Allen's Hummingbird",Selasphorus sasin,,Robert Hamilton,2016-12-31,2016,12,31,1055,United States,US-CA-083,California,Santa Barbara,"Hope Ranch, southern central part",34.4189295,-119.7592431,"",,Unspecified,"","",,,,,,,S33339347,"",,,,Courtship flight by two different males observed. In Hope Ranch this species is strongly associated with extensive patches of Cape Honeysuckle and Red-hot Poker.,Selasphorus sasin,allhum,Species,4774,,4.91,687,,800,1200
413651861,Photo,"Allen's Hummingbird",Selasphorus sasin,,Braxton Landsman,2022-02-05,2022,2,5,1545,United States,US-CA-059,California,Orange,Laguna Niguel Regional Park,33.5494066,-117.7098370,"",,Unspecified,"","",,,,,,,S102101024,"",,,,One very cooperative male!,Selasphorus sasin,allhum,Species,4774,,4.95,205,,2700,4049
298479501,Photo,"Allen's Hummingbird",Selasphorus sasin,,Connor Cochrane,2021-01-16,2021,1,16,1207,United States,US-CA-041,California,Marin,Tomales (town),38.2472630,-122.9058371,"",,Unspecified,"","",,,,,,,S79369477,"",,,,FOS. Photos + tail spread shots of one.,Selasphorus sasin,allhum,Species,4774,,4.94,122,,1315,1973
612830170,Photo,"Allen's Hummingbird",Selasphorus sasin,,Max Breshears,2023-12-30,2023,12,30,700,United States,US-CA-111,California,Ventura,Max’s Neighborhood (Shamrock and surrounding area),34.2812420,-119.2485680,"",,Unspecified,"","",,,,,,,S157499760,"",,,,,Selasphorus sasin,allhum,Species,4774,,4.99,86,,2601,3902
613868447,Photo,"Allen's Hummingbird",Selasphorus sasin,,Alex Smilor,2024-01-17,2024,1,17,717,United States,US-CA-059,California,Orange,"IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine",33.6637274,-117.8426814,Adult Male – 1,,Unspecified,"","",,,,,,,S159142290,"",,,,,Selasphorus sasin,allhum,Species,4774,,5.00,76,,3017,4525
282315051,Photo,"Allen's Hummingbird",Selasphorus sasin,,Anonymous,2020-11-23,2020,11,23,1017,United States,US-CA-059,California,Orange,Huntington Central Park,33.7010644,-118.0063820,"",,Unspecified,"","",,,,,,,S76606990,"",,,,,Selasphorus sasin,allhum,Species,4774,,4.86,318,,1649,2500
303434171,Photo,"Allen's Hummingbird",Selasphorus sasin,,Will Sweet,2021-02-01,2021,2,1,1140,United States,US-CA-037,California,Los Angeles,Colorado Lagoon,33.7711322,-118.1334941,Adult Male – 1,,Unspecified,"","",,,,,,,S80275453,"",,,,,Selasphorus sasin,allhum,Species,4774,,4.92,106,,3648,5472
118431271,Photo,"Allen's Hummingbird",Selasphorus sasin,,Robert Hamilton,2018-10-11,2018,10,11,710,United States,US-CA-037,California,Los Angeles,Colorado Lagoon,33.7711322,-118.1334941,Adult Male,,Unspecified,"","",,,,,,,S49122668,"",,,Perched with glowing gorget.,My usual photographic subject was cooperative.,Selasphorus sasin,allhum,Species,4774,,4.93,84,,1855,2783
319240241,Photo,"Allen's Hummingbird",Selasphorus sasin,,Torrey Gage-Tomlinson,2021-03-23,2021,3,23,942,United States,US-CA-073,California,San Diego,Kit Carson Park,33.0766149,-117.0605131,"",,Unspecified,"","",,,,,,,S83958084,"",,,,,Selasphorus sasin,allhum,Species,4774,,4.91,88,,2016,3024
349301941,Photo,"Allen's Hummingbird",Selasphorus sasin,,Alison Davies,2021-06-19,2021,6,19,815,United States,US-CA-073,California,San Diego,Lower Rose Creek,32.8001675,-117.2215376,"",,Unspecified,"","",,,,,,,S90532940,"",,,,,Selasphorus sasin,allhum,Species,4774,,5.00,55,,2091,2897
