ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
155550701,Photo,American Barn Owl,Tyto furcata,,Sharif Uddin,2019-04-19,2019,4,19,1830,United States,US-HI-007,Hawaii,Kauai,Kaumualii Hwy,22.0036810,-159.7614330,"",,Unspecified,"","",,,,,,,S55287272,"",,,,,Tyto furcata,brnowl,Species,8537,,4.96,647,,2791,4187
75210971,Photo,American Barn Owl (American),Tyto furcata [tuidara Group],,Ian Davies,2017-11-12,2017,11,12,1511,United States,US-TX-061,Texas,Cameron,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),26.1400912,-97.1748233,"",,Unspecified,"","",,,,,,,S40486174,"",,,,,Tyto furcata,barowl8,Group,8538,,4.94,381,,2103,3811
75210961,Photo,American Barn Owl (American),Tyto furcata [tuidara Group],,Ian Davies,2017-11-12,2017,11,12,1511,United States,US-TX-061,Texas,Cameron,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),26.1400912,-97.1748233,"",,Unspecified,"","",,,,,,,S40486174,"",,,,,Tyto furcata,barowl8,Group,8538,,4.93,376,,1855,3216
591235191,Photo,American Barn Owl,Tyto furcata,,Neo Morpheus,2023-07-04,2023,7,4,1557,United States,US-FL-086,Florida,Miami-Dade,"Frog Pond WMA--south of Hainlin Mill Sparrow Drive, north of S332D impoundment",25.5236124,-80.5685538,"",,Unspecified,"","",,,,,,,S143613170,"",,,,,Tyto furcata,brnowl,Species,8537,,4.98,114,,2899,5153
591235491,Photo,American Barn Owl,Tyto furcata,,Neo Morpheus,2023-07-04,2023,7,4,1557,United States,US-FL-086,Florida,Miami-Dade,"Frog Pond WMA--south of Hainlin Mill Sparrow Drive, north of S332D impoundment",25.5236124,-80.5685538,"",,Unspecified,"","",,,,,,,S143613170,"",,,,,Tyto furcata,brnowl,Species,8537,,4.96,117,,3922,6972
591235181,Photo,American Barn Owl,Tyto furcata,,Neo Morpheus,2023-07-04,2023,7,4,1557,United States,US-FL-086,Florida,Miami-Dade,"Frog Pond WMA--south of Hainlin Mill Sparrow Drive, north of S332D impoundment",25.5236124,-80.5685538,"",,Unspecified,"","",,,,,,,S143613170,"",,,,,Tyto furcata,brnowl,Species,8537,,4.97,94,,2899,5153
591235451,Photo,American Barn Owl,Tyto furcata,,Neo Morpheus,2023-07-04,2023,7,4,1557,United States,US-FL-086,Florida,Miami-Dade,"Frog Pond WMA--south of Hainlin Mill Sparrow Drive, north of S332D impoundment",25.5236124,-80.5685538,"",,Unspecified,"","",,,,,,,S143613170,"",,,,,Tyto furcata,brnowl,Species,8537,,4.97,71,,2899,5153
75210981,Photo,American Barn Owl (American),Tyto furcata [tuidara Group],,Ian Davies,2017-11-12,2017,11,12,1511,United States,US-TX-061,Texas,Cameron,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),26.1400912,-97.1748233,"",,Unspecified,"","",,,,,,,S40486174,"",,,,,Tyto furcata,barowl8,Group,8538,,4.90,127,,2251,3768
615810543,Photo,American Barn Owl,Tyto furcata,,Braxton Landsman,2024-01-21,2024,1,21,1239,United States,US-CA-059,California,Orange,Irvine Regional Park,33.7968382,-117.7532673,"",,Unspecified,"","",,,,,,,S159498144,"",,,,,Tyto furcata,brnowl,Species,8537,,4.98,64,,3129,4637
242589951,Photo,American Barn Owl (American),Tyto furcata [tuidara Group],,Jerry Liguori,2013-01-17,2013,1,17,0,United States,US-UT-011,Utah,Davis,Farmington Bay WMA,40.9551410,-111.9191396,"",,Unspecified,"","",,,,,,,S65332155,"",,,,,Tyto furcata,barowl8,Group,8538,,4.96,67,,3114,5058
91185011,Photo,American Barn Owl (American),Tyto furcata [tuidara Group],,Ian Davies,2017-11-12,2017,11,12,1511,United States,US-TX-061,Texas,Cameron,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),26.1400912,-97.1748233,"",,Unspecified,"","",,,,,,,S40486174,"",,,,,Tyto furcata,barowl8,Group,8538,,4.90,84,,2103,3710
495924481,Photo,American Barn Owl (American),Tyto furcata [tuidara Group],,Connor Cochrane,2022-10-16,2022,10,16,809,United States,US-CA-041,California,Marin,Pt. Reyes--Fish Docks (DO NOT INCLUDE Chimney Rock area),37.9956216,-122.9782104,"",,Unspecified,"","",,,,,,,S120785718,"",,,,,Tyto furcata,barowl8,Group,8538,,4.87,100,,3673,5510
