ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
139201501,Photo,American Coot,Fulica americana,,August Davidson-Onsgard,2019-02-05,2019,2,5,1300,United States,US-NY-047,New York,Kings,Prospect Park--Prospect Lake,40.6553787,-73.9686421,"",,Unspecified,"","",,,,,,,S52416867,"",,,,,Fulica americana,y00475,Species,5443,,4.95,121,,2468,3702
85701561,Photo,American Coot,Fulica americana,,Scott Martin,2016-01-27,2016,1,27,730,United States,US-TX-355,Texas,Nueces,Leonabelle Turnbull Birding Ctr. (CTC 057),27.8275297,-97.0789558,"",,Unspecified,"","",,,,,,,S42686911,"",,,,,Fulica americana,y00475,Species,5443,,4.96,78,,1375,2200
420011251,Photo,American Coot (Red-shielded),Fulica americana (Red-shielded),,Alex Castelein,2022-02-19,2022,2,19,1349,United States,US-CA-073,California,San Diego,Lower Otay Reservoir--south arm & boat ramp,32.6171283,-116.9332807,"",,Unspecified,"","",,,,,,,S103708526,"",,,,,Fulica americana,amecoo,Form,5446,,4.90,99,,3065,4596
206977341,Photo,American Coot,Fulica americana,,Neil Rucker,2020-02-02,2020,2,2,1330,United States,US-AZ-013,Arizona,Maricopa,Riparian Preserve at Gilbert Water Ranch,33.3614502,-111.7339478,"",,Unspecified,"","",,,,,,,S64069211,"",,,,,Fulica americana,y00475,Species,5443,,4.89,91,,2960,4440
332687051,Photo,American Coot,Fulica americana,,Jonathan Eckerson,2021-04-19,2021,4,19,508,United States,US-AZ-023,Arizona,Santa Cruz,Patagonia Lake State Park,31.4951992,-110.8566971,"",,Unspecified,"","",,,,,,,S85941263,"",,,,,Fulica americana,y00475,Species,5443,,4.92,80,,2593,3890
413914181,Photo,American Coot,Fulica americana,,Grigory Heaton,2022-02-05,2022,2,5,759,United States,US-CA-037,California,Los Angeles,Malibu Legacy Park,34.0355906,-118.6890578,Adult – 1,,Unspecified,"","",,,,,,,S102060546,"",,,,,Fulica americana,y00475,Species,5443,,4.96,50,,3793,5689
345821481,Photo,American Coot,Fulica americana,,Connie Misket,2021-06-06,2021,6,6,700,United States,US-UT-011,Utah,Davis,Farmington Bay WMA,40.9551410,-111.9191396,"Adult – 1; Juvenile – 1",Feeding Young,Unspecified,"","",,,,,,,S89756568,"",,,,,Fulica americana,y00475,Species,5443,,4.92,59,"",3062,4222
217397141,Photo,American Coot,Fulica americana,,Brad Imhoff,2020-03-22,2020,3,22,714,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,"",,Unspecified,"","",,,,,,,S66087382,"",,,,,Fulica americana,y00475,Species,5443,,4.86,71,,2050,3075
610043098,Photo,American Coot,Fulica americana,,Brad Imhoff,2023-10-16,2023,10,16,1248,United States,US-OH-089,Ohio,Licking,Buckeye Lake SP--North Shore,39.9322696,-82.4780355,"",,Unspecified,"","",,,,,,,S152405850,"",,,,,Fulica americana,y00475,Species,5443,,5.00,38,,2333,3500
217397381,Photo,American Coot,Fulica americana,,Brad Imhoff,2020-03-22,2020,3,22,714,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,"",,Unspecified,"","",,,,,,,S66087382,"",,,,,Fulica americana,y00475,Species,5443,,4.84,74,,2785,4178
