ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
269969201,Photo,American Crow,Corvus brachyrhynchos,,Gord Gadsden,2020-10-10,2020,10,10,1355,Canada,CA-BC-FV,British Columbia,Fraser Valley,Sardis Park,49.1278561,-121.9533062,"","",Unspecified,"","",,,,,,,S74674356,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.90,452,Aberrant individual,924,1250
286868001,Photo,American Crow,Corvus brachyrhynchos,,Ian Routley,2020-12-06,2020,12,6,1342,Canada,CA-BC-SL,British Columbia,Squamish-Lillooet,Lillooet--Pineridge Road,50.6844157,-121.9146319,Adult – 1,,Unspecified,"","",,,,,,,S77166113,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.81,161,,2122,3786
620797529,Photo,American Crow,Corvus brachyrhynchos,,James Tornetta,2024-06-18,2024,6,18,1438,United States,US-ME-009,Maine,Hancock,Bar Harbor--Shore Path,44.3900496,-68.2011509,Juvenile – 1,Carrying Food,Unspecified,"","",,,,,,,S182363124,"",,,,Two adults showing four juveniles how to forage for green crabs at low tide,Corvus brachyrhynchos,amecro,Species,21333,,4.91,64,"",1561,2347
290453231,Photo,American Crow,Corvus brachyrhynchos,,Gord Gadsden,2020-12-23,2020,12,23,1020,Canada,CA-BC-FV,British Columbia,Fraser Valley,Sardis Park,49.1278561,-121.9533062,"","",Unspecified,"","",,,,,,,S77890872,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.79,127,Aberrant individual,850,1250
362463361,Photo,American Crow,Corvus brachyrhynchos,,Elliott Bury,2021-07-09,2021,7,9,700,United States,US-OR-011,Oregon,Coos,Oregon Islands National Wildlife Refuge,43.1167582,-124.4384263,"",,Unspecified,"","",,,,,,,S93058927,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.76,87,,1463,2048
27327221,Photo,American Crow,Corvus brachyrhynchos,,Ian Davies,2012-07-13,2012,7,13,1903,United States,US-AK-122,Alaska,Kenai Peninsula Borough,Seward--Iditarod Memorial,60.1014771,-149.4355201,Adult,,Unspecified,"","",,,,,,,S11149761,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.73,93,,3194,5183
267313391,Photo,American Crow,Corvus brachyrhynchos,,Brad Imhoff,2020-10-01,2020,10,1,728,United States,US-OH-089,Ohio,Licking,Granville Schools Land Lab,40.0889220,-82.5452640,"",Foraging or Eating,Unspecified,"","",,,,,,,S74276668,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.74,82,"",1463,2194
383244531,Photo,American Crow,Corvus brachyrhynchos,,Melissa Hafting,2021-10-27,2021,10,27,1526,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Richmond--Garden City Park,49.1645847,-123.1230175,"",,Unspecified,"","",,,,,,,S96787761,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.71,90,,3648,5472
273606611,Photo,American Crow,Corvus brachyrhynchos,,Jim Merritt,2020-10-22,2020,10,22,729,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S75213297,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.84,49,,3039,3755
256800971,Photo,American Crow,Corvus brachyrhynchos,,"Alix d'Entremont",2013-07-06,2013,7,6,1000,Canada,CA-NS-SH,Nova Scotia,Shelburne,Cape Sable Island--Cape Sable,43.3957101,-65.6214607,Juvenile – 2,"",Unspecified,"","",,,,,,,S17795431,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.85,41,Nest,2583,3098
220452231,Photo,American Crow,Corvus brachyrhynchos,,Brian Henderson,2017-09-08,2017,9,8,1621,United States,US-CA-053,California,Monterey,Andrew Molera SP--Big Sur River mouth,36.2819875,-121.8595805,"",,Unspecified,"","",,,,,,,S39110467,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.73,77,,3340,5011
387481431,Photo,American Crow,Corvus brachyrhynchos,,Annie Lavoie,2021-11-10,2021,11,10,909,Canada,CA-QC-FS,Quebec,Le Fjord-du-Saguenay,"L'Anse - Anse St-Jean",48.2458540,-70.1949334,"",,Unspecified,"","",,,,,,,S97410337,"",,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.81,53,,3332,5224
