ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
532337071,Photo,American Kestrel,Falco sparverius,,Mark Parker,2023-02-06,2023,2,6,1000,United States,US-MI-139,Michigan,Ottawa,128th Ave. at Bingham St.,42.8764673,-86.0989952,"",,Unspecified,"","",,,,,,,S127762761,"",,,,,Falco sparverius,amekes,Species,11913,,4.95,182,,4564,6846
91509331,Photo,American Kestrel,Falco sparverius,,Matthew Pendleton,2018-03-26,2018,3,26,1116,United States,US-UT-035,Utah,Salt Lake,Lee Kay Ponds,40.7397136,-112.0437241,Adult Male,,Unspecified,"","",,,,,,,S43980856,"",,,,,Falco sparverius,amekes,Species,11913,,4.88,240,,2513,3769
131780291,Photo,American Kestrel,Falco sparverius,,Dorian Anderson,2018-12-27,2018,12,27,700,United States,US-CA-065,California,Riverside,San Jacinto Wildlife Area,33.8854488,-117.1041040,"",,Unspecified,"","",,,,,,,S51062305,"",,,,,Falco sparverius,amekes,Species,11913,,4.95,113,,2400,3600
303331251,Photo,American Kestrel,Falco sparverius,,Tim Avery,2021-01-31,2021,1,31,1105,United States,US-UT-057,Utah,Weber,Ogden Bay WMA--North Parking Lot (7500 W),41.2181503,-112.1608116,"",,Unspecified,"","",,,,,,,S80220129,"",,,,,Falco sparverius,amekes,Species,11913,,4.90,164,,1296,2000
563171061,Photo,American Kestrel,Falco sparverius,,Albini Couture,2023-04-26,2023,4,26,1325,Canada,CA-QC-PB,Quebec,Le Rocher-Percé,"Rte du Phare, Percé (Cap-d'Espoir)",48.4206000,-64.3189001,"",,Unspecified,"","",,,,,,,S135095398,"",,,,,Falco sparverius,amekes,Species,11913,,4.92,104,,2193,3289
88453991,Photo,American Kestrel,Falco sparverius,,Adam Jackson,2016-10-30,2016,10,30,1602,United States,US-CA-071,California,San Bernardino,Hulda Crooks Park,34.0384446,-117.2438514,"",,Unspecified,"","",,,,,,,S43389934,"",,,,,Falco sparverius,amekes,Species,11913,,4.86,137,,2001,3000
301274451,Photo,American Kestrel,Falco sparverius,,Alex Shipherd,2021-01-22,2021,1,22,1022,United States,US-VA-139,Virginia,Page,Lake Arrowhead,38.6403972,-78.3865607,Adult Male – 1,Flying,Unspecified,"","",,,,,,,S79726066,"",,,,"Male, observed hunting from power lines in brush hogged field",Falco sparverius,amekes,Species,11913,,4.83,125,"",1080,1741
514211821,Photo,American Kestrel,Falco sparverius,,Ryan Sanderson,2022-11-09,2022,11,9,654,United States,US-TX-215,Texas,Hidalgo,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),26.1849709,-98.3793885,Adult Male – 1,,Unspecified,"","",,,,,,,S122130288,"",,,,,Falco sparverius,amekes,Species,11913,,4.98,44,,2248,3370
245021521,Photo,American Kestrel,Falco sparverius,,Jerry Liguori,2011-01-23,2011,1,23,1200,United States,US-UT-011,Utah,Davis,Farmington Bay WMA,40.9551410,-111.9191396,"Adult Female – 1; Adult Male – 1","",Unspecified,"","",,,,,,,S70324246,"",,,,,Falco sparverius,amekes,Species,11913,,4.79,128,Nest,2183,3600
394463291,Photo,American Kestrel,Falco sparverius,,Brad Imhoff,2021-12-08,2021,12,8,1519,United States,US-OH-115,Ohio,Morgan,Smith Rd. Grasslands (view from roadside only),39.7558100,-81.8162700,Adult Female – 1,,Unspecified,"","",,,,,,,S98640220,"",,,,,Falco sparverius,amekes,Species,11913,,4.82,92,,1538,2305
143981631,Photo,American Kestrel,Falco sparverius,,Bryan Calk,2019-02-19,2019,2,19,1030,United States,US-NM-001,New Mexico,Bernalillo,Bosque Trails West of Valle de Oro NWR -- NMSLO,34.9713227,-106.6864270,Adult Female,,Unspecified,"","",,,,,,,S53484873,"",,,,,Falco sparverius,amekes,Species,11913,,4.79,120,,3268,5809
614573048,Photo,American Kestrel,Falco sparverius,,Anne Inga,2024-02-08,2024,2,8,931,United States,US-FL-115,Florida,Sarasota,Nathan Benderson Park,27.3632302,-82.4475861,"",,Unspecified,"","",,,,,,,S160958532,"",,,,,Falco sparverius,amekes,Species,11913,,4.91,53,,4063,5030
314882951,Photo,American Kestrel,Falco sparverius,,Brad Imhoff,2021-03-08,2021,3,8,1005,United States,US-OH-089,Ohio,Licking,Dry Creek Rd. (between Loudon & Burg St.),40.1177550,-82.5405070,"",,Unspecified,"","",,,,,,,S83011188,"",,,,,Falco sparverius,amekes,Species,11913,,4.79,99,,1844,2766
611758313,Photo,American Kestrel,Falco sparverius,,Anne Inga,2023-12-01,2023,12,1,702,United States,US-FL-115,Florida,Sarasota,Nathan Benderson Park,27.3632302,-82.4475861,"",,Unspecified,"","",,,,,,,S155532100,"",,,,,Falco sparverius,amekes,Species,11913,,5.00,36,,3217,3636
439107561,Photo,American Kestrel,Falco sparverius,,Bill Thompson,2022-04-23,2022,4,23,910,United States,US-RI-009,Rhode Island,Washington,Francis Carter Preserve,41.4355842,-71.6682816,"",,Unspecified,"","",,,,,,,S107808465,"",,,,,Falco sparverius,amekes,Species,11913,,4.89,45,,1402,2048
611974223,Photo,American Kestrel,Falco sparverius,,Anne Inga,2023-12-07,2023,12,7,716,United States,US-FL-115,Florida,Sarasota,Nathan Benderson Park,27.3632302,-82.4475861,"",,Unspecified,"","",,,,,,,S155896710,"",,,,,Falco sparverius,amekes,Species,11913,,5.00,31,,2532,1982
626285215,Photo,American Kestrel,Falco sparverius,,Dorian Anderson,2018-12-27,2018,12,27,700,United States,US-CA-065,California,Riverside,San Jacinto Wildlife Area,33.8854488,-117.1041040,Adult Female – 1,,Unspecified,"","",,,,,,,S51062305,"",,,,,Falco sparverius,amekes,Species,11913,,4.97,33,,2505,3758
316740561,Photo,American Kestrel,Falco sparverius,,Adam Cunningham,2021-03-14,2021,3,14,1635,United States,US-NY-061,New York,New York,Gramercy apartment,40.7365990,-73.9814410,"Adult Female – 1; Adult Male – 1","Courtship, Display, or Copulation",Unspecified,"","",,,,,,,S83412460,"",,,,Resident M/F pair. Putting on a show.,Falco sparverius,amekes,Species,11913,,4.92,39,"",1287,1934
188957541,Photo,American Kestrel,Falco sparverius,,Javier Pérez,2019-10-25,2019,10,25,1125,Chile,CL-RM-LOB,Región Metropolitana de Santiago,Lo Barnechea,Farellones,-33.3520394,-70.3129292,Adult Male – 1,,Unspecified,"","",,,,,,,S61138001,"",,,,,Falco sparverius,amekes,Species,11913,,4.75,80,,3338,5007
72782221,Photo,American Kestrel,Falco sparverius,,Gabriel Gartner,2017-08-06,2017,8,6,1810,United States,US-CA-037,California,Los Angeles,White Point Nature Preserve,33.7175910,-118.3156391,"",,Unspecified,"","",,,,,,,S38529005,"",,,,,Falco sparverius,amekes,Species,11913,,4.79,61,,1365,2048
194929171,Photo,American Kestrel,Falco sparverius,,Ryan Sanderson,2019-12-24,2019,12,24,821,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult Male – 1,,Unspecified,"","",,,,,,,S62588437,"",,,,,Falco sparverius,amekes,Species,11913,,4.83,48,,3715,5573
226627011,Photo,American Kestrel,Falco sparverius,,Jim Merritt,2020-04-23,2020,4,23,825,United States,US-CO-041,Colorado,El Paso,Hanover Road,38.5857466,-104.6365356,"",,Unspecified,"","",,,,,,,S67676359,"",,,,,Falco sparverius,amekes,Species,11913,,4.81,53,,8926,10000
539370551,Photo,American Kestrel,Falco sparverius,,Leslie Morgan,2023-02-24,2023,2,24,1100,United States,US-AZ-013,Arizona,Maricopa,Riparian Preserve at Gilbert Water Ranch,33.3614502,-111.7339478,"",,Unspecified,"","",,,,,,,S129536710,"",,,,,Falco sparverius,amekes,Species,11913,,4.85,40,,2369,3552
