ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
125030541,Photo,American Robin,Turdus migratorius,,Kyle Tansley,2018-11-24,2018,11,24,800,United States,US-VT-007,Vermont,Chittenden,Derway Island Nature Preserve,44.5341724,-73.2674849,"",,Unspecified,"","",,,,,,,S50180830,"",,,,,Turdus migratorius,amerob,Species,28313,,4.91,141,,2333,3500
87243741,Photo,American Robin,Turdus migratorius,,Daniel Irons,2018-02-21,2018,2,21,717,United States,US-MD-035,Maryland,"Queen Anne's",Big water farm (Private),38.8879430,-76.1964941,"",,Unspecified,"","",,,,,,,S43058715,"",,,,,Turdus migratorius,amerob,Species,28313,,4.89,190,,2263,3377
314181771,Photo,American Robin,Turdus migratorius,,Matthew Bode,2021-03-06,2021,3,6,1046,United States,US-VT-007,Vermont,Chittenden,Technology Park,44.4487323,-73.1444836,"",,Unspecified,"","",,,,,,,S82892404,"",,,,,Turdus migratorius,amerob,Species,28313,,4.89,161,,3451,5177
85631741,Photo,American Robin,Turdus migratorius,,Eric Gofreed,2018-02-11,2018,2,11,730,United States,US-AZ-025,Arizona,Yavapai,Spring Creek--FR 9571 Tank,34.7985632,-111.9215602,Adult Male,,Unspecified,"","",,,,,,,S42697858,"",,,,,Turdus migratorius,amerob,Species,28313,,4.87,246,,1858,2787
314184411,Photo,American Robin,Turdus migratorius,,Matthew Bode,2021-03-06,2021,3,6,1046,United States,US-VT-007,Vermont,Chittenden,Technology Park,44.4487323,-73.1444836,"",,Unspecified,"","",,,,,,,S82892404,"",,,,,Turdus migratorius,amerob,Species,28313,,4.92,114,,2941,4412
427472321,Photo,American Robin,Turdus migratorius,,Zane Shantz,2022-03-17,2022,3,17,729,Canada,CA-ON-BC,Ontario,Bruce,Bruce Peninsula--Lindsay Road 30 Fields,45.1011704,-81.4441863,"",,Unspecified,"","",,,,,,,S104996431,"",,,,,Turdus migratorius,amerob,Species,28313,,4.88,179,,2872,4308
290023681,Photo,American Robin,Turdus migratorius,,Mason Maron,2020-12-20,2020,12,20,1006,United States,US-WA-033,Washington,King,Old Maron Residence,47.5448459,-122.1207831,"",Foraging or Eating,Unspecified,"","",,,,,,,S77786760,"",,,Feeding on Hawthorn berries with a mixed flock of American Robin and Varied Thrush,,Turdus migratorius,amerob,Species,28313,,4.88,138,"",2694,4041
90403531,Photo,American Robin,Turdus migratorius,,Christoph Moning,2018-03-09,2018,3,9,1427,Canada,CA-ON-TO,Ontario,Toronto,Toronto--Colonel Samuel Smith Park,43.5910609,-79.5112485,Adult,,Unspecified,"","",,,,,,,S43519678,"",,,,,Turdus migratorius,amerob,Species,28313,,4.87,134,,2639,4218
314715921,Photo,American Robin,Turdus migratorius,,James (Jim) Holmes,2021-03-07,2021,3,7,756,United States,US-AL-081,Alabama,Lee,Auburn University--Donald E. Davis Arboretum,32.5952609,-85.4833980,Adult – 1,,Unspecified,"","",,,,,,,S82932000,"",,,,,Turdus migratorius,amerob,Species,28313,,4.93,75,,2726,3989
311213571,Photo,American Robin,Turdus migratorius,,Benjamin Hack,2021-02-22,2021,2,22,1305,United States,US-NY-109,New York,Tompkins,Cornell University--Libe Slope,42.4478600,-76.4859500,Adult Male – 1,,Unspecified,"","",,,,,,,S82163431,"",,,,Active flock happily foraging on fruiting trees at top of slope and in the warm dirt around manhole covers,Turdus migratorius,amerob,Species,28313,,4.88,108,,2410,4354
432275681,Photo,American Robin,Turdus migratorius,,Ronan Nicholson,2022-04-05,2022,4,5,937,United States,US-NC-021,North Carolina,Buncombe,Young’s Cove Road,35.5232700,-82.7128780,Adult Male – 1,,Unspecified,"","",,,,,,,S106325580,"",,,,,Turdus migratorius,amerob,Species,28313,,4.90,79,,3212,4818
214262601,Photo,American Robin,Turdus migratorius,,Jeffrey Offermann,2020-03-08,2020,3,8,948,United States,US-MA-021,Massachusetts,Norfolk,Squantum--Squantum Point Park,42.2999604,-71.0365033,Adult Male – 1,Foraging or Eating,Unspecified,"","",,,,,,,S65563367,"",,,Partially leucistic individual,Partially leucistic bird.,Turdus migratorius,amerob,Species,28313,,4.95,57,Aberrant individual,3648,5472
323552251,Photo,American Robin,Turdus migratorius,,Kyle Tansley,2021-04-06,2021,4,6,630,United States,US-VT-011,Vermont,Franklin,Black Creek WMA,44.8146289,-73.1457545,Adult – 1,,Unspecified,"","",,,,,,,S84953463,"",,,,,Turdus migratorius,amerob,Species,28313,,4.86,91,,3333,5000
617185842,Photo,American Robin,Turdus migratorius,,R Brodell,2024-04-10,2024,4,10,1000,United States,US-MA-025,Massachusetts,Suffolk,Arnold Arboretum,42.3051491,-71.1226591,"",,Unspecified,"","",,,,,,,S168025199,"",,,,,Turdus migratorius,amerob,Species,28313,,4.86,79,,2750,4125
610396711,Photo,American Robin,Turdus migratorius,,Zachary Vaughan,2023-10-26,2023,10,26,805,United States,US-PA-003,Pennsylvania,Allegheny,Frick Park,40.4307000,-79.9134000,"",,Unspecified,"","",,,,,,,S153097181,"",,,,Gorging themselves on Tupelo fruit.,Turdus migratorius,amerob,Species,28313,,4.93,55,,3948,6670
425145311,Photo,American Robin,Turdus migratorius,,Matt Felperin,2022-03-12,2022,3,12,1145,United States,US-VA-059,Virginia,Fairfax,**HUNTLEY MEADOWS PARK,38.7576451,-77.0984124,"",,Unspecified,"","",,,,,,,S104820041,"",,,,,Turdus migratorius,amerob,Species,28313,,4.88,66,,2528,3791
304296101,Photo,American Robin,Turdus migratorius,,Brad Imhoff,2021-02-04,2021,2,4,750,United States,US-OH-089,Ohio,Licking,Denison University Biological Reserve,40.0836864,-82.5186539,"",,Unspecified,"","",,,,,,,S80407857,"",,,,,Turdus migratorius,amerob,Species,28313,,4.86,71,,1810,2714
523615481,Photo,American Robin,Turdus migratorius,,Anne Inga,2023-01-13,2023,1,13,818,United States,US-FL-081,Florida,Manatee,Emerson Point Preserve,27.5320111,-82.6256604,"",,Unspecified,"","",,,,,,,S126060709,"",,,,,Turdus migratorius,amerob,Species,28313,,5.00,39,,2800,3302
192509471,Photo,American Robin,Turdus migratorius,,August Davidson-Onsgard,2019-12-08,2019,12,8,1220,United States,US-NY-047,New York,Kings,Fort Greene Park,40.6919230,-73.9754964,"",,Unspecified,"","",,,,,,,S62155591,"",,,,,Turdus migratorius,amerob,Species,28313,,4.84,85,,2847,2278
308665351,Photo,American Robin,Turdus migratorius,,Dan Hayes,2021-02-16,2021,2,16,1507,United States,US-WI-133,Wisconsin,Waukesha,Kettle Moraine SF--Stute Springs (Waukesha Co.),42.8703344,-88.5358357,"",,Unspecified,"","",,,,,,,S81772609,"",,,,,Turdus migratorius,amerob,Species,28313,,4.74,167,,3772,5658
417022071,Photo,American Robin,Turdus migratorius,,LeShun Smith,2022-02-17,2022,2,17,1108,Bermuda,BM-,Bermuda,,"5 Whaler's Hill Road, St.George's, St. George's Parish, BM (32.365, -64.666)",32.3653278,-64.6662198,"",,Unspecified,"","",,,,,,,S102785500,"",,,,,Turdus migratorius,amerob,Species,28313,,4.85,61,,1936,2904
83264091,Photo,American Robin,Turdus migratorius,,Ryan Schain,2014-04-25,2014,4,25,1645,United States,US-MA-025,Massachusetts,Suffolk,Olmsted Park--Leverett Pond,42.3287149,-71.1141286,"",,Unspecified,"","",,,,,,,S18074477,"",,,,,Turdus migratorius,amerob,Species,28313,,4.81,79,,2766,4428
597709721,Photo,American Robin,Turdus migratorius,,Martina Nordstrand,2023-07-26,2023,7,26,1506,United States,US-VA-161,Virginia,Roanoke,Bower Road,37.2423800,-80.0234341,"","",Unspecified,"","",,,,,,,S145684140,"",,,,,Turdus migratorius,amerob,Species,28313,,4.97,36,Aberrant individual,3052,4578
317015161,Photo,American Robin,Turdus migratorius,,Zane Shantz,2021-03-15,2021,3,15,1550,Canada,CA-ON-BC,Ontario,Bruce,Bruce Peninsula--Lindsay Road 30 Fields,45.1011704,-81.4441863,"",,Unspecified,"","",,,,,,,S83480163,"",,,,,Turdus migratorius,amerob,Species,28313,,4.88,50,,2503,3748
614668762,Photo,American Robin,Turdus migratorius,,Connor Cochrane,2024-02-03,2024,2,3,705,United States,US-CA-023,California,Humboldt,Jackson Ranch Rd/Samoa Blvd,40.8683470,-124.1349150,"",,Unspecified,"","",,,,,,,S160502492,"",,,,,Turdus migratorius,amerob,Species,28313,,4.97,35,,3650,5931
414322841,Photo,American Robin,Turdus migratorius,,Brad Imhoff,2022-02-04,2022,2,4,854,United States,US-OH-089,Ohio,Licking,Evergreen Hills Neighborhood,40.0920365,-82.4824430,"",,Unspecified,"","",,,,,,,S102003742,"",,,,,Turdus migratorius,amerob,Species,28313,,4.97,35,,2781,4169
147317361,Photo,American Robin,Turdus migratorius,,Kyle Tansley,2019-03-25,2019,3,25,1215,United States,US-VT-007,Vermont,Chittenden,Blair Park Rd,44.4527420,-73.1174360,"",,Unspecified,"","",,,,,,,S54219758,"",,,,"Robins were eating from berry trees in lawn, as well as foraging on the ground near hedges.",Turdus migratorius,amerob,Species,28313,,4.81,63,,2000,3000
529315771,Photo,American Robin (migratorius Group),Turdus migratorius [migratorius Group],,Connor Cochrane,2023-01-28,2023,1,28,1506,United States,US-CA-041,California,Marin,Rodeo Lagoon (including beach and offshore),37.8304863,-122.5329514,"",,Unspecified,"","",,,,,,,S127156008,"",,,,,Turdus migratorius,amerob1,Group,28315,,5.00,31,,3056,5432
84122401,Photo,American Robin,Turdus migratorius,,T I,2018-01-31,2018,1,31,1350,United States,US-IL-031,Illinois,Cook,North Shore Channel,42.0306155,-87.7098656,"",,Unspecified,"","",,,,,,,S42392333,"",,,,,Turdus migratorius,amerob,Species,28313,,4.82,61,,2053,2737
432151241,Photo,American Robin,Turdus migratorius,,Andrew Theus,2022-04-04,2022,4,4,1820,United States,US-NM-057,New Mexico,Torrance,Estancia--Arthur Park,34.7568691,-106.0614868,"",,Unspecified,"","",,,,,,,S106305565,"",,,,,Turdus migratorius,amerob,Species,28313,,4.88,42,,2877,3616
