ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
559588161,Photo,American White Pelican,Pelecanus erythrorhynchos,,Dorian Anderson,2023-01-12,2023,1,12,726,United States,US-FL-103,Florida,Pinellas,Fort De Soto Park,27.6327266,-82.7181570,Adult – 1,,Unspecified,"","",,,,,,,S125989014,"",,,,,Pelecanus erythrorhynchos,amwpel,Species,7696,,4.95,91,,3406,5106
399093381,Photo,American White Pelican,Pelecanus erythrorhynchos,,Neil Rucker,2021-12-26,2021,12,26,700,United States,US-AZ-013,Arizona,Maricopa,Riparian Preserve at Gilbert Water Ranch,33.3614502,-111.7339478,"",,Unspecified,"","",,,,,,,S99459698,"",,,,,Pelecanus erythrorhynchos,amwpel,Species,7696,,4.93,88,,4198,6297
192450401,Photo,American White Pelican,Pelecanus erythrorhynchos,,Gerrit Vyn,2019-04-26,2019,4,26,1212,United States,US-OR-035,Oregon,Klamath,Wingwatchers Lake Ewauna Nature Trail,42.2158372,-121.7888170,"",,Unspecified,"","",,,,,,,S62201884,"",,,,,Pelecanus erythrorhynchos,amwpel,Species,7696,,4.94,83,,1500,2000
340944801,Photo,American White Pelican,Pelecanus erythrorhynchos,,Andrew Boycott,2021-05-21,2021,5,21,843,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Iona Island (General),49.2213299,-123.2110997,"",,Unspecified,"","",,,,,,,S88689911,"",,,,"Exact count. Large flock in the water just off shore as we pulled into the parking lot. As we were a couple hundred meters away on the beach birds were flushed (looked to be flushed by a photog on the shore), but luckily got amazing views as they circled above us when they took flight. Group seemed to split in two with half heading NW and the other half slowly circling east, for a short period circling over inner ponds and then disappearing to the E/SE. One photo to be attached now, more to be attached later.",Pelecanus erythrorhynchos,amwpel,Species,7696,,4.94,63,,2585,3878
553537011,Photo,American White Pelican,Pelecanus erythrorhynchos,,Ryan Sanderson,2023-04-03,2023,4,3,657,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult – 1,,Unspecified,"","",,,,,,,S132597553,"",,,,,Pelecanus erythrorhynchos,amwpel,Species,7696,,4.96,52,,4765,5956
318409061,Photo,American White Pelican,Pelecanus erythrorhynchos,,Ryan Sanderson,2021-03-14,2021,3,14,748,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult – 1,,Unspecified,"","",,,,,,,S83381199,"",,,,"I counted 278 individually on the reservoir from my car, however several were blocked by the boat rental building.",Pelecanus erythrorhynchos,amwpel,Species,7696,,4.89,75,,3316,4972
560016151,Photo,American White Pelican,Pelecanus erythrorhynchos,,Dorian Anderson,2023-01-12,2023,1,12,726,United States,US-FL-103,Florida,Pinellas,Fort De Soto Park,27.6327266,-82.7181570,"",,Unspecified,"","",,,,,,,S125989014,"",,,,,Pelecanus erythrorhynchos,amwpel,Species,7696,,4.92,60,,4862,7289
229543691,Photo,American White Pelican,Pelecanus erythrorhynchos,,Mason Maron,2020-04-18,2020,4,18,1751,United States,US-WA-003,Washington,Asotin,Swallows Park,46.3902208,-117.0463657,"",,Unspecified,"","",,,,,,,S67438640,"",,,,,Pelecanus erythrorhynchos,amwpel,Species,7696,,4.82,107,,2438,3657
411365471,Photo,American White Pelican,Pelecanus erythrorhynchos,,Will Sweet,2022-01-30,2022,1,30,1159,United States,US-CA-059,California,Orange,"Carr Park, Huntington Beach",33.7215912,-118.0229902,"",Foraging or Eating,Unspecified,"","",,,,,,,S101736550,"",,,,,Pelecanus erythrorhynchos,amwpel,Species,7696,,4.84,81,"",3106,4796
318411841,Photo,American White Pelican,Pelecanus erythrorhynchos,,Ryan Sanderson,2021-03-14,2021,3,14,748,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult – 1,,Unspecified,"","",,,,,,,S83381199,"",,,,"I counted 278 individually on the reservoir from my car, however several were blocked by the boat rental building.",Pelecanus erythrorhynchos,amwpel,Species,7696,,4.89,56,,4808,4808
