ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
296869321,Photo,"Anna's Hummingbird",Calypte anna,,Ryan Sanderson,2021-01-10,2021,1,10,756,United States,US-IN-089,Indiana,Lake,"stakeout Anna's Hummingbird, Highland (2020)",41.5503550,-87.4435370,Adult Male – 1,Flying,Unspecified,"","",,,,,,,S79100095,"",,,,Continuing male,Calypte anna,annhum,Species,4758,,4.94,366,"",2489,3731
296862641,Photo,"Anna's Hummingbird",Calypte anna,,Ryan Sanderson,2021-01-10,2021,1,10,756,United States,US-IN-089,Indiana,Lake,"stakeout Anna's Hummingbird, Highland (2020)",41.5503550,-87.4435370,Adult Male – 1,Flying,Unspecified,"","",,,,,,,S79100095,"",,,,Continuing male,Calypte anna,annhum,Species,4758,,4.97,150,"",4415,6618
409655461,Photo,"Anna's Hummingbird",Calypte anna,,Will Sweet,2022-01-25,2022,1,25,845,United States,US-CA-037,California,Los Angeles,Colorado Lagoon,33.7711322,-118.1334941,Adult Male – 1,,Unspecified,"","",,,,,,,S101429873,"",,,,,Calypte anna,annhum,Species,4758,,4.96,136,,1090,1600
397919471,Photo,"Anna's Hummingbird",Calypte anna,,Blair Dudeck,2021-12-13,2021,12,13,1027,Canada,CA-BC-NA,British Columbia,Nanaimo,Nanaimo River Estuary,49.1346003,-123.8946957,Adult Male – 1,Vocalizing,Unspecified,"","",,,,,,,S98902232,"",,,,,Calypte anna,annhum,Species,4758,,4.95,149,"",2557,3836
522098771,Photo,"Anna's Hummingbird",Calypte anna,,Connor Cochrane,2023-01-08,2023,1,8,1133,United States,US-CA-041,California,Marin,Tomales (town),38.2472630,-122.9058371,Adult Male – 1,Flying,Unspecified,"","",,,,,,,S125754222,"",,,,,Calypte anna,annhum,Species,4758,,4.99,101,"",3174,5643
45345081,Photo,"Anna's Hummingbird",Calypte anna,,Kyle Blaney,2013-03-02,2013,3,2,1420,United States,US-CA-097,California,Sonoma,Doran Regional Park - entrance pond to jetty,38.3146057,-123.0438066,"",,Unspecified,"","",,,,,,,S13347123,"",,,,,Calypte anna,annhum,Species,4758,,4.88,320,,1500,1000
117114791,Photo,"Anna's Hummingbird",Calypte anna,,Ian Routley,2018-10-01,2018,10,1,1020,Canada,CA-BC-SL,British Columbia,Squamish-Lillooet,Lillooet--Pineridge Road,50.6844157,-121.9146319,Adult Male,,Unspecified,"","",,,,,,,S48879091,"",,,,,Calypte anna,annhum,Species,4758,,4.95,119,,1422,2100
281511051,Photo,"Anna's Hummingbird",Calypte anna,,Mason Maron,2020-03-31,2020,3,31,1500,United States,US-WA-033,Washington,King,Old Maron Residence,47.5448459,-122.1207831,"",,Unspecified,"","",,,,,,,S66458836,"",,,Stretching,,Calypte anna,annhum,Species,4758,,4.98,92,,2615,4212
396948151,Photo,"Anna's Hummingbird",Calypte anna,,Mason Maron,2021-12-18,2021,12,18,946,United States,US-WA-033,Washington,King,Old Maron Residence,47.5448459,-122.1207831,Adult Male – 1,,Unspecified,"","",,,,,,,S99048020,"",,,,,Calypte anna,annhum,Species,4758,,4.95,108,,2651,4241
167838031,Photo,"Anna's Hummingbird",Calypte anna,,Bryan Calk,2019-05-12,2019,5,12,1414,Canada,CA-BC-CP,British Columbia,Capital,Victoria Airport--Canora Rd. overlook,48.6456784,-123.4169682,Adult Male,,Unspecified,"","",,,,,,,S56233909,"",,,,,Calypte anna,annhum,Species,4758,,4.90,179,,2416,4295
