ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
44317071,Photo,Bald Eagle,Haliaeetus leucocephalus,,Scott Heidorn,2013-06-22,2013,6,22,1300,United States,US-AK-063,Alaska,Chugach Census Area,Whittier,60.7730560,-148.6838890,"",,Unspecified,"","",,,,,,,S27220068,"",,,,,Haliaeetus leucocephalus,baleag,Species,8271,,4.90,670,,1365,2048
285750511,Photo,Bald Eagle,Haliaeetus leucocephalus,,Mason Maron,2020-12-05,2020,12,5,1405,United States,US-WA-061,Washington,Snohomish,Edmonds Waterfront,47.8119268,-122.3854144,"",Flying,Unspecified,"","",,,,,,,S77112614,"",,,,,Haliaeetus leucocephalus,baleag,Species,8271,,4.92,234,"",2785,4179
285750461,Photo,Bald Eagle,Haliaeetus leucocephalus,,Mason Maron,2020-12-05,2020,12,5,1405,United States,US-WA-061,Washington,Snohomish,Edmonds Waterfront,47.8119268,-122.3854144,"",Flying,Unspecified,"","",,,,,,,S77112614,"",,,,,Haliaeetus leucocephalus,baleag,Species,8271,,4.95,153,"",2771,4156
44317081,Photo,Bald Eagle,Haliaeetus leucocephalus,,Scott Heidorn,2013-06-22,2013,6,22,1300,United States,US-AK-063,Alaska,Chugach Census Area,Whittier,60.7730560,-148.6838890,"",,Unspecified,"","",,,,,,,S27220068,"",,,,,Haliaeetus leucocephalus,baleag,Species,8271,,4.88,428,,1365,2048
302665641,Photo,Bald Eagle,Haliaeetus leucocephalus,,Evan Larson,2021-01-30,2021,1,30,854,Canada,CA-BC-GV,British Columbia,Metro Vancouver,"Boundary Bay - 104th St., Delta",49.0767445,-122.9350166,"",,Unspecified,"","",,,,,,,S80134278,"",,,,,Haliaeetus leucocephalus,baleag,Species,8271,,4.93,148,,2931,4396
467371931,Photo,Bald Eagle,Haliaeetus leucocephalus,"Larus occidentalis -- Western Gull; Uria aalge -- Common Murre",Sam  Eberhard,2022-07-14,2022,7,14,639,United States,US-OR-007,Oregon,Clatsop,Haystack Rock,45.8847357,-123.9683104,Adult – 1,Carrying Food,Unspecified,"","",,,,,,,S115053606,"",,,with COMU from the top of haystack rock,,Haliaeetus leucocephalus,baleag,Species,8271,,4.90,171,"",2663,3995
420273491,Photo,Bald Eagle,Haliaeetus leucocephalus,,Cesar Ponce,2022-02-26,2022,2,26,1550,Canada,CA-ON-HT,Ontario,Halton,Burlington--LaSalle Park/Marina,43.3022040,-79.8444060,"",,Unspecified,"","",,,,,,,S103791996,"",,,,,Haliaeetus leucocephalus,baleag,Species,8271,,4.91,147,,2208,4528
424032801,Photo,Bald Eagle,Haliaeetus leucocephalus,,Yousif Attia,2020-12-20,2020,12,20,900,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Delta—Burns Bog Landfill (Restricted Access),49.1000000,-122.9955556,"",,Unspecified,"","",,,,,,,S77814310,"",,,,Conservative estimate.,Haliaeetus leucocephalus,baleag,Species,8271,,5.00,63,,2425,3637
31692591,Photo,Bald Eagle,Haliaeetus leucocephalus,,Ian Davies,2012-07-15,2012,7,15,1153,United States,US-AK-122,Alaska,Kenai Peninsula Borough,Anchor Point,59.7790573,-151.8633485,Adult,,Unspecified,"","",,,,,,,S11159549,"",,,,,Haliaeetus leucocephalus,baleag,Species,8271,,4.88,129,,3049,4582
500727191,Photo,Bald Eagle,Haliaeetus leucocephalus,,Brad Imhoff,2022-11-04,2022,11,4,1757,United States,US-OH-089,Ohio,Licking,Buckeye Lake SP--North Shore,39.9322696,-82.4780355,Adult – 1,"Carrying Food; Flying",Unspecified,"","",,,,,,,S121858883,"",,,,,Haliaeetus leucocephalus,baleag,Species,8271,,4.98,61,"",1683,2524
