ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
240408841,Photo,Barn Swallow,Hirundo rustica,,Ryan Sanderson,2020-05-27,2020,5,27,939,United States,US-IN-097,Indiana,Marion,Fort Harrison SP,39.8716060,-86.0251808,"",,Unspecified,"","",,,,,,,S69709661,"",,,,,Hirundo rustica,barswa,Species,23957,,4.94,331,,2037,3055
240409051,Photo,Barn Swallow,Hirundo rustica,,Ryan Sanderson,2020-05-27,2020,5,27,939,United States,US-IN-097,Indiana,Marion,Fort Harrison SP,39.8716060,-86.0251808,"",,Unspecified,"","",,,,,,,S69709661,"",,,,,Hirundo rustica,barswa,Species,23957,,4.94,162,,2125,3187
614230600,Photo,Barn Swallow,Hirundo rustica,,Deepak Budhathoki 🦉,2024-01-31,2024,1,31,1414,Nepal,NP-3-BHA,Bagmati,Bhaktapur,Manohara River,27.7000398,85.3900227,"",,Unspecified,"","",,,,,,,S160280610,"",,,,,Hirundo rustica,barswa,Species,23957,,4.99,101,,4098,6146
240894841,Photo,Barn Swallow,Hirundo rustica,,Ryan Sanderson,2020-06-03,2020,6,3,643,United States,US-IN-097,Indiana,Marion,Fort Harrison SP,39.8716060,-86.0251808,"Adult Female – 1; Adult Male – 1","Courtship, Display, or Copulation",Unspecified,"","",,,,,,,S70006887,"",,,,,Hirundo rustica,barswa,Species,23957,,4.96,81,"",1886,2829
317440141,Photo,Barn Swallow,Hirundo rustica,,Yeray Seminario,2019-08-12,2019,8,12,1326,Spain,ES-AN-CD,Andalucía,Cádiz,Suertetierra,36.0288229,-5.5737970,Adult Female – 1,"Feeding Young; Flying",Unspecified,"","",,,,,,,S58934032,"",,,,,Hirundo rustica,barswa,Species,23957,,4.86,180,"",1280,1920
252543321,Photo,Barn Swallow,Hirundo rustica,,Ryan Sanderson,2020-07-30,2020,7,30,1937,United States,US-IN-097,Indiana,Marion,Fort Harrison SP,39.8716060,-86.0251808,Juvenile – 1,Foraging or Eating,Unspecified,"","",,,,,,,S71967637,"",,,,,Hirundo rustica,barswa,Species,23957,,4.86,140,"",2670,4005
585276821,Photo,Barn Swallow,Hirundo rustica,,Matthew Addicks,2023-06-15,2023,6,15,1745,United States,US-MD-005,Maryland,Baltimore,Loch Raven Reservoir & Watershed,39.4507752,-76.5686989,"",,Unspecified,"","",,,,,,,S141733402,"",,,,,Hirundo rustica,barswa,Species,23957,,4.97,62,,2721,3281
461611421,Photo,Barn Swallow,Hirundo rustica,,Matthew Addicks,2022-06-21,2022,6,21,1708,United States,US-MD-005,Maryland,Baltimore,Marshy Point Nature Center,39.3484696,-76.3705373,"",,Unspecified,"","",,,,,,,S113537218,"",,,,,Hirundo rustica,barswa,Species,23957,,4.91,77,,1564,2083
556812611,Photo,Barn Swallow,Hirundo rustica,,Miguel Rouco,2023-04-12,2023,4,12,708,Spain,ES-CL-SL,Castilla y León,Salamanca,Azud de Riolobos,40.9990751,-5.3025127,"",,Unspecified,"","",,,,,,,S133485515,"",,,,,Hirundo rustica,barswa,Species,23957,,5.00,48,,1666,2500
240593201,Photo,Barn Swallow,Hirundo rustica,,Marky Mutchler,2020-06-02,2020,6,2,645,United States,US-MO-081,Missouri,Harrison,Dunn Ranch,40.4990000,-94.0990000,"",,Unspecified,"","",,,,,,,S69973121,"",,,,,Hirundo rustica,barswa,Species,23957,,4.86,92,,2553,4287
