ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
183272851,Photo,Barred Owl,Strix varia,,Kyle Tansley,2019-10-19,2019,10,19,1130,United States,US-VT-007,Vermont,Chittenden,Lone Rock Point / North Beach,44.4910591,-73.2469056,"",,Unspecified,"","",,,,,,,S60761352,"",,,,"Continuing bird, hunting along the bikepath. I spent from 11:40am to 5:30pm with this bird today. It ate 4 snakes: 1 huge one, and 3 smaller ones. It was 4/7 in hunting tries (4 successes, 3 tries came up empty handed). It was mostly hunting from 11:40 to around 4pm, and then napped from around 4pm to 5:30pm. At 5:30 it stretched and preened and flew off deeper into the woods, at which time I ceased birding.   Throughout the day, many people stopped to observe the bird. This owl is chill as hell and seems to be very used to human presence. I think it uses the bike path traffic as a way to find prey that gets stirred up. Awesome bird.   Photos coming.",Strix varia,brdowl,Species,9117,,4.95,418,,3712,5568
274833311,Photo,Barred Owl,Strix varia,,Paul Jones,2020-10-26,2020,10,26,1800,Canada,CA-ON-PE,Ontario,Prince Edward,Prince Edward Point  NWA--Prince Edward Point Bird Observatory,43.9391343,-76.8611455,"",,Unspecified,"","",,,,,,,S75466142,"",,,,,Strix varia,brdowl,Species,9117,,4.94,444,,2333,3500
247504741,Photo,Barred Owl,Strix varia,,mark daly,2019-03-08,2019,3,8,0,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Capilano Canyon,49.3426222,-123.1167427,Adult – 1,,Unspecified,"","",,,,,,,S71109749,"",,,,,Strix varia,brdowl,Species,9117,,4.94,259,,2702,4300
213406881,Photo,Barred Owl,Strix varia,,Max Nootbaar,2020-03-03,2020,3,3,824,United States,US-VA-003,Virginia,Albemarle,Doyles River Falls,38.2412677,-78.6894121,"",,Unspecified,"","",,,,,,,S65396299,"",,,,Extremely cooperative individual,Strix varia,brdowl,Species,9117,,4.94,191,,3448,5113
489643031,Photo,Barred Owl,Strix varia,,Ryan Sanderson,2022-10-01,2022,10,1,1826,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult – 1,,Unspecified,"","",,,,,,,S119802347,"",,,,,Strix varia,brdowl,Species,9117,,4.95,145,,5253,7875
183272771,Photo,Barred Owl,Strix varia,,Kyle Tansley,2019-10-19,2019,10,19,1130,United States,US-VT-007,Vermont,Chittenden,Lone Rock Point / North Beach,44.4910591,-73.2469056,"",,Unspecified,"","",,,,,,,S60761352,"",,,,"Continuing bird, hunting along the bikepath. I spent from 11:40am to 5:30pm with this bird today. It ate 4 snakes: 1 huge one, and 3 smaller ones. It was 4/7 in hunting tries (4 successes, 3 tries came up empty handed). It was mostly hunting from 11:40 to around 4pm, and then napped from around 4pm to 5:30pm. At 5:30 it stretched and preened and flew off deeper into the woods, at which time I ceased birding.   Throughout the day, many people stopped to observe the bird. This owl is chill as hell and seems to be very used to human presence. I think it uses the bike path traffic as a way to find prey that gets stirred up. Awesome bird.   Photos coming.",Strix varia,brdowl,Species,9117,,4.93,150,,2851,4276
395994801,Photo,Barred Owl,Strix varia,,Dorian Anderson,2021-10-25,2021,10,25,1246,United States,US-NH-015,New Hampshire,Rockingham,Hampton WTP (Restricted Access),42.9249412,-70.8171186,"",,Unspecified,"","",,,,,,,S96695613,"",,,,Flushed it when I stopped to take a leak in the thicket behind skate park down the street!,Strix varia,brdowl,Species,9117,,4.94,133,,5771,4617
397582261,Photo,Barred Owl,Strix varia,,Dorian Anderson,2021-10-25,2021,10,25,1246,United States,US-NH-015,New Hampshire,Rockingham,Hampton WTP (Restricted Access),42.9249412,-70.8171186,"",,Unspecified,"","",,,,,,,S96695613,"",,,,Flushed it when I stopped to take a leak in the thicket behind skate park down the street!,Strix varia,brdowl,Species,9117,,4.98,89,,2485,3725
311948691,Photo,Barred Owl,Strix varia,,Blair Dudeck,2020-11-03,2020,11,3,1315,Canada,CA-ON-PE,Ontario,Prince Edward,Prince Edward Point  NWA--Prince Edward Point Bird Observatory,43.9391343,-76.8611455,"",,Unspecified,"","",,,,,,,S75805512,"",,,,,Strix varia,brdowl,Species,9117,,4.90,171,,4314,6471
517294981,Photo,Barred Owl,Strix varia,,Rain Saulnier,2022-12-25,2022,12,25,918,Canada,CA-ON-FR,Ontario,Frontenac,Kingston--Lemoine Point CA,44.2258204,-76.6120847,"",,Unspecified,"","",,,,,,,S124585102,"",,,,Christmas Day brought me this snowy scene,Strix varia,brdowl,Species,9117,,4.92,118,,1365,2048
