ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
366925301,Photo,Belted Kingfisher,Megaceryle alcyon,,Grace C,2021-09-05,2021,9,5,827,United States,US-VT-021,Vermont,Rutland,BNC (Private properties within 5 mi.),43.4569605,-73.1618786,"",,Unspecified,"","",,,,,,,S94221252,"",,,,,Megaceryle alcyon,belkin1,Species,10202,,4.94,150,,2735,4111
474434481,Photo,Belted Kingfisher,Megaceryle alcyon,,Annie Lavoie,2022-08-11,2022,8,11,700,Canada,CA-QC-FS,Quebec,Le Fjord-du-Saguenay,"Saint-Félix-d'Otis - Chalet",48.2932970,-70.6376780,"",,Unspecified,"","",,,,,,,S116735336,"",,,,,Megaceryle alcyon,belkin1,Species,10202,,4.96,114,,2528,4036
387808861,Photo,Belted Kingfisher,Megaceryle alcyon,,Mason Maron,2021-11-13,2021,11,13,1406,United States,US-WA-075,Washington,Whitman,"South Fork Palouse River Walkway, Pullman",46.7299903,-117.1774160,Adult Female – 1,Vocalizing,Unspecified,"","",,,,,,,S97538674,"",,,Bird was harassing a Great Blue Heron fishing in the creek below it.,"Harassing a GBHE. Evidently, not willing to share the fish.",Megaceryle alcyon,belkin1,Species,10202,,4.94,130,"",2404,4273
368173031,Photo,Belted Kingfisher,Megaceryle alcyon,,Brad Imhoff,2021-09-09,2021,9,9,927,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,Adult Female – 1,,Unspecified,"","",,,,,,,S94409016,"",,,"Lined it up with shadows in the background, which gives it the near-solid-black backdrop.",,Megaceryle alcyon,belkin1,Species,10202,,4.89,146,,2223,3333
331654391,Photo,Belted Kingfisher,Megaceryle alcyon,,Brad Imhoff,2021-04-29,2021,4,29,834,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,Adult Male – 1,,Unspecified,"","",,,,,,,S86645694,"",,,,,Megaceryle alcyon,belkin1,Species,10202,,4.93,97,,1405,2107
350531151,Photo,Belted Kingfisher,Megaceryle alcyon,,Tom Warren,2021-06-26,2021,6,26,1800,United States,US-NY-119,New York,Westchester,"The Landing, Dobbs Ferry",41.0185489,-73.8786125,"",,Unspecified,"","",,,,,,,S90841206,"",,,,,Megaceryle alcyon,belkin1,Species,10202,,4.95,73,,2001,2661
609974139,Photo,Belted Kingfisher,Megaceryle alcyon,,Karim Bouzidi,2023-08-29,2023,8,29,1545,Canada,CA-QC-CP,Quebec,Longueuil,"Arboretum, Parcs de la Frayère et des Voiles",45.6469012,-73.4426296,"",,Unspecified,"","",,,,,,,S152311116,"",,,,pêche un goby devant la cache,Megaceryle alcyon,belkin1,Species,10202,,4.89,88,,3314,4971
411419191,Photo,Belted Kingfisher,Megaceryle alcyon,,Blair Dudeck,2022-01-29,2022,1,29,1442,Canada,CA-BC-CO,British Columbia,Central Okanagan,"Kelowna--Sunset Drive Park (Lower Brandt's Creek)",49.8967035,-119.4956598,"",,Unspecified,"","",,,,,,,S101755829,"",,,,,Megaceryle alcyon,belkin1,Species,10202,,4.92,60,,1729,2766
124525731,Photo,Belted Kingfisher,Megaceryle alcyon,,Baxter Beamer,2018-11-17,2018,11,17,1328,United States,US-NC-055,North Carolina,Dare,Alligator River NWR,35.8640750,-75.8620100,"",,Unspecified,"","",,,,,,,S50046821,"",,,,,Megaceryle alcyon,belkin1,Species,10202,,4.82,100,,2262,3393
366438801,Photo,Belted Kingfisher,Megaceryle alcyon,,Brad Imhoff,2021-09-02,2021,9,2,1116,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,"",,Unspecified,"","",,,,,,,S94074944,"",,,,,Megaceryle alcyon,belkin1,Species,10202,,4.84,90,,1604,2405
