ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
161848141,Photo,Black-billed Cuckoo,Coccyzus erythropthalmus,,Kyle Tansley,2019-05-30,2019,5,30,1805,United States,US-VT-007,Vermont,Chittenden,Ethan Allen Homestead,44.5072762,-73.2311241,"",,Unspecified,"","",,,,,,,S56914663,"",,,,Lifer!  Seen very briefly in the apple trees by the house/office.,Coccyzus erythropthalmus,bkbcuc,Species,3193,,4.92,100,,2689,4302
450566571,Photo,Black-billed Cuckoo,Coccyzus erythropthalmus,,Zane Shantz,2022-05-14,2022,5,14,630,Canada,CA-ON-BC,Ontario,Bruce,Bruce Peninsula--Lindsay Road 30 Fields,45.1011704,-81.4441863,"",,Unspecified,"","",,,,,,,S110043720,"",,,,"FOY, pic",Coccyzus erythropthalmus,bkbcuc,Species,3193,,4.85,161,,3571,5356
226387741,Photo,Black-billed Cuckoo,Coccyzus erythropthalmus,,Zak Pohlen,2013-05-23,2013,5,23,700,United States,US-ME-013,Maine,Knox,Metinic Island,43.8874083,-69.1246676,"",,Unspecified,"","",,,,,,,S14303352,"",,,,,Coccyzus erythropthalmus,bkbcuc,Species,3193,,4.93,57,,1440,2400
466154481,Photo,Black-billed Cuckoo,Coccyzus erythropthalmus,,Matt Felperin,2022-06-11,2022,6,11,745,United States,US-MD-023,Maryland,Garrett,Good Hope Rd. (Garrett Co.),39.6795337,-79.4159628,"",,Unspecified,"","",,,,,,,S112670578,"",,,,,Coccyzus erythropthalmus,bkbcuc,Species,3193,,4.85,82,,1664,2495
99435341,Photo,Black-billed Cuckoo,Coccyzus erythropthalmus,,Joshua Covill,2018-05-10,2018,5,10,802,United States,US-OH-095,Ohio,Lucas,Magee Marsh (Lucas Co.),41.6265199,-83.1889691,"",,Unspecified,"","",,,,,,,S45522265,"",,,,Holy shit!! Lifer!!,Coccyzus erythropthalmus,bkbcuc,Species,3193,,4.76,58,,1280,1920
459767331,Photo,Black-billed Cuckoo,Coccyzus erythropthalmus,,Luke Seitz,2022-05-22,2022,5,22,531,United States,US-ME-015,Maine,Lincoln,Monhegan Island,43.7657055,-69.3131265,"",,Unspecified,"","",,,,,,,S113010772,"",,,,,Coccyzus erythropthalmus,bkbcuc,Species,3193,,4.77,53,,2980,5063
161659151,Photo,Black-billed Cuckoo,Coccyzus erythropthalmus,,Paul Poronto,2019-05-29,2019,5,29,1600,United States,US-MI-099,Michigan,Macomb,Teller Rd. at 28 Mile Rd.,42.7463361,-82.9125385,"",,Unspecified,"","",,,,,,,S56879094,"",,,,,Coccyzus erythropthalmus,bkbcuc,Species,3193,,4.73,56,,2320,3408
564393201,Photo,Black-billed Cuckoo,Coccyzus erythropthalmus,,Stephen Davies,2023-04-29,2023,4,29,605,United States,US-MD-031,Maryland,Montgomery,Blue Mash Nature Trail,39.1939588,-77.1060175,Adult – 1,,Unspecified,"","",,,,,,,S135388693,"",,,,"First heard singing briefly around 0610 soon after I got out of the car - rapid “po po po po” series, rising then falling slightly in pitch, repeated several times, but ended by the time I had recorder ready. Tracked it down later. Photos.",Coccyzus erythropthalmus,bkbcuc,Species,3193,,4.90,31,,3387,5081
57906341,Photo,Black-billed Cuckoo,Coccyzus erythropthalmus,,Christopher Sloan,2017-05-13,2017,5,13,700,United States,US-TN-037,Tennessee,Davidson,Radnor Lake SP,36.0602989,-86.8016968,Adult,,Unspecified,"","",,,,,,,S36793863,"",,,,,Coccyzus erythropthalmus,bkbcuc,Species,3193,,4.72,50,,1372,2057
466154491,Photo,Black-billed Cuckoo,Coccyzus erythropthalmus,,Matt Felperin,2022-06-11,2022,6,11,745,United States,US-MD-023,Maryland,Garrett,Good Hope Rd. (Garrett Co.),39.6795337,-79.4159628,"",,Unspecified,"","",,,,,,,S112670578,"",,,,,Coccyzus erythropthalmus,bkbcuc,Species,3193,,4.86,29,,1736,2602
327824711,Photo,Black-billed Cuckoo,Coccyzus erythropthalmus,,Jason Vassallo,2021-04-14,2021,4,14,1228,United States,US-TX-071,Texas,Chambers,Anahuac NWR (UTC 049),29.6148414,-94.5344353,"",,Unspecified,"","",,,,,,,S85629892,"",,,,Really surprised to see fly across road and hang out in reeds along Shoveler Pond loop,Coccyzus erythropthalmus,bkbcuc,Species,3193,,4.71,38,,1604,2017
160329871,Photo,Black-billed Cuckoo,Coccyzus erythropthalmus,,Tom Murray,2019-05-22,2019,5,22,1536,United States,US-MA-017,Massachusetts,Middlesex,"Heald Street Orchard, Pepperell",42.6710520,-71.6222690,"",,Unspecified,"","",,,,,,,S56630894,"",,,,,Coccyzus erythropthalmus,bkbcuc,Species,3193,,4.67,45,,1200,1500
342131541,Photo,Black-billed Cuckoo,Coccyzus erythropthalmus,,Ezra J. Campanelli,2021-05-16,2021,5,16,555,Canada,CA-ON-ES,Ontario,Essex,Point Pelee National Park (general location),41.9553986,-82.5139999,"",,Unspecified,"","",,,,,,,S88529415,"",,,,,Coccyzus erythropthalmus,bkbcuc,Species,3193,,4.91,23,,2467,3701
131144131,Photo,Black-billed Cuckoo,Coccyzus erythropthalmus,,Graham Montgomery,2015-04-27,2015,4,27,1600,United States,US-TX-167,Texas,Galveston,High Island--Boy Scout Woods (UTC 055),29.5613445,-94.3902236,"",,Unspecified,"","",,,,,,,S23103342,"",,,,,Coccyzus erythropthalmus,bkbcuc,Species,3193,,4.95,21,,2266,3399
99435351,Photo,Black-billed Cuckoo,Coccyzus erythropthalmus,,Joshua Covill,2018-05-10,2018,5,10,802,United States,US-OH-095,Ohio,Lucas,Magee Marsh (Lucas Co.),41.6265199,-83.1889691,"",,Unspecified,"","",,,,,,,S45522265,"",,,,Holy shit!! Lifer!!,Coccyzus erythropthalmus,bkbcuc,Species,3193,,4.78,23,,1280,1920
306455881,Video,Black-billed Cuckoo,Coccyzus erythropthalmus,,"Alix d'Entremont",2016-07-13,2016,7,13,1900,Canada,CA-NS-YA,Nova Scotia,Yarmouth,NS--Yar--West Pubnico--292 Abbotts Harbour Road,43.6606071,-65.8169568,"","Song; Vocalizing",Used,"","",,,Nikon D7000,,,,S30675524,"",,,,"My father (Arthur d'Entremont) heard it this morning. It was still singing in the evening and I was able to get a photo and video.",Coccyzus erythropthalmus,bkbcuc,Species,3193,,4.94,17,"",,
568241871,Photo,Black-billed Cuckoo,Coccyzus erythropthalmus,,Ryan Sanderson,2023-05-06,2023,5,6,641,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult – 1,,Unspecified,"","",,,,,,,S136305866,"",,,,,Coccyzus erythropthalmus,bkbcuc,Species,3193,,4.84,19,,2736,4104
575376431,Photo,Black-billed Cuckoo,Coccyzus erythropthalmus,,Peter Hawrylyshyn,2023-05-21,2023,5,21,815,Canada,CA-ON-YO,Ontario,York,Holland Landing Sewage Lagoons,44.1180324,-79.4809341,Adult – 1,"",Unspecified,"","",,,,,,,S138700676,"",,,,,Coccyzus erythropthalmus,bkbcuc,Species,3193,,4.80,20,Habitat,1982,2972
