ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
272907441,Photo,Black-billed Magpie,Pica hudsonia,,Mason Maron,2020-10-19,2020,10,19,844,United States,US-WA-075,Washington,Whitman,Koppel Community Gardens,46.7225861,-117.1681595,"",,Unspecified,"","",,,,,,,S75096161,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.88,69,,2682,4770
320849621,Photo,Black-billed Magpie,Pica hudsonia,,Joshua Little,2021-03-25,2021,3,25,1628,United States,US-OR-061,Oregon,Union,River Ln.--wetland pond,45.0105237,-117.9494757,"",,Unspecified,"","",,,,,,,S84094577,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.92,50,,3202,4802
375489631,Photo,Black-billed Magpie,Pica hudsonia,,Aaron Roberge,2021-10-05,2021,10,5,900,Canada,CA-AB-SI,Alberta,Calgary,Calgary--Arad Park,51.1365819,-114.2232642,Immature – 1,,Unspecified,"","",,,,,,,S95657257,"",,,,One with a blue-eye?,Pica hudsonia,bkbmag1,Species,21252,,4.85,66,,2067,3100
220098041,Photo,Black-billed Magpie,Pica hudsonia,,Jim Merritt,2020-03-31,2020,3,31,729,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S66434914,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.85,52,,8407,10000
208503291,Photo,Black-billed Magpie,Pica hudsonia,,Jim Merritt,2020-02-10,2020,2,10,721,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S64333406,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.74,77,,7724,10000
433398181,Photo,Black-billed Magpie,Pica hudsonia,,Blair Dudeck,2022-04-07,2022,4,7,735,Canada,CA-BC-CO,British Columbia,Central Okanagan,Kelowna--Munson Pond,49.8640484,-119.4603539,Adult – 1,Flying,Unspecified,"","",,,,,,,S106504795,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.90,31,"",3379,5406
272051501,Photo,Black-billed Magpie,Pica hudsonia,,Jim Merritt,2020-10-17,2020,10,17,1404,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S74994941,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.82,38,,2558,3320
511782131,Photo,Black-billed Magpie,Pica hudsonia,,Brian Genge,2022-12-09,2022,12,9,709,United States,US-CO-059,Colorado,Jefferson,Lakewood Park,39.7139820,-105.1072180,"",,Unspecified,"","",,,,,,,S123682851,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.70,61,,2000,3345
415625471,Photo,Black-billed Magpie,Pica hudsonia,,Steve Wickliffe,2022-01-13,2022,1,13,1302,United States,US-MT-023,Montana,Deer Lodge,Racetrack Rd to Deer Lodge County Line,46.2233940,-112.8497500,"",Foraging or Eating,Unspecified,"","",,,,,,,S100669425,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,5.00,21,"",3380,4507
304082011,Photo,Black-billed Magpie,Pica hudsonia,,Ryan Sanderson,2020-09-01,2020,9,1,715,United States,US-CO-069,Colorado,Larimer,Rocky Mountain NP--Sheep Lakes,40.4040445,-105.6209724,Adult – 1,,Unspecified,"","",,,,,,,S73087383,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.82,33,,4521,6779
59833121,Photo,Black-billed Magpie,Pica hudsonia,,Darlene Shymkiw,2017-05-27,2017,5,27,730,Canada,CA-AB-SI,Alberta,Calgary,Calgary--Inglewood Bird Sanctuary,51.0303540,-114.0099200,"",,Unspecified,"","",,,,,,,S37280121,"",,,Magpie seen trying to catch brown bat,,Pica hudsonia,bkbmag1,Species,21252,,4.83,23,,534,800
45928611,Photo,Black-billed Magpie,Pica hudsonia,,David Disher,2012-06-23,2012,6,23,1000,United States,US-CO-069,Colorado,Larimer,Rocky Mountain NP--Cow Creek,40.4268200,-105.5249940,Adult,,Unspecified,"","",,,,,,,S11029888,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.63,41,,2400,3600
424933081,Photo,Black-billed Magpie,Pica hudsonia,,Ethan Denton,2022-03-09,2022,3,9,1102,Canada,CA-AB-EL,Alberta,Edmonton,Parc-des-fantôme,53.5453513,-113.6105301,"",,Unspecified,"","",,,,,,,S104500915,"",,,The Ghost,,Pica hudsonia,bkbmag1,Species,21252,,4.94,18,,1933,2900
126383221,Photo,Black-billed Magpie,Pica hudsonia,,Bryan Calk,2018-11-24,2018,11,24,1005,United States,US-CO-069,Colorado,Larimer,"Estes Park--South Navy Hill Road (40.381, -105.603)",40.3806061,-105.6030838,"",,Unspecified,"","",,,,,,,S50382604,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.52,56,,2644,3966
617565176,Photo,Black-billed Magpie,Pica hudsonia,,Cameron Hunter,2024-01-11,2024,1,11,1215,Canada,CA-AB-SI,Alberta,Calgary,Private (Paskapoo),51.0810720,-114.2231410,"",Foraging or Eating,Unspecified,"","",,,,,,,S158701337,"",,,Partial Leucism,,Pica hudsonia,bkbmag1,Species,21252,,4.89,18,Aberrant individual,3461,5202
516453391,Photo,Black-billed Magpie,Pica hudsonia,,Maxime Légaré-Vézina,2022-02-12,2022,2,12,900,United States,US-AK-020,Alaska,Anchorage Municipality,Cuddy Family Midtown Park,61.1845749,-149.8792808,"",,Unspecified,"","",,,,,,,S124581363,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.94,16,,3821,5729
348258051,Photo,Black-billed Magpie,Pica hudsonia,,Liam Huber,2021-06-10,2021,6,10,1227,United States,US-AK-020,Alaska,Anchorage Municipality,Westchester Lagoon,61.2070462,-149.9198785,"",,Unspecified,"","",,,,,,,S89966701,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.94,16,,2642,4702
272907421,Photo,Black-billed Magpie,Pica hudsonia,,Mason Maron,2020-10-19,2020,10,19,844,United States,US-WA-075,Washington,Whitman,Koppel Community Gardens,46.7225861,-117.1681595,"",,Unspecified,"","",,,,,,,S75096161,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.76,21,,2834,4251
126480231,Photo,Black-billed Magpie,Pica hudsonia,,Fyn Kynd,2018-11-24,2018,11,24,1005,United States,US-CO-069,Colorado,Larimer,"Estes Park--South Navy Hill Road (40.381, -105.603)",40.3806061,-105.6030838,"",,Unspecified,"","",,,,,,,S50192510,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.59,32,,2000,2619
400863551,Photo,Black-billed Magpie,Pica hudsonia,,Ian Hearn,2021-12-30,2021,12,30,1230,United States,US-ID-001,Idaho,Ada,E Kuna Mora Rd at Railroad Tracks,43.4538849,-116.1159245,Adult – 1,,Unspecified,"","",,,,,,,S99722249,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.93,15,,3712,5568
614015975,Photo,Black-billed Magpie,Pica hudsonia,,Nick Saunders,2024-01-25,2024,1,25,1051,Canada,CA-SK-EL,Saskatchewan,Saskatoon,Saskatoon--U of S MVA Trail,52.1355081,-106.6413541,"",,Unspecified,"","",,,,,,,S159759113,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.88,16,,1039,1400
213785401,Photo,Black-billed Magpie,Pica hudsonia,,Mason Maron,2020-03-05,2020,3,5,1200,United States,US-WA-075,Washington,Whitman,Koppel Community Gardens,46.7225861,-117.1681595,"",Vocalizing,Unspecified,"","",,,,,,,S65466835,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.53,34,"",2967,5276
138095711,Photo,Black-billed Magpie,Pica hudsonia,,Gerald Romanchuk,2009-11-01,2009,11,1,1004,Canada,CA-AB-EL,Alberta,Edmonton,Cooking Lake,53.4144432,-113.0520630,"",,Unspecified,"","",,,,,,,S11468333,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,5.00,13,,933,1400
126383371,Photo,Black-billed Magpie,Pica hudsonia,,Bryan Calk,2018-11-24,2018,11,24,1005,United States,US-CO-069,Colorado,Larimer,"Estes Park--South Navy Hill Road (40.381, -105.603)",40.3806061,-105.6030838,Adult,,Unspecified,"","",,,,,,,S50382604,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.43,54,,3251,4877
359361971,Photo,Black-billed Magpie,Pica hudsonia,,Katie Warner,2021-07-29,2021,7,29,1621,United States,US-CO-069,Colorado,Larimer,Estes Park YMCA Camp,40.3426295,-105.5726118,Immature – 1,Foraging or Eating,Unspecified,"","",,,,,,,S92637735,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.81,16,"",2847,4270
436370901,Photo,Black-billed Magpie,Pica hudsonia,,Andrew Thomas 🦅🪶,2022-04-16,2022,4,16,1030,United States,US-WA-063,Washington,Spokane,Saltese Flats,47.6402533,-117.1261561,"",,Unspecified,"","",,,,,,,S107249366,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.92,13,,1927,2891
136540641,Photo,Black-billed Magpie,Pica hudsonia,,Johanna Beam,2019-01-21,2019,1,21,1500,United States,US-CO-069,Colorado,Larimer,Rocky Mountain NP--Sheep Lakes,40.4040445,-105.6209724,"",,Unspecified,"","",,,,,,,S51950478,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.65,20,,3150,5600
128436251,Photo,Black-billed Magpie,Pica hudsonia,,Johanna Beam,2018-11-24,2018,11,24,1005,United States,US-CO-069,Colorado,Larimer,"Estes Park--South Navy Hill Road (40.381, -105.603)",40.3806061,-105.6030838,"",,Unspecified,"","",,,,,,,S50288548,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.48,31,,3129,5562
272907431,Photo,Black-billed Magpie,Pica hudsonia,,Mason Maron,2020-10-19,2020,10,19,844,United States,US-WA-075,Washington,Whitman,Koppel Community Gardens,46.7225861,-117.1681595,"",,Unspecified,"","",,,,,,,S75096161,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,5.00,11,,2947,4633
41298001,Photo,Black-billed Magpie,Pica hudsonia,,Alan Versaw,2016-11-29,2016,11,29,720,United States,US-CO-041,Colorado,El Paso,Smith Creek Ponds,39.0337528,-104.8212433,"",,Unspecified,"","",,,,,,,S32783299,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.79,14,,620,849
435493221,Photo,Black-billed Magpie,Pica hudsonia,,Blair Dudeck,2022-04-07,2022,4,7,1708,Canada,CA-BC-CO,British Columbia,Central Okanagan,Kelowna--Carney Pond,49.9280314,-119.3908474,"",,Unspecified,"","",,,,,,,S106499411,"",,,,,Pica hudsonia,bkbmag1,Species,21252,,4.85,13,,4203,6301
