ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
408718491,Photo,Black Phoebe,Sayornis nigricans,,Alex Castelein,2022-01-21,2022,1,21,905,United States,US-CA-083,California,Santa Barbara,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.4198459,-119.8792197,"",,Unspecified,"","",,,,,,,S101146845,"",,,,,Sayornis nigricans,blkpho,Species,16831,,4.97,173,,2905,4352
297076861,Photo,Black Phoebe,Sayornis nigricans,,Mason Maron,2021-01-10,2021,1,10,1046,United States,US-CA-089,California,Shasta,Sundial Bridge,40.5923826,-122.3775029,"",,Unspecified,"","",,,,,,,S79034927,"",,,,,Sayornis nigricans,blkpho,Species,16831,,4.91,77,,1264,1914
536711101,Photo,Black Phoebe,Sayornis nigricans,,Braxton Landsman,2023-02-17,2023,2,17,949,United States,US-CA-059,California,Orange,Santa Ana Zoo,33.7432420,-117.8422660,"",,Unspecified,"","",,,,,,,S128552636,"",,,,,Sayornis nigricans,blkpho,Species,16831,,4.98,53,,2812,4096
272384701,Photo,Black Phoebe (Northern),Sayornis nigricans [nigricans Group],,Connor Cochrane,2020-10-18,2020,10,18,1315,United States,US-CA-041,California,Marin,Sausalito - Richardson Bay from Harbor Drive,37.8712190,-122.4946260,"",,Unspecified,"","",,,,,,,S75068925,"",,,,,Sayornis nigricans,blkpho1,Group,16832,,4.85,91,,2492,3738
31688981,Photo,Black Phoebe,Sayornis nigricans,,Ian Davies,2010-03-01,2010,3,1,1010,United States,US-CA-059,California,Orange,"Mile Square Regional Park, Fountain Valley",33.7246609,-117.9395199,Adult,,Unspecified,"","",,,,,,,S6071029,"",,,,,Sayornis nigricans,blkpho,Species,16831,,4.93,56,,1841,2707
629191688,Photo,Black Phoebe,Sayornis nigricans,,Gavin Aquila,2025-01-16,2025,1,16,709,United States,US-CA-073,California,San Diego,"South Lake Park, San Marcos",33.1158550,-117.1651930,"",Flying,Unspecified,"","",,,,,,,S209519295,"",,,,,Sayornis nigricans,blkpho,Species,16831,,5.00,44,"",3025,4390
411027501,Photo,Black Phoebe,Sayornis nigricans,,Braxton Landsman,2022-01-29,2022,1,29,1534,United States,US-CA-059,California,Orange,Residential Ladera Ranch--Do not use for parks/trails/settling ponds,33.5524734,-117.6439565,"",,Unspecified,"","",,,,,,,S101684232,"",,,,,Sayornis nigricans,blkpho,Species,16831,,4.90,60,,2464,3696
198775001,Photo,Black Phoebe,Sayornis nigricans,,Will Knowlton,2020-01-11,2020,1,11,1103,United States,US-CA-079,California,San Luis Obispo,Morro Bay SP--Marina/Boardwalk Trail,35.3445235,-120.8418006,"",,Unspecified,"","",,,,,,,S63282692,"",,,,,Sayornis nigricans,blkpho,Species,16831,,4.89,56,,1536,2048
616313061,Photo,Black Phoebe,Sayornis nigricans,,Ruslan Balagansky,2024-03-09,2024,3,9,1310,United States,US-CA-073,California,San Diego,Mira Mesa Community Park,32.9145310,-117.1403728,"",,Unspecified,"","",,,,,,,S164259144,"",,,,,Sayornis nigricans,blkpho,Species,16831,,4.97,37,,2290,2863
349301921,Photo,Black Phoebe,Sayornis nigricans,,Alison Davies,2021-06-19,2021,6,19,815,United States,US-CA-073,California,San Diego,Lower Rose Creek,32.8001675,-117.2215376,"",Carrying Food,Unspecified,"","",,,,,,,S90532940,"",,,,,Sayornis nigricans,blkpho,Species,16831,,4.90,42,"",3158,4090
618137443,Photo,Black Phoebe,Sayornis nigricans,,Mason Maron,2024-04-28,2024,4,28,1219,United States,US-OR-007,Oregon,Clatsop,Cannon Beach Settling Ponds,45.8972364,-123.9574099,Adult – 1,,Unspecified,"","",,,,,,,S170827290,"",,,,,Sayornis nigricans,blkpho,Species,16831,,4.92,36,,2266,3401
300744721,Photo,Black Phoebe,Sayornis nigricans,,Tim Swain,2021-01-23,2021,1,23,726,United States,US-CA-073,California,San Diego,Point La Jolla--seawatch,32.8507576,-117.2735641,"",,Unspecified,"","",,,,,,,S79763258,"",,,,,Sayornis nigricans,blkpho,Species,16831,,4.74,72,,3637,5412
409323641,Photo,Black Phoebe,Sayornis nigricans,,Alex Castelein,2022-01-21,2022,1,21,905,United States,US-CA-083,California,Santa Barbara,UCSB North Campus Open Space (formerly Ocean Meadows Golf Course),34.4198459,-119.8792197,"",,Unspecified,"","",,,,,,,S101146845,"",,,,,Sayornis nigricans,blkpho,Species,16831,,4.79,56,,3434,5149
378620091,Photo,Black Phoebe,Sayornis nigricans,,Aidan Brubaker,2021-04-02,2021,4,2,1517,United States,US-CA-079,California,San Luis Obispo,Oceano County Park,35.1057118,-120.6255312,"",,Unspecified,"","",,,,,,,S84644298,"",,,,,Sayornis nigricans,blkpho,Species,16831,,4.73,55,,2461,3392
625854341,Photo,Black Phoebe,Sayornis nigricans,,Braxton Landsman,2024-11-03,2024,11,3,1543,United States,US-CA-059,California,Orange,Del Obispo Park to Mouth of San Juan Creek,33.4672268,-117.6829854,"",,Unspecified,"","",,,,,,,S201333606,"",,,,,Sayornis nigricans,blkpho,Species,16831,,5.00,23,,4395,6592
