ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
469073121,Photo,Black Vulture,Coragyps atratus,,Matt Mason,2022-07-21,2022,7,21,801,United States,US-OH-041,Ohio,Delaware,Hoover Reservoir--Twin Bridges Boat Ramp,40.1763813,-82.8616118,"",,Unspecified,"","",,,,,,,S115506279,"",,,,,Coragyps atratus,blkvul,Species,7716,,4.95,92,,1365,2048
538642711,Photo,Black Vulture,Coragyps atratus,,Anne Inga,2023-02-23,2023,2,23,720,United States,US-FL-081,Florida,Manatee,Perico Preserve,27.4972082,-82.6779646,"",,Unspecified,"","",,,,,,,S129441144,"",,,,,Coragyps atratus,blkvul,Species,7716,,4.97,64,,2394,3311
628792532,Photo,Black Vulture,Coragyps atratus,,Anna Zizak,2025-01-08,2025,1,8,922,United States,US-FL-103,Florida,Pinellas,Suncoast Seabird Sanctuary & Beach(do NOT report captive birds),27.8364529,-82.8373781,Adult – 1,,Unspecified,"","",,,,,,,S208510599,"",,,,,Coragyps atratus,blkvul,Species,7716,,4.96,57,,3138,4706
619440131,Photo,Black Vulture,Coragyps atratus,,Anna Zizak,2024-05-19,2024,5,19,1133,United States,US-FL-086,Florida,Miami-Dade,Biscayne NP,25.4634000,-80.3343000,Adult – 1,,Unspecified,"","",,,,,,,S175714003,"",,,,,Coragyps atratus,blkvul,Species,7716,,4.96,56,,4000,6000
357297021,Photo,Black Vulture,Coragyps atratus,,Matt Mason,2021-07-27,2021,7,27,803,United States,US-OH-041,Ohio,Delaware,Hoover Reservoir--Twin Bridges Boat Ramp,40.1763813,-82.8616118,"",,Unspecified,"","",,,,,,,S92390198,"",,,,Exact count known area for black vultures this time of year.,Coragyps atratus,blkvul,Species,7716,,4.83,101,,931,1369
500542871,Photo,Black Vulture,Coragyps atratus,,Anne Inga,2022-11-04,2022,11,4,728,United States,US-FL-081,Florida,Manatee,Perico Preserve,27.4972082,-82.6779646,"",,Unspecified,"","",,,,,,,S121840126,"",,,,,Coragyps atratus,blkvul,Species,7716,,5.00,38,,2526,2322
400012461,Photo,Black Vulture,Coragyps atratus,,Jefferson Shank,2021-08-08,2021,8,8,900,Colombia,CO-AMA,Amazonas,,Isla Mocagua y Zaragocilla,-3.8500000,-70.2333333,"",,Unspecified,"","",,,,,,,S93229714,"",,,,,Coragyps atratus,blkvul,Species,7716,,4.98,40,,3404,5106
624754569,Photo,Black Vulture,Coragyps atratus,,Andrew Simon,2024-05-02,2024,5,2,1728,United States,US-OH-015,Ohio,Brown,"13674–13998 SR-134, Sardinia US-OH 39.02007, -83.80896",39.0200660,-83.8089610,"",,Unspecified,"","",,,,,,,S171570782,"",,,,,Coragyps atratus,blkvul,Species,7716,,5.00,33,,2669,4004
356414491,Photo,Black Vulture,Coragyps atratus,,Frédérick Lelièvre,2021-07-21,2021,7,21,600,Canada,CA-QC-CG,Quebec,La Côte-de-Gaspé,PN Forillon--Cap-Bon-Ami,48.8085918,-64.2225717,Adult – 1,,Unspecified,"","",,,,,,,S92197698,"",,,,"Nous sommes retourné tôt ce matin pour voir si l'urubu noir trouvé hier était encore présent. À notre arrivée, il était immobile sur un rocher au sol près de la carcasse de baleine où se nourrissaient plusieurs goélands marins. L'oiseau s'est avéré très peu craintif, en fait il m'a à toute fin pratique ignoré tout au long de l'observation. Il a même décidé de se coucher sur la roche, sans même s'éloigner. J'ai pu mieux voir son œil gauche en agrandissant une photo et il semble effectivement avoir une anomalie, comme s'il n'avait pas de pupille (voir photo). À mon départ, il était toujours couché sur la même roche.",Coragyps atratus,blkvul,Species,7716,,4.84,62,,2560,3840
402369801,Photo,Black Vulture,Coragyps atratus,,Joshua Vardous,2022-01-04,2022,1,4,1516,United States,US-OH-093,Ohio,Lorain,"Beaver Creek Reservation, Amherst US-OH 41.40786, -82.23838",41.4078610,-82.2383780,"",,Unspecified,"","",,,,,,,S100113087,"",,,,Seen on barn rooftop and also eating roadkill in the road across from the beaver creek entrance.,Coragyps atratus,blkvul,Species,7716,,4.80,66,,,
