ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
225334231,Photo,California Quail,Callipepla californica,,Alex Bodden,2020-04-19,2020,4,19,753,Canada,CA-BC-OS,British Columbia,Okanagan-Similkameen,Penticton--Okanagan River southwest oxbows,49.4586407,-119.5981121,Adult Male – 1,Vocalizing,Unspecified,"","",,,,,,,S67480747,"",,,,,Callipepla californica,calqua,Species,1064,,4.96,101,"",2871,4301
221050991,Photo,California Quail,Callipepla californica,,Drew Beamer,2020-04-05,2020,4,5,1400,United States,US-CA-073,California,San Diego,*Beamer Yard*,32.9386672,-117.1855342,"Adult Female – 1; Adult Male – 1",,Unspecified,"","",,,,,,,S66695985,"",,,,,Callipepla californica,calqua,Species,1064,,4.88,134,,2831,4247
391508011,Photo,California Quail,Callipepla californica,,Blair Dudeck,2021-11-04,2021,11,4,1451,Canada,CA-BC-NA,British Columbia,Nanaimo,Hallberg road,49.0524825,-123.8832058,"",,Unspecified,"","",,,,,,,S97135114,"",,,,,Callipepla californica,calqua,Species,1064,,4.96,67,,3949,6318
613389088,Photo,California Quail,Callipepla californica,,Jonathan Casanova,2024-01-11,2024,1,11,1003,United States,US-CA-073,California,San Diego,Ramona Grasslands Preserve--Wildflower Loop,33.0370182,-116.9505658,"",,Unspecified,"","",,,,,,,S158660059,"",,,,,Callipepla californica,calqua,Species,1064,,5.00,47,,2600,3900
238805731,Photo,California Quail,Callipepla californica,,Ronan Nicholson,2020-05-24,2020,5,24,600,United States,US-CA-103,California,Tehama,"10980 Shasta Blvd, Los Molinos US-CA (40.1118,-122.0893)",40.1118420,-122.0892710,Adult Male – 1,,Unspecified,"","",,,,,,,S69618138,"",,,,,Callipepla californica,calqua,Species,1064,,4.98,46,,2913,4370
238475191,Photo,California Quail,Callipepla californica,,Ronan Nicholson,2020-05-24,2020,5,24,600,United States,US-CA-103,California,Tehama,"10980 Shasta Blvd, Los Molinos US-CA (40.1118,-122.0893)",40.1118420,-122.0892710,Adult Male – 1,,Unspecified,"","",,,,,,,S69618138,"",,,,,Callipepla californica,calqua,Species,1064,,4.86,74,,3263,4894
465378081,Photo,California Quail,Callipepla californica,,Ethan Denton,2022-07-02,2022,7,2,703,Canada,CA-BC-OS,British Columbia,Okanagan-Similkameen,Okanagan Falls--Green Lake Road,49.2966967,-119.5747217,Adult Male – 1,,Unspecified,"","",,,,,,,S114338507,"",,,,,Callipepla californica,calqua,Species,1064,,4.90,63,,2634,3954
463093761,Photo,California Quail,Callipepla californica,,Brad Imhoff,2022-06-12,2022,6,12,1229,United States,US-OR-029,Oregon,Jackson,Sams Valley Hwy,42.4759700,-123.0002620,"",,Unspecified,"","",,,,,,,S112799557,"",,,,,Callipepla californica,calqua,Species,1064,,4.89,63,,1750,2623
341834381,Photo,California Quail,Callipepla californica,,Ian Hearn,2021-05-13,2021,5,13,2018,United States,US-ID-027,Idaho,Canyon,Abode,43.6255653,-116.7528849,Adult Male – 1,,Unspecified,"","",,,,,,,S88041778,"",,,,,Callipepla californica,calqua,Species,1064,,4.87,62,,3712,5568
449734831,Photo,California Quail,Callipepla californica,,Brendan Fogarty,2022-04-04,2022,4,4,1230,United States,US-CA-037,California,Los Angeles,Angeles NF--Bear Divide,34.3602832,-118.3958924,"",,Unspecified,"","",,,,,,,S106302073,"",,,,,Callipepla californica,calqua,Species,1064,,4.86,56,,2077,3117
