ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
300935411,Photo,California Scrub-Jay,Aphelocoma californica,,Mason Maron,2021-01-15,2021,1,15,1036,United States,US-OR-039,Oregon,Lane,Alton Baker Park (general),44.0533353,-123.0674572,"",,Unspecified,"","",,,,,,,S79281532,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.93,149,,2752,4128
610265259,Photo,California Scrub-Jay,Aphelocoma californica,,Paul Fenwick,2023-10-22,2023,10,22,910,United States,US-CA-053,California,Monterey,US-CA-Carmel Valley Village-336 El Caminito Rd,36.4884780,-121.7212130,"",,Unspecified,"","",,,,,,,S152833781,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.95,94,,1829,3048
285578111,Photo,California Scrub-Jay,Aphelocoma californica,,Ilya Povalyaev,2020-11-07,2020,11,7,1319,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Ladner Harbour Park,49.0933400,-123.0918400,"",,Unspecified,"","",,,,,,,S75969079,"",,,,"Long-tailed jay with white underparts, blue necklace and blue upperparts except for brownish back. Observed near the end of entrance road.",Aphelocoma californica,cowscj1,Species,21075,,4.85,113,,1407,2110
290498721,Photo,California Scrub-Jay,Aphelocoma californica,,Carter Gasiorowski,2020-12-23,2020,12,23,1045,United States,US-CA-085,California,Santa Clara,Jeffrey Fontana Park,37.2324127,-121.8774748,"",,Unspecified,"","",,,,,,,S77891448,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.91,65,,2268,3403
505748691,Photo,California Scrub-Jay,Aphelocoma californica,,Daniel Graca,2022-11-20,2022,11,20,1105,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Ladner Harbour Park,49.0933400,-123.0918400,"",,Unspecified,"","",,,,,,,S122757796,"",,,,"Continuing loud blue and grey crestless jays. Some of them were flying back and forth across the river with acorns, others were hanging out in the trees by the little picnic area. Counted 8 in one bush at one point. One individual seen had some leucistic flight feathers. Tame and not shy, they came within 6 feet from me. They happily accepted peanut offerings :)",Aphelocoma californica,cowscj1,Species,21075,,4.94,52,,2822,4233
369569861,Photo,California Scrub-Jay,Aphelocoma californica,,Aidan Brubaker,2021-09-13,2021,9,13,936,United States,US-CA-067,California,Sacramento,Near Hazel & Sunset,38.6546058,-121.2242576,"",,Unspecified,"","",,,,,,,S94614224,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.81,63,,1918,2422
430677261,Photo,California Scrub-Jay,Aphelocoma californica,,Grigory Heaton,2022-03-31,2022,3,31,1716,United States,US-CA-037,California,Los Angeles,"Ridge Motorway, Glendale US-CA (34.1885,-118.2082)",34.1884660,-118.2082060,Unknown – 1,,Unspecified,"","",,,,,,,S105988869,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.80,41,,3500,5251
215987481,Photo,California Scrub-Jay,Aphelocoma californica,,Jim Merritt,2020-03-11,2020,3,11,752,Mexico,MX-BCS-004,Baja California Sur,Los Cabos,Faro Viejo,22.8739214,-109.9640465,"",,Unspecified,"","",,,,,,,S65683168,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.83,36,,8523,10000
434811031,Photo,California Scrub-Jay,Aphelocoma californica,,Grigory Heaton,2022-02-26,2022,2,26,1630,United States,US-CA-037,California,Los Angeles,Malibu Bluffs Park,34.0302467,-118.7091069,Adult – 1,,Unspecified,"","",,,,,,,S103794292,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.74,53,,2893,4339
288098331,Photo,California Scrub-Jay,Aphelocoma californica,,Drew Beamer,2020-12-14,2020,12,14,1300,United States,US-CA-073,California,San Diego,Deer Canyon,32.9484720,-117.1899140,"",,Unspecified,"","",,,,,,,S77492754,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.63,75,,2043,3065
285383131,Photo,California Scrub-Jay,Aphelocoma californica,,Liam Huber,2020-12-04,2020,12,4,1015,United States,US-CA-007,California,Butte,Feather River Parkway & Fish Hatchery,39.5161265,-121.5541384,"",,Unspecified,"","",,,,,,,S77062271,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.84,32,,2540,3999
524391831,Photo,California Scrub-Jay,Aphelocoma californica,,Brian Avent,2023-01-15,2023,1,15,1044,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Willowfield Drive,49.1570890,-123.1738080,"",,Unspecified,"","",,,,,,,S126225143,"",,,,Thought there was one in the neighbourhood.  Put out some peanuts to get a picture.  Saw three at one time.,Aphelocoma californica,cowscj1,Species,21075,,4.89,28,,3965,5572
300935551,Photo,California Scrub-Jay,Aphelocoma californica,,Mason Maron,2021-01-15,2021,1,15,1036,United States,US-OR-039,Oregon,Lane,Alton Baker Park (general),44.0533353,-123.0674572,"",,Unspecified,"","",,,,,,,S79281532,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.82,34,,3099,5510
396498451,Photo,California Scrub-Jay,Aphelocoma californica,,Oscar Wainwright,2021-11-19,2021,11,19,1024,United States,US-WA-033,Washington,King,"103 N 79th St, Seattle US-WA 47.68620, -122.35789",47.6862000,-122.3578890,"",,Unspecified,"","",,,,,,,S97785729,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.74,38,,2202,3302
71788271,Photo,California Scrub-Jay,Aphelocoma californica,,Liron Gertsman,2015-04-11,2015,4,11,1415,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Maple Ridge--Scrub Jay spot,49.2189952,-122.6115659,"",,Unspecified,"","",,,,,,,S22816794,"",,,,Great looks of the pair that has been at this location for about 2 years,Aphelocoma californica,cowscj1,Species,21075,,4.71,35,,1200,1800
59390691,Photo,California Scrub-Jay,Aphelocoma californica,,Jerry Ting,2017-05-26,2017,5,26,1010,United States,US-CA-001,California,Alameda,Claremont Canyon Regional Preserve,37.8661300,-122.2395730,"",,Unspecified,"","",,,,,,,S37166046,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.73,33,,1100,1600
502200181,Photo,California Scrub-Jay,Aphelocoma californica,,Grigory Heaton,2022-11-09,2022,11,9,825,United States,US-CA-037,California,Los Angeles,Chilao--Visitor Center,34.3267450,-118.0047137,Adult – 1,,Unspecified,"","",,,,,,,S122130674,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.95,19,,3294,4941
513661701,Photo,California Scrub-Jay,Aphelocoma californica,,Ryan Shean,2022-12-15,2022,12,15,1032,United States,US-CA-059,California,Orange,Turtle Rock Community Park,33.6329872,-117.8055382,"",,Unspecified,"","",,,,,,,S124018553,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.83,23,,3005,3756
507525911,Photo,California Scrub-Jay,Aphelocoma californica,,Barry Rowan,2022-11-26,2022,11,26,721,United States,US-CA-083,California,Santa Barbara,Lake Los Carneros Park,34.4432200,-119.8497500,"",Foraging or Eating,Unspecified,"","",,,,,,,S123049937,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,5.00,17,"",1667,2500
333356441,Photo,California Scrub-Jay,Aphelocoma californica,,Sharif Uddin,2021-05-02,2021,5,2,1630,United States,US-CA-071,California,San Bernardino,CSU San Bernardino,34.1815597,-117.3245430,"",,Unspecified,"","",,,,,,,S87008915,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.94,18,,3106,4659
319583871,Photo,California Scrub-Jay,Aphelocoma californica,,Mason Maron,2021-01-15,2021,1,15,1036,United States,US-OR-039,Oregon,Lane,Alton Baker Park (general),44.0533353,-123.0674572,Adult – 1,,Unspecified,"","",,,,,,,S79281532,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.82,22,,2410,4284
216005491,Photo,California Scrub-Jay,Aphelocoma californica,,Aidan Latham,2020-03-16,2020,3,16,1227,United States,US-CA-095,California,Solano,Benicia SRA,38.0685007,-122.1929455,Adult – 1,,Unspecified,"","",,,,,,,S65877810,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.67,27,,2430,3862
533092921,Photo,California Scrub-Jay,Aphelocoma californica,,Katie Warner,2023-01-22,2023,1,22,1524,United States,US-WA-011,Washington,Clark,"Ridgefield NWR--River 'S' Unit",45.7990694,-122.7490082,Adult – 1,,Unspecified,"","",,,,,,,S126814485,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.80,20,,1365,2048
529692681,Photo,California Scrub-Jay,Aphelocoma californica,,Katie Warner,2023-01-22,2023,1,22,1524,United States,US-WA-011,Washington,Clark,"Ridgefield NWR--River 'S' Unit",45.7990694,-122.7490082,"",,Unspecified,"","",,,,,,,S126814485,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.80,20,,1365,2048
143737751,Photo,California Scrub-Jay,Aphelocoma californica,,Luke Seitz,2019-02-26,2019,2,26,830,United States,US-CA-065,California,Riverside,Joshua Tree NP--Hidden Valley area,34.0145850,-116.1719980,"",,Unspecified,"","",,,,,,,S53201560,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.64,33,,3285,5354
613729816,Photo,California Scrub-Jay,Aphelocoma californica,,Brian Avent,2024-01-19,2024,1,19,1058,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Willowfield Drive,49.1570890,-123.1738080,"",,Unspecified,"","",,,,,,,S159299329,"",,,,Continuing,Aphelocoma californica,cowscj1,Species,21075,,4.94,16,,2947,3590
557499811,Photo,California Scrub-Jay,Aphelocoma californica,,Rain Saulnier,2023-04-10,2023,4,10,1051,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Ladner Harbour Park,49.0933400,-123.0918400,"",,Unspecified,"","",,,,,,,S133351570,"",,,,"(49.0937951, -123.0897575) continuing birds, large blue passerines with no crest, very vocal",Aphelocoma californica,cowscj1,Species,21075,,4.68,25,,1365,2048
492546111,Photo,California Scrub-Jay,Aphelocoma californica,,Sunny Zhang,2022-10-10,2022,10,10,900,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Chisholm St and Georgia St Green Space,49.0918272,-123.0895716,"",,Unspecified,"","",,,,,,,S120422248,"",,,,The Scrub-Jays have been seen around the Ladner Harbour Park area for quite a few days.  There were at least 6 but there could be more than 6.  Most of them were hanging out along the edge of the river between the green space on the northwest corner of the Chisholm-Georgia intersection and the mini ping pong court.  They constantly flew back-and-forth between this area and the River Reach private road.  Photos of the Scrub-Jays were taken.,Aphelocoma californica,cowscj1,Species,21075,,4.75,20,,2984,3318
613696403,Photo,California Scrub-Jay,Aphelocoma californica,,Brian Avent,2024-01-18,2024,1,18,937,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Willowfield Drive,49.1570890,-123.1738080,"",,Unspecified,"","",,,,,,,S159236721,"",,,,Continuing in neighbourhood,Aphelocoma californica,cowscj1,Species,21075,,4.73,22,,3456,4027
579941821,Photo,California Scrub-Jay,Aphelocoma californica,,Becky Matsubara,2023-05-31,2023,5,31,1311,United States,US-CA-041,California,Marin,Pt. Reyes--Drakes Beach (DO NOT INCLUDE Horseshoe Pond or beach/estero beyond Horseshoe Pond),38.0271821,-122.9615507,Adult – 1,,Unspecified,"","",,,,,,,S140101151,"",,,,Know. At this location.,Aphelocoma californica,cowscj1,Species,21075,,5.00,13,,4654,7757
324495151,Photo,California Scrub-Jay,Aphelocoma californica,,Katie Warner,2021-04-09,2021,4,9,718,United States,US-WA-011,Washington,Clark,"Ridgefield NWR--River 'S' Unit",45.7990694,-122.7490082,Adult – 1,,Unspecified,"","",,,,,,,S85162869,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.93,14,,3439,5159
610096919,Photo,California Scrub-Jay,Aphelocoma californica,,Michael Stubblefield,2023-09-16,2023,9,16,1220,United States,US-CA-053,California,Monterey,Big Sur--Nepenthe,36.2219957,-121.7594681,Adult – 1,Foraging or Eating,Unspecified,"","",,,,,,,S150065542,"",,,"California Scrub-Jay (Aphelocoma californica californica), adult foraging at Nepenthe, Big Sur, California.",,Aphelocoma californica,cowscj1,Species,21075,,4.87,15,"",3159,4738
374096131,Photo,California Scrub-Jay,Aphelocoma californica,,Long-eared Owl,2021-08-05,2021,8,5,1512,United States,US-CA-079,California,San Luis Obispo,Pecan street,35.1121975,-120.5960095,"",,Unspecified,"","",,,,,,,S92800258,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.76,17,,,
77482211,Photo,California Scrub-Jay,Aphelocoma californica,,Blake Matheson,2017-12-05,2017,12,5,1539,United States,US-CA-053,California,Monterey,Looking Hill,36.5738019,-121.8989539,"",,Unspecified,"","",,,,,,,S40933878,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.48,31,,3648,2774
494668581,Photo,California Scrub-Jay,Aphelocoma californica,,Sabine Jessen,2022-10-16,2022,10,16,1513,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Ladner Harbour Park,49.0933400,-123.0918400,"",,Unspecified,"","",,,,,,,S120812892,"",,,,Continuing. Flew back and forth across river. Photos,Aphelocoma californica,cowscj1,Species,21075,,4.48,31,,1695,2543
456425351,Photo,California Scrub-Jay,Aphelocoma californica,,Long-eared Owl,2022-05-22,2022,5,22,705,United States,US-CA-079,California,San Luis Obispo,Islay Creek Campground--Montana de Oro SP,35.2736118,-120.8838502,"",,Unspecified,"","",,,,,,,S110983133,"",,,,,Aphelocoma californica,cowscj1,Species,21075,,4.67,21,,929,1239
