ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
196796851,Photo,Canada Goose,Branta canadensis,,Ryan Sanderson,2020-01-02,2020,1,2,842,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,"Adult Male – 1; Adult – 1",,Unspecified,"","",,,,,,,S62909012,"",,,,,Branta canadensis,cangoo,Species,330,,4.95,207,,4086,6129
219870951,Photo,Canada Goose,Branta canadensis,,Brad Imhoff,2020-03-25,2020,3,25,931,United States,US-OH-089,Ohio,Licking,"T. J. Evans Park, Newark",40.0925184,-82.4187469,"",Flying,Unspecified,"","",,,,,,,S66197256,"",,,,,Branta canadensis,cangoo,Species,330,,4.94,165,"",2057,3085
44768861,Photo,Canada Goose,Branta canadensis,,Jay McGowan,2016-12-30,2016,12,30,1408,United States,US-NY-059,New York,Nassau,Arthur J. Hendrickson Park,40.6696888,-73.6988690,"",,Unspecified,"","",,,,,,,S33297864,"",,,,,Branta canadensis,cangoo,Species,330,,4.93,129,,3648,5472
217394891,Photo,Canada Goose,Branta canadensis,,Brad Imhoff,2020-03-22,2020,3,22,714,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,"",,Unspecified,"","",,,,,,,S66087382,"",,,,,Branta canadensis,cangoo,Species,330,,4.90,119,,2130,3195
449427351,Photo,Canada Goose,Branta canadensis,,Ronan Nicholson,2022-05-07,2022,5,7,1320,United States,US-NC-021,North Carolina,Buncombe,Warren Wilson College--Owen Park,35.6100716,-82.4282965,Juvenile – 3,,Unspecified,"","",,,,,,,S109249922,"",,,,,Branta canadensis,cangoo,Species,330,,4.92,83,,3091,4636
456280561,Photo,Canada Goose,Branta canadensis,,Anne Inga,2022-06-03,2022,6,3,1740,United States,US-VT-007,Vermont,Chittenden,Lagoon Road,44.3308753,-73.1263196,"",,Unspecified,"","",,,,,,,S112064292,"",,,,Twenty-seven adults and 14 young on the ground in two different locations. A flock of about 90 honking and flying north overhead in a V-formation. Counted by estimating individuals in groups of ten. There were 9 such groups.,Branta canadensis,cangoo,Species,330,,4.92,83,,3563,7631
36338341,Photo,Canada Goose,Branta canadensis,,Tim Lenz,2012-05-10,2012,5,10,708,United States,US-NY-109,New York,Tompkins,Stewart Park,42.4607910,-76.5068525,Juvenile,,Unspecified,"","",,,,,,,S10703532,"",,,,,Branta canadensis,cangoo,Species,330,,4.86,109,,3840,5760
320428961,Photo,Canada Goose,Branta canadensis,,Matthew Plante,2021-03-27,2021,3,27,812,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,"",,Unspecified,"","",,,,,,,S84217907,"",,,,,Branta canadensis,cangoo,Species,330,,4.95,62,,2972,4458
159811761,Photo,Canada Goose,Branta canadensis,,Volker Hesse,2019-05-04,2019,5,4,1600,Germany,DE-BW-KA2,Baden-Württemberg,Karlsruhe,Wagbachniederung (NSG),49.2657323,8.5172796,Immature,,Unspecified,"","",,,,,,,S55840367,"",,,,,Branta canadensis,cangoo,Species,330,,4.89,82,,2186,2520
452773501,Photo,Canada Goose,Branta canadensis,,Braxton Landsman,2022-05-23,2022,5,23,1639,United States,US-CA-059,California,Orange,Laguna Niguel Regional Park,33.5494066,-117.7098370,"",,Unspecified,"","",,,,,,,S111136316,"",,,,Estimate.,Branta canadensis,cangoo,Species,330,,4.98,50,,3648,5294
