ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
393197071,Photo,Canada Jay,Perisoreus canadensis,,Kyle Tansley,2021-11-14,2021,11,14,721,United States,US-NY-033,New York,Franklin,Bloomingdale Bog Trail,44.4128015,-74.1217150,Adult – 1,,Unspecified,"","",,,,,,,S97583854,"",,,,,Perisoreus canadensis,gryjay,Species,20953,,4.96,116,,4996,7494
399203001,Photo,Canada Jay,Perisoreus canadensis,,Kyle  Swanson,2021-12-21,2021,12,21,1200,Canada,CA-ON-NP,Ontario,Nipissing,Algonquin Provincial Park--Opeongo Rd (@ bridge),45.6169155,-78.3442577,"",,Unspecified,"","",,,,,,,S99486236,"",,,,multiple pairs following me along the road. Took the opportunity to try and get flight shots.,Perisoreus canadensis,gryjay,Species,20953,,4.91,128,,1644,2469
291968311,Photo,Canada Jay (Pacific),Perisoreus canadensis obscurus/griseus,,Mason Maron,2020-12-28,2020,12,28,924,United States,US-WA-033,Washington,King,Tiger Mountain--West Tiger #3 summit,47.5118280,-121.9903970,"",,Unspecified,"","",,,,,,,S78169269,"",,,,,Perisoreus canadensis,gryjay3,Group,20962,,4.94,90,,3188,4682
624955050,Photo,Canada Jay,Perisoreus canadensis,,Mason Maron,2024-10-13,2024,10,13,1354,United States,US-WA-047,Washington,Okanogan,Washington Pass (Okanogan Co.),48.5258316,-120.6474222,Adult – 1,,Unspecified,"","",,,,,,,S198800914,"",,,,,Perisoreus canadensis,gryjay,Species,20953,,5.00,52,,2827,4242
199194731,Photo,Canada Jay,Perisoreus canadensis,,Mason Maron,2019-06-28,2019,6,28,1140,United States,US-WA-047,Washington,Okanogan,Washington Pass (Okanogan Co.),48.5258316,-120.6474222,Juvenile – 1,,Unspecified,"","",,,,,,,S57764362,"",,,,,Perisoreus canadensis,gryjay,Species,20953,,4.82,154,,2627,3915
307675321,Photo,Canada Jay,Perisoreus canadensis,,Thierry Grandmont,2021-02-14,2021,2,14,806,Canada,CA-QC-CV,Quebec,Charlevoix,PN des Grands-Jardins--Étang Malbaie,47.7306644,-70.7357204,"",,Unspecified,"","",,,,,,,S81464597,"",,,,"Ils m’ont tenus compagnie! Trois au Refuge La Galette en arrivant, deux qui sont venus manger mes canneberges au refuge Pointu #1 et un dernier dans une petite zone résineuse au milieu de la zone ouverte.",Perisoreus canadensis,gryjay,Species,20953,,4.87,89,,2825,3783
151799361,Photo,Canada Jay,Perisoreus canadensis,,Zak Pohlen,2018-10-28,2018,10,28,1345,United States,US-AK-240,Alaska,Southeast Fairbanks Census Area,Alaska Hwy.--Welcome to Alaska Sign,62.6158856,-141.0026267,"",,Unspecified,"","",,,,,,,S49670252,"",,,,,Perisoreus canadensis,gryjay,Species,20953,,4.96,46,,2509,4182
207070341,Photo,Canada Jay,Perisoreus canadensis,,R M,2020-02-01,2020,2,1,1328,United States,US-NY-041,New York,Hamilton,Sabattis Bog,44.0707984,-74.5388353,"",,Unspecified,"","",,,,,,,S64016140,"",,,,,Perisoreus canadensis,gryjay,Species,20953,,4.90,58,,2807,4210
349932191,Photo,Canada Jay,Perisoreus canadensis,,mark daly,2021-06-14,2021,6,14,758,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Mount Seymour Provincial Park--Entrance,49.3209821,-122.9691553,Adult – 1,"Courtship, Display, or Copulation; Vocalizing",Unspecified,"","",,,,,,,S90182845,"",,,natureasart.photoshelter.com,2 adults courting one feeding the other,Perisoreus canadensis,gryjay,Species,20953,,4.89,56,"",2855,4500
176512281,Photo,Canada Jay,Perisoreus canadensis,,Bryan Calk,2019-06-21,2019,6,21,1000,United States,US-AK-020,Alaska,Anchorage Municipality,Hillside Park,61.1380476,-149.7532385,Immature – 1,,Unspecified,"","",,,,,,,S59664962,"",,,,,Perisoreus canadensis,gryjay,Species,20953,,4.85,67,,2783,4948
