ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
308223581,Photo,Carolina Chickadee,Poecile carolinensis,,Brad Imhoff,2021-02-14,2021,2,14,1417,United States,US-OH-089,Ohio,Licking,Pinetree Drive,40.0921976,-82.4813998,"",,Unspecified,"","",,,,,,,S81453166,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.95,115,,1537,2306
192104021,Photo,Carolina Chickadee,Poecile carolinensis,,Ryan Sanderson,2019-12-08,2019,12,8,1018,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult – 1,,Unspecified,"","",,,,,,,S62144426,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.91,94,,2713,4069
324052281,Photo,Carolina Chickadee,Poecile carolinensis,,Matt Felperin,2021-04-04,2021,4,4,631,United States,US-VA-059,Virginia,Fairfax,Meadowlark Botanical Gardens,38.9402075,-77.2832423,"",,Unspecified,"","",,,,,,,S84752964,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.87,91,,1962,2943
314984781,Photo,Carolina Chickadee,Poecile carolinensis,,Jefferson Shank,2021-03-08,2021,3,8,1646,United States,US-PA-055,Pennsylvania,Franklin,Heisey Rd. Old Orchard,39.9748587,-77.5285567,Adult – 1,"",Unspecified,"","",,,,,,,S83052504,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.85,80,Habitat,2061,3091
310254991,Photo,Carolina Chickadee,Poecile carolinensis,,Matthew Plante,2021-02-21,2021,2,21,1707,United States,US-OH-089,Ohio,Licking,Park Trails,40.0537932,-82.4896630,"",,Unspecified,"","",,,,,,,S82122124,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.79,73,,2073,3110
26126801,Photo,Carolina Chickadee,Poecile carolinensis,,David Hollie,2011-01-13,2011,1,13,830,United States,US-GA-047,Georgia,Catoosa,Spivey House,34.9474283,-85.0349986,"",,Unspecified,"","",,,,,,,S7419443,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.83,53,,2126,3190
192479131,Photo,Carolina Chickadee,Poecile carolinensis,,Bryan Calk,2019-10-09,2019,10,9,802,United States,US-TX-259,Texas,Kendall,Block Creek Natural Area (BCNA),30.0799568,-98.8506460,Adult – 1,,Unspecified,"","",,,,,,,S60492594,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.71,76,,1982,3523
327958121,Photo,Carolina Chickadee,Poecile carolinensis,,Brad Imhoff,2021-04-17,2021,4,17,1650,United States,US-OH-089,Ohio,Licking,Pinetree Drive,40.0921976,-82.4813998,"",,Unspecified,"","",,,,,,,S85888323,"",,,Perched among Eastern Redbud trees.,,Poecile carolinensis,carchi,Species,21836,,4.72,81,,2731,4094
273582741,Photo,Carolina Chickadee,Poecile carolinensis,,Ronan Nicholson,2020-10-22,2020,10,22,800,United States,US-NC-021,North Carolina,Buncombe,Young’s Cove Road,35.5232700,-82.7128780,"",,Unspecified,"","",,,,,,,S75211070,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.68,84,,3229,4843
91576971,Photo,Carolina Chickadee,Poecile carolinensis,,Jonathan Irons,2018-03-14,2018,3,14,837,United States,US-MD-035,Maryland,"Queen Anne's",Big water farm (Private),38.8879430,-76.1964941,Unknown,,Unspecified,"","",,,,,,,S43640095,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.71,75,,2230,3149
628992784,Photo,Carolina Chickadee,Poecile carolinensis,,James Tornetta,2025-01-06,2025,1,6,1302,United States,US-PA-091,Pennsylvania,Montgomery,Diarffordd Farm,40.0441760,-75.2773920,"",,Unspecified,"","",,,,,,,S208322151,"",,,,"After submitting this photo for review, it have concluded that this bird may be a hybrid between the more infrequent Black-capped and common Carolina Chickadees. The following characteristics noted are typical of a BCCH - messier bib/nape and more white on wingbars. I noticed slightly larger size and longer tail that the Carolinas it was associating with. Yet, the lack of much buff on flanks points toward Carolina, and it was remarked to ""not have a strong look of a northern migrant"". All in all, I am going to leave it as a Carolina Chickadee rather than put it as a hybrid without certainty.",Poecile carolinensis,carchi,Species,21836,,4.88,34,,1707,2560
514457571,Photo,Carolina Chickadee,Poecile carolinensis,,Mason Maron,2022-12-18,2022,12,18,1327,United States,US-NC-019,North Carolina,Brunswick,Provision Restaurant,33.9169640,-78.2704460,"",,Unspecified,"","",,,,,,,S124195992,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.79,47,,3004,4807
177488291,Photo,Carolina Chickadee,Poecile carolinensis,,Brad Imhoff,2019-09-16,2019,9,16,1845,United States,US-OH-089,Ohio,Licking,Pinetree Drive,40.0921976,-82.4813998,"",,Unspecified,"","",,,,,,,S59862502,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.81,37,,2525,3787
295840591,Photo,Carolina Chickadee,Poecile carolinensis,,Ryan Sanderson,2020-12-23,2020,12,23,852,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult – 1,,Unspecified,"","",,,,,,,S77877185,"",,,,,Poecile carolinensis,carchi,Species,21836,,5.00,22,,4450,6671
286025011,Photo,Carolina Chickadee,Poecile carolinensis,,Martina Nordstrand,2020-12-06,2020,12,6,1025,United States,US-SC-091,South Carolina,York,River Park,34.9562102,-80.9500873,"",,Unspecified,"","",,,,,,,S77162592,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.87,30,,2726,4089
419804621,Photo,Carolina Chickadee,Poecile carolinensis,,Shea Tiller,2020-09-19,2020,9,19,734,United States,US-VA-065,Virginia,Fluvanna,Pleasant Grove Park,37.8714234,-78.2872814,"",,Unspecified,"","",,,,,,,S73788743,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.76,38,,2711,4000
285264191,Photo,Carolina Chickadee,Poecile carolinensis,,Max Nootbaar,2020-11-18,2020,11,18,1041,United States,US-VA-121,Virginia,Montgomery,Heritage Community Park and Natural Area,37.2397586,-80.4578590,"",,Unspecified,"","",,,,,,,S76365920,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.88,26,,2683,3834
187079051,Photo,Carolina Chickadee,Poecile carolinensis,,Alex Wiebe,2019-11-09,2019,11,9,547,United States,US-MD-047,Maryland,Worcester,Assateague State Park,38.2290000,-75.1440000,"",,Unspecified,"","",,,,,,,S61322929,"",,,,,Poecile carolinensis,carchi,Species,21836,,5.00,20,,3097,4117
170967981,Photo,Carolina Chickadee,Poecile carolinensis,,Ann Mallard,2019-08-03,2019,8,3,930,United States,US-TX-029,Texas,Bexar,Crescent Bend Nature Park (Bexar Co.),29.5502272,-98.2325739,"",,Unspecified,"","",,,,,,,S58711977,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.79,29,,2156,2744
307772331,Photo,Carolina Chickadee,Poecile carolinensis,,Brad Imhoff,2021-02-14,2021,2,14,1417,United States,US-OH-089,Ohio,Licking,Pinetree Drive,40.0921976,-82.4813998,"",,Unspecified,"","",,,,,,,S81453166,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.95,21,,1511,2266
534997511,Photo,Carolina Chickadee,Poecile carolinensis,,Ryan Sanderson,2023-02-11,2023,2,11,732,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,"",,Unspecified,"","",,,,,,,S128077892,"",,,,,Poecile carolinensis,carchi,Species,21836,,5.00,19,,4918,6147
515880881,Photo,Carolina Chickadee,Poecile carolinensis,,Brad Imhoff,2022-12-23,2022,12,23,1450,United States,US-OH-089,Ohio,Licking,Pinetree Drive,40.0921976,-82.4813998,"",,Unspecified,"","",,,,,,,S124483606,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.87,23,,2735,4103
354410481,Photo,Carolina Chickadee,Poecile carolinensis,,Brad Imhoff,2021-07-14,2021,7,14,905,United States,US-OH-089,Ohio,Licking,Pinetree Drive,40.0921976,-82.4813998,"",,Unspecified,"","",,,,,,,S91741239,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.79,29,,2160,3238
291103341,Photo,Carolina Chickadee,Poecile carolinensis,,Ronan Nicholson,2020-12-25,2020,12,25,800,United States,US-NC-021,North Carolina,Buncombe,Young’s Cove Road,35.5232700,-82.7128780,"",,Unspecified,"","",,,,,,,S77997636,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.95,19,,3301,4951
295772291,Photo,Carolina Chickadee,Poecile carolinensis,,Matthew Plante,2021-01-08,2021,1,8,1133,United States,US-OH-089,Ohio,Licking,Dawes Arboretum,39.9801095,-82.4130067,"",,Unspecified,"","",,,,,,,S78878862,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.79,28,,2750,4125
550485881,Photo,Carolina Chickadee,Poecile carolinensis,,Ryan Sanderson,2023-03-27,2023,3,27,1431,United States,US-IN-097,Indiana,Marion,Sanderson Home (private),39.6531970,-86.1949360,Adult – 1,,Unspecified,"","",,,,,,,S131984123,"",,,,,Poecile carolinensis,carchi,Species,21836,,5.00,17,,3424,5136
342649381,Photo,Carolina Chickadee,Poecile carolinensis,,Allison Matlock,2021-05-25,2021,5,25,1818,United States,US-PA-041,Pennsylvania,Cumberland,Winding Hills Nature Trail,40.1858307,-76.9569157,Juvenile – 1,,Unspecified,"","",,,,,,,S88990045,"",,,,,Poecile carolinensis,carchi,Species,21836,,5.00,16,,,
326607381,Photo,Carolina Chickadee,Poecile carolinensis,,Brian Smith,2021-04-15,2021,4,15,830,United States,US-MD-021,Maryland,Frederick,Audrey Carroll Audubon Sanctuary,39.4178615,-77.2069788,"",,Unspecified,"","",,,,,,,S85613105,"",,,,,Poecile carolinensis,carchi,Species,21836,,5.00,16,,2580,3225
320143481,Photo,Carolina Chickadee,Poecile carolinensis,,Andrew Simon,2021-03-20,2021,3,20,924,United States,US-OH-049,Ohio,Franklin,Quarry Apartments Lake,39.9887279,-83.0726051,"",,Unspecified,"","",,,,,,,S83721900,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.58,45,,1928,2880
187864311,Photo,Carolina Chickadee,Poecile carolinensis,,Derek Hudgins,2019-11-08,2019,11,8,1314,United States,US-PA-133,Pennsylvania,York,Codorus SP--Bird Viewing Station,39.7953850,-76.8917602,Adult – 1,,Unspecified,"","",,,,,,,S61271911,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.79,19,,1771,2656
187078981,Photo,Carolina Chickadee,Poecile carolinensis,,Alex Wiebe,2019-11-09,2019,11,9,547,United States,US-MD-047,Maryland,Worcester,Assateague State Park,38.2290000,-75.1440000,"",,Unspecified,"","",,,,,,,S61322929,"",,,,,Poecile carolinensis,carchi,Species,21836,,5.00,14,,3141,4296
172663001,Photo,Carolina Chickadee,Poecile carolinensis,,Nathan Tea,2019-08-15,2019,8,15,1725,United States,US-MD-031,Maryland,Montgomery,Home,39.0842382,-77.0488438,"",,Unspecified,"","",,,,,,,S59015976,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.57,30,,2658,4512
515880891,Photo,Carolina Chickadee,Poecile carolinensis,Sitta canadensis -- Red-breasted Nuthatch,Brad Imhoff,2022-12-23,2022,12,23,1450,United States,US-OH-089,Ohio,Licking,Pinetree Drive,40.0921976,-82.4813998,"",,Unspecified,"","",,,,,,,S124483606,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.93,15,,2902,4353
285264181,Photo,Carolina Chickadee,Poecile carolinensis,,Max Nootbaar,2020-11-18,2020,11,18,1041,United States,US-VA-121,Virginia,Montgomery,Heritage Community Park and Natural Area,37.2397586,-80.4578590,"",,Unspecified,"","",,,,,,,S76365920,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.93,15,,3648,2897
286024991,Photo,Carolina Chickadee,Poecile carolinensis,,Martina Nordstrand,2020-12-06,2020,12,6,1025,United States,US-SC-091,South Carolina,York,River Park,34.9562102,-80.9500873,"",,Unspecified,"","",,,,,,,S77162592,"",,,,,Poecile carolinensis,carchi,Species,21836,,5.00,13,,2423,3635
203402551,Photo,Carolina Chickadee,Poecile carolinensis,,Peter F,2020-01-11,2020,1,11,1410,United States,US-IN-097,Indiana,Marion,Eagle Creek Park--Circle Drive,39.8715402,-86.2867069,"",,Unspecified,"","",,,,,,,S63351319,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.93,14,,2898,4348
247683841,Photo,Carolina Chickadee,Poecile carolinensis,,Martina Nordstrand,2020-07-01,2020,7,1,1643,United States,US-NC-179,North Carolina,Union,Rosewater Lane,35.0456712,-80.6590318,"",,Unspecified,"","",,,,,,,S71029495,"",,,,,Poecile carolinensis,carchi,Species,21836,,4.68,19,,2598,3898
