ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
427496571,Photo,"Cassin's Kingbird",Tyrannus vociferans,,Andrew Newmark,2022-03-21,2022,3,21,1630,United States,US-CA-073,California,San Diego,Yard - Chula Vista West,32.6268948,-117.0833076,"",,Unspecified,"","",,,,,,,S105340545,"",,,,,Tyrannus vociferans,caskin,Species,17292,,4.91,76,,1769,2653
309455321,Photo,"Cassin's Kingbird",Tyrannus vociferans,,Juan Miguel Artigas Azas,2021-02-19,2021,2,19,917,Mexico,MX-SLP-030,San Luis Potosí,San Luis Potosí,Tanque Tenorio,22.1338128,-100.8741986,"",,Unspecified,"","",,,,,,,S81941536,"",,,,,Tyrannus vociferans,caskin,Species,17292,,4.90,39,,800,1200
255488131,Photo,"Cassin's Kingbird",Tyrannus vociferans,,Jim Merritt,2020-08-12,2020,8,12,846,United States,US-CO-041,Colorado,El Paso,Squirrel Creek Road East,38.6938617,-104.3981552,"",,Unspecified,"","",,,,,,,S72359970,"",,,,,Tyrannus vociferans,caskin,Species,17292,,4.90,39,,8705,10000
379132831,Photo,"Cassin's Kingbird",Tyrannus vociferans,,Bridget Spencer,2021-10-14,2021,10,14,759,United States,US-CA-073,California,San Diego,Nobel Athletic Fields,32.8656040,-117.2012830,"",,Unspecified,"","",,,,,,,S96120598,"",,,,,Tyrannus vociferans,caskin,Species,17292,,4.82,44,,3496,5245
617861549,Photo,"Cassin's Kingbird",Tyrannus vociferans,,Braxton Landsman,2023-05-02,2023,5,2,817,United States,US-CA-059,California,Orange,Ladera Ranch West Ridge Trail,33.5343333,-117.6519033,"",,Unspecified,"","",,,,,,,S135812116,"",,,,,Tyrannus vociferans,caskin,Species,17292,,4.93,28,,3268,4816
566081501,Photo,"Cassin's Kingbird",Tyrannus vociferans,,Braxton Landsman,2023-05-02,2023,5,2,817,United States,US-CA-059,California,Orange,Ladera Ranch West Ridge Trail,33.5343333,-117.6519033,"",,Unspecified,"","",,,,,,,S135812116,"",,,,,Tyrannus vociferans,caskin,Species,17292,,4.96,25,,3559,4971
327187971,Photo,"Cassin's Kingbird",Tyrannus vociferans,,Sharif Uddin,2021-04-11,2021,4,11,700,United States,US-CA-071,California,San Bernardino,CSU San Bernardino,34.1815597,-117.3245430,"",,Unspecified,"","",,,,,,,S85326401,"",,,,,Tyrannus vociferans,caskin,Species,17292,,4.95,22,,2251,3377
246898281,Photo,"Cassin's Kingbird",Tyrannus vociferans,,Jim Merritt,2020-07-01,2020,7,1,602,United States,US-CO-041,Colorado,El Paso,"80831, Colorado Springs US-CO 38.86568, -104.65104",38.8656810,-104.6510420,"",,Unspecified,"","",,,,,,,S71028614,"",,,,,Tyrannus vociferans,caskin,Species,17292,,4.91,23,,10000,9927
535872951,Photo,"Cassin's Kingbird",Tyrannus vociferans,,Tom Fangrow,2023-02-16,2023,2,16,858,United States,US-CA-059,California,Orange,Lower Round Canyon,33.6953023,-117.7076931,"",,Unspecified,"","",,,,,,,S128473673,"",,,,,Tyrannus vociferans,caskin,Species,17292,,4.95,21,,1525,2286
515181201,Photo,"Cassin's Kingbird",Tyrannus vociferans,,Ryan Sanderson,2022-08-02,2022,8,2,557,United States,US-AZ-003,Arizona,Cochise,"Ash Canyon Bird Sanctuary (closed Thursday morning; formerly Ash Canyon B&B)",31.3904516,-110.2392496,"",,Unspecified,"","",,,,,,,S116820678,"",,,,,Tyrannus vociferans,caskin,Species,17292,,5.00,19,,2461,3692
