ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
359868681,Photo,Chimney Swift,Chaetura pelagica,,Ryan Sanderson,2021-08-07,2021,8,7,609,United States,US-IN-097,Indiana,Marion,Eagle Creek Park--North Mudflats,39.8844825,-86.3019004,Adult – 1,,Unspecified,"","",,,,,,,S92954954,"",,,,,Chaetura pelagica,chiswi,Species,3842,,4.96,80,,1975,2960
63954681,Photo,Chimney Swift,Chaetura pelagica,,Tom Johnson,2017-07-20,2017,7,20,710,United States,US-NJ-009,New Jersey,Cape May,Cape Island--Cape May Point SP (CMPSP),38.9338272,-74.9550854,"",,Unspecified,"","",,,,,,,S38229755,"",,,,,Chaetura pelagica,chiswi,Species,3842,,4.82,130,,1000,1500
621671465,Photo,Chimney Swift,Chaetura pelagica,,Matthew Dolkart,2024-07-20,2024,7,20,455,United States,US-IL-031,Illinois,Cook,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",41.9633833,-87.6344204,"",,Unspecified,"","",,,,,,,S187869199,"",,,,,Chaetura pelagica,chiswi,Species,3842,,5.00,42,,1914,2871
287767841,Photo,Chimney Swift,Chaetura pelagica,,Peter F,2020-08-12,2020,8,12,711,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,"",Flying,Unspecified,"","",,,,,,,S72341781,"",,,,,Chaetura pelagica,chiswi,Species,3842,,4.89,63,"",1890,2831
287767821,Photo,Chimney Swift,Chaetura pelagica,,Peter F,2020-08-12,2020,8,12,711,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,"",Flying,Unspecified,"","",,,,,,,S72341781,"",,,,,Chaetura pelagica,chiswi,Species,3842,,4.95,40,"",1791,2683
530042901,Photo,Chimney Swift,Chaetura pelagica,,Peter F,2022-08-12,2022,8,12,629,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,"",Flying,Unspecified,"","",,,,,,,S116815694,"",,,,,Chaetura pelagica,chiswi,Species,3842,,5.00,31,"",1652,2478
163999181,Photo,Chimney Swift,Chaetura pelagica,,August Davidson-Onsgard,2019-06-12,2019,6,12,1700,United States,US-NY-047,New York,Kings,Fort Greene Park,40.6919230,-73.9754964,"",,Unspecified,"","",,,,,,,S57327474,"",,,,,Chaetura pelagica,chiswi,Species,3842,,4.71,82,,1445,2168
233564481,Photo,Chimney Swift,Chaetura pelagica,,Daniel Irons,2020-05-11,2020,5,11,1055,United States,US-MD-035,Maryland,"Queen Anne's",Blue Heron Nature Reserve (formerly Price Creek Environmental Area),38.9009194,-76.3534355,"",,Unspecified,"","",,,,,,,S68870187,"",,,,,Chaetura pelagica,chiswi,Species,3842,,4.70,54,,1333,2000
287767861,Photo,Chimney Swift,Chaetura pelagica,,Peter F,2020-08-12,2020,8,12,711,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,"",Flying,Unspecified,"","",,,,,,,S72341781,"",,,,,Chaetura pelagica,chiswi,Species,3842,,4.93,27,"",1614,2418
264078391,Photo,Chimney Swift,Chaetura pelagica,,Peter F,2020-08-20,2020,8,20,710,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,"",,Unspecified,"","",,,,,,,S72625965,"",,,,,Chaetura pelagica,chiswi,Species,3842,,4.95,21,,1546,2319
