ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
463504931,Photo,Common Loon,Gavia immer,,Matthew Bode,2022-06-25,2022,6,25,530,United States,US-VT-007,Vermont,Chittenden,Colchester Pond - Colchester (186 acres),44.5546324,-73.1198448,"",,Unspecified,"","",,,,,,,S114040184,"",,,,,Gavia immer,comloo,Species,6854,,4.94,510,,3712,5568
245172211,Photo,Common Loon,Gavia immer,,Christian Hagenlocher,2020-06-23,2020,6,23,856,United States,US-VT-027,Vermont,Windsor,Rescue Lake - Ludlow (180 acres),43.4493636,-72.7008070,"",,Unspecified,"","",,,,,,,S70735434,"",,,,,Gavia immer,comloo,Species,6854,,4.93,444,,3183,4775
598557551,Photo,Common Loon,Gavia immer,,Ethan Rising,2023-07-29,2023,7,29,830,United States,US-VT-023,Vermont,Washington,Lake Greenwood - Woodbury (96 acres),44.4560165,-72.4256471,"Adult – 1; Juvenile – 1",,Unspecified,"","",,,,,,,S145935850,"",,,,,Gavia immer,comloo,Species,6854,,4.99,130,,1634,2451
223187091,Photo,Common Loon,Gavia immer,,Brad Imhoff,2020-04-12,2020,4,12,855,United States,US-OH-089,Ohio,Licking,Park Trails Pond,40.0468849,-82.4917336,"",,Unspecified,"","",,,,,,,S67110401,"",,,,,Gavia immer,comloo,Species,6854,,4.94,196,,1940,2910
128613371,Photo,Common Loon,Gavia immer,,Dorian Anderson,2018-12-08,2018,12,8,730,United States,US-CA-081,California,San Mateo,Pillar Point Harbor,37.5033407,-122.4819213,"",,Unspecified,"","",,,,,,,S50587949,"",,,,,Gavia immer,comloo,Species,6854,,4.91,201,,3720,5580
320002041,Photo,Common Loon,Gavia immer,,Reed Robinson,2020-06-26,2020,6,26,1532,United States,US-ME-017,Maine,Oxford,North Waterford NW,44.2291310,-70.8437500,"",,Unspecified,"","",,,,,,,S71178007,"",,,,"I have been monitoring this pair of loons for quite a while, and over time it seems they have learned to trust my kayak (but they seem disturbed by other boats/kayaks) and didn't mind me at all, which is pretty amazing when they have chicks.",Gavia immer,comloo,Species,6854,,4.96,117,,2670,4746
245569581,Photo,Common Loon,Gavia immer,,Christian Hagenlocher,2020-06-25,2020,6,25,744,United States,US-VT-027,Vermont,Windsor,Rescue Lake - Ludlow (180 acres),43.4493636,-72.7008070,"",,Unspecified,"","",,,,,,,S70806051,"",,,,Tangled with fishing lure. Visited with Vermont Center for Ecostudies,Gavia immer,comloo,Species,6854,,4.96,85,,2994,4407
609456165,Photo,Common Loon,Gavia immer,,Rain Saulnier,2023-09-17,2023,9,17,1517,Canada,CA-ON-FR,Ontario,Frontenac,Loughborough Lake (east basin),44.4468879,-76.4103793,"",,Unspecified,"","",,,,,,,S150192270,"",,,,,Gavia immer,comloo,Species,6854,,4.88,163,,2122,3772
482295031,Photo,Common Loon,Gavia immer,,Ryan Schain,2022-09-07,2022,9,7,930,United States,US-NH-017,New Hampshire,Strafford,"Gilson House, Merrymeeting Lake",43.4863000,-71.1602710,"",,Unspecified,"","",,,,,,,S118285028,"",,,,,Gavia immer,comloo,Species,6854,,4.92,88,,3064,4880
143188971,Photo,Common Loon,Gavia immer,,Matthew Addicks,2019-02-19,2019,2,19,1400,United States,US-MD-005,Maryland,Baltimore,Loch Raven Reservoir & Watershed,39.4507752,-76.5686989,"",,Unspecified,"","",,,,,,,S53254550,"",,,,,Gavia immer,comloo,Species,6854,,4.91,98,,3048,5160
