ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
343877871,Photo,Common Nighthawk,Chordeiles minor,,Phil Chaon,2021-05-27,2021,5,27,1645,United States,US-NM-025,New Mexico,Lea,Loco Lagoon (formerly Conoco Pond),32.8089189,-103.7512779,"",,Unspecified,"","",,,,,,,S89108299,"",,,,,Chordeiles minor,comnig,Species,3439,,4.93,545,,2329,3470
125530101,Photo,Common Nighthawk,Chordeiles minor,,Steve Kolbe,2018-07-21,2018,7,21,930,United States,US-WY-023,Wyoming,Lincoln,Slate Creek Campground,41.9844409,-110.0461864,"","Flying; Foraging or Eating",Unspecified,"","",,,,,,,S47429390,"",,,,at least this many simultaneously foraging mid-morning. photos.,Chordeiles minor,comnig,Species,3439,,4.94,416,"",2269,3404
64516111,Photo,Common Nighthawk,Chordeiles minor,,"Ronnie d'Entremont",2017-06-25,2017,6,25,2000,United States,US-SD-103,South Dakota,Pennington,Mettler lane,43.9800275,-102.2365487,"",,Unspecified,"","",,,,,,,S38358144,"",,,,,Chordeiles minor,comnig,Species,3439,,4.99,106,,3264,4928
246085731,Photo,Common Nighthawk,Chordeiles minor,,Andrew Dreelin,2020-06-14,2020,6,14,1943,United States,US-MT-071,Montana,Phillips,Wrangler Rd--Prairie Dog Complex and Reservoir,47.7781720,-108.1965170,Adult Male – 1,Flying,Unspecified,"","",,,,,,,S70452626,"",,,Foraging low and close over Wrangler Reservoir. Male by white tail band and more extensive white throat. ,"Most foraging low and close over Wrangler Reservoir; many photos. Awesome experience.",Chordeiles minor,comnig,Species,3439,,4.95,165,"",1384,2365
591235121,Photo,Common Nighthawk,Chordeiles minor,,Neo Morpheus,2023-07-04,2023,7,4,1557,United States,US-FL-086,Florida,Miami-Dade,"Frog Pond WMA--south of Hainlin Mill Sparrow Drive, north of S332D impoundment",25.5236124,-80.5685538,"",,Unspecified,"","",,,,,,,S143613170,"",,,,,Chordeiles minor,comnig,Species,3439,,4.97,123,,3022,5373
619005485,Photo,Common Nighthawk,Chordeiles minor,,Beau Cotter,2024-05-12,2024,5,12,1830,United States,US-MI-073,Michigan,Isabella,Mill Pond Park,43.5992274,-84.7875452,"",,Unspecified,"","",,,,,,,S174383599,"",,,,FOY! Got it in front of the moon!,Chordeiles minor,comnig,Species,3439,,4.89,212,,2389,3584
107295391,Photo,Common Nighthawk,Chordeiles minor,,Alex Lamoreaux,2018-07-12,2018,7,12,1627,United States,US-FL-086,Florida,Miami-Dade,West Kendall Agricultural Area,25.6507810,-80.4641810,Adult Male – 1,Flying,Unspecified,"","",,,,,,,S47155839,"",,,,,Chordeiles minor,comnig,Species,3439,,4.92,125,"",2923,4391
472110041,Photo,Common Nighthawk,Chordeiles minor,,Will Sweet,2022-08-01,2022,8,1,749,United States,US-CO-123,Colorado,Weld,Pawnee NG Bird Tour—Stops 9-11 (CR-104),40.7396581,-104.4454206,"",,Unspecified,"","",,,,,,,S116152910,"",,,,,Chordeiles minor,comnig,Species,3439,,4.93,113,,2917,4625
165653451,Photo,Common Nighthawk,Chordeiles minor,,Alex Lamoreaux,2019-06-18,2019,6,18,131,United States,US-OR-045,Oregon,Malheur,"(43.7854,-117.8511)",43.7854080,-117.8510960,Adult,,Unspecified,"","",,,,,,,S57489121,"",,,,,Chordeiles minor,comnig,Species,3439,,4.94,93,,2987,4481
81220281,Photo,Common Nighthawk,Chordeiles minor,,Tammy McQuade,2018-01-08,2018,1,8,1223,United States,US-FL-071,Florida,Lee,"6133 Idlewild St, Fort Myers US-FL (26.5844,-81.8506)",26.5844490,-81.8506100,"",,Unspecified,"","",,,,,,,S41755874,"",,,,There is some debate that it could be an anni.   We believe it to be an overwintering coni.   We have several pictures we’ll attach.  Bird was originally found by Tom Wymelenberg.,Chordeiles minor,comnig,Species,3439,,4.91,113,,3648,5472
444555261,Photo,Common Nighthawk,Chordeiles minor,,Neo Morpheus,2022-05-04,2022,5,4,1613,United States,US-FL-086,Florida,Miami-Dade,Frog Pond WMA--Area between SW 376th St and SR9336,25.4095548,-80.5659628,"",,Unspecified,"","",,,,,,,S109053000,"",,,,Estimated,Chordeiles minor,comnig,Species,3439,,4.96,76,,2566,4106
179814691,Photo,Common Nighthawk,Chordeiles minor,,Blair Dudeck,2019-08-22,2019,8,22,545,Canada,CA-BC-FF,British Columbia,Fraser-Fort George,Mackenzie--Mugaha Marsh,55.3964667,-123.2096100,"",,Unspecified,"","",,,,,,,S59181683,"",,,,,Chordeiles minor,comnig,Species,3439,,4.93,98,,3341,5011
