ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
371283491,Photo,Common Raven,Corvus corax,,Yeray Seminario,2010-11-11,2010,11,11,0,Spain,ES-CN-PAL,Canarias,La Palma,Monumento al Infinito,28.7505661,-17.8352005,"",,Unspecified,"","",,,,,,,S94963255,"",,,,,Corvus corax,comrav,Species,21400,,4.96,159,,1280,1920
394617871,Photo,Common Raven,Corvus corax,,Bryan Calk,2021-10-01,2021,10,1,730,United States,US-WY-029,Wyoming,Park,Yellowstone NP--Roaring Mountain,44.7801749,-110.7385397,"",Vocalizing,Unspecified,"","",,,,,,,S98670155,"",,,,,Corvus corax,comrav,Species,21400,,4.89,683,"",3006,4509
52495321,Photo,Common Raven,Corvus corax,,Darren Clark,2016-10-13,2016,10,13,0,United States,US-WY-029,Wyoming,Park,Yellowstone NP--Grand Canyon of Yellowstone,44.7215516,-110.4869270,"",,Unspecified,"","",,,,,,,S35462748,"",,,,,Corvus corax,comrav,Species,21400,,4.92,121,,1786,2500
171431281,Photo,Common Raven,Corvus corax,,Christopher Lindsey,2016-12-16,2016,12,16,1035,United States,US-UT-019,Utah,Grand,Arches NP,38.6748562,-109.5874214,"",,Unspecified,"","",,,,,,,S33050992,"",,,,,Corvus corax,comrav,Species,21400,,4.91,119,,1365,2048
374986401,Photo,Common Raven,Corvus corax,,Aidan Brubaker,2021-10-03,2021,10,3,1521,United States,US-CA-041,California,Marin,Hawk Hill,37.8281456,-122.4991411,"",,Unspecified,"","",,,,,,,S95567915,"",,,,,Corvus corax,comrav,Species,21400,,4.92,111,,3379,4643
617460175,Photo,Common Raven,Corvus corax,,TJ Hastings,2024-04-15,2024,4,15,1713,United States,US-CA-037,California,Los Angeles,Occidental College,34.1286626,-118.2116890,"",,Unspecified,"","",,,,,,,S168848914,"",,,,,Corvus corax,comrav,Species,21400,,4.92,87,,2933,4400
314510451,Photo,Common Raven,Corvus corax,,Will Sweet,2021-03-07,2021,3,7,1031,United States,US-CA-037,California,Los Angeles,Colorado Lagoon,33.7711322,-118.1334941,"",,Unspecified,"","",,,,,,,S82957915,"",,,,,Corvus corax,comrav,Species,21400,,4.82,102,,3648,5472
134347671,Photo,Common Raven,Corvus corax,,Jack  Bushong,2019-01-01,2019,1,1,930,United States,US-WY-039,Wyoming,Teton,Yellowstone NP--Lone Star Geyser trail,44.4313896,-110.8133733,"",,Unspecified,"","",,,,,,,S51322528,"",,,,,Corvus corax,comrav,Species,21400,,4.73,163,,1640,3185
402427911,Photo,Common Raven,Corvus corax,,Tim Healy,2021-12-31,2021,12,31,836,United States,US-AZ-005,Arizona,Coconino,Grand Canyon NP--South Rim Trail,36.0582586,-112.1273446,"",,Unspecified,"","",,,,,,,S99762378,"",,,,"Patrolling the rim, mostly in pairs. Observed one pair tearing into unattended gear in the back of a pickup truck",Corvus corax,comrav,Species,21400,,4.75,109,,3712,5568
55245761,Photo,Common Raven,Corvus corax,,Javi Elorriaga,2017-04-10,2017,4,10,837,Spain,ES-CN-FVT,Canarias,Fuerteventura,Llanos de Tindaya,28.6052461,-14.0010023,Adult,,Unspecified,"","",,,,,,,S35840691,"",,,,,Corvus corax,comrav,Species,21400,,4.81,62,,800,1200
27299051,Photo,Common Raven,Corvus corax,,Brian Sullivan,2007-01-14,2007,1,14,0,United States,US-CA-081,California,San Mateo,"Pescadero Marsh and Natural Preserve--(North pond,lagoon and marsh trails east of Hwy 1)",37.2681846,-122.4079944,Adult,,Unspecified,"","",,,,,,,S2645796,"",,,,,Corvus corax,comrav,Species,21400,,4.80,56,,2400,4000
299626671,Photo,Common Raven,Corvus corax,,Marc Gálvez,2021-01-19,2021,1,19,1200,Spain,ES-CT-LD,Cataluña,Lleida,El Codó,42.3018078,0.9065941,"",,Unspecified,"","",,,,,,,S79585100,"",,,,,Corvus corax,comrav,Species,21400,,4.74,80,,2724,4086
135739871,Photo,Common Raven,Corvus corax,,Kyle Lima,2017-03-10,2017,3,10,1205,United States,US-CA-081,California,San Mateo,Sharp Park Beaches and Golf Course Perimeter,37.6295275,-122.4951553,"",,Unspecified,"","",,,,,,,S35090478,"",,,,,Corvus corax,comrav,Species,21400,,4.73,79,,3456,5184
51940101,Photo,Common Raven,Corvus corax,,Caroline Lambert,2017-03-21,2017,3,21,1549,Canada,CA-AB-FN,Alberta,Banff,Banff National Park--Bow Lake,51.6702130,-116.4559364,"",,Unspecified,"","",,,,,,,S35342913,"",,,,,Corvus corax,comrav,Species,21400,,4.84,44,,3050,4619
216297751,Photo,Common Raven,Corvus corax,,Matthew Gerlach,2020-03-13,2020,3,13,700,United States,US-UT-037,Utah,San Juan,Canyonlands NP--Grand View Point Overlook,38.3107164,-109.8567769,"",,Unspecified,"","",,,,,,,S65920409,"",,,,,Corvus corax,comrav,Species,21400,,4.74,68,,2265,3393
