ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
491555361,Photo,"Cooper's Hawk",Astur cooperii,,Jen Davis,2022-10-08,2022,10,8,800,United States,US-VA-121,Virginia,Montgomery,Virginia Tech--Duck Pond,37.2251344,-80.4286551,"",,Unspecified,"","",,,,,,,S120234779,"",,,,,Astur cooperii,coohaw,Species,8183,,4.91,343,,1852,2778
272817721,Photo,"Cooper's Hawk",Astur cooperii,,Ryan Sanderson,2020-10-04,2020,10,4,1606,United States,US-IN-097,Indiana,Marion,Eagle Creek Park--Coffer Dam,39.8749655,-86.3062012,Juvenile – 1,Flying,Unspecified,"","",,,,,,,S74430167,"",,,,,Astur cooperii,coohaw,Species,8183,,4.91,227,"",1783,3170
272817741,Photo,"Cooper's Hawk",Astur cooperii,,Ryan Sanderson,2020-10-04,2020,10,4,1606,United States,US-IN-097,Indiana,Marion,Eagle Creek Park--Coffer Dam,39.8749655,-86.3062012,Juvenile – 1,Flying,Unspecified,"","",,,,,,,S74430167,"",,,,,Astur cooperii,coohaw,Species,8183,,4.94,140,"",2777,4936
191198471,Photo,"Cooper's Hawk",Astur cooperii,,Anonymous,2019-12-02,2019,12,2,900,United States,US-CT-003,Connecticut,Hartford,Home,41.9265283,-72.6451674,"",,Unspecified,"","",,,,,,,S61951124,"",,,,,Astur cooperii,coohaw,Species,8183,,4.91,170,,3179,4239
394568641,Photo,"Cooper's Hawk",Astur cooperii,,Anne-Marie Dufour,2021-12-08,2021,12,8,1040,Canada,CA-QC-VS,Quebec,Vaudreuil-Soulanges,Près de chez-moi,45.4177246,-74.0542176,"",,Unspecified,"","",,,,,,,S98630889,"",,,,,Astur cooperii,coohaw,Species,8183,,4.91,159,,3047,4334
385786111,Photo,"Cooper's Hawk",Astur cooperii,,Brian Stahls,2021-11-06,2021,11,6,800,Canada,CA-ON-TO,Ontario,Toronto,Tommy Thompson Park,43.6282673,-79.3291670,"",,Unspecified,"","",,,,,,,S97208843,"",,,,,Astur cooperii,coohaw,Species,8183,,4.89,98,,1773,2660
519010201,Photo,"Cooper's Hawk",Astur cooperii,,Alex Smilor,2023-01-01,2023,1,1,653,United States,US-CA-059,California,Orange,"IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine",33.6637274,-117.8426814,"",Foraging or Eating,Unspecified,"","",,,,,,,S125077176,"",,,"Standing triumphantly over breakfast, in this case a northern shoveler",Eating a NOSH,Astur cooperii,coohaw,Species,8183,,4.92,76,"",4640,6960
313861871,Photo,"Cooper's Hawk",Astur cooperii,,Derek Lecy,2021-03-05,2021,3,5,1301,United States,US-CA-041,California,Marin,Scenic Ave. Yard List - San Rafael US-CA,37.9777550,-122.5429680,Adult – 1,Flying,Unspecified,"","",,,,,,,S82819812,"",,,,"Soaring over the valley with its untacs flared, and then it came in low and headed right over my house.",Astur cooperii,coohaw,Species,8183,,4.89,84,"",2317,3475
272817671,Photo,"Cooper's Hawk",Astur cooperii,,Ryan Sanderson,2020-10-04,2020,10,4,1606,United States,US-IN-097,Indiana,Marion,Eagle Creek Park--Coffer Dam,39.8749655,-86.3062012,Juvenile – 1,Flying,Unspecified,"","",,,,,,,S74430167,"",,,,,Astur cooperii,coohaw,Species,8183,,4.95,58,"",1603,2403
282069881,Photo,"Cooper's Hawk",Astur cooperii,,Zeno Taylord-Hawk,2020-11-22,2020,11,22,721,United States,US-TX-157,Texas,Fort Bend,Cross Creek Ranch wetlands,29.6986869,-95.8764732,"",,Unspecified,"","",,,,,,,S76572754,"",,,,,Astur cooperii,coohaw,Species,8183,,4.86,95,,4000,6000
