ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
226976721,Photo,Double-crested Cormorant,Nannopterum auritum,,Allan  Bigras,2020-04-24,2020,4,24,1415,Canada,CA-QC-MR,Quebec,Montréal,Parc Angrignon,45.4445136,-73.6017311,"",,Unspecified,"","",,,,,,,S67756208,"",,,,,Nannopterum auritum,doccor,Species,7342,,4.96,111,,2976,4464
46366621,Photo,Double-crested Cormorant,Nannopterum auritum,,Matthew Pendleton,2015-04-08,2015,4,8,1300,United States,US-UT-035,Utah,Salt Lake,Saltair & Marina,40.7320925,-112.2079376,"",,Unspecified,"","",,,,,,,S22756717,"",,,,Colony sight. Best conservative guess. counted buy tens.,Nannopterum auritum,doccor,Species,7342,,4.98,96,,4320,2880
319421001,Photo,Double-crested Cormorant,Nannopterum auritum,,Ronan Nicholson,2020-06-29,2020,6,29,1100,United States,US-UT-035,Utah,Salt Lake,Liberty Park,40.7432253,-111.8728888,Adult – 1,,Unspecified,"","",,,,,,,S70965516,"",,,,,Nannopterum auritum,doccor,Species,7342,,4.91,95,,3067,4601
543338451,Photo,Double-crested Cormorant,Nannopterum auritum,,Mason Maron,2022-11-11,2022,11,11,849,United States,US-WA-061,Washington,Snohomish,Edmonds-Kingston Ferry (Snohomish Co.),47.8097152,-122.4237442,Adult – 1,,Unspecified,"","",,,,,,,S122233112,"",,,,,Nannopterum auritum,doccor,Species,7342,,5.00,48,,2846,4554
364739591,Photo,Double-crested Cormorant,Nannopterum auritum,,Dubi Shapiro,2021-03-07,2021,3,7,1010,United States,US-CA-037,California,Los Angeles,Sepulveda Basin--East of Woodley Ave,34.1767221,-118.4737308,"",,Unspecified,"","",,,,,,,S82991862,"",,,,,Nannopterum auritum,doccor,Species,7342,,4.96,51,,1117,745
162456001,Photo,Double-crested Cormorant,Nannopterum auritum,,August Davidson-Onsgard,2019-06-02,2019,6,2,1408,United States,US-NY-061,New York,New York,Central Park,40.7715482,-73.9724819,"",,Unspecified,"","",,,,,,,S57014662,"",,,,,Nannopterum auritum,doccor,Species,7342,,4.86,73,,2157,3235
440251451,Photo,Double-crested Cormorant,Nannopterum auritum,,Ryan Sanderson,2022-04-25,2022,4,25,1935,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Immature – 1,,Unspecified,"","",,,,,,,S108071049,"",,,,,Nannopterum auritum,doccor,Species,7342,,4.92,52,,2581,3872
247550661,Photo,Double-crested Cormorant,Nannopterum auritum,,mark daly,2017-07-08,2017,7,8,0,United States,US-CA-053,California,Monterey,"Moss Landing--marina, town & beach (south jetty southwards)",36.8013642,-121.7879638,Adult – 1,,Unspecified,"","",,,,,,,S71144418,"",,,https://natureasart.photoshelter.com,,Nannopterum auritum,doccor,Species,7342,,4.91,55,,3456,2753
179053221,Photo,Double-crested Cormorant,Nannopterum auritum,,Brad Imhoff,2019-09-26,2019,9,26,758,United States,US-OH-089,Ohio,Licking,Buckeye Lake (Licking Co.),39.9335322,-82.4561477,"",,Unspecified,"","",,,,,,,S60124971,"",,,,,Nannopterum auritum,doccor,Species,7342,,4.86,63,,1395,2093
322320071,Photo,Double-crested Cormorant,Nannopterum auritum,,Sunny Zhang,2021-04-02,2021,4,2,1400,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Vancouver--Jericho Park,49.2715915,-123.1943769,"",,Unspecified,"","",,,,,,,S84643313,"",,,,,Nannopterum auritum,doccor,Species,7342,,4.84,68,,3536,4197
481904731,Photo,Double-crested Cormorant,Nannopterum auritum,,Lambert Gauthier,2022-09-03,2022,9,3,925,Canada,CA-QC-MR,Quebec,Montréal,Parc La Fontaine,45.5263573,-73.5693468,"",,Unspecified,"","",,,,,,,S118247102,"",,,,,Nannopterum auritum,doccor,Species,7342,,4.95,39,,3712,5568
60825491,Photo,Double-crested Cormorant,Nannopterum auritum,,Evan Lipton,2016-07-16,2016,7,16,746,United States,US-MA-023,Massachusetts,Plymouth,Hingham Harbor,42.2534260,-70.8845615,"",,Unspecified,"","",,,,,,,S30708580,"",,,,,Nannopterum auritum,doccor,Species,7342,,4.91,47,,2774,4161
