ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
447959041,Photo,Eastern Kingbird,Tyrannus tyrannus,,Ronan Nicholson,2022-05-07,2022,5,7,1320,United States,US-NC-021,North Carolina,Buncombe,Warren Wilson College--Owen Park,35.6100716,-82.4282965,Adult – 1,,Unspecified,"","",,,,,,,S109249922,"",,,,,Tyrannus tyrannus,easkin,Species,17302,,4.98,106,,2537,3805
169071581,Photo,Eastern Kingbird,Tyrannus tyrannus,,Darren Clark,2019-07-20,2019,7,20,1848,United States,US-ID-051,Idaho,Jefferson,Market Lake WMA--General,43.7808238,-112.1461630,"",,Unspecified,"","",,,,,,,S58333563,"",,,,,Tyrannus tyrannus,easkin,Species,17302,,5.00,72,,2000,3000
454355421,Photo,Eastern Kingbird,Tyrannus tyrannus,,Matt Mason,2022-05-28,2022,5,28,547,United States,US-OH-115,Ohio,Morgan,AEP Grasslands Unionville Road,39.6963420,-81.7298480,"",,Unspecified,"","",,,,,,,S111545706,"",,,,,Tyrannus tyrannus,easkin,Species,17302,,4.96,78,,2498,3464
581234581,Photo,Eastern Kingbird,Tyrannus tyrannus,,Jeff Dyck,2023-06-03,2023,6,3,1716,Canada,CA-BC-FF,British Columbia,Fraser-Fort George,Cleswuncut Lake,53.3521257,-123.0993435,"",,Unspecified,"","",,,,,,,S140517452,"",,,,,Tyrannus tyrannus,easkin,Species,17302,,4.95,61,,1600,2400
94902721,Photo,Eastern Kingbird,Tyrannus tyrannus,,Marky Mutchler,2018-04-14,2018,4,14,1604,United States,US-TX-071,Texas,Chambers,Anahuac NWR (UTC 049),29.6148414,-94.5344353,"",,Unspecified,"","",,,,,,,S44577721,"",,,,,Tyrannus tyrannus,easkin,Species,17302,,4.86,104,,3528,5004
352900351,Photo,Eastern Kingbird,Tyrannus tyrannus,,David Turgeon,2021-06-23,2021,6,23,718,Canada,CA-QC-HC,Quebec,La Haute-Côte-Nord,"Rang Saint Joseph, Sacré-Coeur",48.1931781,-69.8215149,Adult – 1,,Unspecified,"","",,,,,,,S90639457,"",,,,,Tyrannus tyrannus,easkin,Species,17302,,4.91,70,,1796,2694
157428421,Photo,Eastern Kingbird,Tyrannus tyrannus,,Liam Wolff,2019-05-05,2019,5,5,722,United States,US-TX-071,Texas,Chambers,Anahuac NWR--Shoveler Pond Loop,29.6138335,-94.5452351,Adult,,Unspecified,"","",,,,,,,S55867825,"",,,,,Tyrannus tyrannus,easkin,Species,17302,,4.96,54,,2655,3983
618718133,Photo,Eastern Kingbird,Tyrannus tyrannus,,Beau Cotter,2024-05-09,2024,5,9,805,United States,US-MI-073,Michigan,Isabella,Central Michigan University Disc Golf Course area,43.5727310,-84.7702235,"",,Unspecified,"","",,,,,,,S172987437,"",,,,"Spend 99% of my time with these guys, got some nice shots.",Tyrannus tyrannus,easkin,Species,17302,,4.93,61,,3043,4564
584793421,Photo,Eastern Kingbird,Tyrannus tyrannus,,Asher  Warkentin,2023-06-12,2023,6,12,1102,Canada,CA-AB-TR,Alberta,Fort MacLeod,Del Bonita Community Campground,49.0939327,-112.7790078,"",,Unspecified,"","",,,,,,,S141406253,"",,,,,Tyrannus tyrannus,easkin,Species,17302,,4.94,49,,2163,3461
168086701,Photo,Eastern Kingbird,Tyrannus tyrannus,,Kyle Tansley,2019-07-13,2019,7,13,625,United States,US-VT-007,Vermont,Chittenden,Colchester Pond - Colchester (186 acres),44.5546324,-73.1198448,Immature,,Unspecified,"","",,,,,,,S58147524,"",,,Feeding time!,2a2y. Also 2a further up trail,Tyrannus tyrannus,easkin,Species,17302,,4.95,44,,3025,4537
165474991,Photo,Eastern Kingbird,Tyrannus tyrannus,,Kyle Tansley,2019-06-23,2019,6,23,1100,United States,US-VT-007,Vermont,Chittenden,Colchester Pond - Colchester (186 acres),44.5546324,-73.1198448,Adult,,Unspecified,"","",,,,,,,S57624937,"",,,panting in the heat,,Tyrannus tyrannus,easkin,Species,17302,,4.81,85,,2667,4000
