ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
362413861,Photo,Eastern Phoebe,Sayornis phoebe,,Gang Wu,2021-08-19,2021,8,19,855,Canada,CA-ON-OT,Ontario,Ottawa,Britannia CA (general location),45.3711229,-75.7915535,"",,Unspecified,"","",,,,,,,S93458960,"",,,,,Sayornis phoebe,easpho,Species,16840,,4.90,102,,3038,4558
156205531,Photo,Eastern Phoebe,Sayornis phoebe,,Brad Imhoff,2019-05-05,2019,5,5,937,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,"",,Unspecified,"","",,,,,,,S55846035,"",,,,,Sayornis phoebe,easpho,Species,16840,,4.88,103,,1907,2861
509657681,Photo,Eastern Phoebe,Sayornis phoebe,,Derek Lecy,2022-12-03,2022,12,3,804,United States,US-CA-041,California,Marin,Rodeo Lagoon (including beach and offshore),37.8304863,-122.5329514,"",,Unspecified,"","",,,,,,,S123402289,"",,,,"Continuing bird found yesterday (12/2) by W. Legge. Thank you yet again, William! Initially, Alex picked it up in the willows in the south side of Mitchell Rd. (north side of lagoon) near the “Park Parallel” sign across from the Nature Bridge campus. We lost it fairly quickly and could not refind it until awhile later when it almost flew right over us both on Kirkpatrick St. near building T1044. We followed it to the roped off section near the volleyball court here (37.8326834, -122.5347095), where we eventually enjoyed great views as it foraged actively. We were soon joined by others, who all had solid looks at the bird in the same general vicinity.   Superficially, reminiscent of an empid (WIFL), but overall larger, darker uppers, dark head/crown and face, dark tail, and all black bill. Phoebe-type behavior, constantly tail-wagging. A really good bird for the county, the first since 2017 and the first chaseable one in over a decade(?). Enjoyed an absolutely lovely Marin Phoebe trifecta.",Sayornis phoebe,easpho,Species,16840,,5.00,48,,1951,2927
395309991,Photo,Eastern Phoebe,Sayornis phoebe,,Nico Sarbanes,2021-07-18,2021,7,18,1745,United States,US-MD-005,Maryland,Baltimore,Lake Roland,39.3846668,-76.6443157,"",,Unspecified,"","",,,,,,,S91959314,"",,,,,Sayornis phoebe,easpho,Species,16840,,4.96,47,,3634,5451
101372171,Photo,Eastern Phoebe,Sayornis phoebe,,Ryan Schain,2018-05-20,2018,5,20,1346,United States,US-MA-025,Massachusetts,Suffolk,Millennium Park,42.2817402,-71.1812353,"",,Unspecified,"","",,,,,,,S45867961,"",,,,,Sayornis phoebe,easpho,Species,16840,,4.91,55,,2616,4020
187426561,Photo,Eastern Phoebe,Sayornis phoebe,,Scott Martin,2019-11-11,2019,11,11,1130,United States,US-MA-005,Massachusetts,Bristol,Copicut Reservoir,41.7075227,-71.0362244,"",,Unspecified,"","",,,,,,,S61377147,"",,,,Catching Flies off small pond near 2nd parking area,Sayornis phoebe,easpho,Species,16840,,4.93,45,,1391,2084
625628321,Photo,Eastern Phoebe,Sayornis phoebe,,Braxton Landsman,2024-10-29,2024,10,29,1613,United States,US-CA-059,California,Orange,"Quail Hill Preserve, Irvine",33.6536375,-117.7858829,"",,Unspecified,"","",,,,,,,S200749523,"",,,,"Continuing bird found yesterday by Jade Goodman. Seen almost strictly on the barbed wire fence between the fire station and trailhead, very cooperative and calling often. Dark head, paler gray nape and back, two pale whitish wingbars, dark wing panels, and white coverts. Medium (long?) primaries extension, relatively “normal” length tail. Pale underparts with yellowish tint. Dark face and eye, dark bill. Pics and audio",Sayornis phoebe,easpho,Species,16840,,4.97,37,,4307,6269
519668981,Photo,Eastern Phoebe,Sayornis phoebe,,Jonathan Taffet,2023-01-01,2023,1,1,1007,United States,US-TX-201,Texas,Harris,Katy Prairie--Warren Ranch (controlled access),29.9633319,-95.8529360,"",,Unspecified,"","",,,,,,,S125235375,"",,,,,Sayornis phoebe,easpho,Species,16840,,4.97,37,,3901,5852
150033931,Photo,Eastern Phoebe,Sayornis phoebe,,Allen Woodliffe,2019-04-09,2019,4,9,825,Canada,CA-ON-KT,Ontario,Chatham-Kent,Rondeau Provincial Park (general location),42.2953758,-81.8571571,"",,Unspecified,"","",,,,,,,S54751340,"",,,,,Sayornis phoebe,easpho,Species,16840,,4.90,40,,1100,1100
480054371,Photo,Eastern Phoebe,Sayornis phoebe,,Anne Inga,2022-08-31,2022,8,31,1337,United States,US-VT-007,Vermont,Chittenden,"Thompson's Point",44.2686204,-73.3019399,"",,Unspecified,"","",,,,,,,S117872775,"",,,,,Sayornis phoebe,easpho,Species,16840,,4.94,35,,2457,3955
