ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
425510611,Photo,Eastern Screech-Owl,Megascops asio,,Jack Starret,2022-03-15,2022,3,15,1320,Canada,CA-ON-SC,Ontario,Simcoe,Collingwood (Not Exact Location),44.4989570,-80.2166150,"Adult Female – 1; Adult Male – 1",,Unspecified,"","",,,,,,,S104884026,"",,,"Amazing to see a Red and Grey Morph roosted together, Bucket List sighting! They were both awake and alert before we arrived.   Canon 5D Mark IV - Canon EF 100-400mm f/4.5-5.6L IS II USM + Canon 1.4x Extender. Shot at 540mm with minimal crop. ","Same Individual from earlier perched in the same hole as before. Accompanied this time, by a Red morph right by its side. Snapped a few shots and went on my way to the grocery store, when we passed by at 1:55pm the grey morph was still present but Red Morph had left the opening.  (Only the second sighting of the Grey Morph since 02/27/22, First we've ever seen the Red Morph)",Megascops asio,easowl1,Species,8770,,4.95,776,,3473,5209
524585861,Photo,Eastern Screech-Owl,Megascops asio,,Matt Zuro,2023-01-13,2023,1,13,1645,United States,US-IL-031,Illinois,Cook,"Westchester, not precise location.",41.8383113,-87.8933634,"",,Unspecified,"","",,,,,,,S126259658,"",,,,,Megascops asio,easowl1,Species,8770,,4.93,607,,5440,8160
524659071,Photo,Eastern Screech-Owl,Megascops asio,,Matt Zuro,2023-01-12,2023,1,12,1630,United States,US-IL-031,Illinois,Cook,"Westchester, not precise location.",41.8383113,-87.8933634,"",,Unspecified,"","",,,,,,,S126265978,"",,,,,Megascops asio,easowl1,Species,8770,,4.98,168,,4881,7321
524585601,Photo,Eastern Screech-Owl,Megascops asio,,Matt Zuro,2023-01-13,2023,1,13,1645,United States,US-IL-031,Illinois,Cook,"Westchester, not precise location.",41.8383113,-87.8933634,"",,Unspecified,"","",,,,,,,S126259658,"",,,,,Megascops asio,easowl1,Species,8770,,4.96,207,,5440,8160
525385061,Photo,Eastern Screech-Owl,Megascops asio,,Matt Zuro,2023-01-13,2023,1,13,1645,United States,US-IL-031,Illinois,Cook,"Westchester, not precise location.",41.8383113,-87.8933634,"",,Unspecified,"","",,,,,,,S126259658,"",,,,,Megascops asio,easowl1,Species,8770,,4.96,171,,5440,8160
297378521,Photo,Eastern Screech-Owl,Megascops asio,,Brad Imhoff,2021-01-11,2021,1,11,1706,United States,US-OH-089,Ohio,Licking,Infirmary Mound Park,40.0234743,-82.5209667,"",,Unspecified,"","",,,,,,,S79100602,"",,,,,Megascops asio,easowl1,Species,8770,,4.93,267,,2514,3772
108740051,Photo,Eastern Screech-Owl,Megascops asio,,Suzanne Labbé,2018-07-26,2018,7,26,829,Canada,CA-QC-MR,Quebec,Montréal,Domaine St-Paul,45.4546332,-73.5529532,Juvenile – 2,,Unspecified,"","",,,,,,,S47464124,"",,,,Un adulte et 3 juvéniles,Megascops asio,easowl1,Species,8770,,4.91,269,,1125,1600
626069067,Photo,Eastern Screech-Owl,Megascops asio,,Matt Zuro,2024-11-09,2024,11,9,1635,United States,US-IL-031,Illinois,Cook,"Salt Creek Corridor, not precise location.",41.8474743,-87.8805820,"",,Unspecified,"","",,,,,,,S201979095,"",,,,,Megascops asio,easowl1,Species,8770,,4.99,101,,5760,8640
546291081,Photo,Eastern Screech-Owl,Megascops asio,,Matt Zuro,2023-03-14,2023,3,14,1851,United States,US-IL-031,Illinois,Cook,"Salt Creek Corridor, not precise location.",41.8474743,-87.8805820,"",,Unspecified,"","",,,,,,,S130940532,"",,,,,Megascops asio,easowl1,Species,8770,,4.98,98,,4603,6905
108740061,Photo,Eastern Screech-Owl,Megascops asio,,Suzanne Labbé,2018-07-26,2018,7,26,829,Canada,CA-QC-MR,Quebec,Montréal,Domaine St-Paul,45.4546332,-73.5529532,Juvenile – 1,,Unspecified,"","",,,,,,,S47464124,"",,,,Un adulte et 3 juvéniles,Megascops asio,easowl1,Species,8770,,4.91,160,,1132,1600
