ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
453904051,Photo,Eastern Wood-Pewee,Contopus virens,,Matt Mason,2022-05-27,2022,5,27,845,United States,US-OH-089,Ohio,Licking,home list,40.1647992,-82.6143858,"",,Unspecified,"","",,,,,,,S111450061,"",,,,,Contopus virens,eawpew,Species,16757,,4.86,95,,3568,4320
257440641,Photo,Eastern Wood-Pewee,Contopus virens,,Vasura Jayaweera,2020-08-21,2020,8,21,1500,Canada,CA-ON-MI,Ontario,Middlesex,London--The Coves,42.9691344,-81.2691951,"",,Unspecified,"","",,,,,,,S72662636,"",,,,,Contopus virens,eawpew,Species,16757,,4.88,74,,1255,2000
182788791,Photo,Eastern Wood-Pewee,Contopus virens,,Marky Mutchler,2019-10-17,2019,10,17,1452,United States,US-LA-071,Louisiana,Orleans,Bayou Sauvage Urban NWR--Recovery One Rd. (Hwy. 90 to GIWW levee),30.0521116,-89.8798298,"",,Unspecified,"","",,,,,,,S60703129,"",,,,,Contopus virens,eawpew,Species,16757,,4.79,119,,2802,4072
366808551,Photo,Eastern Wood-Pewee,Contopus virens,,Grace C,2021-09-05,2021,9,5,827,United States,US-VT-021,Vermont,Rutland,BNC (Private properties within 5 mi.),43.4569605,-73.1618786,Immature – 1,,Unspecified,"","",,,,,,,S94221252,"",,,,,Contopus virens,eawpew,Species,16757,,4.97,39,,2481,3721
338380231,Photo,Eastern Wood-Pewee,Contopus virens,,Russ Morgan,2021-05-06,2021,5,6,1127,United States,US-TX-061,Texas,Cameron,South Padre Is.--Valley Land Fund lots (LTC 036),26.0988053,-97.1678612,"",,Unspecified,"","",,,,,,,S88139660,"",,,,,Contopus virens,eawpew,Species,16757,,4.87,60,,3147,4720
358790311,Photo,Eastern Wood-Pewee,Contopus virens,,Matt Mason,2021-08-03,2021,8,3,851,United States,US-OH-089,Ohio,Licking,home list,40.1647992,-82.6143858,"",,Unspecified,"","",,,,,,,S92721184,"",,,,,Contopus virens,eawpew,Species,16757,,4.73,59,,1201,1806
490616811,Photo,Eastern Wood-Pewee,Contopus virens,,Corey Finger,2022-10-05,2022,10,5,711,United States,US-NY-081,New York,Queens,Fort Tilden,40.5632807,-73.8833118,"",,Unspecified,"","",,,,,,,S119995299,"",,,,,Contopus virens,eawpew,Species,16757,,4.79,39,,2196,2500
111549341,Photo,Eastern Wood-Pewee,Contopus virens,,Baxter Beamer,2018-08-19,2018,8,19,1419,United States,US-VA-183,Virginia,Sussex,Piney Grove Preserve,36.9750097,-77.0641780,"",,Unspecified,"","",,,,,,,S47948470,"",,,,,Contopus virens,eawpew,Species,16757,,4.64,53,,2651,4232
20607461,Photo,Eastern Wood-Pewee,Contopus virens,,Guy MIRGAIN,2015-10-18,2015,10,18,0,Portugal,PT-20-CO,Região Autónoma dos Açores,Corvo,Corvo--área geral,39.7012348,-31.1050415,"",,Unspecified,"","",,,,,,,S25574642,"",,,,first ever for the Western Paleartic !!!,Contopus virens,eawpew,Species,16757,,4.80,30,,1080,1920
453904131,Photo,Eastern Wood-Pewee,Contopus virens,,Matt Mason,2022-05-27,2022,5,27,845,United States,US-OH-089,Ohio,Licking,home list,40.1647992,-82.6143858,"",,Unspecified,"","",,,,,,,S111450061,"",,,,,Contopus virens,eawpew,Species,16757,,4.74,34,,3810,4320
358790201,Photo,Eastern Wood-Pewee,Contopus virens,,Matt Mason,2021-08-03,2021,8,3,851,United States,US-OH-089,Ohio,Licking,home list,40.1647992,-82.6143858,"",,Unspecified,"","",,,,,,,S92721184,"",,,,,Contopus virens,eawpew,Species,16757,,4.84,25,,1670,2324
176774451,Photo,Eastern Wood-Pewee,Contopus virens,,Alex Wiebe,2019-09-12,2019,9,12,724,United States,US-DC-001,District of Columbia,District of Columbia,Rock Creek Park--Maintenance Yard,38.9554951,-77.0493486,"",,Unspecified,"","",,,,,,,S59705440,"",,,,,Contopus virens,eawpew,Species,16757,,4.58,55,,2243,3070
