ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
475026121,Photo,Elegant Trogon,Trogon elegans,,Ryan Sanderson,2022-07-31,2022,7,31,1710,United States,US-AZ-023,Arizona,Santa Cruz,Madera Canyon--Mt. Wrightson Picnic Area & Upper Canyon Trails,31.7124000,-110.8744000,Adult Male – 1,,Unspecified,"","",,,,,,,S116848194,"",,,,Adult male and fledgling.  Adult male occasionally catching insects and feeding fledgling.,Trogon elegans,eletro,Species,9465,,4.93,136,,2744,4114
255378761,Photo,Elegant Trogon,Trogon elegans,,Bryan Calk,2020-08-07,2020,8,7,945,United States,US-AZ-023,Arizona,Santa Cruz,Madera Canyon--Amphitheater,31.7221396,-110.8797151,"",,Unspecified,"","",,,,,,,S72262663,"",,,,,Trogon elegans,eletro,Species,9465,,4.93,92,,3267,4901
613335478,Photo,Elegant Trogon,Trogon elegans,,Jodhan Fine,2024-01-08,2024,1,8,811,United States,US-AZ-003,Arizona,Cochise,Portal--Cave Creek Ranch,31.9041957,-109.1561556,"",,Unspecified,"","",,,,,,,S158446957,"",,,,Continuing STUNNING male. Came into pyracantha  by office,Trogon elegans,eletro,Species,9465,,4.94,72,,4995,4352
138806091,Photo,Elegant Trogon,Trogon elegans,,Annie McLeod,2019-02-02,2019,2,2,811,United States,US-AZ-019,Arizona,Pima,Madera Canyon--Madera Picnic Area,31.7271702,-110.8807518,"",,Unspecified,"","",,,,,,,S52350607,"",,,,,Trogon elegans,eletro,Species,9465,,4.94,54,,2123,1500
475027421,Photo,Elegant Trogon,Trogon elegans,,Ryan Sanderson,2022-07-31,2022,7,31,1710,United States,US-AZ-023,Arizona,Santa Cruz,Madera Canyon--Mt. Wrightson Picnic Area & Upper Canyon Trails,31.7124000,-110.8744000,Adult Male – 1,Foraging or Eating,Unspecified,"","",,,,,,,S116848194,"",,,,Adult male and fledgling.  Adult male occasionally catching insects and feeding fledgling.,Trogon elegans,eletro,Species,9465,,5.00,44,"",4707,7057
134387291,Photo,Elegant Trogon,Trogon elegans,,James Hoagland,2019-01-10,2019,1,10,1410,United States,US-AZ-019,Arizona,Pima,Madera Canyon--Madera Picnic Area,31.7271702,-110.8807518,"",,Unspecified,"","",,,,,,,S51544449,"",,,,Continuing Male bird on trail below Madera Picnic area.,Trogon elegans,eletro,Species,9465,,4.97,38,,4203,2802
141055131,Photo,Elegant Trogon,Trogon elegans,,Chris Rohrer 🦜,2019-02-16,2019,2,16,1315,United States,US-AZ-019,Arizona,Pima,Madera Canyon--Proctor Rd.,31.7399380,-110.8861470,"",,Unspecified,"","",,,,,,,S52790039,"",,,,"congrats to the couple from Scotland and Ireland-3 times it appears really is a charm for you all; the male landed 2 feet away from us; everyone stayed put and the bird gave people great looks",Trogon elegans,eletro,Species,9465,,4.85,59,,3653,3298
182485411,Photo,Elegant Trogon,Trogon elegans,,Jeff Maw,2019-05-07,2019,5,7,800,United States,US-AZ-023,Arizona,Santa Cruz,Madera Canyon--Mt. Wrightson Picnic Area & Upper Canyon Trails,31.7124000,-110.8744000,"",,Unspecified,"","",,,,,,,S56000839,"",,,,,Trogon elegans,eletro,Species,9465,,4.84,61,,2618,3928
255453381,Photo,Elegant Trogon,Trogon elegans,,Marky Mutchler,2020-08-07,2020,8,7,945,United States,US-AZ-023,Arizona,Santa Cruz,Madera Canyon--Amphitheater,31.7221396,-110.8797151,"",,Unspecified,"","",,,,,,,S72262659,"",,,,,Trogon elegans,eletro,Species,9465,,5.00,33,,6000,4000
466885011,Photo,Elegant Trogon,Trogon elegans,,Grigory Heaton,2022-07-07,2022,7,7,901,United States,US-AZ-023,Arizona,Santa Cruz,Madera Canyon--Mt. Wrightson Picnic Area & Upper Canyon Trails,31.7124000,-110.8744000,Adult Male – 1,,Unspecified,"","",,,,,,,S114606195,"",,,,"Intermittently around the nest hole in an arizona sycamore about 1/4mi up the Carrie nation trail, down a small side path to the right.",Trogon elegans,eletro,Species,9465,,4.95,37,,3350,5025
