ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
469176991,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Lois Santos Pérez,2022-06-25,2022,6,25,1214,Spain,ES-CL-LN,Castilla y León,León,León--Avd José Aguado y Parque Reyes de España,42.5894116,-5.5653839,"",,Unspecified,"","",,,,,,,S113732165,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,5.00,41,,2835,3780
21934901,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Ryan Schain,2015-12-12,2015,12,12,851,United States,US-FL-087,Florida,Monroe,Sombrero Beach and Road,24.6926648,-81.0826635,"",,Unspecified,"","",,,,,,,S26260883,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.84,83,,2746,4951
262654081,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Miguel Rouco,2020-09-11,2020,9,11,1833,Spain,ES-EX-BD,Extremadura,Badajoz,Villanueva del Fresno--Llanos de Cuncos,38.4161652,-7.2547182,"",,Unspecified,"","",,,,,,,S73576332,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.83,64,,1667,2500
296016481,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Rui Pereira | Portugal Birding,2021-01-09,2021,1,9,1515,Portugal,PT-11-LI,Lisboa,Lisboa,Parque Urbano dos Moinhos de Santana,38.7096952,-9.2060548,"",,Unspecified,"","",,,,,,,S78933197,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.91,34,,1615,3514
438781001,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Steve Wickliffe,2022-04-22,2022,4,22,1240,United States,US-MT-023,Montana,Deer Lodge,Bowman and Willow Roads Anaconda US-MT ,46.2594440,-112.7728780,Adult – 1,,Unspecified,"","",,,,,,,S107717737,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.88,33,,2992,3989
619848821,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Kike Junco,2024-05-25,2024,5,25,1112,Spain,ES-AN-SV,Andalucía,Sevilla,Laguna Fuente Del Rey,37.3107250,-5.9807347,"",,Unspecified,"","",,,,,,,S177003947,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.88,33,,3842,5496
208765181,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Jim Merritt,2020-02-11,2020,2,11,816,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S64381142,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.62,73,,7802,10000
285285561,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Jim Merritt,2020-12-01,2020,12,1,718,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S76935565,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.70,40,,2111,3503
617555037,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Alexis Lours,2024-04-18,2024,4,18,946,France,FR-NAQ-17,Nouvelle-Aquitaine,Charente-Maritime,"Ile d'Aix",46.0199800,-1.1730427,Adult – 1,,Unspecified,"","",,,,,,,S169126097,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.95,20,,4159,6238
322477411,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Bhaarat Vyas,2020-08-03,2020,8,3,700,India,IN-GJ-KH,Gujarat,Kheda,Pariej Lake,22.5492832,72.6235127,Adult – 1,,Unspecified,"","",,,,,,,S72064299,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.81,26,,1747,2894
331422101,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Iris Kilpatrick,2021-04-21,2021,4,21,1045,United States,US-AL-097,Alabama,Mobile,Dauphin Island--Bayou Heron Park,30.2509651,-88.1293885,"",,Unspecified,"","",,,,,,,S86060186,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.80,25,,1370,2149
364516191,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Jim Merritt,2021-08-27,2021,8,27,644,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S93795998,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.76,25,,3141,4741
305681111,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Ethan Denton,2021-02-08,2021,2,8,904,Canada,CA-AB-SI,Alberta,Calgary,"stakeout Northern Mockingbird, Okotoks--Westridge (2021)",50.7136285,-113.9816355,"",,Unspecified,"","",,,,,,,S80671888,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.62,34,,1879,2821
26520931,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,David Hollie,2013-05-12,2013,5,12,805,United States,US-FL-087,Florida,Monroe,Fort Zachary Taylor Historic SP,24.5463000,-81.8106000,"","",Unspecified,"","",,,,,,,S14085451,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.29,182,Habitat,2360,3540
112780391,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Bhaarat Vyas,2018-08-28,2018,8,28,1430,India,IN-GJ-AH,Gujarat,Ahmedabad,Chittvan Society,23.0252378,72.4687520,Adult,,Unspecified,"","",,,,,,,S48149420,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,5.00,14,,2546,3412
615710649,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Diana Schmies,2024-03-06,2024,3,6,816,Czech Republic,CZ-JM,Jihomoravský kraj,,Brno - Botanická / Klatovská,49.2100780,16.5966270,"",Nest Building,Unspecified,"","",,,,,,,S163867654,"",,,carrying nesting material,carrying nesting material,Streptopelia decaocto,eucdov,Species,1994,,4.32,118,"",2190,3285
315220071,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,S and R McDonald,2021-03-09,2021,3,9,1517,Canada,CA-BC-FV,British Columbia,Fraser Valley,yard,49.1865646,-121.9649494,"",,Unspecified,"","",,,,,,,S83102643,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.45,38,,3888,5184
262458741,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Santiago Caballero Carrera,2020-09-13,2020,9,13,1050,Spain,ES-AN-MG,Andalucía,Málaga,Ronda (Los Prados),36.8309507,-5.1299326,Immature – 1,,Unspecified,"","",,,,,,,S73557934,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.41,56,,3600,5400
322477061,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Bhaarat Vyas,2020-08-03,2020,8,3,700,India,IN-GJ-KH,Gujarat,Kheda,Pariej Lake,22.5492832,72.6235127,Adult – 1,Foraging or Eating,Unspecified,"","",,,,,,,S72064299,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.86,14,"",2165,3467
504446851,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Matt Mason,2022-11-08,2022,11,8,1350,United States,US-TX-061,Texas,Cameron,South Padre Is.--Birding and Nature Center,26.1374628,-97.1739367,"",,Unspecified,"","",,,,,,,S122107843,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.41,37,,2866,4320
322477291,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Bhaarat Vyas,2020-08-03,2020,8,3,700,India,IN-GJ-KH,Gujarat,Kheda,Pariej Lake,22.5492832,72.6235127,Adult – 1,Foraging or Eating,Unspecified,"","",,,,,,,S72064299,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.92,12,"",2059,3150
121758081,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Bhaarat Vyas,2018-10-13,2018,10,13,845,India,IN-RJ-BI,Rajasthan,Bikaner,"Bikaner, IN (28.028, 73.318)",28.0279042,73.3176721,Adult,,Unspecified,"","",,,,,,,S49153635,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.92,12,,3289,4341
593199101,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Hugo Schweke,2023-07-06,2023,7,6,637,Israel,IL-D,HaDarom,,"Celia's hide המסתור של סיליה",30.7903951,34.4713760,"",,Unspecified,"","",,,,,,,S143703836,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.65,17,,2626,3783
285639681,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Pablo Pozo 🦅,2019-07-29,2019,7,29,0,Spain,ES-EX-BD,Extremadura,Badajoz,Villarta de los Montes--Pueblo,39.2136957,-4.7947905,"",,Unspecified,"","",,,,,,,S70069255,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.25,52,,1782,2400
302718331,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,John Manger,2021-01-30,2021,1,30,1350,United States,US-MD-025,Maryland,Harford,Swan Harbor Farm Park,39.5224820,-76.1144400,"",,Unspecified,"","",,,,,,,S80147256,"",,,,Continuing bird.,Streptopelia decaocto,eucdov,Species,1994,,4.91,11,,2086,3129
116829931,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Ramesh Desai,2018-09-30,2018,9,30,1703,India,IN-KA-BJ,Karnataka,Vijayapura,Sri Nagalingeshwara Waterbody ಶ್ರೀ ನಾಗಲಿಂಗೇಶ್ವರ ಹೊಂಡ,16.8489441,75.7194009,Adult,,Unspecified,"","",,,,,,,S48834200,"",,,,Clicked in front of my residence.,Streptopelia decaocto,eucdov,Species,1994,,4.32,37,,3472,4861
136811871,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Aquiles Brinco,2019-01-23,2019,1,23,706,Mexico,MX-OAX-024,Oaxaca,Tlacolula,Santa María Zoquitlán,16.5596350,-96.3537920,Adult,,Unspecified,"","",,,,,,,S51975286,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.33,36,,,
337455841,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Darren Clark,2021-04-24,2021,4,24,915,United States,US-UT-035,Utah,Salt Lake,Glenmoor GC,40.5766896,-111.9990277,"",,Unspecified,"","",,,,,,,S86237561,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.77,13,,3314,4971
223410251,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Steve Wickliffe,2020-04-13,2020,4,13,903,United States,US-MT-023,Montana,Deer Lodge,Opportunity Area,46.1072476,-112.8309201,"",,Unspecified,"","",,,,,,,S67153560,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.69,13,,3867,3014
616359162,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Alexis Lours,2024-03-23,2024,3,23,801,France,FR-IDF-95,Île-de-France,"Val-d'Oise","Chemin Rural, Bouffemont FR-Île-de-France",49.0472280,2.3159340,Adult – 1,,Unspecified,"","",,,,,,,S165659580,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.64,14,,4273,6409
237197191,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Holger Teichmann,2013-02-18,2013,2,18,1400,Spain,ES-CN-FVT,Canarias,Fuerteventura,Morro Jable--Mirador sobre el puerto,28.0493961,-14.3558368,Adult – 1,,Unspecified,"","",,,,,,,S64970805,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.82,11,,2600,3900
62224541,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Brad Bergstrom,2014-04-25,2014,4,25,0,United States,US-GA-185,Georgia,Lowndes,Brad Bergstrom home,30.8555139,-83.2942998,"",,Unspecified,"","",,,,,,,S37872217,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.33,24,,1781,2614
511195371,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Radek Papranec,2022-12-08,2022,12,8,1404,Czech Republic,CZ-PR,Hlavní město Praha,,PP Královská obora (Stromovka),50.1072331,14.4190038,"",,Unspecified,"","",,,,,,,S123630197,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.90,10,,2250,3000
312234991,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Bhaarat Vyas,2021-02-15,2021,2,15,859,India,IN-GJ-AH,Gujarat,Ahmedabad,"Sanand - Nalsarovar Road, Goraj, Gujarat, IN (22.96, 72.321)",22.9601142,72.3205410,Adult – 1,,Unspecified,"","",,,,,,,S81518919,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.90,10,,2284,3412
161353791,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Darren Clark,2019-05-27,2019,5,27,830,United States,US-ID-001,Idaho,Ada,"Eagle, Idaho Fire Station",43.6930880,-116.3402950,"",,Unspecified,"","",,,,,,,S56795290,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.90,10,,2250,3000
575735711,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Jamie Simmons,2023-05-13,2023,5,13,1201,United States,US-OR-003,Oregon,Benton,"Yard, NW Terracegreen, Corvallis",44.5904710,-123.2682002,"Adult Female – 1; Adult Male – 1","Courtship, Display, or Copulation",Unspecified,"","",,,,,,,S137491209,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.75,12,"",2627,3086
252650671,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Mark R Johnson,2020-07-31,2020,7,31,1145,United States,US-MD-025,Maryland,Harford,Swan Harbor Farm Park,39.5224820,-76.1144400,"",,Unspecified,"","",,,,,,,S71987393,"",,,,"Continuing. Moving around quite a bit, but staying in the general area of the parking lot and barns. First heard singing, then seen on the roof of the barn next to the silo. The bird then flew to the grassy area next to the parking lot and spent some time picking at gravel on the parking lot. Eventually flew back in the trees near the mansion.",Streptopelia decaocto,eucdov,Species,1994,,4.75,12,,1450,2387
136951831,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Bhaarat Vyas,2019-01-20,2019,1,20,800,India,IN-GJ-GA,Gujarat,Gandhinagar,Rancharda Lake,23.0750139,72.4390304,Adult,,Unspecified,"","",,,,,,,S51859439,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.75,12,,,
177883021,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Santiago Caballero Carrera,2019-09-19,2019,9,19,900,Spain,ES-AN-MG,Andalucía,Málaga,Ronda (Los Prados),36.8309507,-5.1299326,"","",Unspecified,"","",,,,,,,S59924524,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.40,25,Habitat,3800,5700
504446811,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Matt Mason,2022-11-08,2022,11,8,1350,United States,US-TX-061,Texas,Cameron,South Padre Is.--Birding and Nature Center,26.1374628,-97.1739367,"",,Unspecified,"","",,,,,,,S122107843,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.50,20,,2879,4320
486224351,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Grigory Heaton,2022-09-11,2022,9,11,938,United States,US-CA-025,California,Imperial,Sonny Bono Salton Sea NWR--Union Tract / Visitor Center,33.1774666,-115.6150961,Adult – 1,,Unspecified,"","",,,,,,,S118542366,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.60,15,,2445,3668
200660291,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Mason Maron,2020-01-20,2020,1,20,1139,United States,US-ID-057,Idaho,Latah,University of Idaho Arboretum and Botanical Gardens,46.7213142,-117.0157350,"",,Unspecified,"","",,,,,,,S63602315,"",,,,Hiding under a tree,Streptopelia decaocto,eucdov,Species,1994,,4.15,55,,3234,4527
159305041,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Nitin Chandra,2019-05-18,2019,5,18,1557,India,IN-DL-SO,Delhi,South Delhi,Hauz Khas--Deer Park,28.5565938,77.1936107,Adult,,Unspecified,"","",,,,,,,S56437558,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.57,14,,1365,2048
624750495,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Woochan Kwon,2024-10-05,2024,10,5,1530,South Korea,KR-41,Kyonggi-do,,김포--대장동 농경지(Gimpo--Daejang-dong Farmland),37.5394473,126.7731455,"",,Unspecified,"","",,,,,,,S197560010,"",,,,사진 촬영,Streptopelia decaocto,eucdov,Species,1994,,4.64,14,,2000,3000
297219031,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Michel Laquerre,2021-01-12,2021,1,12,1450,Canada,CA-QC-VS,Quebec,Vaudreuil-Soulanges,"poste d'observation Tourterelle turque, Ste-Marthe (2021)",45.4023006,-74.2979698,Adult – 1,Flying,Unspecified,"","",,,,,,,S79147215,"",,,,Présence connue.,Streptopelia decaocto,eucdov,Species,1994,,4.73,11,"",2816,2816
150189571,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Ian Hearn,2019-04-09,2019,4,9,1706,United States,US-ID-027,Idaho,Canyon,Nampa to Stoddard Trail,43.5430063,-116.5408069,Adult,,Unspecified,"","",,,,,,,S54780818,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.73,11,,3712,5568
500186921,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Eduardo Gracia fuster,2022-11-01,2022,11,1,1601,Spain,ES-AR-HS,Aragón,Huesca,"Vía sin nombre, Lalueza, Aragón, ES (41,877, -0,203)",41.8771620,-0.2027867,"",,Unspecified,"","",,,,,,,S121678083,"",,,,"Posiblemente +,alimentandose en rastrojo de maiz picado",Streptopelia decaocto,eucdov,Species,1994,,4.57,14,,2848,4272
357208041,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Santiago Caballero Carrera,2021-07-27,2021,7,27,818,Spain,ES-AN-MG,Andalucía,Málaga,Ronda (Los Prados),36.8309507,-5.1299326,Adult – 1,,Unspecified,"","",,,,,,,S92365354,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.29,24,,3600,5400
175753091,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Jorge Eduardo Ruano,2018-12-10,2018,12,10,1227,Belize,BZ-OW,Orange Walk,,"Shipyard Road Orange Walk District, BZ (17.79, -88.689)",17.7901368,-88.6885462,"",,Unspecified,"","",,,,,,,S50576622,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.10,71,,3648,5472
210249161,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Bhaarat Vyas,2019-11-12,2019,11,12,737,India,IN-RJ-JS,Rajasthan,Jaisalmer,Desert NP (DNP) & Surroundings--Sudasari,26.7223719,70.6044457,Adult – 1,"",Unspecified,"","",,,,,,,S61393814,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.67,12,Habitat,2283,3412
168380121,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,James Moodie,2019-07-10,2019,7,10,557,United States,US-CA-073,California,San Diego,Santee Lakes,32.8570948,-117.0071411,Adult,,Unspecified,"","",,,,,,,S58072132,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,4.80,10,,2104,3157
106104791,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,County Lister Brendan,2018-06-30,2018,6,30,1800,United States,US-MI-021,Michigan,Berrien,Three Oaks,41.8005986,-86.6114616,"",,Unspecified,"","",,,,,,,S46910084,"",,,,"one seen near post office, and another two closer to the railroad tracks. Possibly more.",Streptopelia decaocto,eucdov,Species,1994,,4.41,17,,1367,2050
611347329,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Albin Jacob,2023-11-20,2023,11,20,630,India,IN-KA-BN,Karnataka,Bengaluru Urban,Nelaguli Kere,12.7781069,77.4921712,"",,Unspecified,"","",,,,,,,S154827287,"",,,,,Streptopelia decaocto,eucdov,Species,1994,,5.00,8,,1760,2876
