ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
303465471,Photo,European Starling,Sturnus vulgaris,,Matthew Plante,2021-02-01,2021,2,1,1500,United States,US-OH-089,Ohio,Licking,Park Trails,40.0537932,-82.4896630,"",,Unspecified,"","",,,,,,,S80283739,"",,,,,Sturnus vulgaris,eursta,Species,27571,,4.94,110,,2967,4451
431788971,Photo,European Starling,Sturnus vulgaris,,Sasha Cahill,2022-03-14,2022,3,14,710,United States,US-CA-059,California,Orange,Balboa Pier,33.5985218,-117.9011267,"",,Unspecified,"","",,,,,,,S104817449,"",,,1/2000 ISO 320 F/5.6,,Sturnus vulgaris,eursta,Species,27571,,4.99,76,,2460,3690
39278421,Photo,European Starling,Sturnus vulgaris,,Ryan Schain,2012-11-14,2012,11,14,1240,United States,US-MA-025,Massachusetts,Suffolk,Castle Island and Pleasure Bay,42.3360561,-71.0123205,"",,Unspecified,"","",,,,,,,S12041111,"",,,,,Sturnus vulgaris,eursta,Species,27571,,4.86,219,,3664,5840
307770421,Photo,European Starling,Sturnus vulgaris,,Brad Imhoff,2021-02-14,2021,2,14,1417,United States,US-OH-089,Ohio,Licking,Pinetree Drive,40.0921976,-82.4813998,"",,Unspecified,"","",,,,,,,S81453166,"",,,,,Sturnus vulgaris,eursta,Species,27571,,4.89,123,,2298,3448
620575963,Photo,European Starling,Sturnus vulgaris,,Kike Junco,2022-02-20,2022,2,20,1000,Spain,ES-CL-ZM,Castilla y León,Zamora,Lagunas de Villafáfila RNat--Área General,41.8407925,-5.5941439,"",,Unspecified,"","",,,,,,,S103239043,"",,,,,Sturnus vulgaris,eursta,Species,27571,,4.98,58,,1854,2740
39278701,Photo,European Starling,Sturnus vulgaris,,Ryan Schain,2010-03-27,2010,3,27,1200,United States,US-MA-025,Massachusetts,Suffolk,Jamaica Pond,42.3171461,-71.1202526,"",,Unspecified,"","",,,,,,,S6195694,"",,,,,Sturnus vulgaris,eursta,Species,27571,,4.85,100,,2605,3977
171399331,Photo,European Starling,Sturnus vulgaris,,Volker Hesse,2019-08-03,2019,8,3,1732,Germany,DE-SH-NF,Schleswig-Holstein,Nordfriesland,Katinger Watt--Nullfläche,54.2729108,8.8727856,Juvenile,,Unspecified,"","",,,,,,,S58711930,"",,,,,Sturnus vulgaris,eursta,Species,27571,,4.82,117,,3648,5472
296783641,Photo,European Starling,Sturnus vulgaris,,Matthew Plante,2021-01-11,2021,1,11,1131,United States,US-OH-089,Ohio,Licking,Park Trails,40.0537932,-82.4896630,"",,Unspecified,"","",,,,,,,S79084779,"",,,,,Sturnus vulgaris,eursta,Species,27571,,4.89,61,,3093,4640
92717961,Photo,European Starling,Sturnus vulgaris,,Doug Hitchcox,2018-04-03,2018,4,3,742,United States,US-ME-005,Maine,Cumberland,"260 Danforth Street, Portland",43.6469566,-70.2661783,Adult,,Unspecified,"","",,,,,,,S44217520,"",,,,,Sturnus vulgaris,eursta,Species,27571,,4.79,110,,2827,4525
393337641,Photo,European Starling,Sturnus vulgaris,,José Barrueso Franco,2021-12-04,2021,12,4,1351,Spain,ES-CL-ZM,Castilla y León,Zamora,Lagunas de Villafáfila RNat--Área General,41.8407925,-5.5941439,"",,Unspecified,"","",,,,,,,S98467449,"",,,,Estimado. En varios grupos.,Sturnus vulgaris,eursta,Species,27571,,4.85,62,,2848,4272
