ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
295900451,Photo,Great Blue Heron,Ardea herodias,,Carl Bergstrom,2021-01-06,2021,1,6,1416,United States,US-WA-033,Washington,King,Union Bay Natural Area/Montlake Fill,47.6542400,-122.2913700,"",,Unspecified,"","",,,,,,,S78801839,"",,,,,Ardea herodias,grbher3,Species,7658,,4.95,329,,2235,3973
295900421,Photo,Great Blue Heron,Ardea herodias,,Carl Bergstrom,2021-01-06,2021,1,6,1416,United States,US-WA-033,Washington,King,Union Bay Natural Area/Montlake Fill,47.6542400,-122.2913700,"",,Unspecified,"","",,,,,,,S78801839,"",,,,,Ardea herodias,grbher3,Species,7658,,4.95,219,,2292,4075
316983781,Photo,Great Blue Heron,Ardea herodias,,Andrew Newmark,2021-03-14,2021,3,14,1152,United States,US-CA-073,California,San Diego,Balboa Park--Marston House,32.7412537,-117.1579510,"",,Unspecified,"","",,,,,,,S83415679,"",,,,Hunting gophers,Ardea herodias,grbher3,Species,7658,,4.94,209,,3337,5006
537625101,Photo,Great Blue Heron,Ardea herodias,,Danielle Cooper,2023-02-20,2023,2,20,1232,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Richmond--California Scrub-Jay Stakeout (2022-2023),49.1351110,-123.1024849,"",,Unspecified,"","",,,,,,,S129213562,"",,,,,Ardea herodias,grbher3,Species,7658,,4.90,210,,3537,5306
524228331,Photo,Great Blue Heron,Ardea herodias,,Michael Roper,2023-01-14,2023,1,14,751,United States,US-AZ-019,Arizona,Pima,Canoa Ranch Conservation Park,31.7948045,-111.0156226,"",,Unspecified,"","",,,,,,,S126178991,"",,,,,Ardea herodias,grbher3,Species,7658,,4.89,138,,1600,2400
312869271,Photo,Great Blue Heron (Great Blue),Ardea herodias [herodias Group],,Liam Ragan,2021-03-01,2021,3,1,1606,Canada,CA-BC-CP,British Columbia,Capital,Victoria--Swan Lake Nature Sanctuary,48.4645558,-123.3738041,Adult – 2,Flying,Unspecified,"","",,,,,,,S82604781,"",,,,,Ardea herodias,grbher,Group,7659,,4.90,104,"",2925,3692
365398221,Photo,Great Blue Heron (Great Blue),Ardea herodias [herodias Group],,Steve Kelling,2021-08-30,2021,8,30,1428,United States,US-NY-045,New York,Jefferson,Raptor Survey Town of Cape Vincent,44.1768530,-76.1680830,"",Foraging or Eating,Unspecified,"","",,,,,,,S93954317,"",,,,,Ardea herodias,grbher,Group,7659,,4.85,158,"",1500,2500
363802431,Photo,Great Blue Heron,Ardea herodias,,jean-francois franche,2021-08-24,2021,8,24,600,Canada,CA-QC-MR,Quebec,Montréal,Parc Anjou-sur-le-lac,45.6083723,-73.5932708,"",,Unspecified,"","",,,,,,,S93695947,"",,,,,Ardea herodias,grbher3,Species,7658,,4.93,76,,1365,2048
612634598,Photo,Great Blue Heron,Ardea herodias,,Matthew Dolkart,2023-12-14,2023,12,14,1400,United States,US-IL-031,Illinois,Cook,West Ridge Nature Park,41.9889067,-87.6886654,"",,Unspecified,"","",,,,,,,S156400539,"",,,,,Ardea herodias,grbher3,Species,7658,,4.98,56,,5110,7665
108895521,Photo,Great Blue Heron,Ardea herodias,,William Higgins,2018-07-19,2018,7,19,700,United States,US-VA-059,Virginia,Fairfax,Accotink Bay Wildlife Refuge,38.6855823,-77.1548367,"",,Unspecified,"","",,,,,,,S47325126,"",,,,,Ardea herodias,grbher3,Species,7658,,4.87,78,,3712,5568
