ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
368284791,Photo,Great Horned Owl,Bubo virginianus,,Ryan Sanderson,2021-08-30,2021,8,30,706,United States,US-IN-097,Indiana,Marion,Eagle Creek Park--North Mudflats,39.8844825,-86.3019004,Adult – 1,,Unspecified,"","",,,,,,,S93941208,"",,,,On mudflats!  Walked from log to log several times. Very cool!,Bubo virginianus,grhowl,Species,8811,,4.96,288,,2492,3736
20697891,Photo,Great Horned Owl,Bubo virginianus,,Zak Pohlen,2015-10-31,2015,10,31,1551,United States,US-ID-073,Idaho,Owyhee,Marsing Murphy Rd pullout,42.9295309,-115.7593024,"",Flying,Unspecified,"","",,,,,,,S25657794,"",,,,Bird flushed out of trees while the group was watching the Barn Owl,Bubo virginianus,grhowl,Species,8811,,4.91,217,"",1000,1500
368284831,Photo,Great Horned Owl,Bubo virginianus,,Ryan Sanderson,2021-08-30,2021,8,30,706,United States,US-IN-097,Indiana,Marion,Eagle Creek Park--North Mudflats,39.8844825,-86.3019004,Adult – 1,,Unspecified,"","",,,,,,,S93941208,"",,,,On mudflats!  Walked from log to log several times. Very cool!,Bubo virginianus,grhowl,Species,8811,,4.93,164,,4513,6766
318547341,Photo,Great Horned Owl,Bubo virginianus,,Nathalie Talbot,2021-03-21,2021,3,21,800,Canada,CA-QC-MR,Quebec,Montréal,Jardin botanique de Montréal (accès restreint),45.5596562,-73.5626078,"",,Unspecified,"","",,,,,,,S83813780,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.87,319,,3000,4508
382145271,Photo,Great Horned Owl,Bubo virginianus,,Mason Maron,2021-10-23,2021,10,23,1245,United States,US-ID-057,Idaho,Latah,University of Idaho Experimental Forest--Pinestia Tract,46.9248919,-116.8285839,Adult – 1,,Unspecified,"","",,,,,,,S96611148,"",,,Perched on a Ponderosa Pine. Observed at the tail end of an SOE 305 Silviculture field trip day with Washington State University.,,Bubo virginianus,grhowl,Species,8811,,4.92,143,,2976,4464
403189511,Photo,Great Horned Owl,Bubo virginianus,,Asher  Warkentin,2022-01-06,2022,1,6,1345,Canada,CA-AB-TR,Alberta,Fort MacLeod,"St Henry's Church",49.3194292,-113.7718050,"",,Unspecified,"","",,,,,,,S100248850,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.92,154,,2729,4088
164088741,Photo,Great Horned Owl,Bubo virginianus,,"James R. Hill, III",2019-05-08,2019,5,8,1545,United States,US-PA-049,Pennsylvania,Erie,"Jamie Hill's Waterford, PA, Pond Property",41.9315959,-79.9567990,Juvenile,,Unspecified,"","",,,,,,,S56019601,"",,,Wings spread with bill clacking to scare us off.,"At least one parent was nearby and driven away by the crows.  As soon as we were done photographing the owl and walked away, the crows returned to dive bomb the fledgling.  The first time we approached it, it spread its wings, bowed its head, and started bill snapping.",Bubo virginianus,grhowl,Species,8811,,5.00,72,,1449,2250
242778101,Photo,Great Horned Owl,Bubo virginianus,,Tim Avery,2016-10-14,2016,10,14,1229,United States,US-UT-023,Utah,Juab,Yuba State Park (incl. Sevier Bridge Reservoir),39.3964276,-112.0206870,"",,Unspecified,"","",,,,,,,S32092986,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.89,170,,1296,2000
310732181,Photo,Great Horned Owl,Bubo virginianus,,Connor Bowhay,2021-02-21,2021,2,21,1030,Canada,CA-AB-EL,Alberta,Edmonton,St. Albert--Grey Nuns Spruce Woodlot,53.6250290,-113.6572970,Adult Male – 1,,Unspecified,"","",,,,,,,S82201801,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.89,152,,2442,5049
393571161,Photo,Great Horned Owl,Bubo virginianus,,Yannick Fleury,2021-12-05,2021,12,5,852,Canada,CA-QC-SAG,Quebec,Saguenay,"5260 Route Jean, Saguenay, Québec, CA (48,494, -71,284)",48.4937008,-71.2843780,"",,Unspecified,"","",,,,,,,S98507636,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.89,120,,2105,2912
405688041,Photo,Great Horned Owl,Bubo virginianus,,Rick Bowers,2008-06-01,2008,6,1,535,United States,US-AZ-021,Arizona,Pinal,great horned owl nest,32.5794148,-110.9084490,"",,Unspecified,"","",,,,,,,S100725438,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.85,186,,2667,4000
433020181,Photo,Great Horned Owl,Bubo virginianus,,Lorenz Crespo,2022-04-07,2022,4,7,1200,United States,US-AZ-013,Arizona,Maricopa,Backyard - Lariat LN,33.7211457,-111.9877058,"",,Unspecified,"","",,,,,,,S106495451,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.92,84,,2397,3600
375455591,Photo,Great Horned Owl,Bubo virginianus,,Ezekiel Dobson,2021-10-06,2021,10,6,1017,United States,US-KY-015,Kentucky,Boone,"11937 Cloverbrook Drive, Union, Kentucky, US (38.91, -84.659)",38.9096663,-84.6590741,"",,Unspecified,"","",,,,,,,S95670342,"",,,,"Amazing views, didn't seem to be injured! Flew off into a tree",Bubo virginianus,grhowl,Species,8811,,4.88,100,,1031,1615
551776551,Photo,Great Horned Owl,Bubo virginianus,,Mason Maron,2023-03-30,2023,3,30,1141,United States,US-WA-075,Washington,Whitman,Washington State University Campus,46.7308073,-117.1540289,"Adult – 1; Juvenile – 1",,Unspecified,"","",,,,,,,S132247394,"",,,,2 young,Bubo virginianus,grhowl,Species,8811,,4.86,86,,3276,5268
185607681,Photo,Great Horned Owl,Bubo virginianus,,Dean LaTray,2019-11-01,2019,11,1,1700,United States,US-CA-001,California,Alameda,Sycamore Grove Park,37.6444127,-121.7820740,"",,Unspecified,"","",,,,,,,S61131335,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.84,83,,2240,3983
316138711,Photo,Great Horned Owl,Bubo virginianus,,Mason Maron,2021-03-12,2021,3,12,1517,United States,US-WA-075,Washington,Whitman,"South Fork Palouse River Walkway, Pullman",46.7299903,-117.1774160,Adult – 1,,Unspecified,"","",,,,,,,S83275827,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.81,101,,1365,2048
482120321,Photo,Great Horned Owl,Bubo virginianus,,Asher  Warkentin,2022-06-15,2022,6,15,1600,Canada,CA-AB-TR,Alberta,Fort MacLeod,Willms Farm,49.4670387,-113.7709934,"",,Unspecified,"","",,,,,,,S113020765,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.89,56,,2536,4088
182861881,Photo,Great Horned Owl,Bubo virginianus,,Jack Bayles,2016-03-23,2016,3,23,1400,United States,US-ID-051,Idaho,Jefferson,Camas NWR--Center Pond,43.9358188,-112.2652129,"",,Unspecified,"","",,,,,,,S60732553,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.83,75,,1280,1920
368284841,Photo,Great Horned Owl,Bubo virginianus,,Ryan Sanderson,2021-08-30,2021,8,30,706,United States,US-IN-097,Indiana,Marion,Eagle Creek Park--North Mudflats,39.8844825,-86.3019004,Adult – 1,,Unspecified,"","",,,,,,,S93941208,"",,,,On mudflats!  Walked from log to log several times. Very cool!,Bubo virginianus,grhowl,Species,8811,,4.90,51,,3027,4540
543321491,Photo,Great Horned Owl,Bubo virginianus,,Brent Angelo,2023-03-07,2023,3,7,912,United States,US-WA-011,Washington,Clark,"Ridgefield NWR--River 'S' Unit",45.7990694,-122.7490082,Adult – 1,,Unspecified,"","",,,,,,,S130425149,"",,,"Family Portrait ;)",Mom in trees seen owlet in nest. Ended up seeing 2 adults and 2 owlets,Bubo virginianus,grhowl,Species,8811,,4.95,43,,2179,2644
285020801,Photo,Great Horned Owl,Bubo virginianus,,Asher  Warkentin,2020-12-03,2020,12,3,1545,Canada,CA-AB-TR,Alberta,Fort MacLeod,Willms Farm,49.4670387,-113.7709934,"",,Unspecified,"","",,,,,,,S77035838,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.79,87,,3043,4054
517977841,Photo,Great Horned Owl,Bubo virginianus,,William Hearn,2022-08-03,2022,8,3,1600,United States,US-ID-025,Idaho,Camas,Barn,43.4040487,-114.9246932,"",,Unspecified,"","",,,,,,,S124868780,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.90,49,,2375,3562
172925501,Photo,Great Horned Owl,Bubo virginianus,,Darren Clark,2019-08-07,2019,8,7,1829,United States,US-ID-051,Idaho,Jefferson,Market Lake WMA--General,43.7808238,-112.1461630,"",,Unspecified,"","",,,,,,,S58827755,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.78,85,,3670,4893
48817151,Photo,Great Horned Owl,Bubo virginianus,,Roger Reets,2017-02-19,2017,2,19,730,United States,US-AL-003,Alabama,Baldwin,Gulf State Park Golf Course,30.2754659,-87.6554060,Juvenile,,Unspecified,"","",,,,,,,S34530991,"",,,"My wife, who is the Park Naturalist, was called this morning to rescue Great Horned Owlet, that fell from its nest. We successfully got it back home and plugged the hole it fell from.","My wife, who is the Park Naturalist, was called this morning to rescue Great Horned Owlet, that fell from its nest. We successfully got it back home and plugged the hole it fell from.",Bubo virginianus,grhowl,Species,8811,,4.75,95,,1449,2172
74245081,Photo,Great Horned Owl,Bubo virginianus,,Ryan Claar,2017-11-05,2017,11,5,730,United States,US-CO-031,Colorado,Denver,Denver International Airport (Denver Co.),39.8594842,-104.7272587,Adult,,Unspecified,"","",,,,,,,S40326128,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.73,116,,1058,1877
403069531,Photo,Great Horned Owl,Bubo virginianus,,Peter Hamner,2022-01-02,2022,1,2,954,United States,US-PA-101,Pennsylvania,Philadelphia,"Pennypack Park--North (Pine to Krewstown, incl. Environmental Center)",40.0870190,-75.0594306,"",,Unspecified,"","",,,,,,,S99932708,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.79,67,,3693,4616
463256161,Photo,Great Horned Owl,Bubo virginianus,,Neo Morpheus,2022-06-27,2022,6,27,1703,United States,US-FL-086,Florida,Miami-Dade,Everglades NP--Long Pine Key Campground & Trail,25.3985091,-80.6554395,"",,Unspecified,"","",,,,,,,S113941879,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.97,34,,2754,4131
62400321,Photo,Great Horned Owl,Bubo virginianus,,Tom Johnson,2009-06-12,2009,6,12,1440,Canada,CA-MB-EE,Manitoba,Churchill and Northern Manitoba,Churchill--Hydro road,58.6889700,-94.1359300,"",,Unspecified,"","",,,,,,,S5099401,"",,,,"*super pale gray; presumably subarcticus; two nestlings with adult",Bubo virginianus,grhowl,Species,8811,,4.79,63,,999,1500
625371894,Photo,Great Horned Owl,Bubo virginianus,,Lucas Pittman,2023-09-12,2023,9,12,2001,United States,US-FL-129,Florida,Wakulla,St. Marks NWR--Lighthouse Pool & Flats,30.0742182,-84.1799551,"",,Unspecified,"","",,,,,,,S149760605,"",,,,seen in dead palm then flew to palm grove. later seen with small mammal (baby raccoon?) in road,Bubo virginianus,grhowl,Species,8811,,4.80,65,,5161,3441
499290391,Photo,Great Horned Owl,Bubo virginianus,,Rain Saulnier,2022-10-30,2022,10,30,1448,Canada,CA-AB-SI,Alberta,Calgary,Fish Creek PP--Bebo Grove,50.9301430,-114.1138744,"",,Unspecified,"","",,,,,,,S121603920,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.82,55,,1291,2048
377238771,Photo,Great Horned Owl,Bubo virginianus,,Bryan Calk,2021-08-24,2021,8,24,1832,United States,US-AZ-003,Arizona,Cochise,Casa de San Pedro B&B--Visitors Welcome,31.4088134,-110.1067829,"",,Unspecified,"","",,,,,,,S94046909,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.80,56,,3358,5037
613139140,Photo,Great Horned Owl,Bubo virginianus,,Lory Cantin,2023-04-08,2023,4,8,1126,Canada,CA-QC-MR,Quebec,Montréal,Technoparc Mtl--Site général,45.4774660,-73.7553400,"",,Unspecified,"","",,,,,,,S135484044,"",,,,,Bubo virginianus,grhowl,Species,8811,,5.00,29,,2515,3772
316138371,Photo,Great Horned Owl,Bubo virginianus,,Mason Maron,2021-03-12,2021,3,12,1517,United States,US-WA-075,Washington,Whitman,"South Fork Palouse River Walkway, Pullman",46.7299903,-117.1774160,Adult – 1,,Unspecified,"","",,,,,,,S83275827,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.89,38,,1365,2048
540192591,Photo,Great Horned Owl,Bubo virginianus,,Brett Hoffman,2023-02-27,2023,2,27,827,United States,US-FL-103,Florida,Pinellas,Fort De Soto Park,27.6327266,-82.7181570,"",,Unspecified,"","",,,,,,,S129790965,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.88,40,,1560,2340
310732231,Photo,Great Horned Owl,Bubo virginianus,,Connor Bowhay,2021-02-21,2021,2,21,1030,Canada,CA-AB-EL,Alberta,Edmonton,St. Albert--Grey Nuns Spruce Woodlot,53.6250290,-113.6572970,Adult Male – 1,Flying,Unspecified,"","",,,,,,,S82201801,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.97,30,"",2239,4967
614908547,Photo,Great Horned Owl,Bubo virginianus,,KMJ Bird,2024-02-16,2024,2,16,1137,United States,US-TX-157,Texas,Fort Bend,Brazos Bend SP (UTC 117),29.3735739,-95.6230259,"",,Unspecified,"","",,,,,,,S161736625,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.86,43,,2857,4000
312449381,Photo,Great Horned Owl,Bubo virginianus,,Jean Smith,2021-02-28,2021,2,28,1000,Canada,CA-QC-QU,Quebec,Québec,Domaine de Maizerets,46.8376522,-71.2121549,"",,Unspecified,"","",,,,,,,S82537629,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.77,53,,4640,6960
560944571,Photo,Great Horned Owl,Bubo virginianus,,John Jansen,2023-04-21,2023,4,21,1845,Canada,CA-BC-CO,British Columbia,Central Okanagan,"3725 Gates Rd, West Kelowna CA-BC (49.8284,-119.6672)",49.8284400,-119.6672320,"",,Unspecified,"","",,,,,,,S134538375,"",,,,,Bubo virginianus,grhowl,Species,8811,,5.00,27,,2508,4458
389972851,Photo,Great Horned Owl,Bubo virginianus,,Creston Burks,2021-11-21,2021,11,21,1515,United States,US-MI-161,Michigan,Washtenaw,North Bay Park/Ford Lake Boardwalk,42.2282671,-83.6102566,"",,Unspecified,"","",,,,,,,S97910083,"",,,,Great Horned Owl hiding in low tree line over water way west side of park,Bubo virginianus,grhowl,Species,8811,,4.97,29,,2631,3402
323996151,Photo,Great Horned Owl,Bubo virginianus,,David Turgeon,2017-12-29,2017,12,29,1050,Canada,CA-QC-HC,Quebec,La Haute-Côte-Nord,"Pointe de l'Islet (incluant quai)",48.1363076,-69.7164861,Adult – 1,,Unspecified,"","",,,,,,,S41408687,"",,,,"Posé sur le bord du sentier. Semble surveiller les Bécasseaux violet au bord de l'eau.",Bubo virginianus,grhowl,Species,8811,,4.78,50,,3509,5264
609891409,Photo,Great Horned Owl,Bubo virginianus,,Nick Ramsey,2023-08-20,2023,8,20,1243,Ecuador,EC-P,Pichincha,,"Auto selected -0.48886, -78.29784",-0.4888610,-78.2978430,"",,Unspecified,"","",,,,,,,S147732782,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.86,37,,2872,4268
224910171,Photo,Great Horned Owl,Bubo virginianus,,Joe DeJong,2020-04-18,2020,4,18,1740,Canada,CA-ON-HA,Ontario,Hamilton,Glover Mountain,43.2087812,-79.7771766,Juvenile – 2,"",Unspecified,"","",,,,,,,S67434969,"",,,,Continuing Owlets however now only 2 in nest hoping one fledged,Bubo virginianus,grhowl,Species,8811,,4.86,37,"Molting; Nest",2673,4010
624333632,Photo,Great Horned Owl,Bubo virginianus,,Brian Genge,2024-09-28,2024,9,28,627,United States,US-CO-073,Colorado,Lincoln,Brett Gray Ranch (restricted access),38.7303867,-103.8993707,"",,Unspecified,"","",,,,,,,S196798986,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.85,41,,4022,3218
518663521,Photo,Great Horned Owl,Bubo virginianus,,Nick  Park,2022-04-24,2022,4,24,1323,Canada,CA-BC-CP,British Columbia,Capital,"Christmas Hill, Saanich",48.4738886,-123.3769155,"",,Unspecified,"","",,,,,,,S107961142,"",,,,3 fledglings.,Bubo virginianus,grhowl,Species,8811,,4.93,30,,2492,4153
611213775,Photo,Great Horned Owl,Bubo virginianus,,Bill Schneider,2023-11-16,2023,11,16,931,United States,US-CO-077,Colorado,Mesa,Highline Lake SP,39.2741769,-108.8396124,"",,Unspecified,"","",,,,,,,S154580657,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.93,29,,2662,4000
394109751,Photo,Great Horned Owl,Bubo virginianus,,Brad Imhoff,2021-04-25,2021,4,25,1636,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,Juvenile – 1,"",Unspecified,"","",,,,,,,S86378599,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.76,45,Nest,1519,2278
285020871,Photo,Great Horned Owl,Bubo virginianus,,Asher  Warkentin,2020-12-03,2020,12,3,1545,Canada,CA-AB-TR,Alberta,Fort MacLeod,Willms Farm,49.4670387,-113.7709934,"",,Unspecified,"","",,,,,,,S77035838,"",,,Amazed with the results so far!  Sun lit branch got in the way in what could have been a great shot...,,Bubo virginianus,grhowl,Species,8811,,4.82,38,,2482,3311
328879671,Photo,Great Horned Owl,Bubo virginianus,,Vasura Jayaweera,2021-04-21,2021,4,21,1600,Canada,CA-ON-MI,Ontario,Middlesex,London--Woodland Cemetery and Crematorium,42.9680268,-81.2898588,Juvenile – 2,,Unspecified,"","",,,,,,,S86066793,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.96,24,,1384,2000
552355821,Photo,Great Horned Owl,Bubo virginianus,,Melvin Legge,2023-04-01,2023,4,1,1400,Canada,CA-ON-OT,Ontario,Ottawa,Rideau River,45.2870757,-75.6958054,"",,Unspecified,"","",,,,,,,S132439603,"",,,,Crows harrassing it by the side of the river.  Flew over my kayak across the river,Bubo virginianus,grhowl,Species,8811,,4.92,25,,2634,3949
207128401,Photo,Great Horned Owl,Bubo virginianus,,Richard Poort,2020-01-29,2020,1,29,1400,Canada,CA-ON-HA,Ontario,Hamilton,Fifty Point CA (Hamilton side),43.2264121,-79.6242285,"",,Unspecified,"","",,,,,,,S63918673,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.61,72,,3265,4898
143223841,Photo,Great Horned Owl,Bubo virginianus,,Daniel Jauvin,2019-03-01,2019,3,1,730,Canada,CA-QC-BR,Quebec,Pierre-De Saurel,Maison du marais,46.0808930,-72.9636276,Adult,,Unspecified,"","",,,,,,,S53250624,"",,,"Grand-duc d'Amérique",,Bubo virginianus,grhowl,Species,8811,,4.69,54,,3534,5301
280481801,Photo,Great Horned Owl,Bubo virginianus,,Ethan Denton,2020-11-15,2020,11,15,1322,Canada,CA-AB-TR,Alberta,Fort MacLeod,Wilms Farm,49.4662424,-113.8031553,"",Carrying Food,Unspecified,"","",,,,,,,S76302293,"",,,,,Bubo virginianus,grhowl,Species,8811,,4.72,47,"",2669,4004
482230001,Photo,Great Horned Owl,Bubo virginianus,,Melvin Legge,2022-09-07,2022,9,7,1830,Canada,CA-ON-OT,Ontario,Ottawa,Jock East of Terry Carrisse Park,45.2488951,-75.7915274,"",,Unspecified,"","",,,,,,,S118304799,"",,,,Two were sitting on a fallen tree near the riverbank.  One (looked like a juvenile) flew away.  This was was quite photogenic.,Bubo virginianus,grhowl,Species,8811,,5.00,21,,3287,4928
310732221,Photo,Great Horned Owl,Bubo virginianus,,Connor Bowhay,2021-02-21,2021,2,21,1030,Canada,CA-AB-EL,Alberta,Edmonton,St. Albert--Grey Nuns Spruce Woodlot,53.6250290,-113.6572970,Adult Male – 1,Flying,Unspecified,"","",,,,,,,S82201801,"",,,,,Bubo virginianus,grhowl,Species,8811,,5.00,21,"",2497,3745
