ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
264079491,Photo,Green Heron,Butorides virescens,,Peter F,2020-08-20,2020,8,20,710,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,"",,Unspecified,"","",,,,,,,S72625965,"",,,,,Butorides virescens,grnher,Species,7611,,4.96,112,,2676,4015
425818761,Photo,Green Heron,Butorides virescens,,Grigory Heaton,2022-03-10,2022,3,10,1802,Mexico,MX-BCS-003,Baja California Sur,Loreto,Puerto Loreto,26.0140620,-111.3393992,Adult – 1,,Unspecified,"","",,,,,,,S104600785,"",,,,,Butorides virescens,grnher,Species,7611,,4.96,105,,3608,5413
619463486,Photo,Green Heron,Butorides virescens,,Joshua Zhou,2024-04-29,2024,4,29,710,United States,US-TX-453,Texas,Travis,Mills Pond at Wells Branch,30.4500000,-97.6801200,"",,Unspecified,"","",,,,,,,S170962179,"",,,,,Butorides virescens,grnher,Species,7611,,4.92,156,,2179,3487
582919801,Photo,Green Heron,Butorides virescens,,Dorian Anderson,2023-02-16,2023,2,16,1558,United States,US-FL-099,Florida,Palm Beach,Peaceful Waters Sanctuary,26.6314430,-80.2332294,Adult – 1,,Unspecified,"","",,,,,,,S128474292,"",,,,,Butorides virescens,grnher,Species,7611,,5.00,71,,4602,6899
86478551,Photo,Green Heron,Butorides virescens,,Scott Martin,2016-01-27,2016,1,27,730,United States,US-TX-355,Texas,Nueces,Leonabelle Turnbull Birding Ctr. (CTC 057),27.8275297,-97.0789558,"",,Unspecified,"","",,,,,,,S42686911,"",,,,,Butorides virescens,grnher,Species,7611,,4.90,125,,1469,2200
591970021,Photo,Green Heron,Butorides virescens,,Dorian Anderson,2023-02-20,2023,2,20,745,United States,US-FL-099,Florida,Palm Beach,Peaceful Waters Sanctuary,26.6314430,-80.2332294,Adult – 1,Flying,Unspecified,"","",,,,,,,S129126426,"",,,,,Butorides virescens,grnher,Species,7611,,4.94,80,"",3211,4814
621895925,Photo,Green Heron,Butorides virescens,,Kayann Cassidy,2024-07-26,2024,7,26,1001,Costa Rica,CR-P,Puntarenas,,Sierpe--Canal estero azul,8.8690496,-83.4691057,"",,Unspecified,"","",,,,,,,S189021131,"",,,,,Butorides virescens,grnher,Species,7611,,4.95,63,,2173,3255
187725971,Photo,Green Heron,Butorides virescens,,Levi Plummer,2018-12-31,2018,12,31,705,United States,US-AZ-013,Arizona,Maricopa,Riparian Preserve at Gilbert Water Ranch,33.3614502,-111.7339478,"",,Unspecified,"","",,,,,,,S51125164,"",,,,,Butorides virescens,grnher,Species,7611,,4.87,92,,3685,5306
588898231,Photo,Green Heron,Butorides virescens,,Dorian Anderson,2023-02-16,2023,2,16,1558,United States,US-FL-099,Florida,Palm Beach,Peaceful Waters Sanctuary,26.6314430,-80.2332294,Adult – 1,,Unspecified,"","",,,,,,,S128474292,"",,,,,Butorides virescens,grnher,Species,7611,,4.98,48,,4709,7060
354747731,Photo,Green Heron,Butorides virescens,,Brad Imhoff,2021-07-15,2021,7,15,835,United States,US-OH-089,Ohio,Licking,Buckeye Lake (Licking Co.),39.9335322,-82.4561477,"",Foraging or Eating,Unspecified,"","",,,,,,,S91785740,"",,,,,Butorides virescens,grnher,Species,7611,,4.85,95,"",3308,4959
493281121,Photo,Green Heron,Butorides virescens,,Frédérick Lelièvre,2022-08-14,2022,8,14,1640,Canada,CA-QC-PR,Quebec,Portneuf,RN du Marais Léon-Provancher,46.7166099,-71.5417671,"",,Unspecified,"","",,,,,,,S117356411,"",,,,,Butorides virescens,grnher,Species,7611,,4.89,63,,3666,5499
448624311,Photo,Green Heron,Butorides virescens,,Jefferson Shank,2022-05-14,2022,5,14,1510,United States,US-PA-055,Pennsylvania,Franklin,"Location 8429–8727 Iron Bridge Rd, Chambersburg US-PA 40.03648,",40.0363972,-77.6437881,Adult – 1,"",Unspecified,"","",,,,,,,S110078345,"",,,,,Butorides virescens,grnher,Species,7611,,4.88,66,Habitat,3079,4619
624774720,Photo,Green Heron,Butorides virescens,,Joshua Hogan,2024-10-09,2024,10,9,1635,United States,US-AZ-013,Arizona,Maricopa,Riparian Preserve at Gilbert Water Ranch,33.3614502,-111.7339478,"",,Unspecified,"","",,,,,,,S198171973,"",,,,,Butorides virescens,grnher,Species,7611,,5.00,40,,4106,6844
584088411,Photo,Green Heron,Butorides virescens,,Dorian Anderson,2023-02-16,2023,2,16,1558,United States,US-FL-099,Florida,Palm Beach,Peaceful Waters Sanctuary,26.6314430,-80.2332294,Adult – 1,,Unspecified,"","",,,,,,,S128474292,"",,,,,Butorides virescens,grnher,Species,7611,,4.94,49,,2812,4216
251620511,Photo,Green Heron,Butorides virescens,,Brad Imhoff,2020-07-24,2020,7,24,653,United States,US-OH-089,Ohio,Licking,Buckeye Lake (Licking Co.),39.9335322,-82.4561477,"",,Unspecified,"","",,,,,,,S71773596,"",,,,Flagged as a high count. Counted individually. They nest in the bay and we’ve had as many as 53 on this route in late summer.,Butorides virescens,grnher,Species,7611,,4.91,54,,3007,4510
621620649,Photo,Green Heron,Butorides virescens,,Beau Cotter,2024-07-18,2024,7,18,730,United States,US-MI-073,Michigan,Isabella,Mill Pond Park,43.5992274,-84.7875452,"",Carrying Food,Unspecified,"","",,,,,,,S187533315,"",,,,They really put on a show today!,Butorides virescens,grnher,Species,7611,,5.00,37,"",3048,4572
582618821,Photo,Green Heron,Butorides virescens,,Dorian Anderson,2023-02-14,2023,2,14,1554,United States,US-FL-099,Florida,Palm Beach,Peaceful Waters Sanctuary,26.6314430,-80.2332294,Adult – 1,,Unspecified,"","",,,,,,,S128345631,"",,,,,Butorides virescens,grnher,Species,7611,,4.95,42,,3617,5422
468005371,Photo,Green Heron,Butorides virescens,,Brad Imhoff,2022-07-17,2022,7,17,811,United States,US-OH-089,Ohio,Licking,Buckeye Lake SP--North Shore,39.9322696,-82.4780355,"",,Unspecified,"","",,,,,,,S115240624,"",,,,,Butorides virescens,grnher,Species,7611,,4.86,59,,2185,3277
621111938,Photo,Green Heron,Butorides virescens,,Dorian Anderson,2013-09-28,2013,9,28,0,United States,US-MA-027,Massachusetts,Worcester,"Muddy Pond and Sterling Peat, Sterling",42.4125067,-71.7875240,Adult – 1,,Unspecified,"","",,,,,,,S185164622,"",,,,,Butorides virescens,grnher,Species,7611,,5.00,34,,2668,4002
