ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
308764911,Photo,Hairy Woodpecker,Dryobates villosus,,Brad Imhoff,2021-02-17,2021,2,17,1207,United States,US-OH-089,Ohio,Licking,Pinetree Drive,40.0921976,-82.4813998,"",,Unspecified,"","",,,,,,,S81813821,"",,,,,Dryobates villosus,haiwoo,Species,11314,,4.93,107,,2545,3818
259476121,Photo,Hairy Woodpecker,Dryobates villosus,,Bryan Calk,2020-08-29,2020,8,29,852,United States,US-NM-001,New Mexico,Bernalillo,Cibola NF--Cienega Canyon Picnic Area,35.1675640,-106.3801861,Adult Female – 1,,Unspecified,"","",,,,,,,S72950881,"",,,,,Dryobates villosus,haiwoo,Species,11314,,4.84,85,,2477,3716
303463251,Photo,Hairy Woodpecker,Dryobates villosus,,Matthew Plante,2021-02-01,2021,2,1,1500,United States,US-OH-089,Ohio,Licking,Park Trails,40.0537932,-82.4896630,"",,Unspecified,"","",,,,,,,S80283739,"",,,,,Dryobates villosus,haiwoo,Species,11314,,5.00,34,,2601,3902
64945921,Photo,Hairy Woodpecker (Rocky Mts.),Dryobates villosus orius/icastus,,Matthew Pendleton,2017-08-01,2017,8,1,745,United States,US-UT-043,Utah,Summit,Mirror Lake Hwy--Bald Mountain,40.6971692,-110.9041030,Adult Male,,Unspecified,"","",,,,,,,S38431433,"",,,,,Dryobates villosus,haiwoo5,Group,11327,,4.89,45,,2515,3772
84744731,Photo,Hairy Woodpecker,Dryobates villosus,,bellemare celine,2018-02-03,2018,2,3,700,Canada,CA-QC-DD,Quebec,Le Domaine-du-Roy,"1260, route de Ste-Hedwidge",48.5012591,-72.3323657,Female,,Unspecified,"","",,,,,,,S42512011,"",,,,,Dryobates villosus,haiwoo,Species,11314,,4.85,48,,1200,1800
215176901,Photo,Hairy Woodpecker,Dryobates villosus,,Jack Parlapiano,2020-03-12,2020,3,12,1513,United States,US-NM-028,New Mexico,Los Alamos,Los Alamos Nature Center,35.8849724,-106.3062751,"",,Unspecified,"","",,,,,,,S65743801,"",,,,,Dryobates villosus,haiwoo,Species,11314,,4.80,59,,2738,4562
134465471,Photo,Hairy Woodpecker,Dryobates villosus,,Daniel Campeau,2019-01-11,2019,1,11,1020,Canada,CA-QC-CB,Quebec,La Côte-de-Beaupré,RNF du Cap-Tourmente,47.0780936,-70.7855538,"",,Unspecified,"","",,,,,,,S51562413,"",,,,,Dryobates villosus,haiwoo,Species,11314,,4.77,60,,2396,3195
181116921,Photo,Hairy Woodpecker (Rocky Mts.),Dryobates villosus orius/icastus,,Mason Maron,2019-10-06,2019,10,6,1431,United States,US-WA-047,Washington,Okanogan,Washington Pass (Okanogan Co.),48.5258316,-120.6474222,"",,Unspecified,"","",,,,,,,S60410559,"",,,,,Dryobates villosus,haiwoo5,Group,11327,,4.70,105,,2450,4216
415221061,Photo,Hairy Woodpecker,Dryobates villosus,,Chris McDonald,2022-02-11,2022,2,11,1541,Canada,CA-BC-FV,British Columbia,Fraser Valley,Chilliwack--Island 22 Park,49.1937924,-121.9794416,"",,Unspecified,"","",,,,,,,S102460214,"",,,,,Dryobates villosus,haiwoo,Species,11314,,4.74,53,,1365,2048
456014061,Photo,Hairy Woodpecker,Dryobates villosus,,Anne Inga,2022-06-02,2022,6,2,1619,United States,US-VT-007,Vermont,Chittenden,Ti-Haul Trail,44.3913893,-73.2407963,"",,Unspecified,"","",,,,,,,S111985308,"",,,,,Dryobates villosus,haiwoo,Species,11314,,4.78,37,,4406,5396
