ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
413819831,Photo,Horned Lark,Eremophila alpestris,,Ryan Sanderson,2022-02-05,2022,2,5,1557,United States,US-IN-059,Indiana,Hancock,Indianapolis Regional Airport (Mt. Comfort Airport),39.8478215,-85.9014130,Adult – 1,Flying,Unspecified,"","",,,,,,,S102093884,"",,,,,Eremophila alpestris,horlar,Species,22484,,4.98,117,"",2240,3360
280701731,Photo,Horned Lark,Eremophila alpestris,,Ryan Schain,2020-11-16,2020,11,16,1245,United States,US-MA-009,Massachusetts,Essex,Good Harbor Beach,42.6199200,-70.6334600,"",,Unspecified,"","",,,,,,,S76351623,"",,,,"Nice sized flock in lot, crawled up close for point blank photos. 5 SNBU mixed in, no LALO",Eremophila alpestris,horlar,Species,22484,,4.96,100,,2418,3726
491524781,Photo,Horned Lark,Eremophila alpestris,,Christian Briand,2022-10-08,2022,10,8,815,Canada,CA-QC-SR,Quebec,Sept-Rivières,Pointe de Moisie,50.1934558,-66.0742569,"",,Unspecified,"","",,,,,,,S120226205,"",,,,,Eremophila alpestris,horlar,Species,22484,,5.00,69,,2581,3872
266554131,Photo,Horned Lark,Eremophila alpestris,,Kyle Tansley,2020-09-26,2020,9,26,1715,United States,US-VT-007,Vermont,Chittenden,Delta Park IBA,44.5333652,-73.2777677,"",,Unspecified,"","",,,,,,,S74172637,"",,,,,Eremophila alpestris,horlar,Species,22484,,4.90,121,,2667,4000
308047481,Photo,Horned Lark,Eremophila alpestris,,Brendan Fogarty,2021-02-12,2021,2,12,735,United States,US-NY-119,New York,Westchester,Croton Point Park,41.1871668,-73.8891219,"",,Unspecified,"","",,,,,,,S80961808,"",,,,,Eremophila alpestris,horlar,Species,22484,,4.89,135,,2473,3709
414136181,Photo,Horned Lark,Eremophila alpestris,,Ryan Sanderson,2022-02-06,2022,2,6,750,United States,US-IN-059,Indiana,Hancock,"4102 W 400 N, Mc Cordsville US-IN (39.8421,-85.8804)",39.8420970,-85.8803680,"",Flying,Unspecified,"","",,,,,,,S102125697,"",,,,,Eremophila alpestris,horlar,Species,22484,,4.98,66,"",2130,3193
503040511,Photo,Horned Lark,Eremophila alpestris,,Aidan Brubaker,2022-10-07,2022,10,7,1134,United States,US-CA-067,California,Sacramento,Meiss Rd.,38.4467324,-121.0849142,"",,Unspecified,"","",,,,,,,S120158449,"",,,,,Eremophila alpestris,horlar,Species,22484,,4.92,92,,2088,2757
214616871,Photo,Horned Lark,Eremophila alpestris,,Brad Imhoff,2020-03-05,2020,3,5,1311,United States,US-OH-067,Ohio,Harrison,"Cadiz-Flushing Rd, Cadiz US-OH 40.18430, -81.03966",40.1842980,-81.0396600,"",,Unspecified,"","",,,,,,,S65472516,"",,,,,Eremophila alpestris,horlar,Species,22484,,4.91,100,,2230,3345
375298961,Photo,Horned Lark,Eremophila alpestris,,Liam Huber,2021-10-04,2021,10,4,1027,United States,US-CA-103,California,Tehama,Hogsback Road-(west end),40.1873550,-122.1716210,"",,Unspecified,"","",,,,,,,S95597180,"",,,,,Eremophila alpestris,horlar,Species,22484,,4.88,95,,2297,3907
199517661,Photo,Horned Lark,Eremophila alpestris,,Laure Wilson Neish,2016-03-09,2016,3,9,1000,Canada,CA-ON-MI,Ontario,Middlesex,Brigham and Elviage Rd.s,42.9406234,-81.3910773,"","",Unspecified,"","",,,,,,,S63419263,"",,,,,Eremophila alpestris,horlar,Species,22484,,4.91,74,Habitat,1612,2232
309943221,Photo,Horned Lark,Eremophila alpestris,,Ryan Sanderson,2021-02-20,2021,2,20,735,United States,US-IN-059,Indiana,Hancock,Indianapolis Regional Airport (Mt. Comfort Airport),39.8478215,-85.9014130,"",Flying,Unspecified,"","",,,,,,,S81990652,"",,,,,Eremophila alpestris,horlar,Species,22484,,4.92,62,"",2443,2443
85017591,Photo,Horned Lark,Eremophila alpestris,,Bruce Van Valen,2018-02-06,2018,2,6,900,United States,US-CT-001,Connecticut,Fairfield,Long Beach,41.1515158,-73.1436253,"",,Unspecified,"","",,,,,,,S42567138,"",,,,,Eremophila alpestris,horlar,Species,22484,,4.89,65,,2469,3704
135235291,Photo,Horned Lark,Eremophila alpestris,,Bryan Calk,2018-12-31,2018,12,31,1230,United States,US-NM-049,New Mexico,Santa Fe,Eldorado at Santa Fe,35.5467742,-105.9599410,"",,Unspecified,"","",,,,,,,S51705202,"",,,,,Eremophila alpestris,horlar,Species,22484,,4.86,64,,1804,3207
