ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
316920511,Photo,House Sparrow,Passer domesticus,,Matthew Plante,2021-03-15,2021,3,15,930,United States,US-OH-089,Ohio,Licking,Park Trails,40.0537932,-82.4896630,"",,Unspecified,"","",,,,,,,S83459528,"",,,,,Passer domesticus,houspa,Species,31261,,4.95,106,,2808,4212
51357991,Photo,House Sparrow,Passer domesticus,,Evan Lipton,2015-04-16,2015,4,16,0,United States,US-MA-021,Massachusetts,Norfolk,"Houston Avenue Yard, Milton",42.2587206,-71.0919526,Adult Male,,Unspecified,"","",,,,,,,S35220347,"",,,,,Passer domesticus,houspa,Species,31261,,4.89,167,,2339,3508
392162131,Photo,House Sparrow,Passer domesticus,,Natthaphat Chotjuckdikul,2021-08-28,2021,8,28,1639,Thailand,TH-10,Krung Thep Maha Nakhon [Bangkok],,"Supalai Park Ratchayothin, Bangkok",13.8306636,100.5616238,Adult Male – 1,Foraging or Eating,Unspecified,"","",,,,,,,S98272268,"",,,,,Passer domesticus,houspa,Species,31261,,4.97,76,Habitat,1364,2046
63883591,Photo,House Sparrow,Passer domesticus,,Christoph Moning,2010-05-21,2010,5,21,0,Germany,DE-BY-FS,Bayern,Freising,Spechtweg,48.3979163,11.7678165,Adult Male,,Unspecified,"","",,,,,,,S38244442,"",,,,,Passer domesticus,houspa,Species,31261,,4.89,133,,2699,4040
69514291,Photo,House Sparrow,Passer domesticus,,Adam Jackson,2016-04-20,2016,4,20,0,United States,US-MI-021,Michigan,Berrien,Andrews University,41.9666700,-86.3635683,"",,Unspecified,"","",,,,,,,S39314692,"",,,,,Passer domesticus,houspa,Species,31261,,4.85,97,,1335,2000
394766451,Photo,House Sparrow,Passer domesticus,,Brad Imhoff,2021-12-09,2021,12,9,908,United States,US-OH-089,Ohio,Licking,Dawes Arboretum,39.9801095,-82.4130067,Adult Male – 1,,Unspecified,"","",,,,,,,S98665967,"",,,,,Passer domesticus,houspa,Species,31261,,4.89,73,,2086,3128
391136151,Photo,House Sparrow,Passer domesticus,,Ryan Sanderson,2021-11-26,2021,11,26,1639,United States,US-IN-097,Indiana,Marion,"11117 Brave Ct, Lawrence US-IN (39.8790,-85.9704)",39.8789840,-85.9703950,Adult Male – 1,,Unspecified,"","",,,,,,,S98105090,"",,,,,Passer domesticus,houspa,Species,31261,,4.87,70,,2466,3699
305502941,Photo,House Sparrow,Passer domesticus,,Matthew Plante,2021-02-08,2021,2,8,820,United States,US-OH-089,Ohio,Licking,Park Trails,40.0537932,-82.4896630,"",,Unspecified,"","",,,,,,,S80644841,"",,,,,Passer domesticus,houspa,Species,31261,,4.85,67,,2822,4232
267356711,Photo,House Sparrow,Passer domesticus,,Adam Zahm,2020-10-01,2020,10,1,1230,United States,US-PA-101,Pennsylvania,Philadelphia,Independence NHP,39.9492829,-75.1497191,Adult Male – 1,,Unspecified,"","",,,,,,,S74293692,"",,,,,Passer domesticus,houspa,Species,31261,,4.80,81,,1501,2668
409661571,Photo,House Sparrow,Passer domesticus,,Dimitris Salas,2022-01-25,2022,1,25,1320,United States,US-NY-061,New York,New York,Central Park--Great Hill,40.7969094,-73.9588827,"",,Unspecified,"","",,,,,,,S101443100,"",,,,,Passer domesticus,houspa,Species,31261,,4.97,32,,3311,4966
138045781,Photo,House Sparrow,Passer domesticus,,Daniel Irons,2016-02-08,2016,2,8,840,United States,US-MD-035,Maryland,"Queen Anne's",Big water farm (Private),38.8879430,-76.1964941,"",,Unspecified,"","",,,,,,,S27400287,"",,,,,Passer domesticus,houspa,Species,31261,,4.82,45,,1416,2124
391136161,Photo,House Sparrow,Passer domesticus,,Ryan Sanderson,2021-11-26,2021,11,26,1639,United States,US-IN-097,Indiana,Marion,"11117 Brave Ct, Lawrence US-IN (39.8790,-85.9704)",39.8789840,-85.9703950,Adult Male – 1,,Unspecified,"","",,,,,,,S98105090,"",,,,,Passer domesticus,houspa,Species,31261,,5.00,26,,2195,3292
244834781,Photo,House Sparrow,Passer domesticus,,Mason Maron,2020-06-20,2020,6,20,1830,United States,US-OR-007,Oregon,Clatsop,Cannon Beach,45.8881860,-123.9646626,"",Vocalizing,Unspecified,"","",,,,,,,S70654822,"",,,Singing in the rain,,Passer domesticus,houspa,Species,31261,,4.82,44,"",2673,4753
418082581,Photo,House Sparrow,Passer domesticus,,Trish Snider,2022-02-19,2022,2,19,1111,Canada,CA-ON-EL,Ontario,Elgin,Port Bruce,42.6547853,-81.0079157,"",,Unspecified,"","",,,,,,,S103056066,"",,,,,Passer domesticus,houspa,Species,31261,,5.00,24,,2398,3150
304832841,Photo,House Sparrow,Passer domesticus,,Brad Imhoff,2021-02-06,2021,2,6,921,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,"",,Unspecified,"","",,,,,,,S80519481,"",,,,,Passer domesticus,houspa,Species,31261,,4.77,44,,1570,2355
44773741,Photo,House Sparrow,Passer domesticus,,Scott Fraser,2017-01-07,2017,1,7,720,United States,US-PA-101,Pennsylvania,Philadelphia,Awbury Arboretum,40.0514022,-75.1683712,Adult Male,,Unspecified,"","",,,,,,,S33505833,"",,,,,Passer domesticus,houspa,Species,31261,,4.66,71,,3197,4795
611227476,Photo,House Sparrow,Passer domesticus,,Andrew Simon,2023-10-23,2023,10,23,929,United States,US-MI-099,Michigan,Macomb,Casa de Simon 2.0,42.7169580,-83.0192131,"",,Unspecified,"","",,,,,,,S152901314,"",,,,,Passer domesticus,houspa,Species,31261,,4.89,27,,2357,3521
409725001,Photo,House Sparrow,Passer domesticus,,Matt Mason,2022-01-25,2022,1,25,848,United States,US-OH-089,Ohio,Licking,Dawes Arboretum,39.9801095,-82.4130067,"",,Unspecified,"","",,,,,,,S101452773,"",,,,,Passer domesticus,houspa,Species,31261,,4.67,54,,3502,5441
196976351,Photo,House Sparrow,Passer domesticus,,Alex Wiebe,2019-12-27,2019,12,27,1138,United States,US-NY-119,New York,Westchester,Marshlands Conservancy--parking lot area,40.9560877,-73.7037898,"",,Unspecified,"","",,,,,,,S62668502,"",,,,,Passer domesticus,houspa,Species,31261,,4.71,45,,3405,4717
64183321,Photo,House Sparrow,Passer domesticus,,Christoph Moning,2007-08-15,2007,8,15,0,Germany,DE-SH-NF,Schleswig-Holstein,Nordfriesland,Sylt--Uthörn,55.0354427,8.4290886,Adult Male,,Unspecified,"","",,,,,,,S28579449,"",,,,,Passer domesticus,houspa,Species,31261,,4.66,58,,2384,3333
391136121,Photo,House Sparrow,Passer domesticus,,Ryan Sanderson,2021-11-26,2021,11,26,1639,United States,US-IN-097,Indiana,Marion,"11117 Brave Ct, Lawrence US-IN (39.8790,-85.9704)",39.8789840,-85.9703950,Adult Male – 1,,Unspecified,"","",,,,,,,S98105090,"",,,,,Passer domesticus,houspa,Species,31261,,5.00,20,,3146,2517
146126311,Photo,House Sparrow,Passer domesticus,,Brad Vissia,2019-03-17,2019,3,17,1255,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Reifel Bird Sanctuary,49.1000000,-123.1850000,"",,Unspecified,"","",,,,,,,S53999380,"",,,,,Passer domesticus,houspa,Species,31261,,5.00,20,,1794,2692
295052811,Photo,House Sparrow,Passer domesticus,,Subhadra Devi,2020-12-20,2020,12,20,929,India,IN-TN-NI,Tamil Nadu,The Nilgiris,"Lovedale, Ooty",11.3944711,76.7113042,"",,Unspecified,"","",,,,,,,S78703194,"",,,,,Passer domesticus,houspa,Species,31261,,4.87,23,,1500,2000
213785331,Photo,House Sparrow,Passer domesticus,,Mason Maron,2020-03-05,2020,3,5,1200,United States,US-WA-075,Washington,Whitman,Koppel Community Gardens,46.7225861,-117.1681595,Adult Female – 1,,Unspecified,"","",,,,,,,S65466835,"",,,,,Passer domesticus,houspa,Species,31261,,4.70,37,,2472,4394
260257861,Photo,House Sparrow,Passer domesticus,,George Kuriakose  Basil,2019-05-07,2019,5,7,600,India,IN-TN-NI,Tamil Nadu,The Nilgiris,"Fab express Royal Hideway , Ooty",11.4097853,76.6875432,Adult Female – 1,Foraging or Eating,Unspecified,"","",,,,,,,S55997220,"",,,,,Passer domesticus,houspa,Species,31261,,5.00,18,Habitat,3888,5184
155039881,Photo,House Sparrow,Passer domesticus,,August Davidson-Onsgard,2019-04-30,2019,4,30,1725,United States,US-NY-047,New York,Kings,Fort Greene Park,40.6919230,-73.9754964,"",,Unspecified,"","",,,,,,,S55607874,"",,,,,Passer domesticus,houspa,Species,31261,,5.00,18,,,
325707491,Photo,House Sparrow,Passer domesticus,,Ben  Lucking,2021-03-29,2021,3,29,645,United Kingdom,GB-ENG-DEV,England,Devon,Dawlish Warren NNR,50.6078473,-3.4375727,"",,Unspecified,"","",,,,,,,S84320129,"",,,,,Passer domesticus,houspa,Species,31261,,4.86,22,,2194,3291
429756731,Photo,House Sparrow,Passer domesticus,,Marlene Kraml,2022-02-27,2022,2,27,1130,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Richmond--California Scrub-Jay Stakeout (2022-2023),49.1351110,-123.1024849,"",,Unspecified,"","",,,,,,,S103883110,"",,,,,Passer domesticus,houspa,Species,31261,,4.68,38,,3012,4518
621406673,Photo,House Sparrow,Passer domesticus,,Deepak Budhathoki 🦉,2024-05-14,2024,5,14,1726,Nepal,NP-3-BHA,Bagmati,Bhaktapur,Manohara River,27.7000398,85.3900227,"",,Unspecified,"","",,,,,,,S174699551,"",,,,,Passer domesticus,houspa,Species,31261,,4.70,37,,4334,6500
155039851,Photo,House Sparrow,Passer domesticus,,August Davidson-Onsgard,2019-04-30,2019,4,30,1725,United States,US-NY-047,New York,Kings,Fort Greene Park,40.6919230,-73.9754964,"",,Unspecified,"","",,,,,,,S55607874,"",,,,,Passer domesticus,houspa,Species,31261,,4.94,18,,,
625708922,Photo,House Sparrow,Passer domesticus,,Mark Sak,2024-10-27,2024,10,27,1450,United States,US-MI-145,Michigan,Saginaw,Home Feeder,43.4092350,-84.0003160,"",,Unspecified,"","",,,,,,,S200517385,"",,,,,Passer domesticus,houspa,Species,31261,,5.00,16,,3728,2982
45608361,Photo,House Sparrow,Passer domesticus,,John F. Gatchet,2017-01-15,2017,1,15,827,United States,US-WA-009,Washington,Clallam,Neah Bay--general area (*move to more refined location if appropriate),48.3563354,-124.6371659,"",,Unspecified,"","",,,,,,,S33711712,"",,,House Sparrow Neah Bay,,Passer domesticus,houspa,Species,31261,,4.63,38,,1657,2483
610600828,Photo,House Sparrow,Passer domesticus,,Roger Smith,2023-10-29,2023,10,29,819,United States,US-CA-073,California,San Diego,Goldfish Point & Coast Walk Trail,32.8497885,-117.2701254,"",,Unspecified,"","",,,,,,,S153336493,"",,,,,Passer domesticus,houspa,Species,31261,,4.94,17,,1365,2048
538406091,Photo,House Sparrow,Passer domesticus,,Lukasz Ifczok,2022-11-20,2022,11,20,819,Kuwait,KW-KU,Al Kuwayt,,Al-Shaheed Park,29.3733670,47.9942700,"",,Unspecified,"","",,,,,,,S122736731,"",,,,,Passer domesticus,houspa,Species,31261,,4.67,30,,1012,1800
345366481,Photo,House Sparrow,Passer domesticus,,Bhaarat Vyas,2021-05-30,2021,5,30,635,India,IN-GJ-GA,Gujarat,Gandhinagar,Sant Sarovar Dam,23.1982736,72.6630525,Adult Male – 1,,Unspecified,"","",,,,,,,S89246131,"",,,,Approximately written,Passer domesticus,houspa,Species,31261,,4.67,30,,1635,2551
257316981,Photo,House Sparrow,Passer domesticus,,Mason Maron,2020-08-17,2020,8,17,1552,United States,US-WA-075,Washington,Whitman,"South Fork Palouse River Walkway, Pullman",46.7299903,-117.1774160,Adult Male – 1,Vocalizing,Unspecified,"","",,,,,,,S72520442,"",,,,,Passer domesticus,houspa,Species,31261,,4.77,22,Habitat,2528,4494
408760111,Photo,House Sparrow,Passer domesticus,,Brad Imhoff,2022-01-20,2022,1,20,903,United States,US-OH-089,Ohio,Licking,Dawes Arboretum,39.9801095,-82.4130067,Adult Female – 1,,Unspecified,"","",,,,,,,S101093022,"",,,,,Passer domesticus,houspa,Species,31261,,4.94,16,,2182,3271
49634991,Photo,House Sparrow,Passer domesticus,,Thomas Gibson,2017-02-24,2017,2,24,1100,United Kingdom,GB-ENG-DEV,England,Devon,Bowling Green Marsh RSPB Reserve,50.6793160,-3.4571837,"",,Unspecified,"","",,,,,,,S34822843,"",,,,,Passer domesticus,houspa,Species,31261,,4.68,25,,3456,4608
293726901,Photo,House Sparrow,Passer domesticus,,Robert Mustell,2021-01-02,2021,1,2,1242,United States,US-TX-439,Texas,Tarrant,Emerald Estates - E&T,32.9715821,-97.1297918,Female – 1,,Unspecified,"","",,,,,,,S78506779,"",,,,,Passer domesticus,houspa,Species,31261,,4.71,24,,3900,3120
62217041,Photo,House Sparrow,Passer domesticus,,Doug Hitchcox,2017-06-29,2017,6,29,1236,United States,US-ME-005,Maine,Cumberland,Gilsland Farm Audubon Center,43.7066997,-70.2417581,Adult Male,,Unspecified,"","",,,,,,,S37869431,"",,,,,Passer domesticus,houspa,Species,31261,,4.70,23,,2211,3319
559821821,Photo,House Sparrow,Passer domesticus,,Deepak Budhathoki 🦉,2023-04-19,2023,4,19,1450,Nepal,NP-3-KAT,Bagmati,Kathmandu,Manohara to Nilbarahai,27.7002900,85.3865600,"",,Unspecified,"","",,,,,,,S134265555,"",,,,,Passer domesticus,houspa,Species,31261,,4.65,31,,2667,4000
216867741,Photo,House Sparrow,Passer domesticus,,Derek Hudgins,2019-10-29,2019,10,29,1510,United States,US-MD-005,Maryland,Baltimore,Radio Park,39.3969480,-76.5776300,Adult Female – 1,Vocalizing,Unspecified,"","",,,,,,,S61026977,"",,,,,Passer domesticus,houspa,Species,31261,,4.53,36,"",2849,4273
61983111,Photo,House Sparrow,Passer domesticus,,Ian Hearn,2017-06-26,2017,6,26,1940,United States,US-ID-001,Idaho,Ada,Esther Simplot Park,43.6281234,-116.2303734,Adult Male,,Unspecified,"","",,,,,,,S37813808,"",,,,,Passer domesticus,houspa,Species,31261,,4.61,28,,3000,4000
165645341,Photo,House Sparrow,Passer domesticus,,Ian Hearn,2019-06-24,2019,6,24,1119,Nepal,NP-3-KAT,Bagmati,Kathmandu,"Melungtse, Chapalkarkhana",27.7354322,85.3436905,Adult Female,,Unspecified,"","",,,,,,,S57641929,"",,,,,Passer domesticus,houspa,Species,31261,,4.83,18,,3712,5568
522845421,Photo,House Sparrow,Passer domesticus,,Nick  Park,2023-01-10,2023,1,10,1303,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Reifel Bird Sanctuary,49.1000000,-123.1850000,"",,Unspecified,"","",,,,,,,S125892169,"",,,,,Passer domesticus,houspa,Species,31261,,4.93,15,,3216,5360
63883611,Photo,House Sparrow,Passer domesticus,,Christoph Moning,2010-05-21,2010,5,21,0,Germany,DE-BY-FS,Bayern,Freising,Spechtweg,48.3979163,11.7678165,Adult Female,,Unspecified,"","",,,,,,,S38244442,"",,,,,Passer domesticus,houspa,Species,31261,,4.93,15,,2633,3942
260430411,Photo,House Sparrow,Passer domesticus,,Mason Maron,2020-09-04,2020,9,4,1804,United States,US-WA-075,Washington,Whitman,"South Fork Palouse River Walkway, Pullman",46.7299903,-117.1774160,Adult Female – 1,,Unspecified,"","",,,,,,,S73193666,"",,,,,Passer domesticus,houspa,Species,31261,,4.80,20,,2311,4109
313732481,Photo,House Sparrow,Passer domesticus,,Karan Matalia,2021-01-17,2021,1,17,715,India,IN-WB-KO,West Bengal,Kolkata,Victoria Memorial,22.5457966,88.3435584,"",,Unspecified,"","",,,,,,,S79373943,"",,,,,Passer domesticus,houspa,Species,31261,,4.43,51,,2294,3153
610160182,Photo,House Sparrow,Passer domesticus,,Martin Anderson,2022-07-19,2022,7,19,948,Australia,AU-NSW-HAW,New South Wales,Hawkesbury,Pughs Lagoon,-33.5931699,150.7424265,"",,Unspecified,"","",,,,,,,S115414987,"",,,,,Passer domesticus,houspa,Species,31261,,4.82,17,,2576,4000
345932301,Photo,House Sparrow,Passer domesticus,,Rafael García,2021-06-06,2021,6,6,655,Spain,ES-AN-CD,Andalucía,Cádiz,Paseo Marítimo Costa Ballena,36.6866903,-6.4177416,"",,Unspecified,"","",,,,,,,S89703995,"",,,,,Passer domesticus,houspa,Species,31261,,4.64,22,,1080,1920
154827831,Photo,House Sparrow,Passer domesticus,,Joshua Vandermeulen,2019-04-27,2019,4,27,641,Canada,CA-ON-ES,Ontario,Essex,Point Pelee National Park (general location),41.9553986,-82.5139999,"",,Unspecified,"","",,,,,,,S55467794,"",,,,,Passer domesticus,houspa,Species,31261,,4.55,29,,,
139695251,Photo,House Sparrow,Passer domesticus,,Terence Alexander,2019-01-14,2019,1,14,959,Australia,AU-TAS-LAT,Tasmania,Latrobe,"702–750 Chapel Road, Harford AU-TAS (-41.2422,146.5436)",-41.2422330,146.5435910,"",,Unspecified,"","",,,,,,,S51647979,"",,,,,Passer domesticus,houspa,Species,31261,,4.65,23,,1399,2099
109754251,Photo,House Sparrow,Passer domesticus,,Dan Forster,2018-08-04,2018,8,4,1000,Australia,AU-VIC-GGE,Victoria,Greater Geelong,Serendip Sanctuary,-38.0052428,144.4125366,Adult Male,,Unspecified,"","",,,,,,,S47660479,"",,,,,Passer domesticus,houspa,Species,31261,,4.50,36,,2362,2362
173132881,Photo,House Sparrow,Passer domesticus,,Aravind AM,2019-08-14,2019,8,14,1704,India,IN-TN-CH,Tamil Nadu,Chennai,"Ram Nagar Swamps, Madipakkam",12.9599584,80.2102804,Adult Female,,Unspecified,"","",,,,,,,S58982208,"",,,"Adult female, with nesting material",,Passer domesticus,houspa,Species,31261,,4.64,22,,1200,1800
238081171,Photo,House Sparrow,Passer domesticus,,Santiago Caballero Carrera,2020-05-24,2020,5,24,1100,Spain,ES-AN-MG,Andalucía,Málaga,Ronda (Los Prados),36.8309507,-5.1299326,Adult Male – 1,,Unspecified,"","",,,,,,,S69552676,"",,,,,Passer domesticus,houspa,Species,31261,,4.37,68,,3400,5100
339622811,Photo,House Sparrow,Passer domesticus,,Matthew Plante,2021-05-17,2021,5,17,745,United States,US-OH-089,Ohio,Licking,Park Trails,40.0537932,-82.4896630,"Adult Female – 1; Juvenile – 1",,Unspecified,"","",,,,,,,S88420155,"",,,,,Passer domesticus,houspa,Species,31261,,5.00,12,,2360,3540
361941311,Photo,House Sparrow,Passer domesticus,,Alberto Aguiar Álamo,2021-08-05,2021,8,5,1000,Spain,ES-MD,"Madrid, Comunidad de",,Parque El Retiro-Madrid,40.4165021,-3.6835098,"",,Unspecified,"","",,,,,,,S92785622,"",,,,A prox,Passer domesticus,houspa,Species,31261,,4.70,20,,1978,2967
209599691,Photo,House Sparrow,Passer domesticus,,Bhaarat Vyas,2019-11-10,2019,11,10,1540,India,IN-RJ-JS,Rajasthan,Jaisalmer,Desert NP (DNP) & Surroundings--General Area,26.9058080,70.8060612,Adult Male – 1,Foraging or Eating,Unspecified,"","",,,,,,,S61547453,"",,,,,Passer domesticus,houspa,Species,31261,,4.80,15,Habitat,2009,2894
