ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
121822671,Photo,"Hutton's Vireo",Vireo huttoni,,Ryan Schain,2018-11-03,2018,11,3,839,United States,US-WA-033,Washington,King,Woodland Park,47.6676994,-122.3432350,"",,Unspecified,"","",,,,,,,S49643779,"",,,,,Vireo huttoni,hutvir,Species,19005,,4.96,108,,2386,3974
442965321,Photo,"Hutton's Vireo",Vireo huttoni,,Mason Maron,2022-05-01,2022,5,1,1304,United States,US-WA-033,Washington,King,Lewis Creek Park,47.5506266,-122.1250936,Adult – 1,Vocalizing,Unspecified,"","",,,,,,,S108654198,"",,,,,Vireo huttoni,hutvir,Species,19005,,4.89,85,Habitat,2981,4771
487786991,Photo,"Hutton's Vireo",Vireo huttoni,,Tim Avery,2022-03-06,2022,3,6,757,United States,US-CA-059,California,Orange,Irvine Regional Park,33.7968382,-117.7532673,"",,Unspecified,"","",,,,,,,S104314231,"",,,,,Vireo huttoni,hutvir,Species,19005,,4.89,63,,1296,2000
625551719,Photo,"Hutton's Vireo",Vireo huttoni,,Mason Maron,2024-10-25,2024,10,25,919,United States,US-WA-033,Washington,King,Lewis Creek Park,47.5506266,-122.1250936,Adult – 1,,Unspecified,"","",,,,,,,S200217999,"",,,,,Vireo huttoni,hutvir,Species,19005,,4.97,38,,2627,3941
446898881,Photo,"Hutton's Vireo",Vireo huttoni,,Mason Maron,2022-05-01,2022,5,1,1304,United States,US-WA-033,Washington,King,Lewis Creek Park,47.5506266,-122.1250936,Adult – 1,,Unspecified,"","",,,,,,,S108654198,"",,,,,Vireo huttoni,hutvir,Species,19005,,4.97,35,,2616,4185
314141651,Photo,"Hutton's Vireo",Vireo huttoni,,Evan Larson,2021-03-06,2021,3,6,1130,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Musqueam Park,49.2297470,-123.1911090,"",,Unspecified,"","",,,,,,,S82883671,"",,,,,Vireo huttoni,hutvir,Species,19005,,4.94,34,,2327,3879
620511517,Photo,"Hutton's Vireo",Vireo huttoni,,Derek Lecy,2024-06-16,2024,6,16,737,United States,US-CA-041,California,Marin,MCBBA2--Block 13-13,37.9900732,-122.5471692,"",,Unspecified,"","",,,,,,,S181972483,"",,,,"(37.99145,-122.56054)",Vireo huttoni,hutvir,Species,19005,,5.00,28,,2518,4092
121818681,Photo,"Hutton's Vireo",Vireo huttoni,,Ryan Schain,2018-11-03,2018,11,3,839,United States,US-WA-033,Washington,King,Woodland Park,47.6676994,-122.3432350,"",,Unspecified,"","",,,,,,,S49643779,"",,,,,Vireo huttoni,hutvir,Species,19005,,4.85,41,,2364,3912
195518471,Photo,"Hutton's Vireo",Vireo huttoni,,Jerry Ting,2019-12-27,2019,12,27,1332,United States,US-CA-001,California,Alameda,Lake Merritt,37.8035451,-122.2567177,"",,Unspecified,"","",,,,,,,S62685012,"",,,,,Vireo huttoni,hutvir,Species,19005,,5.00,26,,2658,3708
260190211,Photo,"Hutton's Vireo",Vireo huttoni,,Liam Singh,2020-04-09,2020,4,9,630,Canada,CA-BC-CP,British Columbia,Capital,Goldstream Heights Drive - powerline and vicinity,48.5168033,-123.5650885,"",,Unspecified,"","",,,,,,,S66862666,"",,,,,Vireo huttoni,hutvir,Species,19005,,4.83,42,,2769,4153
488853341,Photo,"Hutton's Vireo",Vireo huttoni,,Rajan Rao,2022-09-04,2022,9,4,1347,United States,US-CA-045,California,Mendocino,Van Damme SP--Mendocino Pygmy Forest,39.2635707,-123.7361850,"",,Unspecified,"","",,,,,,,S118110791,"",,,,,Vireo huttoni,hutvir,Species,19005,,4.76,46,,3289,4934
551906061,Photo,"Hutton's Vireo",Vireo huttoni,,Nick  Park,2023-03-25,2023,3,25,1300,Canada,CA-BC-CP,British Columbia,Capital,University of Victoria,48.4630400,-123.3118700,"",,Unspecified,"","",,,,,,,S131795294,"",,,,,Vireo huttoni,hutvir,Species,19005,,4.84,25,,2708,4513
192383961,Photo,"Hutton's Vireo",Vireo huttoni,,Bryan Calk,2019-10-08,2019,10,8,1416,United States,US-TX-171,Texas,Gillespie,Boot Ranch,30.3443180,-98.8674600,"",,Unspecified,"","",,,,,,,S60464715,"",,,,,Vireo huttoni,hutvir,Species,19005,,4.62,40,,1940,3449
608353412,Photo,"Hutton's Vireo",Vireo huttoni,,Michael Stubblefield,2013-12-23,2013,12,23,1030,United States,US-CA-041,California,Marin,Las Gallinas Valley Sanitary District,38.0274109,-122.5155830,Adult – 1,Foraging or Eating,Unspecified,"","",,,,,,,S62991699,"",,,"Hutton's Vireo (Vireo huttoni parkesi), Pacific group, adult foraging at the Las Gallinas Wildlife Ponds, Marin, California.",,Vireo huttoni,hutvir,Species,19005,,5.00,17,"",1421,2132
196832611,Photo,"Hutton's Vireo",Vireo huttoni,,Mark Scheel,2020-01-02,2020,1,2,653,United States,US-CA-037,California,Los Angeles,Peck Rd. Water Conservation Park,34.1005300,-118.0133300,"",,Unspecified,"","",,,,,,,S62939904,"",,,,,Vireo huttoni,hutvir,Species,19005,,5.00,16,,1125,2000
