ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
135235381,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Bryan Calk,2018-12-31,2018,12,31,1230,United States,US-NM-049,New Mexico,Santa Fe,Eldorado at Santa Fe,35.5467742,-105.9599410,"",,Unspecified,"","",,,,,,,S51705202,"",,,,,Baeolophus ridgwayi,juntit1,Species,21931,,4.93,220,,2261,4020
290783251,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Mike Malmquist,2020-12-24,2020,12,24,1502,United States,US-UT-035,Utah,Salt Lake,Dimple Dell Park,40.5614167,-111.8305206,"",,Unspecified,"","",,,,,,,S77936915,"",,,,,Baeolophus ridgwayi,juntit1,Species,21931,,4.84,56,,2365,3153
351466871,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Zebedee Muller,2020-08-21,2020,8,21,534,United States,US-AZ-005,Arizona,Coconino,Grand Canyon NP--South Rim,36.0160000,-112.0900000,"",,Unspecified,"","",,,,,,,S72671214,"",,,,,Baeolophus ridgwayi,juntit1,Species,21931,,4.76,54,,1675,2567
449473771,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Ian Hearn,2022-05-14,2022,5,14,1047,United States,US-ID-031,Idaho,Cassia,Castle Rocks SP--Equestrian Trail Head,42.0773067,-113.6521315,Adult – 1,,Unspecified,"","",,,,,,,S110123342,"",,,,,Baeolophus ridgwayi,juntit1,Species,21931,,4.63,57,,2848,4272
301935071,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Ian Davies,2020-05-22,2020,5,22,722,United States,US-UT-053,Utah,Washington,Springdale--Tanner Amphitheatre,37.2002681,-113.0032396,"",,Unspecified,"","",,,,,,,S69508432,"",,,,,Baeolophus ridgwayi,juntit1,Species,21931,,4.76,33,,2149,3461
460965221,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Michael Stremciuc,2022-06-09,2022,6,9,613,United States,US-AZ-025,Arizona,Yavapai,Airport Mesa Trailhead,34.8557500,-111.7800050,"",,Unspecified,"","",,,,,,,S112519066,"",,,,,Baeolophus ridgwayi,juntit1,Species,21931,,4.61,49,,1280,2093
273617791,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Jim Merritt,2020-10-20,2020,10,20,835,United States,US-CO-041,Colorado,El Paso,Aiken Canyon Preserve,38.6212294,-104.8886847,"",,Unspecified,"","",,,,,,,S75140251,"",,,,,Baeolophus ridgwayi,juntit1,Species,21931,,4.66,41,,1279,1593
381081031,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Jim Merritt,2021-10-13,2021,10,13,1012,United States,US-CO-055,Colorado,Huerfano,Lathrop SP,37.6106279,-104.8407269,"",,Unspecified,"","",,,,,,,S96079394,"",,,,,Baeolophus ridgwayi,juntit1,Species,21931,,4.95,19,,2051,3285
415657161,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Liam Huber,2022-02-12,2022,2,12,1220,United States,US-CA-035,California,Lassen,Red Rock Rd. (LAS Co.),39.9081561,-120.0079536,"",,Unspecified,"","",,,,,,,S102516733,"",,,,"39.906744,-120.001474",Baeolophus ridgwayi,juntit1,Species,21931,,4.64,44,,3008,4913
301935151,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Ian Davies,2020-05-22,2020,5,22,722,United States,US-UT-053,Utah,Washington,Springdale--Tanner Amphitheatre,37.2002681,-113.0032396,"",,Unspecified,"","",,,,,,,S69508432,"",,,,,Baeolophus ridgwayi,juntit1,Species,21931,,4.70,23,,2149,3461
272961261,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Jim Merritt,2020-10-20,2020,10,20,835,United States,US-CO-041,Colorado,El Paso,Aiken Canyon Preserve,38.6212294,-104.8886847,"",,Unspecified,"","",,,,,,,S75140251,"",,,,,Baeolophus ridgwayi,juntit1,Species,21931,,4.57,30,,1256,1601
290783261,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Mike Malmquist,2020-12-24,2020,12,24,1502,United States,US-UT-035,Utah,Salt Lake,Dimple Dell Park,40.5614167,-111.8305206,"",,Unspecified,"","",,,,,,,S77936915,"",,,,,Baeolophus ridgwayi,juntit1,Species,21931,,4.63,19,,3083,4112
509072971,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Jim Merritt,2022-12-01,2022,12,1,905,United States,US-CO-041,Colorado,El Paso,Rock Ledge Ranch,38.8731601,-104.8723555,"",,Unspecified,"","",,,,,,,S123294756,"",,,,,Baeolophus ridgwayi,juntit1,Species,21931,,4.77,13,,1895,2818
155876751,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Darren Clark,2019-05-04,2019,5,4,747,United States,US-ID-065,Idaho,Madison,Cress Creek Nature Trail,43.6592080,-111.7184767,"",,Unspecified,"","",,,,,,,S55764449,"",,,,,Baeolophus ridgwayi,juntit1,Species,21931,,4.52,21,,1875,2500
80006211,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Marky Mutchler,2017-12-31,2017,12,31,834,United States,US-NM-001,New Mexico,Bernalillo,Ojito de San Antonio Open Space,35.1034101,-106.3819456,"",,Unspecified,"","",,,,,,,S41465323,"",,,,,Baeolophus ridgwayi,juntit1,Species,21931,,4.53,17,,1879,2821
301935161,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Ian Davies,2020-05-22,2020,5,22,722,United States,US-UT-053,Utah,Washington,Springdale--Tanner Amphitheatre,37.2002681,-113.0032396,"",,Unspecified,"","",,,,,,,S69508432,"",,,,,Baeolophus ridgwayi,juntit1,Species,21931,,4.56,16,,2258,3824
499285431,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Fernando Ortega,2022-10-30,2022,10,30,1645,United States,US-NM-001,New Mexico,Bernalillo,"719 Alondra Ln NW, Los Ranchos de Albuquerque US-NM 35.17706, -106.64129",35.1770560,-106.6412920,"",,Unspecified,"","",,,,,,,S121609949,"",,,,"Possibly even 4, but I could not keep track of them darting around. Before today, had only ever seen two in the yard at the same time.",Baeolophus ridgwayi,juntit1,Species,21931,,5.00,8,,2857,4000
301935051,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Ian Davies,2020-05-22,2020,5,22,722,United States,US-UT-053,Utah,Washington,Springdale--Tanner Amphitheatre,37.2002681,-113.0032396,"",,Unspecified,"","",,,,,,,S69508432,"",,,,,Baeolophus ridgwayi,juntit1,Species,21931,,4.54,13,,1882,3171
375037751,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Pitta Tours,2021-07-26,2021,7,26,816,United States,US-ID-071,Idaho,Oneida,Juniper Rest Area,42.0739056,-112.9083824,"",,Unspecified,"","",,,,,,,S92350205,"",,,,,Baeolophus ridgwayi,juntit1,Species,21931,,4.78,9,,1296,2000
468340501,Photo,Juniper Titmouse,Baeolophus ridgwayi,,Darren Clark,2022-07-16,2022,7,16,705,United States,US-ID-071,Idaho,Oneida,"Cow Hollow Rd, Holbrook US-ID 42.08396, -112.79384",42.0839610,-112.7938430,"",,Unspecified,"","",,,,,,,S115176752,"",,,,,Baeolophus ridgwayi,juntit1,Species,21931,,4.88,8,,4113,6170
