ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
483312,Video,Killdeer,Charadrius vociferus,,Jay McGowan,2015-06-16,2015,6,16,943,United States,US-NY-099,New York,Seneca,Lott Farm (restricted access),42.8790775,-76.7944980,"Adult – 2; Juvenile – 1","Call; Vocalizing",Unspecified,"","",,,Canon EOS 7D Mark II,,"Canon EF 500mm f/4L IS USM Lens; Canon EF 2X II Extender",,S23929684,"",,,"Other Behaviors: Stand, Walk, Bob, Brood.",,Charadrius vociferus,killde,Species,5770,,4.97,185,Nest,,
158310331,Photo,Killdeer,Charadrius vociferus,,Max Nootbaar,2019-05-10,2019,5,10,1042,United States,US-OH-095,Ohio,Lucas,Howard Marsh Metropark,41.6450689,-83.2637178,"",,Unspecified,"","",,,,,,,S56127747,"",,,,,Charadrius vociferus,killde,Species,5770,,4.94,211,,2898,4611
622589119,Photo,Killdeer,Charadrius vociferus,,Janet Hix,2024-06-07,2024,6,7,550,United States,US-TX-439,Texas,Tarrant,Colleyville Nature Ctr. (PPW-W 082),32.8763434,-97.1664548,"",,Unspecified,"","",,,,,,,S179961838,"",,,,Two adults were actively watching over 2 youngsters. One adult performed a broken wing display.,Charadrius vociferus,killde,Species,5770,,4.98,95,,2309,3464
584677301,Photo,Killdeer,Charadrius vociferus,,Matt Felperin,2023-05-30,2023,5,30,1740,United States,US-VA-059,Virginia,Fairfax,Bull Run Regional Park,38.8019000,-77.4907000,"Adult Female – 1; Juvenile – 4",,Unspecified,"","",,,,,,,S139941055,"",,,,"Day old chicks SO CUTE &#x1f970;",Charadrius vociferus,killde,Species,5770,,4.97,96,,1647,2470
503456881,Photo,Killdeer,Charadrius vociferus,,Rain Saulnier,2022-11-11,2022,11,11,1203,Canada,CA-AB-SI,Alberta,Calgary,Calgary--Carburn Park,50.9743186,-114.0326786,"",,Unspecified,"","",,,,,,,S122260785,"",,,,,Charadrius vociferus,killde,Species,5770,,4.94,119,,1365,2048
158310321,Photo,Killdeer,Charadrius vociferus,,Max Nootbaar,2019-05-10,2019,5,10,1042,United States,US-OH-095,Ohio,Lucas,Howard Marsh Metropark,41.6450689,-83.2637178,"",,Unspecified,"","",,,,,,,S56127747,"",,,,,Charadrius vociferus,killde,Species,5770,,4.95,112,,2753,4328
228219101,Photo,Killdeer,Charadrius vociferus,,Jonathan Irons,2020-04-16,2020,4,16,1835,United States,US-MD-035,Maryland,"Queen Anne's",Big water farm (Private),38.8879430,-76.1964941,"",,Unspecified,"","",,,,,,,S67365913,"",,,,,Charadrius vociferus,killde,Species,5770,,4.95,93,,2324,3483
124196721,Photo,Killdeer,Charadrius vociferus,,Daniel Irons,2017-04-10,2017,4,10,647,United States,US-MD-035,Maryland,"Queen Anne's",Big water farm (Private),38.8879430,-76.1964941,Juvenile,,Unspecified,"","",,,,,,,S35843549,"",,,,,Charadrius vociferus,killde,Species,5770,,4.88,163,,2988,4166
466193141,Photo,Killdeer,Charadrius vociferus,,Matthew Dolkart,2022-07-09,2022,7,9,445,United States,US-IL-031,Illinois,Cook,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",41.9633833,-87.6344204,"",,Unspecified,"","",,,,,,,S114717137,"",,,,,Charadrius vociferus,killde,Species,5770,,4.92,110,,,
399493781,Photo,Killdeer,Charadrius vociferus,,Katie Warner,2021-12-27,2021,12,27,1003,United States,US-WA-011,Washington,Clark,Klineline Pond,45.7069939,-122.6566136,"",,Unspecified,"","",,,,,,,S99526924,"",,,,,Charadrius vociferus,killde,Species,5770,,4.92,105,,2449,3674
