ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
210222181,Photo,Loggerhead Shrike,Lanius ludovicianus,,Dorian Anderson,2020-02-11,2020,2,11,652,United States,US-CA-065,California,Riverside,San Jacinto Wildlife Area,33.8854488,-117.1041040,"",,Unspecified,"","",,,,,,,S64367857,"",,,,,Lanius ludovicianus,logshr,Species,20860,,4.94,579,,2703,4054
214645951,Photo,Loggerhead Shrike,Lanius ludovicianus,,Dorian Anderson,2020-02-14,2020,2,14,700,United States,US-CA-065,California,Riverside,San Jacinto Wildlife Area,33.8854488,-117.1041040,"",,Unspecified,"","",,,,,,,S64459375,"",,,,,Lanius ludovicianus,logshr,Species,20860,,4.94,134,,3361,5042
152330281,Photo,Loggerhead Shrike,Lanius ludovicianus,,Serge Cloutier,2019-04-20,2019,4,20,1020,United States,US-FL-021,Florida,Collier,Sugden Regional Park,26.1137509,-81.7621422,"",,Unspecified,"","",,,,,,,S55170003,"",,,,,Lanius ludovicianus,logshr,Species,20860,,4.94,78,,3456,5184
51091191,Photo,Loggerhead Shrike,Lanius ludovicianus,,County Lister Brendan,2015-03-29,2015,3,29,1500,United States,US-NC-183,North Carolina,Wake,Schenck Forest,35.8189963,-78.7266111,"",,Unspecified,"","",,,,,,,S31741926,"",,,,,Lanius ludovicianus,logshr,Species,20860,,4.95,64,,1333,2000
613867178,Photo,Loggerhead Shrike,Lanius ludovicianus,,Quinn Diaz,2024-01-20,2024,1,20,1533,United States,US-UT-011,Utah,Davis,Antelope Island SP--Causeway,41.0884100,-112.1867140,"",,Unspecified,"","",,,,,,,S159414934,"",,,,"What an awesome experience! Watched the Shrike snag a Marsh Wren, impale it, and then immediately start eating it right in front of me. Cleaned it's beak up and then perched within a few feet of me.",Lanius ludovicianus,logshr,Species,20860,,4.96,56,,4422,6633
222176901,Photo,Loggerhead Shrike,Lanius ludovicianus,,Drew Chaney,2019-11-09,2019,11,9,815,United States,US-FL-009,Florida,Brevard,"""Viera"" Ritch Grissom Memorial Wetlands",28.2285770,-80.7604659,"",,Unspecified,"","",,,,,,,S61293875,"",,,,,Lanius ludovicianus,logshr,Species,20860,,4.91,74,,3123,5304
330865871,Photo,Loggerhead Shrike,Lanius ludovicianus,,Kyle Tansley,2021-04-19,2021,4,19,1025,United States,US-FL-071,Florida,Lee,Lakes Park,26.5271649,-81.8765643,Adult – 1,,Unspecified,"","",,,,,,,S85899666,"",,,,,Lanius ludovicianus,logshr,Species,20860,,4.87,86,,2667,4000
193690021,Photo,Loggerhead Shrike,Lanius ludovicianus,,Susan Young,2019-12-17,2019,12,17,845,United States,US-FL-099,Florida,Palm Beach,Loxahatchee NWR,26.4986442,-80.2246141,Adult – 1,,Unspecified,"","",,,,,,,S62396080,"",,,,,Lanius ludovicianus,logshr,Species,20860,,4.89,70,,3456,5184
223520221,Photo,Loggerhead Shrike,Lanius ludovicianus,,Andy Liu,2020-04-13,2020,4,13,1649,United States,US-TX-157,Texas,Fort Bend,Cinco Ranch II Park at Oak Forest,29.7126254,-95.8360513,Adult Male – 1,Foraging or Eating,Unspecified,"","",,,,,,,S67149223,"",,,,,Lanius ludovicianus,logshr,Species,20860,,4.86,73,Habitat,2595,3891
610019762,Photo,Loggerhead Shrike,Lanius ludovicianus,,Grigory Heaton,2023-10-14,2023,10,14,1022,United States,US-CA-037,California,Los Angeles,Santa Catalina Island--Two Harbors area,33.4399172,-118.4982124,Adult – 1,,Unspecified,"","",,,,,,,S152259725,"",,,,"Another long awaited county bird, with the closest shrike views I’ve ever had",Lanius ludovicianus,logshr,Species,20860,,4.96,47,,2717,4075
