ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
273490191,Photo,Mallard,Anas platyrhynchos,,Brad Imhoff,2020-10-22,2020,10,22,852,United States,US-OH-089,Ohio,Licking,Buckeye Lake (Licking Co.),39.9335322,-82.4561477,"",,Unspecified,"","",,,,,,,S75217878,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.92,136,,2335,3503
550021091,Photo,Mallard,Anas platyrhynchos,,Dan Vickers,2023-03-26,2023,3,26,1533,United States,US-GA-089,Georgia,DeKalb,"Lullwater Preserve, Emory President's Estate",33.7981711,-84.3170106,"",,Unspecified,"","",,,,,,,S131904990,"",,,,8 fledglings,Anas platyrhynchos,mallar3,Species,525,,4.97,68,,2400,2400
263233471,Photo,Mallard,Anas platyrhynchos,,Dorian Anderson,2013-11-16,2013,11,16,0,United States,US-NY-005,New York,Bronx,Van Cortlandt Park,40.8980462,-73.8859475,Adult Female – 1,,Unspecified,"","",,,,,,,S73678941,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.88,99,,3038,5184
273490131,Photo,Mallard,Anas platyrhynchos,,Brad Imhoff,2020-10-22,2020,10,22,852,United States,US-OH-089,Ohio,Licking,Buckeye Lake (Licking Co.),39.9335322,-82.4561477,"",,Unspecified,"","",,,,,,,S75217878,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.82,114,,2170,3255
136554831,Photo,Mallard,Anas platyrhynchos,,Bryan Calk,2019-01-07,2019,1,7,1051,United States,US-NM-001,New Mexico,Bernalillo,Rio Grande Valley SP--Tingley Beach Bosque Trails,35.0807861,-106.6717958,Adult Male,,Unspecified,"","",,,,,,,S51439295,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.76,231,,3016,5366
63898541,Photo,Mallard,Anas platyrhynchos,,Christoph Moning,2010-05-14,2010,5,14,0,Germany,DE-BY-M1,Bayern,München (Kreisfreie Stadt),Schlosspark Nymphenburg,48.1565358,11.4965658,Adult Male,,Unspecified,"","",,,,,,,S38132344,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.75,243,,3456,5184
457600931,Photo,Mallard,Anas platyrhynchos,,Kike Junco,2022-06-04,2022,6,4,1652,Spain,ES-CL-LN,Castilla y León,León,Valdería-Jamuz ZEPA--Embalse de La Tabla,42.2675179,-5.9186467,"",,Unspecified,"","",,,,,,,S112132795,"",,,,+ un pollo,Anas platyrhynchos,mallar3,Species,525,,4.93,58,,2697,4046
187796281,Photo,Mallard,Anas platyrhynchos,,Francois Dubois,2019-11-10,2019,11,10,840,Canada,CA-QC-VO,Quebec,"La Vallée-de-l'Or",Source Gabriel,48.1087923,-77.7980626,Adult Male – 1,,Unspecified,"","",,,,,,,S61446911,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.75,129,,2762,3598
109124861,Photo,Mallard,Anas platyrhynchos,,Annie Lavoie,2018-07-29,2018,7,29,830,Canada,CA-QC-FS,Quebec,Le Fjord-du-Saguenay,"Saint-Félix-d'Otis - Chalet",48.2939438,-70.6373638,"",,Unspecified,"","",,,,,,,S47539464,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.72,159,,3303,4769
442214091,Photo,Mallard,Anas platyrhynchos,,Garrett Lau,2022-04-30,2022,4,30,1128,United States,US-CA-085,California,Santa Clara,Sunnyvale WPCP--East Pond,37.4286605,-122.0139885,Juvenile – 1,,Unspecified,"","",,,,,,,S108500940,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.86,56,,1520,2279
611159207,Photo,Mallard,Anas platyrhynchos,,Elizabeth Seddon,2023-11-11,2023,11,11,730,United Kingdom,GB-ENG-MAN,England,Manchester,Pennington Flash LNR,53.4867663,-2.5473261,Adult Male – 1,,Unspecified,"","",,,,,,,S154208519,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.83,66,,4640,6187
163427131,Photo,Mallard,Anas platyrhynchos,,Joshua Vandermeulen,2008-12-10,2008,12,10,0,Canada,CA-ON-HT,Ontario,Halton,Burlington--LaSalle Park/Marina,43.3022040,-79.8444060,"",,Unspecified,"","",,,,,,,S6864142,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.82,66,,2244,3508
230167401,Photo,Mallard,Anas platyrhynchos,,Mason Maron,2020-04-24,2020,4,24,1348,United States,US-WA-033,Washington,King,Cedar River mouth,47.5007162,-122.2146012,Adult Male – 1,,Unspecified,"","",,,,,,,S67749321,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.73,126,,3155,4733
317843691,Photo,Mallard,Anas platyrhynchos,,Mason Maron,2021-03-18,2021,3,18,1638,United States,US-WA-075,Washington,Whitman,"Sunnyside Park, Pullman",46.7285658,-117.1923637,Adult Male – 1,,Unspecified,"","",,,,,,,S83642013,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.70,162,,1151,2048
246278111,Photo,Mallard,Anas platyrhynchos,,Drew Weber,2020-06-28,2020,6,28,642,United States,US-NY-067,New York,Onondaga,Onondaga Lake Park--Liverpool Marina,43.1007479,-76.2093687,Juvenile – 2,,Unspecified,"","",,,,,,,S70903788,"",,,,Exact count.,Anas platyrhynchos,mallar3,Species,525,,4.73,84,,2015,3358
280799691,Photo,Mallard,Anas platyrhynchos,,Mason Maron,2020-10-29,2020,10,29,1637,United States,US-ID-069,Idaho,Nez Perce,West Levee Pond,46.4227125,-117.0225477,Adult Male – 1,,Unspecified,"","",,,,,,,S75578051,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.81,58,,3158,4735
623019813,Photo,Mallard,Anas platyrhynchos,,Michael Long,2024-08-25,2024,8,25,1546,United States,US-CA-075,California,San Francisco,Golden Gate Park--Elk Glen Lake,37.7675841,-122.4818716,"",,Unspecified,"","",,,,,,,S192785693,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.92,36,,3333,5000
395147941,Photo,Mallard,Anas platyrhynchos,,Kike Junco,2021-12-11,2021,12,11,1155,Spain,ES-CL-LN,Castilla y León,León,Santa Marina del Rey--Presa,42.5100000,-5.8720000,"",,Unspecified,"","",,,,,,,S98752258,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.83,52,,1857,2785
618248701,Photo,Mallard,Anas platyrhynchos,,Rain Saulnier,2024-03-30,2024,3,30,1303,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Reifel Bird Sanctuary,49.1000000,-123.1850000,"",,Unspecified,"","",,,,,,,S166566592,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.76,67,,4000,6000
144691211,Photo,Mallard,Anas platyrhynchos,,Suzanne Labbé,2019-03-09,2019,3,9,951,Canada,CA-QC-HR,Quebec,Le Haut-Richelieu,"Saint-Jean-sur-Richelieu, 1re Rue",45.3090470,-73.2429520,"",,Unspecified,"","",,,,,,,S53626702,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.77,65,,1104,1600
59351271,Photo,Mallard,Anas platyrhynchos,,Ian Hearn,2017-05-26,2017,5,26,1000,United States,US-ID-001,Idaho,Ada,Esther Simplot Park,43.6281234,-116.2303734,Juvenile,,Unspecified,"","",,,,,,,S37156587,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.69,95,,1200,1600
240521511,Photo,Mallard,Anas platyrhynchos,,Simon Boivin,2020-05-31,2020,5,31,1154,Canada,CA-QC-QU,Quebec,Québec,Domaine de Maizerets,46.8376522,-71.2121549,"",,Unspecified,"","",,,,,,,S69911063,"",,,,,Anas platyrhynchos,mallar3,Species,525,,4.71,91,,3028,4437
