ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
525189851,Photo,Mountain Chickadee,Poecile gambeli,,Hannah Criswell,2023-01-04,2023,1,4,929,United States,US-CO-059,Colorado,Jefferson,Evergreen Meadows,39.5757250,-105.3205436,"",,Unspecified,"","",,,,,,,S125440549,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.89,212,,2560,4096
289864941,Photo,Mountain Chickadee,Poecile gambeli,,Robert Raker,2020-12-20,2020,12,20,1140,United States,US-CO-059,Colorado,Jefferson,Genesee Mountain Park--north of I-70,39.7159022,-105.3154564,"",,Unspecified,"","",,,,,,,S77768229,"",,,,One albino bird among the bunch. See pics of this beautiful and unusual bird. Did not hear vocalizations.,Poecile gambeli,mouchi,Species,21853,,4.94,100,,3457,5185
303995161,Photo,Mountain Chickadee,Poecile gambeli,,Dorian Anderson,2020-12-14,2020,12,14,800,United States,US-NM-001,New Mexico,Bernalillo,Cibola NF--Sandia Crest,35.2103004,-106.4487000,"",,Unspecified,"","",,,,,,,S77496214,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.90,135,,2266,3399
548834991,Photo,Mountain Chickadee,Poecile gambeli,,Mason Maron,2023-03-16,2023,3,16,1103,United States,US-CA-065,California,Riverside,Palm Springs Aerial Tramway--top (Long Valley area),33.8130099,-116.6387343,Adult – 1,,Unspecified,"","",,,,,,,S131052306,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.97,70,,2943,4709
611923860,Photo,Mountain Chickadee,Poecile gambeli,,Rain Saulnier,2023-12-02,2023,12,2,1200,Canada,CA-AB-SI,Alberta,Calgary,Perrenoud Nature Reserve,51.3673056,-114.6535951,"",,Unspecified,"","",,,,,,,S155619487,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.98,45,,2590,3885
416168391,Photo,Mountain Chickadee,Poecile gambeli,,Blair Dudeck,2022-02-12,2022,2,12,907,Canada,CA-BC-CO,British Columbia,Central Okanagan,Goat’s Peak Regional Park,49.8105011,-119.6481957,Adult – 1,,Unspecified,"","",,,,,,,S102534951,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.83,78,,2924,4384
95763541,Photo,Mountain Chickadee,Poecile gambeli,,Zak Pohlen,2018-03-21,2018,3,21,1505,United States,US-CO-093,Colorado,Park,"Mockingbird Trail--Bailey, CO",39.4059109,-105.4226347,"",,Unspecified,"","",,,,,,,S44075931,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.85,65,,1200,2000
298143641,Photo,Mountain Chickadee,Poecile gambeli,,Ken Pride,2021-01-15,2021,1,15,1339,Canada,CA-AB-SI,Alberta,Calgary,Calgary--Weaselhead Natural Area,50.9904591,-114.1463977,"",,Unspecified,"","",,,,,,,S79305323,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.82,65,,1776,2487
613144908,Photo,Mountain Chickadee (Pacific),Poecile gambeli [baileyae Group],,Michael Long,2024-01-05,2024,1,5,1559,United States,US-CA-017,California,El Dorado,South Lake Tahoe--Ski Run Marina,38.9506090,-119.9592350,"",,Unspecified,"","",,,,,,,S158190978,"",,,,,Poecile gambeli,mouchi4,Group,21858,,4.89,44,,2737,4106
69548921,Photo,Mountain Chickadee,Poecile gambeli,,Tanner Martin,2016-12-26,2016,12,26,1045,United States,US-WA-019,Washington,Ferry,US-WA-Kettle Falls-99141 - 48.7386x-118.1564,48.7385900,-118.1564050,"",,Unspecified,"","",,,,,,,S33222208,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.87,45,,3060,4590
609000435,Photo,Mountain Chickadee,Poecile gambeli,,Steve Wickliffe,2023-09-18,2023,9,18,703,United States,US-MT-023,Montana,Deer Lodge,"Beaverhead - Deerlodge National Forest, West of Anaconda",46.1569389,-113.1960451,Adult – 1,Foraging or Eating,Unspecified,"","",,,,,,,S150244538,"",,,,,Poecile gambeli,mouchi,Species,21853,,5.00,29,"",3101,4135
301000501,Photo,Mountain Chickadee,Poecile gambeli,,Ethan Denton,2021-01-24,2021,1,24,1355,Canada,CA-AB-FN,Alberta,Banff,"Canmore--Policeman's Creek Boardwalk Trail",51.0897987,-115.3557667,Adult – 1,,Unspecified,"","",,,,,,,S79852614,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.71,82,,1635,2452
574873121,Photo,Mountain Chickadee,Poecile gambeli,,Sasha Cahill,2022-12-27,2022,12,27,1330,United States,US-CA-071,California,San Bernardino,33321 Falling Leaf Dr.,34.2374194,-117.0765486,"",,Unspecified,"","",,,,,,,S124725448,"",,,1/250 ISO 640 F/8.0,,Poecile gambeli,mouchi,Species,21853,,4.94,31,,3456,3456
155067991,Photo,Mountain Chickadee,Poecile gambeli,,Michael Woodruff,2019-04-22,2019,4,22,737,United States,US-WA-063,Washington,Spokane,Slavin Ranch,47.5355731,-117.4245787,"",,Unspecified,"","",,,,,,,S55258470,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.79,48,,,
620527251,Photo,Mountain Chickadee,Poecile gambeli,,Mason Maron,2023-03-16,2023,3,16,1103,United States,US-CA-065,California,Riverside,Palm Springs Aerial Tramway--top (Long Valley area),33.8130099,-116.6387343,Adult – 1,,Unspecified,"","",,,,,,,S131052306,"",,,,,Poecile gambeli,mouchi,Species,21853,,5.00,22,,3134,5014
217589881,Photo,Mountain Chickadee,Poecile gambeli,,Joel Eckerson,2020-03-09,2020,3,9,1211,United States,US-AZ-005,Arizona,Coconino,Grand Canyon NP--Mather Point,36.0612422,-112.1084833,"",,Unspecified,"","",,,,,,,S65632065,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.86,29,,3131,4697
216613901,Photo,Mountain Chickadee,Poecile gambeli,,Jack Parlapiano,2020-03-19,2020,3,19,1712,United States,US-NM-001,New Mexico,Bernalillo,Cibola NF--Sandia Crest,35.2103004,-106.4487000,"",,Unspecified,"","",,,,,,,S65989746,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.63,73,,1392,2048
114675101,Photo,Mountain Chickadee,Poecile gambeli,,Adam Jackson,2018-09-12,2018,9,12,1803,United States,US-CA-071,California,San Bernardino,Montecito Memorial Park,34.0495700,-117.2795100,"",,Unspecified,"","",,,,,,,S48468299,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.74,42,,2002,3000
395182181,Photo,Mountain Chickadee,Poecile gambeli,,Susan and Andy Gower/Karassowitsch,2021-12-11,2021,12,11,1138,Canada,CA-BC-CR,British Columbia,Cariboo,Sulphurous Lake,51.6342874,-120.8397388,"",,Unspecified,"","",,,,,,,S98754678,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.70,37,,2167,3576
46656811,Photo,Mountain Chickadee,Poecile gambeli,,Doug Hitchcox,2017-01-16,2017,1,16,805,United States,US-AZ-005,Arizona,Coconino,US-AZ-Flagstaff-Mount Elden lower trails,35.2360750,-111.5814040,"",,Unspecified,"","",,,,,,,S33735625,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.71,35,,3648,5472
349502911,Photo,Mountain Chickadee,Poecile gambeli,,Colton Veltkamp,2021-06-16,2021,6,16,1415,United States,US-UT-025,Utah,Kane,Cascade Falls Trailhead,37.4972710,-112.7515590,Adult – 1,,Unspecified,"","",,,,,,,S90309615,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.84,25,,3155,4733
179818851,Photo,Mountain Chickadee,Poecile gambeli,,Blair Dudeck,2019-08-20,2019,8,20,1445,Canada,CA-BC-FF,British Columbia,Fraser-Fort George,Mackenzie--Morfee Mountain,55.4221898,-123.0447746,"",,Unspecified,"","",,,,,,,S59153999,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.95,19,,2490,3735
405052361,Photo,Mountain Chickadee,Poecile gambeli,,Markus Weilmeier,2022-01-11,2022,1,11,1110,Canada,CA-BC-CO,British Columbia,Central Okanagan,Glenrosa--Gates Rd,49.8322411,-119.6701491,"",,Unspecified,"","",,,,,,,S100561372,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.81,26,,1800,2400
295669771,Photo,Mountain Chickadee,Poecile gambeli,,Anne Auclair  Moe,2021-01-06,2021,1,6,846,Canada,CA-AB-SI,Alberta,Calgary,Fish Creek PP--Bebo Grove,50.9301430,-114.1138744,"",,Unspecified,"","",,,,,,,S78783659,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.71,31,,2983,4474
148832291,Photo,Mountain Chickadee,Poecile gambeli,,Logan Lalonde,2019-03-20,2019,3,20,0,Canada,CA-BC-CO,British Columbia,Central Okanagan,Dee Lake Road,50.0547692,-119.2467213,Adult,,Unspecified,"","",,,,,,,S54518231,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.60,47,,2975,3210
295669671,Photo,Mountain Chickadee,Poecile gambeli,,Anne Auclair  Moe,2021-01-06,2021,1,6,846,Canada,CA-AB-SI,Alberta,Calgary,Fish Creek PP--Bebo Grove,50.9301430,-114.1138744,"",,Unspecified,"","",,,,,,,S78783659,"",,,,,Poecile gambeli,mouchi,Species,21853,,4.72,25,,2104,3156
611923861,Photo,Mountain Chickadee,Poecile gambeli,,Rain Saulnier,2023-12-02,2023,12,2,1200,Canada,CA-AB-SI,Alberta,Calgary,Perrenoud Nature Reserve,51.3673056,-114.6535951,"",,Unspecified,"","",,,,,,,S155619487,"",,,,,Poecile gambeli,mouchi,Species,21853,,5.00,15,,3321,4428
611546415,Photo,Mountain Chickadee (Rocky Mts.),Poecile gambeli [gambeli Group],,Jodhan Fine,2023-11-25,2023,11,25,1137,United States,US-NM-001,New Mexico,Bernalillo,"Turquoise Trail, Cedar Crest US-NM (35.1410,-106.3759)",35.1409610,-106.3758640,"",,Unspecified,"","",,,,,,,S155189225,"",,,,,Poecile gambeli,mouchi3,Group,21854,,4.94,16,,3573,5359
