ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
436316561,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Rick Wilhoit,2022-04-16,2022,4,16,1413,United States,US-MO-095,Missouri,Jackson,Blue Springs Lake--Fleming Park Wetland,39.0205174,-94.3396425,"",,Unspecified,"","",,,,,,,S107227848,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,4.97,135,,1965,3493
60982301,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Luke Seitz,2013-03-25,2013,3,25,745,United States,US-CA-083,California,Santa Barbara,UCSB--Campus Point,34.4048560,-119.8440063,"",,Unspecified,"","",,,,,,,S13518218,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,5.00,69,,3152,4848
419805071,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Sasha Cahill,2022-02-20,2022,2,20,700,United States,US-CA-059,California,Orange,Peters Canyon Creek--Edinger to 5 Freeway,33.7110071,-117.7980173,"",,Unspecified,"","",,,,,,,S103309250,"",,,1/320   ISO 320   F/5.6,,Stelgidopteryx serripennis,nrwswa,Species,23876,,5.00,65,,1756,2809
448831411,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Blair Dudeck,2022-04-30,2022,4,30,1032,Canada,CA-BC-OS,British Columbia,Okanagan-Similkameen,Osoyoos--Road 22 and dykes (general),49.0892696,-119.5351982,"",Flying,Unspecified,"","",,,,,,,S108788505,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,4.96,75,"",3425,5136
430247411,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Rick Wilhoit,2022-03-30,2022,3,30,916,United States,US-MO-095,Missouri,Jackson,Blue Springs Lake--Fleming Park Wetland,39.0205174,-94.3396425,"",,Unspecified,"","",,,,,,,S105895932,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,4.97,66,,1324,1853
65258161,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Evan Lipton,2017-07-05,2017,7,5,421,United States,US-MA-005,Massachusetts,Bristol,"Egypt Lane Ponds, Fairhaven",41.6347330,-70.8927230,Juvenile,,Unspecified,"","",,,,,,,S37984099,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,4.92,78,,2852,4277
62806161,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Jonathan Eckerson,2017-07-05,2017,7,5,421,United States,US-MA-005,Massachusetts,Bristol,"Egypt Lane Ponds, Fairhaven",41.6347330,-70.8927230,"",,Unspecified,"","",,,,,,,S37984059,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,4.98,54,,2127,3243
160001711,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Ryan Schain,2019-05-20,2019,5,20,1502,United States,US-RI-007,Rhode Island,Providence,"Sefton Drive Air BNB, Cranston",41.7711331,-71.3890113,"",,Unspecified,"","",,,,,,,S56545209,"",,,,"Two, maybe three active nests (including one under each floor's deck). They were repeatedly perching on old pilings just off the deck, allowing for spectacular photo opportunities in perfect light.",Stelgidopteryx serripennis,nrwswa,Species,23876,,4.89,76,,2388,3542
332656781,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Ryan Sanderson,2021-04-29,2021,4,29,808,United States,US-IN-097,Indiana,Marion,Fort Harrison SP,39.8716060,-86.0251808,Adult – 1,,Unspecified,"","",,,,,,,S86676477,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,4.89,83,,3634,5448
62806191,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Jonathan Eckerson,2017-07-05,2017,7,5,421,United States,US-MA-005,Massachusetts,Bristol,"Egypt Lane Ponds, Fairhaven",41.6347330,-70.8927230,"",,Unspecified,"","",,,,,,,S37984059,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,4.96,48,,3852,2568
336360461,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Michael Yablick,2021-05-07,2021,5,7,1520,United States,US-WI-049,Wisconsin,Iowa,Goodwiler Lake,43.1926620,-90.4171371,"",Flying,Unspecified,"","",,,,,,,S87362465,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,4.82,79,"",3369,5054
440582861,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Brian Stahls,2022-04-26,2022,4,26,1400,Canada,CA-ON-TO,Ontario,Toronto,"Toronto--Ashbridge's Bay Park",43.6599861,-79.3093553,"",,Unspecified,"","",,,,,,,S108160658,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,5.00,34,,1193,1789
621728310,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Matthew Dolkart,2024-07-21,2024,7,21,502,United States,US-IL-031,Illinois,Cook,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",41.9633833,-87.6344204,"",,Unspecified,"","",,,,,,,S188053201,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,5.00,32,,2587,3881
336541151,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Brad Imhoff,2021-05-10,2021,5,10,844,United States,US-OH-089,Ohio,Licking,Dawes Arboretum,39.9801095,-82.4130067,"",Flying,Unspecified,"","",,,,,,,S87730217,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,4.79,67,"",2186,3277
470172951,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Ryan Sanderson,2022-07-25,2022,7,25,636,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult – 1,Flying,Unspecified,"","",,,,,,,S115736387,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,5.00,30,Molting,1849,2773
426799811,Photo,Northern Rough-winged Swallow (Northern),Stelgidopteryx serripennis [serripennis Group],,Derek Lecy,2022-03-19,2022,3,19,949,United States,US-CA-041,California,Marin,Las Gallinas Valley Sanitary District,38.0274109,-122.5155830,Adult – 1,,Unspecified,"","",,,,,,,S105190002,"",,,,"Count, the best I could. Mostly perched on wires and trees south of Ponds 1 and 2.",Stelgidopteryx serripennis,nrwswa1,Group,23877,,4.90,39,,1973,2887
227717871,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Blair Dudeck,2020-04-26,2020,4,26,1213,Canada,CA-BC-CX,British Columbia,Comox-Strathcona,Courtenay--Wildwood Marsh,49.7130754,-125.0632444,"",,Unspecified,"","",,,,,,,S67868980,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,4.76,72,,1946,2919
430966471,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Ryan Sanderson,2022-03-31,2022,3,31,731,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult – 1,Flying,Unspecified,"","",,,,,,,S105954383,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,5.00,29,"",2025,3037
326574731,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Brad Imhoff,2021-04-14,2021,4,14,1750,United States,US-OH-089,Ohio,Licking,Dawes Arboretum--Dutch Fork Wetlands,39.9944645,-82.4208635,"",,Unspecified,"","",,,,,,,S85555883,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,4.85,46,,2455,3681
430966451,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Ryan Sanderson,2022-03-31,2022,3,31,731,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult – 1,Flying,Unspecified,"","",,,,,,,S105954383,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,5.00,28,"",1862,2793
436316111,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Rick Wilhoit,2022-04-16,2022,4,16,1413,United States,US-MO-095,Missouri,Jackson,Blue Springs Lake--Fleming Park Wetland,39.0205174,-94.3396425,"",,Unspecified,"","",,,,,,,S107227848,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,5.00,26,,2619,1746
91224851,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Liam Wolff,2015-04-16,2015,4,16,844,United States,US-GA-245,Georgia,Richmond,Phinizy Swamp Nature Park,33.3855863,-81.9606900,Adult,,Unspecified,"","",,,,,,,S22902444,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,4.88,34,,2304,3456
436318021,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Rick Wilhoit,2022-04-16,2022,4,16,1413,United States,US-MO-095,Missouri,Jackson,Blue Springs Lake--Fleming Park Wetland,39.0205174,-94.3396425,"",,Unspecified,"","",,,,,,,S107227848,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,4.88,34,,1811,2717
233654951,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Austin Langdon,2020-05-11,2020,5,11,1205,United States,US-OH-017,Ohio,Butler,Gilmore Ponds MetroPark (do not walk along or cross railroad tracks),39.3504607,-84.5119429,"",,Unspecified,"","",,,,,,,S68880945,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,4.93,29,,2680,4020
430966461,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Ryan Sanderson,2022-03-31,2022,3,31,731,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult – 1,Flying,Unspecified,"","",,,,,,,S105954383,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,4.96,27,"",2183,3274
430966441,Photo,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Ryan Sanderson,2022-03-31,2022,3,31,731,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult – 1,Flying,Unspecified,"","",,,,,,,S105954383,"",,,,,Stelgidopteryx serripennis,nrwswa,Species,23876,,5.00,25,"",2151,3226
