ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
44213481,Photo,Northern Shrike,Lanius borealis,,Ian Burgess,2017-01-01,2017,1,1,1329,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Delta--Brunswick Point,49.0656400,-123.1541500,"",,Unspecified,"","",,,,,,,S33363074,"",,,,"1:38 PM, (49.06662, -123.15783)",Lanius borealis,norshr4,Species,20872,,4.96,90,,1573,2230
47351001,Photo,Northern Shrike,Lanius borealis,,bellemare celine,2017-02-03,2017,2,3,900,Canada,CA-QC-DD,Quebec,Le Domaine-du-Roy,"1260, route de Ste-Hedwidge",48.5012591,-72.3323657,"",,Unspecified,"","",,,,,,,S34139366,"",,,,,Lanius borealis,norshr4,Species,20872,,4.95,91,,1200,1800
27356191,Photo,Northern Shrike,Lanius borealis,,Brian Sullivan,2011-10-13,2011,10,13,0,United States,US-MT-099,Montana,Teton,Power--431 west,47.7115230,-111.7049932,Immature,,Unspecified,"","",,,,,,,S29080408,"",,,,,Lanius borealis,norshr4,Species,20872,,4.95,80,,2400,4000
90927861,Photo,Northern Shrike,Lanius borealis,,Nick Saunders,2018-03-22,2018,3,22,1445,Canada,CA-SK-EL,Saskatchewan,Saskatoon,Saskatoon--Diefenbaker Park,52.0980191,-106.6856665,Adult,,Unspecified,"","",,,,,,,S43869460,"",,,,Watched it hunting and hovering over grassy area.,Lanius borealis,norshr4,Species,20872,,4.95,78,,933,1230
518938271,Photo,Northern Shrike,Lanius borealis,,Steve Rappaport,2023-01-01,2023,1,1,723,United States,US-NY-079,New York,Putnam,Glynwood Farm,41.4537568,-73.8674973,"",,Unspecified,"","",,,,,,,S125060344,"",,,,Continuing since Thursday. Watched it chase bluebirds and then catch a mouse in one of the fields.,Lanius borealis,norshr4,Species,20872,,4.94,54,,1607,2411
71482091,Photo,Northern Shrike,Lanius borealis,,Cameron Eckert,2013-04-28,2013,4,28,0,Canada,CA-YT-YT,Yukon Territory,Yukon,Carcross--townsite,60.1673899,-134.7066307,Immature,,Unspecified,"","",,,,,,,S39817762,"",,,,eats rosy finch.,Lanius borealis,norshr4,Species,20872,,4.88,69,,2055,3082
413006691,Photo,Northern Shrike,Lanius borealis,,Ryan Shean,2022-02-04,2022,2,4,815,United States,US-MN-137,Minnesota,St. Louis,"Sax-Zim--CR 7,  Sax Rd to Zim Rd",47.2515871,-92.6030283,"",,Unspecified,"","",,,,,,,S102034936,"",,,,,Lanius borealis,norshr4,Species,20872,,4.94,53,,2231,2789
280122631,Photo,Northern Shrike,Lanius borealis,,Mason Maron,2020-11-14,2020,11,14,1135,United States,US-ID-057,Idaho,Latah,Darby Rd. Farm Roadside,46.7512412,-116.9319320,"",,Unspecified,"","",,,,,,,S76247559,"",,,,,Lanius borealis,norshr4,Species,20872,,4.86,77,,1901,3378
540318761,Photo,Northern Shrike,Lanius borealis,,Matt Felperin,2023-02-08,2023,2,8,1609,United States,US-MA-017,Massachusetts,Middlesex,Heard Farm Conservation Area,42.3512719,-71.3741056,"",,Unspecified,"","",,,,,,,S127908345,"",,,,"Most of the time hidden in the hedgerow dividing the field, but was calling and finally popped up just before sunset. Glorious views and photos! Then flew over to very top of a tall tree next to the marsh, continuing to vocalize and preen after sunset.",Lanius borealis,norshr4,Species,20872,,4.84,64,,965,1446
613526850,Photo,Northern Shrike,Lanius borealis,,Lesley Tullis,2024-01-14,2024,1,14,1155,United States,US-UT-047,Utah,Uintah,Jensen yard,40.3602234,-109.3457930,Immature – 1,,Unspecified,"","",,,,,,,S158903231,"",,,,"Apparently guarding a house sparrow carcass, which was on the ground underneath a rose bush; also cast a pellet on a fence post while I was watching it",Lanius borealis,norshr4,Species,20872,,5.00,32,,1948,2920
