ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
265293941,Photo,"Nuttall's Woodpecker",Dryobates nuttallii,,Steve Tucker,2020-06-05,2020,6,5,1700,United States,US-CA-085,California,Santa Clara,Rancho de Bastardos (restricted access),37.2412090,-121.8845310,"Adult Male – 1; Juvenile – 1",,Unspecified,"","",,,,,,,S70179981,"",,,,,Dryobates nuttallii,nutwoo,Species,11297,,4.97,72,,3269,4766
618750836,Photo,"Nuttall's Woodpecker",Dryobates nuttallii,,Braxton Landsman,2024-05-08,2024,5,8,1639,United States,US-CA-059,California,Orange,San Juan Creek Trail,33.5100400,-117.6335900,"",,Unspecified,"","",,,,,,,S172920428,"",,,,"One nest in cavity in a desk (oak?) branch, with at least 3 begging juveniles inside being fed by both parents often. Another pair further down the trail",Dryobates nuttallii,nutwoo,Species,11297,,5.00,24,,4281,3326
610491691,Photo,"Nuttall's Woodpecker",Dryobates nuttallii,,Aidan Brubaker,2023-09-23,2023,9,23,1247,United States,US-CA-053,California,Monterey,Pacific Grove--El Carmelo Cemetery,36.6320020,-121.9316070,"",,Unspecified,"","",,,,,,,S150612180,"",,,,,Dryobates nuttallii,nutwoo,Species,11297,,4.81,31,,1842,2794
319956201,Photo,"Nuttall's Woodpecker",Dryobates nuttallii,,Gizella Nyquist,2021-03-25,2021,3,25,845,United States,US-CA-059,California,Orange,Huntington Central Park--East,33.7040978,-118.0022383,"",,Unspecified,"","",,,,,,,S84094963,"",,,,,Dryobates nuttallii,nutwoo,Species,11297,,4.95,22,,1674,2507
78585291,Photo,"Nuttall's Woodpecker",Dryobates nuttallii,,Paul Fenwick,2017-12-17,2017,12,17,1119,United States,US-CA-053,California,Monterey,Andrew Molera SP--old BSOL/Discovery Ctr vicinity (do not use for coast),36.2852005,-121.8425149,"",,Unspecified,"","",,,,,,,S41158454,"",,,,,Dryobates nuttallii,nutwoo,Species,11297,,4.71,34,,3066,4599
558104551,Photo,"Nuttall's Woodpecker",Dryobates nuttallii,,Aidan Brubaker,2023-03-24,2023,3,24,1736,United States,US-CA-085,California,Santa Clara,Agnews Historic Park,37.3932400,-121.9543110,"",,Unspecified,"","",,,,,,,S131729026,"",,,,,Dryobates nuttallii,nutwoo,Species,11297,,5.00,17,,2037,2605
411525661,Photo,"Nuttall's Woodpecker",Dryobates nuttallii,,Liam Huber,2022-01-29,2022,1,29,910,United States,US-CA-089,California,Shasta,Lema Ranch,40.5969392,-122.3296343,"",,Unspecified,"","",,,,,,,S101684947,"",,,,"exact count, spread evenly throughout",Dryobates nuttallii,nutwoo,Species,11297,,5.00,15,,2916,4139
309871461,Photo,"Nuttall's Woodpecker",Dryobates nuttallii,,Torrey Gage-Tomlinson,2021-02-20,2021,2,20,1229,United States,US-CA-079,California,San Luis Obispo,Meadow Park--San Luis Obispo,35.2675798,-120.6606531,"",,Unspecified,"","",,,,,,,S82029908,"",,,,,Dryobates nuttallii,nutwoo,Species,11297,,4.77,22,,2519,3778
204789971,Photo,"Nuttall's Woodpecker",Dryobates nuttallii,,Martin  Flack,2018-04-02,2018,4,2,930,United States,US-CA-069,California,San Benito,Mission San Juan Bautista,36.8462552,-121.5359384,"",,Unspecified,"","",,IBC1509630,,,,,S65005760,"",,,"Adult female perched on the side of a tree . Elevation: 69 m. Date added to IBC: July 25, 2018.",,Dryobates nuttallii,nutwoo,Species,11297,,4.93,14,,1974,2961
52220021,Photo,"Nuttall's Woodpecker",Dryobates nuttallii,,Herb Elliott,2017-03-24,2017,3,24,1429,United States,US-CA-083,California,Santa Barbara,Waller Park,34.9029675,-120.4392958,Adult Female,"",Unspecified,"","",,,,,,,S35406060,"",,,"Nuttall's Woodpecker (female), Waller Park, Santa Barbara County, California, March 24, 2017, Herb Elliott",,Dryobates nuttallii,nutwoo,Species,11297,,4.60,25,Watermark,2584,3869
