ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
181688031,Photo,Peregrine Falcon,Falco peregrinus,,Kyle Tansley,2019-10-12,2019,10,12,640,United States,US-VT-007,Vermont,Chittenden,Lone Rock Point / North Beach,44.4910591,-73.2469056,"",,Unspecified,"","",,,,,,,S60549120,"",,,,,Falco peregrinus,perfal,Species,11997,,4.93,501,,3043,4564
173634631,Photo,Peregrine Falcon,Falco peregrinus,,Dorian Anderson,2019-08-08,2019,8,8,600,United States,US-NY-059,New York,Nassau,Nickerson Beach,40.5871823,-73.6024000,Juvenile,,Unspecified,"","",,,,,,,S59184145,"",,,,,Falco peregrinus,perfal,Species,11997,,4.98,170,,2537,3805
280059201,Photo,Peregrine Falcon (North American),Falco peregrinus anatum,,Connor Cochrane,2020-11-14,2020,11,14,1240,United States,US-CA-041,California,Marin,Pt. Reyes--Abbotts Lagoon,38.1190611,-122.9522467,"",,Unspecified,"","",,,,,,,S76259839,"",,,,,Falco peregrinus,perfal1,Group,11998,,4.93,191,,2449,3673
391400401,Photo,Peregrine Falcon,Falco peregrinus,,Brian Stahls,2021-11-27,2021,11,27,745,Canada,CA-ON-TO,Ontario,Toronto,Tommy Thompson Park,43.6282673,-79.3291670,"",,Unspecified,"","",,,,,,,S98153775,"",,,,,Falco peregrinus,perfal,Species,11997,,4.96,115,,2980,4470
496239251,Photo,Peregrine Falcon,Falco peregrinus,,Amanda Guercio,2022-10-21,2022,10,21,1105,Canada,CA-ON-TO,Ontario,Toronto,Tommy Thompson Park,43.6282673,-79.3291670,"",,Unspecified,"","",,,,,,,S121069926,"",,,,"One adult, one subadult/second year, and a juv. The adult strafed a flock of Dunlin and seemingly maimed one on its first pass. The Dunlin attempted to swim out into the water and dove several times to escape, but was eventually exhausted and plucked from the water after several more passes. Damn nature, you scary!",Falco peregrinus,perfal,Species,11997,,4.91,192,,1866,2799
435533551,Photo,Peregrine Falcon,Falco peregrinus,,David Chamberlin,2022-04-13,2022,4,13,1630,United States,US-CA-081,California,San Mateo,Pacifica Municipal Pier,37.6333980,-122.4979556,"",,Unspecified,"","",,,,,,,S107057287,"",,,,,Falco peregrinus,perfal,Species,11997,,4.92,117,,2697,4045
618991871,Photo,Peregrine Falcon,Falco peregrinus,Zenaida macroura -- Mourning Dove,Jonathan Casanova,2024-05-13,2024,5,13,1000,United States,US-CA-073,California,San Diego,Torrey Pines State Reserve--upper trails & beach,32.9182664,-117.2553339,"Adult Female – 1; Adult Male – 1; Juvenile Male – 1",Flying,Unspecified,"","",,,,,,,S174352340,"",,,,Did not get a visual on the forth fledgling.,Falco peregrinus,perfal,Species,11997,,4.97,78,"",3438,5157
44554101,Photo,Peregrine Falcon (North American),Falco peregrinus anatum,Columba livia (Feral Pigeon) -- Rock Pigeon (Feral Pigeon),Jay McGowan,2016-12-28,2016,12,28,1351,United States,US-NY-047,New York,Kings,Coney Island Beach & Boardwalk,40.5719793,-73.9778996,Adult – 1,,Unspecified,"","",,,,,,,S33253099,"",,,,Eating a pigeon on the beach.,Falco peregrinus,perfal1,Group,11998,,4.85,174,,2674,4896
503628671,Photo,Peregrine Falcon,Falco peregrinus,,Owen Strickland,2022-11-13,2022,11,13,646,Canada,CA-ON-TO,Ontario,Toronto,Toronto--Toronto Islands,43.6165143,-79.3821734,"",,Unspecified,"","",,,,,,,S122375346,"",,,,,Falco peregrinus,perfal,Species,11997,,4.90,106,,3733,5605
312100071,Photo,Peregrine Falcon,Falco peregrinus,,Ian Davies,2021-02-21,2021,2,21,631,United States,US-TX-167,Texas,Galveston,Bolivar Flats Shorebird Sanctuary,29.3711371,-94.7287083,"",,Unspecified,"","",,,,,,,S82081311,"",,,,,Falco peregrinus,perfal,Species,11997,,4.95,66,,2186,3641
