ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
217396751,Photo,Pied-billed Grebe,Podilymbus podiceps,,Brad Imhoff,2020-03-22,2020,3,22,714,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,"",,Unspecified,"","",,,,,,,S66087382,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.91,223,,2206,3309
355042851,Photo,Pied-billed Grebe,Podilymbus podiceps,,Alison Davies,2021-07-15,2021,7,15,800,United States,US-CA-073,California,San Diego,Kit Carson Park,33.0766149,-117.0605131,"",,Unspecified,"","",,,,,,,S91893915,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.93,90,,1314,2772
355334991,Photo,Pied-billed Grebe,Podilymbus podiceps,,Etienne Artigau🦩,2021-07-18,2021,7,18,1418,Canada,CA-QC-MR,Quebec,Montréal,Domaine St-Paul,45.4546332,-73.5529532,"",,Unspecified,"","",,,,,,,S91951565,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.91,91,,2432,3662
310881841,Photo,Pied-billed Grebe,Podilymbus podiceps,,Andy Liu,2021-02-22,2021,2,22,630,United States,US-TX-157,Texas,Fort Bend,Cross Creek Ranch wetlands,29.6986869,-95.8764732,"",,Unspecified,"","",,,,,,,S82148703,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.92,85,,2133,3198
134199091,Photo,Pied-billed Grebe,Podilymbus podiceps,,Jared Keyes,2019-01-09,2019,1,9,1033,United States,US-CA-085,California,Santa Clara,Shoreline Park--Shoreline Lake area,37.4323410,-122.0918369,"",,Unspecified,"","",,,,,,,S51499833,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.88,112,,3388,5082
467303691,Photo,Pied-billed Grebe,Podilymbus podiceps,,Michael Stremciuc,2022-07-13,2022,7,13,1405,United States,US-AZ-025,Arizona,Yavapai,Prescott--Goldwater Lakes,34.4981747,-112.4489737,"",,Unspecified,"","",,,,,,,S115050759,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.87,103,,1280,1920
614475133,Photo,Pied-billed Grebe,Podilymbus podiceps,,Connor Cochrane,2024-02-05,2024,2,5,1214,United States,US-CA-041,California,Marin,Railroad Marsh,37.8774613,-122.4594310,"",,Unspecified,"","",,,,,,,S160740725,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.98,54,,3140,5102
432013291,Photo,Pied-billed Grebe,Podilymbus podiceps,,Bryan Calk,2022-03-20,2022,3,20,920,United States,US-NM-001,New Mexico,Bernalillo,ABQ BioPark--Tingley Lagoon,35.0864029,-106.6737442,"",,Unspecified,"","",,,,,,,S105974339,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.90,86,,2683,4769
629104953,Photo,Pied-billed Grebe,Podilymbus podiceps,,Laurent Prévost-Frenette,2025-01-14,2025,1,14,1304,Canada,CA-QC-RM,Quebec,Rimouski-Neigette,Parc Beauséjour,48.4342121,-68.5415554,"",Foraging or Eating,Unspecified,"","",,,,,,,S209295309,"",,,,"Tellement cute avec ses petits poissons &#x1f97a;",Podilymbus podiceps,pibgre,Species,6776,,5.00,46,"",1705,2558
430552621,Photo,Pied-billed Grebe,Podilymbus podiceps,,Bryan Calk,2022-03-20,2022,3,20,920,United States,US-NM-001,New Mexico,Bernalillo,ABQ BioPark--Tingley Lagoon,35.0864029,-106.6737442,"",,Unspecified,"","",,,,,,,S105974339,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.89,72,,2608,3912
547913301,Photo,Pied-billed Grebe,Podilymbus podiceps,,Matt Zuro,2023-03-20,2023,3,20,1545,United States,US-IL-031,Illinois,Cook,Saganashkee Slough--West,41.6961160,-87.9067183,"",,Unspecified,"","",,,,,,,S131431772,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.96,49,,3575,5362
217396661,Photo,Pied-billed Grebe,Podilymbus podiceps,,Brad Imhoff,2020-03-22,2020,3,22,714,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,"",,Unspecified,"","",,,,,,,S66087382,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.91,64,,1903,2854
87391221,Photo,Pied-billed Grebe,Podilymbus podiceps,,Scott Martin,2016-01-27,2016,1,27,730,United States,US-TX-355,Texas,Nueces,Leonabelle Turnbull Birding Ctr. (CTC 057),27.8275297,-97.0789558,"",,Unspecified,"","",,,,,,,S42686911,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.94,49,,1375,2200
217396771,Photo,Pied-billed Grebe,Podilymbus podiceps,,Brad Imhoff,2020-03-22,2020,3,22,714,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,"",,Unspecified,"","",,,,,,,S66087382,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.85,71,,2002,3003
167275011,Photo,Pied-billed Grebe,Podilymbus podiceps,,Daniel Jauvin,2019-07-05,2019,7,5,842,Canada,CA-QC-CB,Quebec,La Côte-de-Beaupré,RNF du Cap-Tourmente--Marais des Graves,47.0548270,-70.8165910,Adult,,Unspecified,"","",,,,,,,S57938196,"",,,Grèbe à bec bigarré,,Podilymbus podiceps,pibgre,Species,6776,,4.81,77,,1850,3288
217396721,Photo,Pied-billed Grebe,Podilymbus podiceps,,Brad Imhoff,2020-03-22,2020,3,22,714,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,"",,Unspecified,"","",,,,,,,S66087382,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.88,52,,2206,3309
217396641,Photo,Pied-billed Grebe,Podilymbus podiceps,,Brad Imhoff,2020-03-22,2020,3,22,714,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,"",,Unspecified,"","",,,,,,,S66087382,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.85,55,,1631,2446
618601137,Photo,Pied-billed Grebe,Podilymbus podiceps,,Alex Leeder,2024-05-06,2024,5,6,1634,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Vancouver--Trout Lake (John Hendry Park),49.2559580,-123.0623250,"",,Unspecified,"","",,,,,,,S172543415,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,5.00,32,,4160,6240
255879361,Photo,Pied-billed Grebe,Podilymbus podiceps,,Brad Imhoff,2020-03-22,2020,3,22,714,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,"",,Unspecified,"","",,,,,,,S66087382,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.87,52,,1912,2867
218667151,Photo,Pied-billed Grebe,Podilymbus podiceps,,Brad Imhoff,2020-03-26,2020,3,26,721,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,"",,Unspecified,"","",,,,,,,S66233583,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.92,38,,2571,3856
555297521,Photo,Pied-billed Grebe,Podilymbus podiceps,,Vasura Jayaweera,2023-04-08,2023,4,8,1800,Canada,CA-ON-LM,Ontario,Lambton,Sarnia--Marina,42.9802884,-82.4120522,"",,Unspecified,"","",,,,,,,S133135072,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,5.00,30,,3311,4576
218667081,Photo,Pied-billed Grebe,Podilymbus podiceps,,Brad Imhoff,2020-03-26,2020,3,26,721,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,"",,Unspecified,"","",,,,,,,S66233583,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,5.00,30,,1999,2999
142334531,Photo,Pied-billed Grebe,Podilymbus podiceps,,Dorian Anderson,2019-02-18,2019,2,18,730,United States,US-CA-075,California,San Francisco,Golden Gate Park - long travelling lists - use more specific hotspots where appropriate,37.7696461,-122.4841261,"",,Unspecified,"","",,,,,,,S52985155,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,5.00,29,,2491,3737
215991131,Photo,Pied-billed Grebe,Podilymbus podiceps,,Anonymous,2020-03-16,2020,3,16,1322,United States,US-VA-540,Virginia,Charlottesville,Riverview Park,38.0238000,-78.4547000,"",,Unspecified,"","",,,,,,,S65873789,"",,,,Continuing. Diving actively just north of the wooden bridge.,Podilymbus podiceps,pibgre,Species,6776,,4.88,40,,2110,3165
495879741,Photo,Pied-billed Grebe,Podilymbus podiceps,,Matt Zuro,2022-10-19,2022,10,19,1415,United States,US-IL-031,Illinois,Cook,Saganashkee Slough--West,41.6961160,-87.9067183,"",,Unspecified,"","",,,,,,,S120972313,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.97,31,,2243,3365
286342091,Photo,Pied-billed Grebe,Podilymbus podiceps,,🦉Max Malmquist🦉,2020-12-06,2020,12,6,930,United States,US-UT-011,Utah,Davis,Glover Lane & GSL Nature Center,40.9650238,-111.9299004,"",,Unspecified,"","",,,,,,,S77144236,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.89,37,,1195,1792
431686851,Photo,Pied-billed Grebe,Podilymbus podiceps,,Frédérick Lelièvre,2022-04-03,2022,4,3,927,Canada,CA-QC-QU,Quebec,Québec,Parc nautique de Cap-Rouge,46.7467286,-71.3421165,"",,Unspecified,"","",,,,,,,S106175983,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.84,45,,2560,3840
445295731,Photo,Pied-billed Grebe,Podilymbus podiceps,,Peter Lypkie,2022-05-07,2022,5,7,750,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Vancouver--Trout Lake (John Hendry Park),49.2559580,-123.0623250,Adult – 1,"Feeding Young; Vocalizing",Unspecified,"","",,,,,,,S109215572,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.78,60,"",2484,3726
608734838,Photo,Pied-billed Grebe,Podilymbus podiceps,,Tomas Vasquez,2023-07-06,2023,7,6,1430,Chile,CL-RM-MEL,Región Metropolitana de Santiago,Melipilla,Quincanque bajo,-33.7297235,-71.3389315,"",,Unspecified,"","",,,,,,,S149657025,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,5.00,27,,2264,3396
547913341,Photo,Pied-billed Grebe,Podilymbus podiceps,,Matt Zuro,2023-03-20,2023,3,20,1545,United States,US-IL-031,Illinois,Cook,Saganashkee Slough--West,41.6961160,-87.9067183,"",,Unspecified,"","",,,,,,,S131431772,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.93,29,,4434,6651
432013371,Photo,Pied-billed Grebe,Podilymbus podiceps,,Bryan Calk,2022-03-20,2022,3,20,920,United States,US-NM-001,New Mexico,Bernalillo,ABQ BioPark--Tingley Lagoon,35.0864029,-106.6737442,"",,Unspecified,"","",,,,,,,S105974339,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.96,27,,3165,5627
87918951,Photo,Pied-billed Grebe,Podilymbus podiceps,,Dorian Anderson,2018-02-27,2018,2,27,1545,United States,US-CA-085,California,Santa Clara,Shoreline Park--Shoreline Lake area,37.4323410,-122.0918369,"",,Unspecified,"","",,,,,,,S43280199,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.77,48,,1200,1800
60982311,Photo,Pied-billed Grebe,Podilymbus podiceps,,Luke Seitz,2013-03-25,2013,3,25,745,United States,US-CA-083,California,Santa Barbara,UCSB--Campus Point,34.4048560,-119.8440063,"",,Unspecified,"","",,,,,,,S13518218,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.93,28,,2272,3647
411944191,Photo,Pied-billed Grebe,Podilymbus podiceps,,Grigory Heaton,2022-01-29,2022,1,29,909,United States,US-CA-037,California,Los Angeles,Malibu Legacy Park,34.0355906,-118.6890578,Adult – 1,,Unspecified,"","",,,,,,,S101653096,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.88,34,,2422,3633
425222981,Photo,Pied-billed Grebe,Podilymbus podiceps,,Leon Dsilva,2022-03-12,2022,3,12,1543,Canada,CA-ON-TO,Ontario,Toronto,Toronto--Colonel Samuel Smith Park,43.5910609,-79.5112485,"",,Unspecified,"","",,,,,,,S104690170,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.81,36,,1461,1715
319465251,Photo,Pied-billed Grebe,Podilymbus podiceps,,Linda Cunningham,2021-03-24,2021,3,24,950,United States,US-ME-013,Maine,Knox,Wallston Rd. Fire Pond,43.9882600,-69.2248600,"",,Unspecified,"","",,,,,,,S84010549,"",,,,See photos As previously reported by Ann Boover,Podilymbus podiceps,pibgre,Species,6776,,4.84,32,,960,1440
191627611,Photo,Pied-billed Grebe,Podilymbus podiceps,,Harlan Stewart,2019-12-05,2019,12,5,1355,United States,US-TX-245,Texas,Jefferson,Tyrrell Park--Cattail Marsh,30.0074226,-94.1400433,"",,Unspecified,"","",,,,,,,S62080310,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.89,28,,1926,2675
251037921,Photo,Pied-billed Grebe,Podilymbus podiceps,,Roy Chatburn,2020-07-20,2020,7,20,1925,Canada,CA-ON-SC,Ontario,Simcoe,Collingwood Arboretum trails,44.5042401,-80.2283009,Juvenile – 1,,Unspecified,"","",,,,,,,S71741801,"",,,Catch of the day.,Continuing two adults and six chicks.,Podilymbus podiceps,pibgre,Species,6776,,4.64,61,,2071,2682
373486591,Photo,Pied-billed Grebe,Podilymbus podiceps,,Brad Imhoff,2021-09-28,2021,9,28,818,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,"",,Unspecified,"","",,,,,,,S95291960,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.76,41,,1414,2120
421631291,Photo,Pied-billed Grebe,Podilymbus podiceps,,Frank Lin,2022-03-01,2022,3,1,1715,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Stanley Park--Lost Lagoon,49.2956320,-123.1403017,Adult – 1,,Unspecified,"","",,,,,,,S104066217,"",,,,"Eating sticklebacks, struggling a bit to swallow them",Podilymbus podiceps,pibgre,Species,6776,,4.83,30,,2150,3224
462971001,Photo,Pied-billed Grebe,Podilymbus podiceps,,Silas Powell,2022-06-20,2022,6,20,1026,Mexico,MX-DIF-010,Ciudad de México,Miguel Hidalgo,Bosque de Chapultepec--Segunda Sección,19.4131734,-99.1974449,"",,Unspecified,"","",,,,,,,S113367788,"",,,,,Podilymbus podiceps,pibgre,Species,6776,,4.78,36,,4000,6000
313142441,Photo,Pied-billed Grebe,Podilymbus podiceps,,Liam Huber,2021-03-02,2021,3,2,1045,United States,US-CA-021,California,Glenn,Sacramento NWR,39.4054340,-122.1719100,"",,Unspecified,"","",,,,,,,S82660250,"",,,,Auto Loop: 11 / Road 68: 3,Podilymbus podiceps,pibgre,Species,6776,,4.96,23,,2761,4511
