ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
168058451,Photo,Red-breasted Sapsucker,Sphyrapicus ruber,,Bryan Calk,2019-05-13,2019,5,13,947,Canada,CA-BC-CP,British Columbia,Capital,Butchart Gardens,48.5647798,-123.4693980,Adult Male,,Unspecified,"","",,,,,,,S56233801,"",,,,,Sphyrapicus ruber,rebsap,Species,11020,,4.93,135,,2720,4835
283304991,Photo,Red-breasted Sapsucker,Sphyrapicus ruber,,Mason Maron,2020-11-27,2020,11,27,1100,United States,US-WA-033,Washington,King,Lake Sammamish SP,47.5597558,-122.0549817,"",Foraging or Eating,Unspecified,"","",,,,,,,S76765822,"",,,,,Sphyrapicus ruber,rebsap,Species,11020,,4.96,91,"",3361,4454
251565441,Photo,Red-breasted Sapsucker,Sphyrapicus ruber,,Zak Pohlen,2020-06-29,2020,6,29,531,United States,US-AK-275,Alaska,Wrangell City and Borough,Stikine River—Ketili Creek,56.6922670,-131.9299860,"",,Unspecified,"","",,,,,,,S71243749,"",,,,,Sphyrapicus ruber,rebsap,Species,11020,,4.95,65,,1800,3000
122448861,Photo,Red-breasted Sapsucker,Sphyrapicus ruber,,Ryan Schain,2018-11-06,2018,11,6,1222,United States,US-WA-033,Washington,King,Rattlesnake Lake,47.4352869,-121.7690277,"",,Unspecified,"","",,,,,,,S49722725,"",,,,"Prolonged point blank views of this bird just a few feet off the ground; ph",Sphyrapicus ruber,rebsap,Species,11020,,4.96,55,,2984,4104
515326061,Photo,Red-breasted Sapsucker,Sphyrapicus ruber,,Sasha Cahill,2022-10-12,2022,10,12,1005,United States,US-CA-023,California,Humboldt,Cal Poly Humboldt--library area,40.8759751,-124.0799037,"",,Unspecified,"","",,,,,,,S120562498,"",,,1/160 ISO 320 F/5.6,,Sphyrapicus ruber,rebsap,Species,11020,,4.91,55,,2887,3969
283305001,Photo,Red-breasted Sapsucker,Sphyrapicus ruber,,Mason Maron,2020-11-27,2020,11,27,1100,United States,US-WA-033,Washington,King,Lake Sammamish SP,47.5597558,-122.0549817,"",Foraging or Eating,Unspecified,"","",,,,,,,S76765822,"",,,,,Sphyrapicus ruber,rebsap,Species,11020,,4.95,37,"",3244,3967
475308101,Photo,Red-breasted Sapsucker,Sphyrapicus ruber,,Mason Maron,2022-06-18,2022,6,18,1017,United States,US-WA-033,Washington,King,Lewis Creek Park,47.5506266,-122.1250936,"",,Unspecified,"","",,,,,,,S113211083,"",,,,,Sphyrapicus ruber,rebsap,Species,11020,,5.00,31,,3017,4526
535620821,Photo,Red-breasted Sapsucker,Sphyrapicus ruber,,John Davis,2023-02-15,2023,2,15,1150,United States,US-OR-051,Oregon,Multnomah,Whitaker Ponds Nature Park,45.5733692,-122.6113719,"",,Unspecified,"","",,,,,,,S128414912,"",,,,One of the Red-breasted Sapsuckers was doing quite a bit of sallying for insects.,Sphyrapicus ruber,rebsap,Species,11020,,4.94,35,,1280,1600
475307721,Photo,Red-breasted Sapsucker,Sphyrapicus ruber,,Mason Maron,2022-06-18,2022,6,18,1017,United States,US-WA-033,Washington,King,Lewis Creek Park,47.5506266,-122.1250936,Adult – 1,,Unspecified,"","",,,,,,,S113211083,"",,,,,Sphyrapicus ruber,rebsap,Species,11020,,5.00,26,,1333,1999
329765661,Photo,Red-breasted Sapsucker,Sphyrapicus ruber,,James MacKenzie,2021-04-23,2021,4,23,956,Canada,CA-BC-CX,British Columbia,Comox-Strathcona,Seal Bay Nature Park,49.7599775,-124.9712205,"",,Unspecified,"","",,,,,,,S86185955,"",,,,,Sphyrapicus ruber,rebsap,Species,11020,,4.78,49,,2603,3254
168058331,Photo,Red-breasted Sapsucker,Sphyrapicus ruber,,Bryan Calk,2019-05-13,2019,5,13,947,Canada,CA-BC-CP,British Columbia,Capital,Butchart Gardens,48.5647798,-123.4693980,Adult Male,,Unspecified,"","",,,,,,,S56233801,"",,,,,Sphyrapicus ruber,rebsap,Species,11020,,4.70,50,,1811,3219
283304911,Photo,Red-breasted Sapsucker,Sphyrapicus ruber,,Mason Maron,2020-11-27,2020,11,27,1100,United States,US-WA-033,Washington,King,Lake Sammamish SP,47.5597558,-122.0549817,"",Foraging or Eating,Unspecified,"","",,,,,,,S76765822,"",,,,,Sphyrapicus ruber,rebsap,Species,11020,,5.00,22,"",1531,2109
