ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
163814901,Photo,Red-naped Sapsucker,Sphyrapicus nuchalis,,Bryan Calk,2019-04-30,2019,4,30,1514,United States,US-CO-057,Colorado,Jackson,State Forest SP--Moose Visitor Center,40.5114352,-106.0102069,Adult Male,,Unspecified,"","",,,,,,,S55620843,"",,,,,Sphyrapicus nuchalis,rensap,Species,11017,,4.86,99,,1913,3400
468361581,Photo,Red-naped Sapsucker,Sphyrapicus nuchalis,,Aidan Brubaker,2022-07-03,2022,7,3,945,United States,US-ID-043,Idaho,Fremont,Sawtell Peak Rd.,44.5445451,-111.4132977,"",,Unspecified,"","",,,,,,,S114366306,"",,,,,Sphyrapicus nuchalis,rensap,Species,11017,,4.91,45,,2514,3173
226063911,Photo,Red-naped Sapsucker,Sphyrapicus nuchalis,,Ilya Povalyaev,2019-06-13,2019,6,13,629,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Stanley Park--Beaver Lake,49.3041900,-123.1390100,Adult Female – 1,,Unspecified,"","",,,,,,,S57339615,"",,,,Continuing female just west of south creek trail intersection,Sphyrapicus nuchalis,rensap,Species,11017,,4.83,52,,2048,1365
61511411,Photo,Red-naped Sapsucker,Sphyrapicus nuchalis,,Marlene Cashen,2017-06-19,2017,6,19,1830,United States,US-WA-043,Washington,Lincoln,Sprague Hwy./Jack Brown Rd.,47.3746358,-117.8477024,Adult Female,,Unspecified,"","",,,,,,,S37696317,"",,,,,Sphyrapicus nuchalis,rensap,Species,11017,,4.91,34,,1200,1800
337089181,Photo,Red-naped Sapsucker,Sphyrapicus nuchalis,,Evan Lipton,2021-04-17,2021,4,17,832,United States,US-AZ-019,Arizona,Pima,Madera Canyon--Madera Picnic Area,31.7271702,-110.8807518,"",,Unspecified,"","",,,,,,,S85754279,"",,,,,Sphyrapicus nuchalis,rensap,Species,11017,,5.00,26,,2763,4144
131554911,Photo,Red-naped Sapsucker,Sphyrapicus nuchalis,,marlene johnston,2018-12-27,2018,12,27,740,Canada,CA-BC-CK,British Columbia,Central Kootenay,Lardeau,50.1443462,-116.9490337,"",,Unspecified,"","",,,,,,,S51024266,"",,,photo by Gordon Brown,"continued presence, feeding in our yard",Sphyrapicus nuchalis,rensap,Species,11017,,4.70,60,,1190,1200
131554901,Photo,Red-naped Sapsucker,Sphyrapicus nuchalis,,marlene johnston,2018-12-27,2018,12,27,740,Canada,CA-BC-CK,British Columbia,Central Kootenay,Lardeau,50.1443462,-116.9490337,"",,Unspecified,"","",,,,,,,S51024266,"",,,photo by Gordon Brown,"continued presence, feeding in our yard",Sphyrapicus nuchalis,rensap,Species,11017,,4.78,37,,1200,1187
480514911,Photo,Red-naped Sapsucker,Sphyrapicus nuchalis,,Mason Maron,2022-05-27,2022,5,27,1521,United States,US-WA-077,Washington,Yakima,Wenas Campground,46.9053628,-120.8048487,"",,Unspecified,"","",,,,,,,S111532417,"",,,,,Sphyrapicus nuchalis,rensap,Species,11017,,4.95,20,,2257,3611
625145382,Photo,Red-naped Sapsucker,Sphyrapicus nuchalis,,Hannah Criswell,2024-08-05,2024,8,5,1336,United States,US-CO-093,Colorado,Park,Park CR 60,39.4683490,-105.7482120,"",Foraging or Eating,Unspecified,"","",,,,,,,S190376596,"",,,,,Sphyrapicus nuchalis,rensap,Species,11017,,4.88,24,"",3712,5568
572299001,Photo,Red-naped Sapsucker,Sphyrapicus nuchalis,,Steve Wickliffe,2023-05-14,2023,5,14,600,United States,US-MT-023,Montana,Deer Lodge,Washoe Park,46.1351217,-112.9635796,Adult Female – 1,Foraging or Eating,Unspecified,"","",,,,,,,S137657041,"",,,,,Sphyrapicus nuchalis,rensap,Species,11017,,5.00,18,"",3810,2858
