ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
390920461,Photo,Red-tailed Hawk,Buteo jamaicensis,,Ken Pitts,2021-11-25,2021,11,25,801,United States,US-WA-011,Washington,Clark,"Ridgefield NWR--River 'S' Unit",45.7990694,-122.7490082,"",,Unspecified,"","",,,,,,,S98058509,"",,,,,Buteo jamaicensis,rethaw,Species,8410,,4.94,395,,2211,2774
380778111,Photo,Red-tailed Hawk,Buteo jamaicensis,,Shirley Pulgar Hughes,2021-09-28,2021,9,28,1615,United States,US-IL-031,Illinois,Cook,"Spring Valley Nature Sanctuary, Schaumburg",42.0252918,-88.0556774,"",Foraging or Eating,Unspecified,"","",,,,,,,S96408778,"",,,,,Buteo jamaicensis,rethaw,Species,8410,,4.98,158,"",2750,3999
380778141,Photo,Red-tailed Hawk,Buteo jamaicensis,,Shirley Pulgar Hughes,2021-09-28,2021,9,28,1615,United States,US-IL-031,Illinois,Cook,"Spring Valley Nature Sanctuary, Schaumburg",42.0252918,-88.0556774,"",Foraging or Eating,Unspecified,"","",,,,,,,S96408778,"",,,Watching its prey.,,Buteo jamaicensis,rethaw,Species,8410,,4.94,219,"",2726,4235
397386621,Photo,Red-tailed Hawk,Buteo jamaicensis,,Ryan Sanderson,2021-12-09,2021,12,9,807,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Immature – 1,,Unspecified,"","",,,,,,,S98655808,"",,,,,Buteo jamaicensis,rethaw,Species,8410,,4.96,113,,3509,5263
80930791,Photo,Red-tailed Hawk (abieticola),Buteo jamaicensis abieticola,,Vincent Fyson,2018-01-06,2018,1,6,1300,Canada,CA-ON-OT,Ontario,Ottawa,Ottawa--Trail Road Landfill,45.2350307,-75.7701516,"",,Unspecified,"","",,,,,,,S41678218,"",,,,,Buteo jamaicensis,rethaw4,Group,8412,,4.83,324,,968,1800
275510351,Photo,Red-tailed Hawk,Buteo jamaicensis,,Ryan Schain,2020-10-29,2020,10,29,1101,United States,US-MA-025,Massachusetts,Suffolk,"Schain Yard, Boston",42.2846031,-71.1666029,"",,Unspecified,"","",,,,,,,S75559812,"",,,,"Juv eating a squirrel in the backyard, allowed for point blank photos",Buteo jamaicensis,rethaw,Species,8410,,4.85,239,,3294,4941
578928681,Photo,Red-tailed Hawk,Buteo jamaicensis,,Alex Sundvall,2023-04-30,2023,4,30,1845,United States,US-TX-463,Texas,Uvalde,Concan Frio Bat Cave area,29.4350096,-99.6843734,Adult – 1,Flying,Unspecified,"","",,,,,,,S135648137,"",,,,,Buteo jamaicensis,rethaw,Species,8410,,4.82,303,"",2187,2916
412622161,Photo,Red-tailed Hawk,Buteo jamaicensis,,Dorian Anderson,2021-12-03,2021,12,3,650,United States,US-CA-065,California,Riverside,San Jacinto Wildlife Area,33.8854488,-117.1041040,"",,Unspecified,"","",,,,,,,S98406977,"",,,,,Buteo jamaicensis,rethaw,Species,8410,,4.90,102,,5744,4595
241295031,Photo,Red-tailed Hawk (calurus/alascensis),Buteo jamaicensis calurus/alascensis,,Jerry Liguori,2003-08-28,2003,8,28,1300,United States,US-UT-011,Utah,Davis,Bountiful Peak - Skyline Drive,40.9546007,-111.8164554,Juvenile,,Unspecified,"","",,,,,,,S70093783,"",,,,,Buteo jamaicensis,wrthaw1,Group,8413,,4.97,63,,1534,2496
242020371,Photo,"Red-tailed Hawk (Harlan's)",Buteo jamaicensis harlani,,Jerry Liguori,2008-02-08,2008,2,8,1400,United States,US-UT-011,Utah,Davis,Farmington Bay WMA,40.9551410,-111.9191396,Adult,,Unspecified,"","",,,,,,,S69768572,"",,,,,Buteo jamaicensis,hrthaw1,Group,8411,,4.92,77,,2037,3243
494757231,Photo,Red-tailed Hawk,Buteo jamaicensis,,Martin Kaehrle,2022-10-13,2022,10,13,850,United States,US-WI-025,Wisconsin,Dane,UW Lakeshore Nature Preserve (general),43.0864973,-89.4301057,"",Foraging or Eating,Unspecified,"","",,,,,,,S120601481,"",,,,"One was hunting actively in the community gardens. Ate a second rodent (I think meadow vole) after the one in these photos, photos of the second here: https://ebird.org/checklist/S120842368",Buteo jamaicensis,rethaw,Species,8410,,4.92,77,"",1365,2048
313547671,Photo,Red-tailed Hawk (borealis),Buteo jamaicensis borealis,,Jeremiah Trimble,2016-10-18,2016,10,18,1210,United States,US-MA-025,Massachusetts,Suffolk,Fenway Victory Gardens,42.3437644,-71.0928297,"",,Unspecified,"","",,,,,,,S32101526,"",,,,,Buteo jamaicensis,erthaw1,Group,8416,,4.88,82,,1600,2400
329049631,Photo,Red-tailed Hawk,Buteo jamaicensis,,Brad Imhoff,2021-04-22,2021,4,22,743,United States,US-OH-089,Ohio,Licking,Infirmary Mound Park,40.0234743,-82.5209667,"",,Unspecified,"","",,,,,,,S86089982,"",,,,,Buteo jamaicensis,rethaw,Species,8410,,4.85,92,,2481,3719
395724491,Photo,Red-tailed Hawk,Buteo jamaicensis,,Mason Maron,2021-01-12,2021,1,12,1558,United States,US-CA-023,California,Humboldt,Loleta Bottoms--Cannibal Island Rd.,40.6433961,-124.2685890,"",Foraging or Eating,Unspecified,"","",,,,,,,S79155299,"",,,eating a dead opossum on the roadside with another RTHA,,Buteo jamaicensis,rethaw,Species,8410,,4.85,91,"",3130,4694
562949011,Photo,Red-tailed Hawk,Buteo jamaicensis,,Matthew Dolkart,2023-04-25,2023,4,25,1712,United States,US-IL-031,Illinois,Cook,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",41.9633833,-87.6344204,"",,Unspecified,"","",,,,,,,S135034552,"",,,,,Buteo jamaicensis,rethaw,Species,8410,,5.00,42,,2257,3386
275510381,Photo,Red-tailed Hawk,Buteo jamaicensis,,Ryan Schain,2020-10-29,2020,10,29,1101,United States,US-MA-025,Massachusetts,Suffolk,"Schain Yard, Boston",42.2846031,-71.1666029,"",,Unspecified,"","",,,,,,,S75559812,"",,,,"Juv eating a squirrel in the backyard, allowed for point blank photos",Buteo jamaicensis,rethaw,Species,8410,,4.85,84,,3168,4752
208770861,Photo,"Red-tailed Hawk (Harlan's)",Buteo jamaicensis harlani,"Buteo jamaicensis harlani -- Red-tailed Hawk (Harlan's)",Jim Merritt,2020-02-11,2020,2,11,921,United States,US-CO-041,Colorado,El Paso,Big Johnson Reservoir & Bluestem Prairie Open Space,38.7482319,-104.6943795,"",,Unspecified,"","",,,,,,,S64381157,"",,,"light-morph Harlan's",,Buteo jamaicensis,hrthaw1,Group,8411,,4.90,58,,8467,10000
37125581,Photo,Red-tailed Hawk,Buteo jamaicensis,,Ryan Schain,2011-11-02,2011,11,2,730,United States,US-MA-025,Massachusetts,Suffolk,Fenway Victory Gardens,42.3437644,-71.0928297,"",,Unspecified,"","",,,,,,,S9046172,"",,,,"1 imm Clemente Field, 1 incredbily confiding adult in VG that let me walk within 2 feet (literally!)",Buteo jamaicensis,rethaw,Species,8410,,4.83,87,,3024,4908
70090551,Photo,Red-tailed Hawk,Buteo jamaicensis,,Jon G.,2017-09-26,2017,9,26,1426,United States,US-IL-043,Illinois,DuPage,Greene Valley Forest Preserve--Scenic Overlook (limited access),41.7304160,-88.0784600,Immature,,Unspecified,"","",,,,,,,S39415794,"",,,,,Buteo jamaicensis,rethaw,Species,8410,,4.91,45,,2308,3460
385488821,Photo,Red-tailed Hawk,Buteo jamaicensis,,Gary Jarvis,2021-11-04,2021,11,4,1240,United States,US-ME-001,Maine,Androscoggin,Sabattus Pond--South End,44.1185837,-70.0956955,"",,Unspecified,"","",,,,,,,S97158640,"",,,,Gave me a dirty look as it flew right over me.  What did I ever do to it? Had I insulted it somehow?,Buteo jamaicensis,rethaw,Species,8410,,4.82,74,,1733,2600
241296731,Photo,Red-tailed Hawk (calurus/alascensis),Buteo jamaicensis calurus/alascensis,,Jerry Liguori,2008-09-30,2008,9,30,1300,United States,US-UT-011,Utah,Davis,Bountiful Peak - Skyline Drive,40.9546007,-111.8164554,Juvenile – 1,,Unspecified,"","",,,,,,,S69720001,"",,,,,Buteo jamaicensis,wrthaw1,Group,8413,,4.95,38,,2192,3292
241295041,Photo,Red-tailed Hawk (calurus/alascensis),Buteo jamaicensis calurus/alascensis,,Jerry Liguori,2003-08-28,2003,8,28,1300,United States,US-UT-011,Utah,Davis,Bountiful Peak - Skyline Drive,40.9546007,-111.8164554,Juvenile,,Unspecified,"","",,,,,,,S70093783,"",,,,,Buteo jamaicensis,wrthaw1,Group,8413,,4.97,35,,1443,2378
396263841,Photo,Red-tailed Hawk,Buteo jamaicensis,,Graham Schmidt,2021-12-15,2021,12,15,1415,United States,US-MA-025,Massachusetts,Suffolk,Fenway Victory Gardens,42.3437644,-71.0928297,"",,Unspecified,"","",,,,,,,S98936946,"",,,,,Buteo jamaicensis,rethaw,Species,8410,,4.89,46,,3961,3169
51359071,Photo,Red-tailed Hawk (borealis),Buteo jamaicensis borealis,,Evan Lipton,2015-01-29,2015,1,29,0,United States,US-MA-025,Massachusetts,Suffolk,Olmsted Park,42.3259472,-71.1145663,Adult,,Unspecified,"","",,,,,,,S35220533,"",,,,"Eating a rabbit on a ridge of snow next to the road, oblivious to passersby.",Buteo jamaicensis,erthaw1,Group,8416,,4.73,113,,3456,5184
131780451,Photo,Red-tailed Hawk,Buteo jamaicensis,,Dorian Anderson,2018-12-27,2018,12,27,700,United States,US-CA-065,California,Riverside,San Jacinto Wildlife Area,33.8854488,-117.1041040,"",,Unspecified,"","",,,,,,,S51062305,"",,,,,Buteo jamaicensis,rethaw,Species,8410,,4.85,53,,2015,3022
393110761,Photo,Red-tailed Hawk,Buteo jamaicensis,,Ken Pitts,2021-11-25,2021,11,25,801,United States,US-WA-011,Washington,Clark,"Ridgefield NWR--River 'S' Unit",45.7990694,-122.7490082,"",,Unspecified,"","",,,,,,,S98058509,"",,,,,Buteo jamaicensis,rethaw,Species,8410,,4.92,39,,2275,2891
507191441,Photo,Red-tailed Hawk,Buteo jamaicensis,,Frederik Gustavsson,2022-11-24,2022,11,24,1117,Canada,CA-QC-MR,Quebec,Montréal,PN du Cap-St-Jacques,45.4645346,-73.9315517,"",,Unspecified,"","",,,,,,,S122948177,"",,,,,Buteo jamaicensis,rethaw,Species,8410,,4.90,41,,2574,3741
242547671,Photo,Red-tailed Hawk (calurus/alascensis),Buteo jamaicensis calurus/alascensis,,Jerry Liguori,2007-01-07,2007,1,7,1200,United States,US-UT-011,Utah,Davis,Farmington Bay WMA,40.9551410,-111.9191396,Adult,,Unspecified,"","",,,,,,,S69426363,"",,,3rd calendar year,,Buteo jamaicensis,wrthaw1,Group,8413,,4.97,33,,1621,2540
