ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
482726031,Photo,Ring-billed Gull,Larus delawarensis,,Ryan Sanderson,2022-09-04,2022,9,4,633,United States,US-IN-089,Indiana,Lake,"Marquette Park, Gary US-IN (41.6203,-87.2529)",41.6202730,-87.2529160,Immature – 1,Foraging or Eating,Unspecified,"","",,,,,,,S118098681,"",,,,,Larus delawarensis,ribgul,Species,6455,,4.98,129,"",2447,4350
211611651,Photo,Ring-billed Gull,Larus delawarensis,,Ryan Sanderson,2020-02-24,2020,2,24,1314,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Immature – 1,,Unspecified,"","",,,,,,,S65019068,"",,,,,Larus delawarensis,ribgul,Species,6455,,4.98,129,,3248,4872
319117911,Photo,Ring-billed Gull,Larus delawarensis,,Liam Huber,2021-03-22,2021,3,22,1443,United States,US-CA-007,California,Butte,Thermalito Afterbay--causeway & north access,39.4935929,-121.6813946,"",,Unspecified,"","",,,,,,,S83927660,"",,,,Allowed me to get within about 15 feet in my kayak,Larus delawarensis,ribgul,Species,6455,,4.96,99,,2825,4885
410575291,Photo,Ring-billed Gull,Larus delawarensis,,Mason Maron,2021-12-12,2021,12,12,939,United States,US-ID-069,Idaho,Nez Perce,West Levee Pond,46.4227125,-117.0225477,Adult – 1,,Unspecified,"","",,,,,,,S98798272,"",,,,,Larus delawarensis,ribgul,Species,6455,,4.95,102,,2409,3855
207215971,Photo,Ring-billed Gull,Larus delawarensis,,Ryan Sanderson,2020-02-03,2020,2,3,813,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult – 1,,Unspecified,"","",,,,,,,S64091045,"",,,,,Larus delawarensis,ribgul,Species,6455,,4.95,85,,3048,4572
404100261,Photo,Ring-billed Gull,Larus delawarensis,,Allanah Vokes,2022-01-08,2022,1,8,1044,Canada,CA-ON-LM,Ontario,Lambton,Corunna--Guthrie Park,42.9026905,-82.4575424,"",,Unspecified,"","",,,,,,,S100344442,"",,,,,Larus delawarensis,ribgul,Species,6455,,4.89,114,,3085,4319
426707501,Photo,Ring-billed Gull,Larus delawarensis,,Brad Imhoff,2022-03-19,2022,3,19,1720,United States,US-OH-089,Ohio,Licking,"T. J. Evans Park, Newark",40.0925184,-82.4187469,"",,Unspecified,"","",,,,,,,S105171041,"",,,,,Larus delawarensis,ribgul,Species,6455,,4.93,72,,2459,3686
207215811,Photo,Ring-billed Gull,Larus delawarensis,,Ryan Sanderson,2020-02-03,2020,2,3,813,United States,US-IN-097,Indiana,Marion,Eagle Creek Park,39.8751000,-86.3037000,Adult – 1,,Unspecified,"","",,,,,,,S64091045,"",,,,,Larus delawarensis,ribgul,Species,6455,,4.95,57,,1826,2739
466192741,Photo,Ring-billed Gull,Larus delawarensis,,Matthew Dolkart,2022-07-09,2022,7,9,445,United States,US-IL-031,Illinois,Cook,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",41.9633833,-87.6344204,"",,Unspecified,"","",,,,,,,S114717137,"",,,,,Larus delawarensis,ribgul,Species,6455,,4.98,49,,2669,4003
317174971,Photo,Ring-billed Gull,Larus delawarensis,,Matthew Bode,2021-03-14,2021,3,14,1115,United States,US-VT-011,Vermont,Franklin,Black Creek WMA,44.8146289,-73.1457545,"",,Unspecified,"","",,,,,,,S83504668,"",,,,,Larus delawarensis,ribgul,Species,6455,,4.86,86,,1914,2871
