ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
46363871,Photo,Ring-necked Pheasant,Phasianus colchicus,,Matthew Pendleton,2016-03-28,2016,3,28,918,United States,US-UT-035,Utah,Salt Lake,Inland Sea Shorebird Reserve (restricted access),40.7837893,-112.1003460,"",,Unspecified,"","",,,,,,,S28613481,"",,,,,Phasianus colchicus,rinphe1,Species,1444,,4.91,105,,3047,4570
456582261,Photo,Ring-necked Pheasant,Phasianus colchicus,,Matt Mason,2022-06-04,2022,6,4,548,United States,US-OH-121,Ohio,Noble,ReCreation Land--Chapel Dr.,39.8117667,-81.6603363,"",,Unspecified,"","",,,,,,,S112166347,"",,,,,Phasianus colchicus,rinphe1,Species,1444,,4.92,72,,2248,3600
125602631,Photo,Ring-necked Pheasant,Phasianus colchicus,,Sean Williams,2018-11-24,2018,11,24,1224,United States,US-MA-001,Massachusetts,Barnstable,Provincetown Airport,42.0763425,-70.2173138,"",,Unspecified,"","",,,,,,,S50267497,"",,,,,Phasianus colchicus,rinphe1,Species,1444,,4.90,67,,2474,3710
187859311,Photo,Ring-necked Pheasant,Phasianus colchicus,,Chris Rees,2019-11-14,2019,11,14,1500,Canada,CA-AB-EL,Alberta,Edmonton,Bittern Lake Area,53.0467168,-113.1229711,"",,Unspecified,"","",,,,,,,S61456926,"",,,,,Phasianus colchicus,rinphe1,Species,1444,,4.87,76,,2867,4300
309362891,Photo,Ring-necked Pheasant,Phasianus colchicus,,julie desrosiers,2021-02-19,2021,2,19,917,Sweden,SE-M,Skåne län [SE-12],,västra hamnen malmö,55.6115300,12.9866341,"",,Unspecified,"","",,,,,,,S81921812,"",,,,,Phasianus colchicus,rinphe1,Species,1444,,4.92,53,,2410,3460
61213491,Photo,Ring-necked Pheasant,Phasianus colchicus,,Marie-Lise Beaudin,2016-03-23,2016,3,23,1000,Canada,CA-QC-RS,Quebec,Roussillon,"RF Marguerite-D'Youville",45.3914585,-73.7611771,"","",Unspecified,"","",,,,,,,S37622256,"",,,,Photo de Yves Roy,Phasianus colchicus,rinphe1,Species,1444,,4.82,68,Watermark,992,2000
484408801,Photo,Ring-necked Pheasant,Phasianus colchicus,,Mason Maron,2022-07-02,2022,7,2,1109,United States,US-WA-033,Washington,King,Marymoor Park--Interpretive Trail,47.6545148,-122.1077304,Adult Male – 1,,Unspecified,"","",,,,,,,S114248351,"",,,,,Phasianus colchicus,rinphe1,Species,1444,,4.85,59,,2994,4793
420170591,Photo,Ring-necked Pheasant,Phasianus colchicus,,Evan Larson,2022-02-26,2022,2,26,907,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Reifel Bird Sanctuary,49.1000000,-123.1850000,"",,Unspecified,"","",,,,,,,S103775959,"",,,,,Phasianus colchicus,rinphe1,Species,1444,,4.83,52,,2692,4486
559684571,Photo,Ring-necked Pheasant,Phasianus colchicus,,Matt Saunders,2023-04-16,2023,4,16,1257,United States,US-WI-137,Wisconsin,Waushara,Cottonville Court Marsh,44.0529398,-88.9548859,Adult Male – 1,,Unspecified,"","",,,,,,,S133996325,"",,,,,Phasianus colchicus,rinphe1,Species,1444,,4.94,33,,1846,2769
309362871,Photo,Ring-necked Pheasant,Phasianus colchicus,,julie desrosiers,2021-02-19,2021,2,19,917,Sweden,SE-M,Skåne län [SE-12],,västra hamnen malmö,55.6115300,12.9866341,"",,Unspecified,"","",,,,,,,S81921812,"",,,,,Phasianus colchicus,rinphe1,Species,1444,,4.91,35,,1256,1882
212385761,Photo,Ring-necked Pheasant,Phasianus colchicus,,Mason Maron,2020-02-23,2020,2,23,1657,United States,US-WA-023,Washington,Garfield,"Washington 127, Pomeroy, Washington, US (46.534, -117.778)",46.5339953,-117.7780815,Adult Female – 1,"",Unspecified,"","",,,,,,,S64927794,"",,,,,Phasianus colchicus,rinphe1,Species,1444,,4.69,70,Habitat,2871,5103
407421141,Photo,Ring-necked Pheasant,Phasianus colchicus,,Frank Lin,2017-03-30,2017,3,30,1530,Taiwan,TW-HUA,Hualien County,,花蓮--國立東華大學(Hualien--National Dong Hwa University),23.8988932,121.5458835,Adult Male – 1,,Unspecified,"","",,,,,,,S101014034,"",,,ssp. formosanus,formosanus,Phasianus colchicus,rinphe1,Species,1444,,4.82,34,,3107,4661
209200911,Photo,Ring-necked Pheasant,Phasianus colchicus,,Harold Ziolkowski,2020-02-14,2020,2,14,1425,United States,US-MT-031,Montana,Gallatin,Dry Creek School Road,45.8714964,-111.2318382,Adult Female – 1,,Unspecified,"","",,,,,,,S64479564,"",,,,,Phasianus colchicus,rinphe1,Species,1444,,4.89,27,,3712,5568
