ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
615990356,Photo,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),,David Turgeon,2024-03-13,2024,3,13,804,Canada,CA-QC-HC,Quebec,La Haute-Côte-Nord,"Quai, Les Escoumins",48.3459818,-69.3889189,"Adult Female – 1; Adult Male – 1","Courtship, Display, or Copulation",Unspecified,"","",,,,,,,S164672674,"",,,,,Columba livia,rocpig1,Domestic,1832,,4.92,186,"",3795,5692
425794241,Photo,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),,Alexis Lours,2022-03-16,2022,3,16,1327,France,FR-IDF-75C,Île-de-France,Paris,"L'île aux Cygnes",48.8527310,2.2835682,Adult – 1,"",Unspecified,"","",,,,,,,S104924379,"",,,,,Columba livia,rocpig1,Domestic,1832,,4.87,156,Habitat,2606,3909
445068851,Photo,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),,Ryan Sanderson,2022-05-04,2022,5,4,625,United States,US-CA-073,California,San Diego,Point La Jolla--seawatch,32.8507576,-117.2735641,Adult – 1,Flying,Unspecified,"","",,,,,,,S108912421,"",,,,,Columba livia,rocpig1,Domestic,1832,,4.91,103,"",3478,5217
423133811,Photo,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),,Dimitris Salas,2021-12-07,2021,12,7,1250,United States,US-NY-061,New York,New York,Carl Schurz Park,40.7753776,-73.9436671,Adult – 1,,Unspecified,"","",,,,,,,S98596066,"",,,,,Columba livia,rocpig1,Domestic,1832,,4.91,88,,3197,4795
129391231,Photo,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),,Ryan Schain,2018-12-16,2018,12,16,1315,United States,US-MA-025,Massachusetts,Suffolk,Castle Island and Pleasure Bay,42.3360561,-71.0123205,"",,Unspecified,"","",,,,,,,S50728615,"",,,,,Columba livia,rocpig1,Domestic,1832,,4.92,78,,3191,5380
357376781,Photo,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),,Ged Tranter,2021-07-27,2021,7,27,800,Australia,AU-QLD-BRI,Queensland,Brisbane,Shorncliffe Pier,-27.3226708,153.0837583,Adult – 1,Flying,Unspecified,"","",,,,,,,S92394227,"",,,,,Columba livia,rocpig1,Domestic,1832,,4.92,64,"",1366,2048
415443351,Photo,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),,Christian Hagenlocher,2022-02-12,2022,2,12,914,United States,US-WA-033,Washington,King,Luna Park,47.5952692,-122.3865366,"",,Unspecified,"","",,,,,,,S102510115,"",,,,,Columba livia,rocpig1,Domestic,1832,,4.85,92,,3558,5013
612517517,Photo,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),,Deepak Budhathoki 🦉,2023-12-22,2023,12,22,1422,Nepal,NP-3-BHA,Bagmati,Bhaktapur,Manohara River,27.7000398,85.3900227,"",,Unspecified,"","",,,,,,,S156846591,"",,,,,Columba livia,rocpig1,Domestic,1832,,4.92,51,,5000,7500
464452661,Photo,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),,Brad Imhoff,2022-06-10,2022,6,10,1228,United States,US-OR-011,Oregon,Coos,First St. SE,43.1201210,-124.4138630,"",Flying,Unspecified,"","",,,,,,,S112612121,"",,,,,Columba livia,rocpig1,Domestic,1832,,4.86,74,"",4735,7102
310588771,Photo,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),,Danny Tipton,2021-02-21,2021,2,21,1310,United States,US-WA-005,Washington,Benton,Columbia Park--LCBAS Natural Area,46.2313311,-119.1965532,"",,Unspecified,"","",,,,,,,S82108450,"",,,,,Columba livia,rocpig1,Domestic,1832,,4.97,39,,1302,2048
