ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
623168957,Photo,Ruby-throated Hummingbird,Archilochus colubris,,Beau Cotter,2024-08-30,2024,8,30,900,United States,US-MI-073,Michigan,Isabella,Home,43.6065330,-84.7701594,"",,Unspecified,"","",,,,,,,S193276115,"",,,,Its back!,Archilochus colubris,rthhum,Species,4747,,4.97,155,,3464,5196
173497551,Photo,Ruby-throated Hummingbird,Archilochus colubris,,bellemare celine,2019-08-21,2019,8,21,900,Canada,CA-QC-DD,Quebec,Le Domaine-du-Roy,"1260, route de Ste-Hedwidge",48.5012591,-72.3323657,Female,,Unspecified,"","",,,,,,,S59160591,"",,,,,Archilochus colubris,rthhum,Species,4747,,4.93,149,,1500,2100
353653341,Photo,Ruby-throated Hummingbird,Archilochus colubris,,Brad Imhoff,2021-07-10,2021,7,10,744,United States,US-OH-089,Ohio,Licking,Pinetree Drive,40.0921976,-82.4813998,"",,Unspecified,"","",,,,,,,S91584501,"",,,,,Archilochus colubris,rthhum,Species,4747,,4.92,156,,1661,2490
301277181,Photo,Ruby-throated Hummingbird,Archilochus colubris,,David Turgeon,2020-05-31,2020,5,31,652,Canada,CA-QC-HC,Quebec,La Haute-Côte-Nord,"Rue des Cornouillers, Les Escoumins",48.3455460,-69.4184580,Adult Male – 1,,Unspecified,"","",,,,,,,S69881079,"",,,,,Archilochus colubris,rthhum,Species,4747,,4.91,139,,2175,3263
338719321,Photo,Ruby-throated Hummingbird,Archilochus colubris,,Zane Shantz,2021-05-13,2021,5,13,2035,Canada,CA-ON-BC,Ontario,Bruce,Bruce Peninsula--Lindsay Road 30 Fields,45.1011704,-81.4441863,"",,Unspecified,"","",,,,,,,S88031578,"",,,,,Archilochus colubris,rthhum,Species,4747,,4.96,78,,2972,4450
356091381,Photo,Ruby-throated Hummingbird,Archilochus colubris,,Brad Imhoff,2021-07-22,2021,7,22,647,United States,US-OH-089,Ohio,Licking,Pinetree Drive,40.0921976,-82.4813998,Adult Male – 1,,Unspecified,"","",,,,,,,S92127153,"",,,,,Archilochus colubris,rthhum,Species,4747,,4.94,88,,1689,2533
372564221,Photo,Ruby-throated Hummingbird,Archilochus colubris,,Ryan Yann,2021-09-25,2021,9,25,1200,United States,US-IN-003,Indiana,Allen,Intentionally Slightly Inaccurate Location,41.1674830,-85.0440168,"",Flying,Unspecified,"","",,,,,,,S95178664,"",,,Albino,,Archilochus colubris,rthhum,Species,4747,,4.97,70,Aberrant individual,1729,2421
351975351,Photo,Ruby-throated Hummingbird,Archilochus colubris,,Brad Imhoff,2021-07-01,2021,7,1,1922,United States,US-OH-089,Ohio,Licking,Pinetree Drive,40.0921976,-82.4813998,Adult Male – 1,,Unspecified,"","",,,,,,,S91193119,"",,,,,Archilochus colubris,rthhum,Species,4747,,4.88,113,,1606,2408
343633951,Photo,Ruby-throated Hummingbird,Archilochus colubris,,Amanda Guercio,2021-05-29,2021,5,29,900,Canada,CA-ON-TO,Ontario,Toronto,Toronto--High Park,43.6446469,-79.4625379,Adult Male – 1,,Unspecified,"","",,,,,,,S89228107,"",,,,"Couldn't help but get a bit distracted while atlassing. :)",Archilochus colubris,rthhum,Species,4747,,4.87,101,,1793,2689
449219461,Photo,Ruby-throated Hummingbird,Archilochus colubris,,Grace C,2022-05-15,2022,5,15,1728,United States,US-VT-021,Vermont,Rutland,BNC (Private properties within 5 mi.),43.4569605,-73.1618786,Adult Male – 1,,Unspecified,"","",,,,,,,S110306302,"",,,,,Archilochus colubris,rthhum,Species,4747,,4.96,55,,2641,3965
