ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
485244381,Photo,Ruffed Grouse,Bonasa umbellus,,Frédérick Lelièvre,2022-07-01,2022,7,1,1232,Canada,CA-QC-MM,Quebec,Montmagny,RN Jean-Paul-Riopelle,47.0450896,-70.5650139,Adult Male – 1,"Courtship, Display, or Copulation",Unspecified,"","",,,,,,,S114240806,"",,,,"Cet individu était vraiment spécial, nous l'avons aperçu en parade sur un tronc au detour d'un sentier. Nous nous sommes arrêtés pour le photographier, mais à notre plus grand étonnement il a cessé sa parade et au lieu de fuir est venu à notre rencontre! Il se promenait autour à moins d'un pied de nous et nous observait de façon très curieuse. Il nous a suivi comme un chien en marchant à côté de nous sur plusieurs dizaines de mètres... Il a cessé de nous suivre quand le sentier à débouché sur la plage...",Bonasa umbellus,rufgro,Species,1251,,5.00,106,"",2560,3840
331931941,Photo,Ruffed Grouse,Bonasa umbellus,,Steeve R. Baker,2021-04-29,2021,4,29,1430,Canada,CA-QC-QU,Quebec,Québec,"Chemin de Bélair, Val Bélair",46.8469893,-71.5277767,Adult Male – 1,"Courtship, Display, or Copulation",Unspecified,"","",,,,,,,S86674908,"",,,,,Bonasa umbellus,rufgro,Species,1251,,4.92,231,"",1634,2500
311516851,Photo,Ruffed Grouse,Bonasa umbellus,,Laurie Parent,2021-02-25,2021,2,25,1615,Canada,CA-QC-VO,Quebec,"La Vallée-de-l'Or","Forêt Piché-Lemoine (sentier d'interprétation de l'École Buissonnière)",48.0879968,-77.9138031,"",,Unspecified,"","",,,,,,,S82346015,"",,,,,Bonasa umbellus,rufgro,Species,1251,,4.92,224,,1366,2048
332468941,Photo,Ruffed Grouse,Bonasa umbellus,,Christian Briand,2021-05-01,2021,5,1,800,Canada,CA-QC-SR,Quebec,Sept-Rivières,"Club de ski de fond Rapido, Sept-Îles",50.3075690,-66.4082970,"",,Unspecified,"","",,,,,,,S86825240,"",,,,Deux mâles tambourinant et un autre en parade,Bonasa umbellus,rufgro,Species,1251,,4.95,107,,2828,4242
526180431,Photo,Ruffed Grouse,Bonasa umbellus,,Annie Lavoie,2023-01-20,2023,1,20,657,Canada,CA-QC-SAG,Quebec,Saguenay,La Baie - La Maison,48.3236309,-70.8698886,"",,Unspecified,"","",,,,,,,S126540435,"",,,,,Bonasa umbellus,rufgro,Species,1251,,4.94,120,,2206,3202
244437351,Photo,Ruffed Grouse,Bonasa umbellus,,Tyler Ficker,2020-06-15,2020,6,15,1200,United States,US-MN-031,Minnesota,Cook,Gunflint Trail,48.0699924,-90.6157945,"",,Unspecified,"","",,,,,,,S70614146,"",,,,,Bonasa umbellus,rufgro,Species,1251,,4.95,110,,,
37799001,Photo,Ruffed Grouse,Bonasa umbellus,,bellemare celine,2016-10-19,2016,10,19,1000,Canada,CA-QC-DD,Quebec,Le Domaine-du-Roy,"St-Méthode, Pointe aux Pins",48.6941152,-72.3524594,"",,Unspecified,"","",,,,,,,S32123098,"",,,,,Bonasa umbellus,rufgro,Species,1251,,4.98,82,,1200,1800
419383171,Photo,Ruffed Grouse,Bonasa umbellus,,Rob Fowler,2022-02-21,2022,2,21,937,United States,US-CA-023,California,Humboldt,Redwood NP--Tall Trees Rd.,41.2351181,-123.9908868,"",,Unspecified,"","",,,,,,,S103519869,"",,,,Spectacular experience with a very tame individual on side of road near parking lot for Tall Trees Gove. Many photos to be added!,Bonasa umbellus,rufgro,Species,1251,,4.93,108,,2933,4400
222665191,Photo,Ruffed Grouse,Bonasa umbellus,,Simon Boivin,2020-04-08,2020,4,8,631,Canada,CA-QC-SAG,Quebec,Saguenay,Parc de la Rivière-du-Moulin--Secteur sud,48.3994518,-71.0457087,"",,Unspecified,"","",,,,,,,S66840676,"",,,,,Bonasa umbellus,rufgro,Species,1251,,4.88,177,,3712,5568
494898581,Photo,Ruffed Grouse,Bonasa umbellus,,Paul Jones,2022-10-17,2022,10,17,1515,Canada,CA-ON-PE,Ontario,Prince Edward,Prince Edward Point National Wildlife Area--Point Traverse Woods,43.9470873,-76.8654370,"",,Unspecified,"","",,,,,,,S120865703,"",,,,,Bonasa umbellus,rufgro,Species,1251,,4.95,82,,2667,4000
447106581,Photo,Ruffed Grouse,Bonasa umbellus,,Jay McGowan,2022-05-07,2022,5,7,1629,United States,US-NY-099,New York,Seneca,Van Riper Conservation Area--west side (FLLT),42.7185465,-76.7633530,Adult – 1,,Unspecified,"","",,,,,,,S109262112,"",,,A grouse identifying itself using Merlin Sound ID.,Continuing aggressive male.,Bonasa umbellus,rufgro,Species,1251,,4.86,103,,2622,4000
457593031,Photo,Ruffed Grouse,Bonasa umbellus,,Rain Saulnier,2022-06-05,2022,6,5,1247,Canada,CA-AB-SI,Alberta,Calgary,Brown-Lowery Provincial Park,50.8204703,-114.4325753,"",,Unspecified,"","",,,,,,,S112268668,"",,,,,Bonasa umbellus,rufgro,Species,1251,,4.93,60,,3585,5378
29667231,Photo,Ruffed Grouse,Bonasa umbellus,,Warren Lynn,2014-10-18,2014,10,18,1500,United States,US-WI-085,Wisconsin,Oneida,Moen Lake Chain (forest and lakes),45.6441082,-89.2885923,Adult Male,,Unspecified,"","",,,,,,,S30012704,"",,,,"This male Ruffed Grouse wandered through the wooded property of our cabin, scratching and scavenging for seeds and such.",Bonasa umbellus,rufgro,Species,1251,,4.83,100,,2400,3000
311516981,Photo,Ruffed Grouse,Bonasa umbellus,,Laurie Parent,2021-02-25,2021,2,25,1615,Canada,CA-QC-VO,Quebec,"La Vallée-de-l'Or","Forêt Piché-Lemoine (sentier d'interprétation de l'École Buissonnière)",48.0879968,-77.9138031,"",,Unspecified,"","",,,,,,,S82346015,"",,,,,Bonasa umbellus,rufgro,Species,1251,,4.92,53,,1696,2048
464524611,Photo,Ruffed Grouse,Bonasa umbellus,,Yannick Fleury,2022-06-19,2022,6,19,905,Canada,CA-QC-FS,Quebec,Le Fjord-du-Saguenay,"Sentier De La Montagne Blanche, L'Anse-Saint-Jean, Québec, CA (48,241, -70,221)",48.2412515,-70.2205515,Juvenile – 1,,Unspecified,"","",,,,,,,S113674175,"",,,,2 juvéniles.,Bonasa umbellus,rufgro,Species,1251,,4.91,53,,2882,3710
