ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
309666411,Photo,Sandhill Crane,Antigone canadensis,,Matt Felperin,2020-03-04,2020,3,4,1724,United States,US-FL-103,Florida,Pinellas,Brooker Creek Preserve & Surrounding Areas,28.1439001,-82.6609078,"Adult Female – 1; Adult Male – 1; Juvenile – 1","Feeding Young; Foraging or Eating",Unspecified,"","",,,,,,,S65438272,"",,,"Colt had just jumped in the most adorable fashion, would have been an even more incredible shot!","2 adults 1 colt, adults constantly probing ground for insect larvae and feeding young. Laid prone (part of the time on a fire ant nest) and they were comfortable enough to approach fairly close to me.",Antigone canadensis,sancra,Species,5643,,4.96,726,"",2727,4090
278098351,Photo,Sandhill Crane,Antigone canadensis,,Bryan Calk,2020-11-07,2020,11,7,858,United States,US-NM-001,New Mexico,Bernalillo,Rio Grande Valley SP--Rio Grande Nature Center Bosque Trails,35.1310880,-106.6856146,"",,Unspecified,"","",,,,,,,S75956431,"",,,,,Antigone canadensis,sancra,Species,5643,,4.98,164,,2190,3893
305597181,Photo,Sandhill Crane,Antigone canadensis,,Dorian Anderson,2020-12-17,2020,12,17,907,United States,US-NM-053,New Mexico,Socorro,Bernardo WMA,34.4278520,-106.8153752,"",Flying,Unspecified,"","",,,,,,,S77589781,"",,,,Hella. Could been twice that for all I know.,Antigone canadensis,sancra,Species,5643,,4.91,163,"",2722,4083
309666391,Photo,Sandhill Crane,Antigone canadensis,,Matt Felperin,2020-03-04,2020,3,4,1724,United States,US-FL-103,Florida,Pinellas,Brooker Creek Preserve & Surrounding Areas,28.1439001,-82.6609078,"Adult Female – 1; Adult Male – 1; Juvenile – 1","Feeding Young; Foraging or Eating",Unspecified,"","",,,,,,,S65438272,"",,,,"2 adults 1 colt, adults constantly probing ground for insect larvae and feeding young. Laid prone (part of the time on a fire ant nest) and they were comfortable enough to approach fairly close to me.",Antigone canadensis,sancra,Species,5643,,4.93,109,"",2507,3760
215424991,Photo,Sandhill Crane,Antigone canadensis,,Oliver Patrick,2019-07-15,2019,7,15,922,United States,US-FL-097,Florida,Osceola,Lakefront Park,28.2590675,-81.2834859,"",,Unspecified,"","",,,,,,,S58194326,"",,,,,Antigone canadensis,sancra,Species,5643,,4.89,132,,2848,4288
324613421,Photo,Sandhill Crane,Antigone canadensis,,Justin Bright,2021-04-09,2021,4,9,830,United States,US-FL-001,Florida,Alachua,Sweetwater Wetlands Park,29.6193055,-82.3285764,Juvenile – 2,"",Unspecified,"","",,,,,,,S85173512,"",,,,photos. two adults and two colts,Antigone canadensis,sancra,Species,5643,,4.91,99,Habitat,1771,2657
310578461,Photo,Sandhill Crane,Antigone canadensis,,Dorian Anderson,2020-12-18,2020,12,18,655,United States,US-NM-053,New Mexico,Socorro,Bernardo WMA,34.4278520,-106.8153752,"",Flying,Unspecified,"","",,,,,,,S77629669,"",,,,,Antigone canadensis,sancra,Species,5643,,4.88,102,"",2351,3526
318140491,Photo,Sandhill Crane,Antigone canadensis,,Brad Imhoff,2021-03-19,2021,3,19,1716,United States,US-OH-089,Ohio,Licking,Dawes Arboretum--Dutch Fork Wetlands,39.9944645,-82.4208635,"",,Unspecified,"","",,,,,,,S83695009,"",,,,,Antigone canadensis,sancra,Species,5643,,4.93,74,,1812,2716
192546241,Photo,Sandhill Crane,Antigone canadensis,,Andrew Simon,2019-11-12,2019,11,12,734,United States,US-FL-115,Florida,Sarasota,Palmer Lake and Surrounding Area,27.3135761,-82.3976111,"",,Unspecified,"","",,,,,,,S61389044,"",,,,,Antigone canadensis,sancra,Species,5643,,4.85,160,,2239,3344
506397611,Photo,Sandhill Crane,Antigone canadensis,,Matt Misewicz,2022-11-22,2022,11,22,1328,United States,US-IL-063,Illinois,Grundy,Goose Lake Prairie SNA,41.3614820,-88.3149790,"",,Unspecified,"","",,,,,,,S122863114,"",,,,,Antigone canadensis,sancra,Species,5643,,4.90,83,,5464,8192
143232861,Photo,Sandhill Crane,Antigone canadensis,,Kris Perlberg,2019-03-01,2019,3,1,1445,United States,US-WI-025,Wisconsin,Dane,Stoughton Disk Golf Course,42.9259644,-89.2072248,"",,Unspecified,"","",,,,,,,S53260737,"",,,,,Antigone canadensis,sancra,Species,5643,,4.83,134,,3502,5253
87350511,Photo,Sandhill Crane,Antigone canadensis,,Cole Gaerber,2016-07-01,2016,7,1,912,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Reifel Bird Sanctuary,49.1000000,-123.1850000,Adult – 1,,Unspecified,"","",,,,,,,S30484940,"",,,,,Antigone canadensis,sancra,Species,5643,,4.83,127,,2055,3718
