ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
611646676,Photo,"Say's Phoebe",Sayornis saya,,Allison Matlock,2023-11-27,2023,11,27,1143,United States,US-PA-071,Pennsylvania,Lancaster,"Susquehanna WTP--Washington Boro (restricted access, view from outside fence only)",39.9862289,-76.4595222,"",,Unspecified,"","",,,,,,,S155347879,"",,,,"Continuing rarity, presumably the same individual that wintered here last year. Originally, found on a CBC on 12/31/2022; first spotted by Joe Melony and reported by Jonathan Heller. I went and saw the bird on January 2, a lifer then. Apparently, the bird continued for a long time, last being seen sometime around the end of March. Now, on 10/23/2023, the bird was spotted at the nearby Washington Boro Park by Stanley C. Stahl, who then recorded it the following day back at the water treatment plant. From what I've observed, the bird has been a lot more hit or miss than it was last winter. Since I was in the area, I decided I'd stop by for a couple minutes to hopefully get a glimpse of the bird flycatching around the hypochlorite tanks as it did last winter.  What I didn't expect was to pull up to the fence, look down at my phone to record my start time, then look back up to see the phoebe bound through the air and land directly in front of my car. Got to watch it very close up for a minute or so, but didn't get pictures because if I'd moved I would've scared it. But how amazing to see this western bird right in front of me in Pennsylvania!  Eventually it flew off but I decided to position myself better and wait for another opportunity for pictures this time. It took almost two hours, the bird mostly flying around the tanks and the roof of the nearby building, and several times frustratingly farther down the fence, but finally it flew back in to the fence where I was waiting and posed gorgeously. So happy to get a picture I'm happy with of this rare species!!",Sayornis saya,saypho,Species,16843,,4.97,122,,,
295494171,Photo,"Say's Phoebe",Sayornis saya,,David Turgeon,2020-09-11,2020,9,11,1555,Canada,CA-QC-HC,Quebec,La Haute-Côte-Nord,Banc de Portneuf-sur-Mer,48.6087989,-69.0891989,Unknown – 1,,Unspecified,"","",,,,,,,S73468834,"",,,,"Découvert par Guy Tremblay et Jacques Normand plus tôt dans la journée. Fréquente le secteur du premier quart du banc, environ là où la Pointe des Fortin s'arrête. Chasse les insectes sur le sable et se perche sur des branches et troncs morts. Gros moucherolle gris ardoise au bas du ventre et sous-caudales roux-doré. Tête, queue et ailes noires et bandes alaires grises plus claires.",Sayornis saya,saypho,Species,16843,,4.97,74,,1718,2577
168344171,Photo,"Say's Phoebe",Sayornis saya,,Darren Clark,2019-07-15,2019,7,15,800,United States,US-ID-051,Idaho,Jefferson,"83434, Menan US-ID (43.8241,-112.0159)",43.8241050,-112.0158540,"",,Unspecified,"","",,,,,,,S58194037,"",,,,,Sayornis saya,saypho,Species,16843,,4.92,96,,2000,3000
221915941,Photo,"Say's Phoebe",Sayornis saya,,Jim Merritt,2020-04-08,2020,4,8,1535,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S66840262,"",,,,,Sayornis saya,saypho,Species,16843,,4.96,52,,9390,10000
529661031,Photo,"Say's Phoebe",Sayornis saya,,Anonymous,2023-01-29,2023,1,29,1400,United States,US-CA-085,California,Santa Clara,Coyote Valley--Laguna Ave.,37.1871074,-121.7367554,"",,Unspecified,"","",,,,,,,S127232050,"",,,,,Sayornis saya,saypho,Species,16843,,4.98,47,,3183,5659
620545270,Photo,"Say's Phoebe",Sayornis saya,,Dorian Anderson,2013-10-11,2013,10,11,0,United States,US-CA-025,California,Imperial,Sonny Bono Salton Sea NWR--Vendel Rd.,33.0757606,-115.7096225,Adult – 1,,Unspecified,"","",,,,,,,S182136476,"",,,,,Sayornis saya,saypho,Species,16843,,4.98,41,,2166,1774
380551491,Photo,"Say's Phoebe",Sayornis saya,,Martina Nordstrand,2021-10-10,2021,10,10,913,United States,US-NC-179,North Carolina,Union,BCVA-- Zion Church x Smith Town Rd.,34.8539055,-80.3410939,"",,Unspecified,"","",,,,,,,S95958861,"",,,,"***Rare, 3rd Piedmont record and westernmost NC record, obviously a county 1st and #225 for me in Union County.  First spotted flying directly away from my car. I figured the bird was a female bluebird (based on the silvery-gray) and realized it was a phoebe when it perched on a fencepost. Quickly noticed the salmon-pink belly and promptly freaked out. It flew off for a few nerve-wracking minutes, but returned and gave absolutely incredible views.   Medium-sized flycatcher with dark gray head, silvery mantle and wings, salmon belly and undertail, and noticeable solid black tail. More elongated than Eastern Phoebe, and slightly larger (had a few direct comparisons as the two species would sometimes squabble). The bird would perch prominently and sally out after bugs, often flying high into the air to pursuit. It occasionally wagged its tail, but not as frequently as Eastern Phoebe and in a much stiffer, pipit-like way. Sometimes landed in the road after bugs.   Bird mostly preferred the hayfield on the right (if facing the dead end) of the road, perching mostly on the fence but sometimes in the pecan trees. Please note that the road is a state road, so public property, but there are houses and farms nearby. This location has been excellent for rarities, so please stick to the road and avoid annoying the locals!",Sayornis saya,saypho,Species,16843,,4.84,70,,1948,2922
478870501,Photo,"Say's Phoebe",Sayornis saya,,Calvin S,2022-08-26,2022,8,26,1840,Canada,CA-AB-SI,Alberta,Calgary,Weed Lake--East Viewpoint (Township Rd 240),51.0086650,-113.6473138,"",,Unspecified,"","",,,,,,,S117613767,"",,,,,Sayornis saya,saypho,Species,16843,,4.84,70,,2138,3217
348405671,Photo,"Say's Phoebe",Sayornis saya,,Ronan Nicholson,2021-05-29,2021,5,29,2015,United States,US-TX-043,Texas,Brewster,Big Bend NP--Window Trail,29.2772372,-103.3070050,Adult – 1,,Unspecified,"","",,,,,,,S89300908,"",,,,,Sayornis saya,saypho,Species,16843,,4.80,89,,3167,4750
390687591,Photo,"Say's Phoebe",Sayornis saya,,Derek Lecy,2021-11-24,2021,11,24,1035,United States,US-CA-041,California,Marin,Corte Madera Marsh,37.9314992,-122.5073895,"",,Unspecified,"","",,,,,,,S98020865,"",,,,Good looks.,Sayornis saya,saypho,Species,16843,,4.83,59,,1941,2911
