ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
247267441,Photo,Spotted Sandpiper,Actitis macularius,,Ronan Nicholson,2020-06-29,2020,6,29,1100,United States,US-UT-035,Utah,Salt Lake,Liberty Park,40.7432253,-111.8728888,Adult – 1,Foraging or Eating,Unspecified,"","",,,,,,,S70965516,"",,,,,Actitis macularius,sposan,Species,6064,,4.98,165,"",3309,4963
128096501,Photo,Spotted Sandpiper,Actitis macularius,,Fyn Kynd,2018-05-11,2018,5,11,1658,United States,US-ME-003,Maine,Aroostook,Weston--Living Waters Bible Camp,45.7116096,-67.8590123,Adult,,Unspecified,"","",,,,,,,S45567614,"",,,,,Actitis macularius,sposan,Species,6064,,4.99,84,,1973,3000
248112471,Photo,Spotted Sandpiper,Actitis macularius,,John Missing,2020-07-07,2020,7,7,1453,United States,US-VT-027,Vermont,Windsor,North Springfield Reservoir - Springfield (290 acres),43.3442951,-72.5078213,"",,Unspecified,"","",,,,,,,S71236249,"",,,,,Actitis macularius,sposan,Species,6064,,4.99,82,,1200,1800
341614591,Photo,Spotted Sandpiper,Actitis macularius,,Matthew Plante,2021-05-23,2021,5,23,653,United States,US-OH-089,Ohio,Licking,Hebron Fish Hatchery and Wetlands,39.9350130,-82.5143623,"",,Unspecified,"","",,,,,,,S88829059,"",,,,,Actitis macularius,sposan,Species,6064,,4.94,86,,1942,2913
456714371,Photo,Spotted Sandpiper,Actitis macularius,,Greg Pasek,2022-06-04,2022,6,4,635,United States,US-OH-093,Ohio,Lorain,Margaret Peak Nature Preserve,41.3400548,-82.0315808,"",,Unspecified,"","",,,,,,,S112102743,"",,,,,Actitis macularius,sposan,Species,6064,,4.94,79,,1871,3326
252642241,Photo,Spotted Sandpiper,Actitis macularius,,Brad Imhoff,2020-07-31,2020,7,31,716,United States,US-OH-089,Ohio,Licking,Buckeye Lake (Licking Co.),39.9335322,-82.4561477,"",,Unspecified,"","",,,,,,,S71978467,"",,,,,Actitis macularius,sposan,Species,6064,,4.92,79,,1838,2756
374157311,Photo,Spotted Sandpiper,Actitis macularius,,Brian Stahls,2021-10-01,2021,10,1,1411,Canada,CA-ON-TO,Ontario,Toronto,"Toronto--Ashbridge's Bay Park",43.6599861,-79.3093553,"",,Unspecified,"","",,,,,,,S95451475,"",,,,,Actitis macularius,sposan,Species,6064,,4.89,83,,1573,2360
439209471,Photo,Spotted Sandpiper,Actitis macularius,,Braxton Landsman,2022-04-23,2022,4,23,1617,United States,US-CA-059,California,Orange,"William R Mason Regional Park, Irvine",33.6561023,-117.8293562,"",,Unspecified,"","",,,,,,,S107859667,"",,,,,Actitis macularius,sposan,Species,6064,,4.91,67,,3636,5030
320262431,Photo,Spotted Sandpiper,Actitis macularius,,Volker Hesse,2021-03-27,2021,3,27,813,Germany,DE-SH-PLO,Schleswig-Holstein,Plön,"Seebrücke Kitzeberg und Strand, Kitzeberg",54.3590436,10.1796131,"",,Unspecified,"","",,,,,,,S84168772,"",,,,,Actitis macularius,sposan,Species,6064,,4.89,76,,3648,5472
591237981,Photo,Spotted Sandpiper,Actitis macularius,,Rain Saulnier,2023-06-25,2023,6,25,515,Canada,CA-AB-FI,Alberta,Drumheller,Wyndham-Carseland Provincial Park--Carseland Weir,50.8241425,-113.4448242,Juvenile – 1,"",Unspecified,"","",,,,,,,S142717975,"",,,"Chick just hatched, ~15 mins old","2 nests located, 2 more highly probable active sites. Located one nest with 4 eggs while walking into woods, when I came back 30 mins later one of those eggs had hatched! Second nest found had young that seemed a few days old and were starting to walk around!",Actitis macularius,sposan,Species,6064,,4.96,50,"Egg(s); Nest",3973,5959
