ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
268727081,Photo,"Steller's Jay",Cyanocitta stelleri,,Bryan Calk,2020-10-02,2020,10,2,730,United States,US-CO-019,Colorado,Clear Creek,"The Goshawk (private, but open to public)",39.8195073,-105.6467570,"",,Unspecified,"","",,,,,,,S74313102,"",,,,,Cyanocitta stelleri,stejay,Species,21046,,4.97,202,,2851,4277
267972091,Photo,"Steller's Jay (Southwest Interior)",Cyanocitta stelleri [diademata Group],,Bryan Calk,2020-10-01,2020,10,1,717,United States,US-CO-019,Colorado,Clear Creek,"The Goshawk (private, but open to public)",39.8195073,-105.6467570,"",,Unspecified,"","",,,,,,,S74343113,"",,,,,Cyanocitta stelleri,stejay2,Group,21053,,4.93,152,,1660,2656
209760311,Photo,"Steller's Jay (Southwest Interior)",Cyanocitta stelleri [diademata Group],,Fyn Kynd,2020-02-16,2020,2,16,1351,United States,US-CO-019,Colorado,Clear Creek,"The Goshawk (private, but open to public)",39.8195073,-105.6467570,Adult – 1,,Unspecified,"","",,,,,,,S64599014,"",,,,,Cyanocitta stelleri,stejay2,Group,21053,,4.94,125,,1875,3000
172070171,Photo,"Steller's Jay (Coastal)",Cyanocitta stelleri [stelleri Group],,Drew Beamer,2019-08-10,2019,8,10,1438,United States,US-WA-041,Washington,Lewis,Mt. Rainier NP--Narada Falls,46.7748785,-121.7465049,Adult,,Unspecified,"","",,,,,,,S58902131,"",,,Odd begging-like behavior demonstrated in this photo given by adult.,,Cyanocitta stelleri,stejay1,Group,21047,,4.92,145,,3243,4864
488241741,Photo,"Steller's Jay",Cyanocitta stelleri,,Steve Pearl,2022-09-27,2022,9,27,900,United States,US-CA-087,California,Santa Cruz,Rio,36.9698742,-121.8863976,"",,Unspecified,"","",,,,,,,S119547851,"",,,,,Cyanocitta stelleri,stejay,Species,21046,,4.96,83,,2517,3777
60478861,Photo,"Steller's Jay",Cyanocitta stelleri,,Jeff Maw,2017-05-16,2017,5,16,1200,United States,US-CA-073,California,San Diego,Kitchen Creek Rd.--Cibbets Flat Campground area,32.7772130,-116.4476485,"","",Unspecified,"","",,,,,,,S36925499,"",,,,,Cyanocitta stelleri,stejay,Species,21046,,4.86,90,Watermark,2838,4098
389059001,Photo,"Steller's Jay",Cyanocitta stelleri,,Joshua Covill,2021-10-26,2021,10,26,1132,Mexico,MX-OAX-013,Oaxaca,Miahuatlán,Cabañas y Restaurante Puesta del Sol,16.1729800,-96.5054200,Adult – 1,,Unspecified,"","",,,,,,,S96753679,"",,,,,Cyanocitta stelleri,stejay,Species,21046,,4.84,89,,1280,1920
228862051,Photo,"Steller's Jay",Cyanocitta stelleri,,Mason Maron,2020-04-29,2020,4,29,1043,United States,US-WA-033,Washington,King,Old Maron Residence,47.5448459,-122.1207831,"",,Unspecified,"","",,,,,,,S68046389,"",,,,,Cyanocitta stelleri,stejay,Species,21046,,4.90,62,,2800,4978
142334811,Photo,"Steller's Jay",Cyanocitta stelleri,,Dorian Anderson,2019-02-18,2019,2,18,730,United States,US-CA-075,California,San Francisco,Golden Gate Park - long travelling lists - use more specific hotspots where appropriate,37.7696461,-122.4841261,"",,Unspecified,"","",,,,,,,S52985155,"",,,,,Cyanocitta stelleri,stejay,Species,21046,,4.86,72,,2499,3748
46487791,Photo,"Steller's Jay (Coastal)",Cyanocitta stelleri [stelleri Group],,Nigel Voaden,2015-05-06,2015,5,6,1500,United States,US-CA-037,California,Los Angeles,"Angeles NF--Devil's Canyon",34.3140445,-117.9952883,"",,Unspecified,"","",,,,,,,S23309039,"",,,,,Cyanocitta stelleri,stejay1,Group,21047,,4.84,79,,1080,1620
626811348,Photo,"Steller's Jay",Cyanocitta stelleri,,Cameron Carver,2024-11-26,2024,11,26,800,United States,US-CO-019,Colorado,Clear Creek,"The Goshawk (private, but open to public)",39.8195073,-105.6467570,"",,Unspecified,"","",,,,,,,S203681981,"",,,,,Cyanocitta stelleri,stejay,Species,21046,,4.86,65,,3946,5919
400491891,Photo,"Steller's Jay (Southwest Interior)",Cyanocitta stelleri [diademata Group],,Sam Zhang,2021-12-30,2021,12,30,843,United States,US-UT-035,Utah,Salt Lake,Little Cottonwood Canyon--Alta Town Office Feeders,40.5904976,-111.6372748,Adult – 1,Foraging or Eating,Unspecified,"","",,,,,,,S99714962,"",,,,,Cyanocitta stelleri,stejay2,Group,21053,,4.91,46,"",2373,3560
